RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Venlo-G0983;;35;5464;5282;2651;2463.0;706;520.0;;;172.0;;;860.0;;;;;;;;;;;;;;323.0;;;125.0;;;;;;;;;;;;;29212
Venray-G0984;;14;5232;2158;1677;675.0;814;347.0;;;146.0;;;894.0;;;;;;;;;;;;;;52.0;;;106.0;;;;;;;;;;;;;15592
Vianen-G0620;;11;1469;1500;1127;554.0;341;153.0;265.0;442.0;100.0;;;;;;87.0;;39.0;;;;;;;;;20.0;58.0;;;;;;;;;;;;;;;8113
Vlaardingen-G0622;;44;3801;5474;4784;2125.0;1109;1793.0;1063.0;808.0;185.0;;;;;;102.0;;275.0;;;;;;;;;226.0;162.0;;;;;;;;;;;;;;;34885
Vlagtwedde-G0048;;7;1728;1166;1792;406.0;138;134.0;;;;30.0;92.0;;;;;;;;;219.0;;;;;;;;;;;;;64.0;;87.0;;;;8.0;;;6940
Vleuten-De Meern-G0347;;12;1987;2384;571;484.0;320;205.0;182.0;82.0;56.0;;;;;31.0;;;;;;;;;;;;;;;;1429.0;;;;;;60.0;;;;;;6979
Vlieland-G0096;;2;38;198;104;32.0;19;;;;;2.0;;;;;;10.0;;;;2.0;;;;;;;;;;;37.0;;;;;;;;;;;421
Vlissingen-G0718;;33;2205;3005;3258;;665;;597.0;534.0;;;603.0;;;;;;;;;;;;1482.0;708.0;;;;;;;;;;;;;;;;;;20600
Vlist-G0623;;14;922;967;613;167.0;180;74.0;276.0;608.0;49.0;;;;;;54.0;;27.0;;;;;;;;;17.0;27.0;;;;;;;;;;;;;;;3404
Voerendaal-G0986;;6;2122;863;888;307.0;641;173.0;;;80.0;;;238.0;;;;;;;;;;;;;;47.0;;;48.0;;;;;;;;;;;;;4755
Voorburg-G0624;;177;3008;4133;1460;2089.0;1399;784.0;439.0;160.0;91.0;;;;;;2217.0;;114.0;;;;;;;;;67.0;131.0;;;;;;;;;;;;;;;14180
Voorhout-G0625;;6;1092;1545;560;330.0;310;128.0;66.0;20.0;34.0;;;;;;31.0;;25.0;;;;;;;;;17.0;28.0;;;;;;;;;;;;;;;4786
Voorschoten-G0626;;21;1959;3397;1064;988.0;985;155.0;167.0;75.0;74.0;;;;;;142.0;;49.0;;;;;;;;;34.0;69.0;;;;;;;;;;;;;;;7516
Voorst-G0285;;23;2944;2526;1915;567.0;562;94.0;165.0;212.0;;;80.0;;;;;;29.0;;;;;62.0;;;;;;82.0;;;;;;;;;;;;;0.0;8593
Vorden-G0286;;4;1616;1046;695;202.0;162;64.0;48.0;13.0;;;17.0;;;;;;14.0;;;;;20.0;;;;;;24.0;;;;;;;;;;;;;2.0;2691
Vriezenveen-G0186;;23;3361;896;1275;245.0;141;67.0;;476.0;;73.0;60.0;;;;;;;1001.0;;;;;;;;;;;;;;48.0;8.0;;;;;;;;;6985
Vught-G0865;;26;2435;2675;1511;838.0;591;209.0;;;;;125.0;;73.0;;;;;;;;32.0;;;;;;;;;;;;;;;;;;;;;10437
Waalre-G0866;;10;1578;2029;705;436.0;509;142.0;;;;;95.0;;34.0;;;;;;;;392.0;;;;;;;;;;;;;;;;;;;;;6297
Waalwijk-G0867;;46;5173;4464;3270;1297.0;808;621.0;;;;;443.0;;1420.0;;;;;;;;134.0;;;;;;;;;;;;;;;;;21.0;;;;16667
Waddinxveen-G0627;;19;1706;2628;1281;532.0;573;160.0;1166.0;1087.0;103.0;;;;;;51.0;;50.0;;;;;;;;;30.0;144.0;;;;;;;;;;;;;;;9889
Wageningen-G0289;;72;2061;2556;2560;3347.0;1429;333.0;563.0;270.0;;;98.0;;;;;;35.0;;;;;112.0;;;;;;222.0;;;;;;;;;;;;;1.0;12135
Warmond-G0628;;1;657;655;216;186.0;147;39.0;19.0;21.0;27.0;;;;;;12.0;;20.0;;;;;;;;;6.0;14.0;;;;;;;;;;;;;;;2046
Warnsveld-G0291;;11;771;974;807;425.0;256;107.0;122.0;11.0;;;47.0;;;;;;6.0;;;;;21.0;;;;;;76.0;;;;;;;;;;;;;1.0;3102
Wassenaar-G0629;;32;2132;5755;801;544.0;527;83.0;112.0;37.0;94.0;;;;;;125.0;;75.0;;;;;;;;;36.0;48.0;;;;;;;;;;;;;;;7792
Wateringen-G0630;;22;1897;1620;503;282.0;202;95.0;99.0;13.0;32.0;;;;;;394.0;;51.0;;;;;;;;;34.0;28.0;;;;;;;;;;;;;;;5898
Waterland-G0852;;9;1656;1914;1189;795.0;422;139.0;;;125.0;;;;106.0;152.0;;;32.0;;89.0;;;;;;;;;;;;;;;;;;;;;;;6643
Weerselo-G0188;;10;2931;543;266;161.0;91;31.0;;7.0;;12.0;26.0;;;;;;;18.0;;;;;;;;;;;;;;43.0;3.0;;;;;;;;;2650
Weert-G0988;;39;4320;3542;2967;836.0;546;482.0;;;333.0;;;694.0;;;;;;;;;;;;;;94.0;;;209.0;;;;;;;;;;;;;21942
Weesp-G0457;;10;1137;1577;1086;793.0;377;136.0;;;86.0;;;;130.0;371.0;;;54.0;;158.0;;;;;;;;;;;;;;;;;;;;;;;7918
Wehl-G0292;;3;940;333;464;135.0;57;35.0;4.0;4.0;;;10.0;;;;;;12.0;;;;;51.0;;;;;;9.0;;;;;;;;;;;;;0.0;3179
Werkendam-G0870;;5;3731;2145;1963;463.0;308;206.0;;;;;93.0;;2553.0;;;;;;;;205.0;;;;;;;;;;;;;;;;;7.0;;;;7575
Wervershoof-G0459;;2;1013;781;343;266.0;83;32.0;;;41.0;;;;21.0;76.0;;;9.0;;23.0;;;;;;;;;;;;;;;;;;;;;;;3443
West Maas en Waal-G0668;;2;1648;1072;712;277.0;120;105.0;26.0;9.0;;;110.0;;;;;;47.0;;;;;2266.0;;;;;;71.0;;;;;;;;;;;;;;7405
Wester-Koggenland-G0558;;5;1595;1521;739;406.0;209;81.0;;;81.0;;;;33.0;125.0;;;23.0;;69.0;;;;;;;;;;;;;;;;;;;;;;;5015
Westerveld-G1701;;8;1370;2470;2668;700.0;541;;164.0;;;;;;;;;;;;;;;;;;751.0;;;;;;;;;116.0;;;;;;;;5897
Westervoort-G0293;;6;847;1021;1613;459.0;277;131.0;130.0;4.0;;;35.0;;;;;;21.0;;;;;29.0;;;;;;38.0;;;;;;;;;;;;;0.0;6855
Weststellingwerf-G0098;;14;2407;2072;2654;891.0;324;;;;;48.0;;;;;;169.0;;;;174.0;;;;;;;;;;;89.0;;;;;;;;;;;10473
Westvoorne-G0614;;6;736;2181;855;338.0;280;109.0;69.0;47.0;114.0;;;;;;315.0;;38.0;;;;;;;;;16.0;48.0;;;;;;;;;;;;;;;5700
Wierden-G0189;;4;5244;1487;907;383.0;257;113.0;;349.0;;53.0;58.0;;;;;;;1550.0;;;;;;;;;;;;;;103.0;15.0;;;;;;;;;6764
Wieringen-G0462;;1;337;831;643;142.0;92;72.0;;;49.0;;;;34.0;583.0;;;31.0;;74.0;;;;;;;;;;;;;;;;;;;;;;;3604
Wieringermeer-G0463;;7;1569;1037;691;253.0;137;80.0;;;76.0;;;;186.0;174.0;;;29.0;;33.0;;;;;;;;;;;;;;;;;;;;;;;4928
Wijchen-G0296;;21;3106;2762;2385;943.0;669;505.0;89.0;6.0;;;139.0;;;;;;68.0;;;;;286.0;;;;;;132.0;;;;;;;;;;;;;;16992
Wijhe-G0190;;4;1242;442;661;209.0;106;65.0;;11.0;;17.0;14.0;;;;;;;46.0;;;;;;;;;;;;;;34.0;2.0;;;;;;;;;2852
Wijk bij Duurstede-G0352;;6;1701;2019;1138;1059.0;414;178.0;288.0;284.0;199.0;;;;;33.0;;;;;;;;;;;;;;;;147.0;;;;;;34.0;;;;;;9126
Winschoten-G0052;;13;1105;1415;2891;734.0;245;248.0;;;;94.0;85.0;;;;;;;;;192.0;;;;;;;;;;;;;142.0;;90.0;;;;15.0;;;7528
Winsum-G0053;;19;1806;1064;1763;804.0;297;105.0;;;;572.0;46.0;;;;;;;;;93.0;;;;;;;;;;;;;16.0;;69.0;;;;8.0;;;3525
Winterswijk-G0294;;16;2251;3587;2965;715.0;431;210.0;161.0;22.0;;;85.0;;;;;;31.0;;;;;32.0;;;;;;81.0;;;;;;;;;;;;;4.0;11229
Wisch-G0295;;7;2316;1534;1463;470.0;219;135.0;119.0;12.0;;;51.0;;;;;;43.0;;;;;41.0;;;;;;58.0;;;;;;;;;;;;;3.0;8678
Woensdrecht-G0873;;16;2502;2377;1466;518.0;451;179.0;;;;;173.0;;43.0;;;;;;;;119.0;;;;;;;;;;;;;;;;;265.0;;;;7390
Woerden-G0632;;13;3818;3353;1576;1366.0;879;317.0;1040.0;807.0;199.0;;;;;50.0;;;;;;;;;;;;;;;;57.0;;;;;;87.0;;;;;;14186
Wognum-G0466;;0;1219;806;339;225.0;214;46.0;;;23.0;;;;12.0;54.0;;;13.0;;16.0;;;;;;;;;;;;;;;;;;;;;;;2781
Wormerland-G0880;;5;901;1440;1087;916.0;290;195.0;;;74.0;;;;127.0;118.0;;;36.0;;106.0;;;;;;;;;;;;;;;;;;;;;;;6199
Woudenberg-G0351;;8;953;1075;402;235.0;169;85.0;620.0;889.0;70.0;;;;;10.0;;;;;;;;;;;;;;;;15.0;;;;;;14.0;;;;;;3287
Woudrichem-G0874;;3;1804;779;645;219.0;114;86.0;;;;;33.0;;1167.0;;;;;;;;24.0;;;;;;;;;;;;;;;;;3.0;;;;5661
Wûnseradiel-G0710;;14;1894;739;1047;558.0;175;;;;;55.0;;;;;;448.0;;;;83.0;;;;;;;;;;;52.0;;;;;;;;;;;3536
Wymbritseradiel-G0683;;3;2867;988;951;419.0;154;;;;;52.0;;;;;;1025.0;;;;179.0;;;;;;;;;;;155.0;;;;;;;;;;;4593
Zaanstad-G0479;;78;6050;10626;9618;6152.0;2300;1617.0;;;637.0;;;;1178.0;1020.0;;;388.0;;1034.0;;;;;;;;;;;;;;;;;;;;;;;60822
Zaltbommel-G0297;;7;1588;2012;1438;660.0;497;153.0;851.0;1910.0;;;47.0;;;;;;59.0;;;;;132.0;;;;;;51.0;;;;;;;;;;;;;;9005
Zandvoort-G0473;;6;584;2427;703;324.0;276;182.0;;;75.0;;;;63.0;351.0;;;33.0;;343.0;;;;;;;;;;;;;;;;;;;;;;;7237
Zederik-G0707;;29;1912;870;800;176.0;125;77.0;825.0;1088.0;47.0;;;;;;381.0;;42.0;;;;;;;;;15.0;18.0;;;;;;;;;;;;;;;3515
Zeevang-G0478;;0;280;1129;457;291.0;168;46.0;;;94.0;;;;14.0;62.0;;;18.0;;45.0;;;;;;;;;;;;;;;;;;;;;;;2147
Zeewolde-G0050;;2;1196;1782;677;558.0;320;;787.0;75.0;;;57.0;;;;;;;;;;;;;;;;;;;;;;;;;;47.0;;;;;5342
Zeist-G0355;;41;3570;6738;3169;2828.0;1837;765.0;1272.0;845.0;175.0;;;;;214.0;;;;;;;;;;;;;;;;210.0;;;;;;135.0;;;;;;23739
Zelhem-G0298;;13;1360;929;1147;229.0;121;37.0;121.0;142.0;;;19.0;;;;;;5.0;;;;;64.0;;;;;;27.0;;;;;;;;;;;;;1.0;4653
Zevenaar-G0299;;21;2403;2115;1899;692.0;526;425.0;130.0;13.0;;;90.0;;;;;;51.0;;;;;48.0;;;;;;110.0;;;;;;;;;;;;;1.0;12089
Zevenhuizen-Moerkapelle-G1666;;12;592;1038;541;155.0;187;52.0;394.0;799.0;84.0;;;;;;32.0;;16.0;;;;;;;;;4.0;45.0;;;;;;;;;;;;;;;3220
Zijpe-G0476;;2;908;1289;831;384.0;196;95.0;;;48.0;;;;47.0;82.0;;;20.0;;77.0;;;;;;;;;;;;;;;;;;;;;;;4496
Zoetermeer-G0637;;174;4659;10372;6215;3050.0;2707;2554.0;1467.0;686.0;849.0;;;;;;379.0;;239.0;;;;;;;;;125.0;245.0;;;;;;;;;;;;;;;45643
Zoeterwoude-G0638;;8;1252;680;335;344.0;239;57.0;30.0;32.0;37.0;;;;;;36.0;;18.0;;;;;;;;;3.0;8.0;;;;;;;;;;;;;;;3252
Zuidhorn-G0056;;22;2491;1312;1647;736.0;341;154.0;;;;1646.0;88.0;;;;;;;;;240.0;;;;;;;;;;;;;30.0;;64.0;;;;16.0;;;4150
Zuidlaren-G0136;;14;1834;4283;3165;1578.0;1311;;630.0;;;;;;;;;;;;;;;;;;679.0;;;;;;;;;423.0;;;;;;;;10110
Zundert-G0879;;23;3882;2340;1364;425.0;299;188.0;;;;;109.0;;39.0;;;;;;;;354.0;;;;;;;;;;;;;;;;;17.0;;;;5974
Zutphen-G0301;;31;1753;2398;3199;1933.0;871;798.0;368.0;35.0;;;230.0;;;;;;55.0;;;;;61.0;;;;;;332.0;;;;;;;;;;;;;5.0;14369
Zwartsluis-G0192;;2;677;463;329;56.0;32;18.0;;51.0;;197.0;9.0;;;;;;;120.0;;;;;;;;;;;;;;6.0;6.0;;;;;;;;;1426
Zwijndrecht-G0642;;31;3094;3428;2460;1007.0;725;288.0;1252.0;966.0;197.0;;;;;;60.0;;155.0;;;;;;;;;61.0;126.0;;;;;;;;;;;;;;;17703
Zwolle-G0193;;52;7957;6816;8255;4863.0;2276;985.0;;266.0;;2517.0;336.0;;;;;;;2235.0;;;;;;;;;;;;;;616.0;81.0;;;;;;;;;43255
