RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Kapelle-G0678;;6;1060;885;594;;133;;298.0;683.0;;;51.0;;;;;;;;;;;;313.0;522.0;;;;;;;;;;;;;;;;;;3634
Katwijk-G0537;;16;3494;2466;1007;660.0;417;326.0;1689.0;3263.0;90.0;;;;;;79.0;;92.0;;;;;;;;;16.0;76.0;;;;;;;;;;;;;;;15801
Kerkrade-G0928;;0;4376;1456;3123;1048.0;304;878.0;;;337.0;;;1957.0;;;;;;;;;;;;;;212.0;;;277.0;;;;;;;;;;;;;22451
Kessel-G0929;;19;666;562;231;60.0;37;19.0;;;17.0;;;100.0;;;;;;;;;;;;;;9.0;;;33.0;;;;;;;;;;;;;1525
Kesteren-G0258;;1;498;531;761;132.0;80;15.0;210.0;1963.0;;;19.0;;;;;;23.0;;;;;91.0;;;;;;27.0;;;;;;;;;;;;;;2743
Kollumerland en Nieuwkruisland-G0079;;11;2457;557;791;259.0;64;;;;;126.0;;;;;;580.0;;;;499.0;;;;;;;;;;;46.0;;;;;;;;;;;4214
Korendijk-G0588;;4;555;915;509;280.0;231;45.0;200.0;1073.0;54.0;;;;;;296.0;;30.0;;;;;;;;;7.0;28.0;;;;;;;;;;;;;;;3670
Krimpen aan den IJssel-G0542;;12;1467;2740;2001;604.0;583;174.0;843.0;2147.0;130.0;;;;;;43.0;;85.0;;;;;;;;;36.0;80.0;;;;;;;;;;;;;;;10519
Laarbeek-G1659;;35;3782;2058;2020;749.0;508;389.0;;;;;169.0;;43.0;;;;;;;;407.0;;;;;;;;;;;;;;;;;;;;;6059
Landerd-G1685;;14;2442;947;744;312.0;158;332.0;;;;;87.0;;11.0;;;;;;;;18.0;;;;;;;;;;;;;;;;;;;;;5706
Landgraaf-G0882;;20;4316;1754;2117;1290.0;370;921.0;;;220.0;;;1377.0;;;;;;;;;;;;;;116.0;;;144.0;;;;;;;;;;;;;18316
Landsmeer-G0415;;6;417;1126;1282;429.0;308;105.0;;;71.0;;;;49.0;71.0;;;16.0;;84.0;;;;;;;;;;;;;;;;;;;;;;;3975
Langedijk-G0416;;8;1911;2238;1348;814.0;505;258.0;;;117.0;;;;398.0;167.0;;;35.0;;107.0;;;;;;;;;;;;;;;;;;;;;;;9372
Laren-G0417;;1;981;2107;535;445.0;337;79.0;;;25.0;;;;42.0;72.0;;;14.0;;39.0;;;;;;;;;;;;;;;;;;;;;;;4271
Leek-G0022;;7;1802;1471;2005;743.0;357;118.0;;;;849.0;98.0;;;;;;;;;192.0;;;;;;;;;;;;;27.0;;52.0;;;;17.0;;;6215
Leerdam-G0545;;10;1466;1353;1170;313.0;250;243.0;711.0;790.0;51.0;;;;;;217.0;;51.0;;;;;;;;;10.0;33.0;;;;;;;;;;;;;;;8240
Leersum-G0326;;6;589;1085;361;411.0;184;35.0;107.0;244.0;42.0;;;;;13.0;;;;;;;;;;;;;;;;51.0;;;;;;18.0;;;;;;2315
Leeuwarden-G0080;;60;6844;5579;10102;4714.0;1871;;;;;562.0;;;;;;1583.0;;;;739.0;;;;;;;;;;;436.0;;;;;;;;;;;36989
Leeuwarderadeel-G0081;;10;1155;619;1219;316.0;123;;;;;44.0;;;;;;479.0;;;;104.0;;;;;;;;;;;860.0;;;;;;;;;;;2655
Leiden-G0546;;200;4562;9915;8448;7655.0;4368;2571.0;909.0;263.0;297.0;;;;;;235.0;;297.0;;;;;;;;;135.0;202.0;;;;;;;;;;;;;;;49442
Leiderdorp-G0547;;9;1619;2918;1408;1170.0;789;207.0;205.0;151.0;109.0;;;;;;64.0;;53.0;;;;;;;;;32.0;116.0;;;;;;;;;;;;;;;9796
Leidschendam-G0548;;84;3178;3306;1273;1426.0;741;1291.0;238.0;87.0;190.0;;;;;;1281.0;;80.0;;;;;;;;;55.0;118.0;;;;;;;;;;;;;;;13605
Lelystad-G0995;;59;2632;5192;4012;2394.0;1468;;814.0;187.0;;;980.0;;;;;;;;;;;;;;;;;;;;;;;;;;503.0;;;;;26635
Lemsterland-G0082;;5;1386;913;1103;319.0;155;;;;;18.0;;;;;;183.0;;;;253.0;;;;;;;;;;;57.0;;;;;;;;;;;4905
Leusden-G0327;;6;2371;3404;1307;1270.0;937;191.0;788.0;248.0;102.0;;;;;67.0;;;;;;;;;;;;;;;;25.0;;;;;;38.0;;;;;;10076
Lichtenvoorde-G0260;;15;3336;1266;1015;448.0;198;91.0;25.0;2.0;;;50.0;;;;;;26.0;;;;;22.0;;;;;;41.0;;;;;;;;;;;;;3.0;7483
Liemeer-G1673;;7;856;667;176;139.0;121;26.0;90.0;63.0;38.0;;;;;;16.0;;36.0;;;;;;;;;10.0;18.0;;;;;;;;;;;;;;;2696
Liesveld-G0694;;9;1066;770;559;136.0;92;45.0;654.0;751.0;31.0;;;;;;21.0;;16.0;;;;;;;;;8.0;16.0;;;;;;;;;;;;;;;2632
Limmen-G0418;;5;682;782;269;205.0;135;58.0;;;63.0;;;;10.0;50.0;;;15.0;;23.0;;;;;;;;;;;;;;;;;;;;;;;2514
Lingewaal-G0733;;4;1067;932;826;170.0;144;46.0;389.0;298.0;;;21.0;;;;;;44.0;;;;;16.0;;;;;;45.0;;;;;;;;;;;;;;3916
Lisse-G0553;;13;2432;2041;924;542.0;432;118.0;306.0;662.0;102.0;;;;;;36.0;;39.0;;;;;;;;;42.0;75.0;;;;;;;;;;;;;;;8676
Lith-G0808;;8;1042;399;416;106.0;73;155.0;;;;;22.0;;7.0;;;;;;;;17.0;;;;;;;;;;;;;;;;;;;;;2643
Littenseradiel-G0140;;3;1661;818;1049;372.0;165;;;;;26.0;;;;;;779.0;;;;60.0;;;;;;;;;;;43.0;;;;;;;;;;;2650
Lochem-G0262;;7;1714;2421;1745;826.0;698;172.0;86.0;15.0;;;103.0;;;;;;33.0;;;;;53.0;;;;;;83.0;;;;;;;;;;;;;2.0;6893
Loenen-G0329;;13;889;1220;557;275.0;279;53.0;148.0;110.0;54.0;;;;;22.0;;;;;;;;;;;;;;;;49.0;;;;;;16.0;;;;;;2779
Loon op Zand-G0809;;14;2477;1867;1060;531.0;334;194.0;;;;;141.0;;133.0;;;;;;;;76.0;;;;;;;;;;;;;;;;;6.0;;;;10380
Loosdrecht-G0330;;4;697;1643;370;203.0;254;42.0;106.0;68.0;27.0;;;;;21.0;;;;;;;;;;;;;;;;8.0;;;;;;7.0;;;;;;3505
Lopik-G0331;;20;1794;1131;538;196.0;137;82.0;637.0;708.0;66.0;;;;;32.0;;;;;;;;;;;;;;;;17.0;;;;;;23.0;;;;;;4385
Loppersum-G0024;;7;1486;749;1242;520.0;182;87.0;;;;412.0;35.0;;;;;;;;;175.0;;;;;;;;;;;;;20.0;;79.0;;;;10.0;;;3172
