RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;SGP;Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis;@abs
Venray-G0984;38;59;4238.0;46.0;10.0;14.0;3.0;4.0;8.0;18.0;;5.0;34.0;3.0;2.0;10.0;;47.0;2.0;11.0;1.0;2.0;8.0;2.0;;1.0;;;;;;29.0;;;;;;;;;;2.0;;;;;;;;;;;;;;;154.0
Vessem, Wintelre en Knegsel-G0862;1;2;656.0;;;;;;;;;;;;;;;;;1.0;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0
Veur-G1209;12;24;959.0;122.0;100.0;114.0;53.0;24.0;3.0;12.0;;7.0;14.0;4.0;26.0;17.0;;44.0;11.0;4.0;;;;;2.0;1.0;;1.0;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;81.0
Vianen-G0620;13;33;345.0;349.0;277.0;126.0;79.0;32.0;10.0;111.0;2.0;16.0;5.0;3.0;299.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102.0
Vierlingsbeek-G0863;1;2;740.0;3.0;10.0;7.0;5.0;2.0;1.0;1.0;;;6.0;;;;;;;1.0;;1.0;;;2.0;;1.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;64.0
Vierpolders-G0621;3;3;;122.0;50.0;51.0;29.0;22.0;69.0;1.0;;82.0;1.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0
Vinkeveen en Waverveen-G0346;10;11;1018.0;65.0;295.0;114.0;23.0;14.0;4.0;128.0;5.0;59.0;2.0;12.0;91.0;4.0;;3.0;2.0;;1.0;;;1.0;;1.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;123.0
Vlaardingen-G0622;154;206;1084.0;3269.0;2700.0;3113.0;829.0;203.0;121.0;809.0;64.0;14.0;12.0;270.0;84.0;27.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;828.0
Vlaardinger-Ambacht-G1210;14;18;227.0;250.0;293.0;376.0;56.0;21.0;4.0;67.0;5.0;12.0;3.0;19.0;9.0;5.0;1.0;;3.0;5.0;;;;;2.0;2.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0
Vlagtwedde-G0048;130;216;689.0;1449.0;810.0;547.0;285.0;614.0;274.0;19.0;21.0;325.0;19.0;327.0;36.0;30.0;39.0;6.0;15.0;66.0;6.0;44.0;;33.0;;25.0;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;466.0
