RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;Politieke Partij Radikalen (PPR);CHU;Communistische Partij van Nederland;D66;Democratisch Socialisten '70;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij;@abs
Nieuwerkerk aan den IJssel-G0567;22;24;1615;325.0;1232;618;235;486.0;86.0;270;201;485.0;92;128.0;79.0;14.0;24.0;31.0;;3.0;;;996.0
Nieuweschans-G0031;6;2;551;9.0;101;33;10;33.0;397.0;10;23;3.0;5;7.0;7.0;3.0;4.0;10.0;;;;;122.0
Nieuw-Ginneken-G0817;30;17;740;2320.0;1005;133;184;31.0;41.0;160;118;1.0;204;8.0;49.0;55.0;16.0;29.0;;;;;678.0
Nieuwkoop-G0569;34;3;716;1212.0;935;372;211;288.0;58.0;187;212;129.0;66;47.0;52.0;38.0;18.0;23.0;;3.0;;;664.0
Nieuwland-G0570;0;3;84;1.0;50;124;4;24.0;1.0;6;8;86.0;12;8.0;1.0;;2.0;;;;;;50.0
Nieuw-Lekkerland-G0571;38;2;1187;34.0;314;474;105;222.0;73.0;157;85;964.0;43;125.0;33.0;;3.0;8.0;;;;;576.0
Nieuwleusen-G0170;12;10;677;18.0;399;604;81;931.0;16.0;57;81;150.0;328;186.0;10.0;3.0;35.0;17.0;;;;;572.0
Nieuwolda-G0032;7;3;449;11.0;135;150;8;91.0;60.0;12;25;1.0;5;9.0;2.0;1.0;10.0;7.0;;;;;164.0
Nieuwpoort-G0572;1;7;168;4.0;80;149;15;52.0;4.0;11;24;118.0;18;12.0;2.0;;2.0;;;;;;73.0
Nieuwstadt-G0949;13;8;337;634.0;136;19;41;3.0;28.0;74;27;2.0;39;1.0;18.0;8.0;2.0;12.0;;;;;319.0
Nieuwveen-G0573;18;0;150;463.0;247;125;64;103.0;11.0;29;44;46.0;15;18.0;14.0;24.0;;4.0;;1.0;;;502.0
Nieuw-Vossemeer-G0818;9;3;250;433.0;98;21;49;13.0;16.0;60;18;2.0;28;2.0;10.0;12.0;8.0;14.0;;;;;241.0
Nigtevecht-G0337;1;7;179;26.0;113;90;38;110.0;15.0;33;32;6.0;9;5.0;5.0;;8.0;2.0;;;;;123.0
Nijeveen-G0121;0;3;347;13.0;209;370;32;212.0;5.0;45;32;3.0;46;25.0;3.0;;8.0;14.0;;;;;146.0
Nijkerk-G0267;41;13;2363;562.0;1135;2148;291;1813.0;57.0;243;393;1025.0;318;375.0;41.0;35.0;21.0;12.0;;;;;1508.0
Nijmegen-G0268;231;127;21888;21069.0;10341;2367;9513;1012.0;2982.0;3226;2150;101.0;1497;372.0;2794.0;1028.0;412.0;459.0;;;;;20529.0
Nistelrode-G0819;16;5;504;1544.0;201;83;111;5.0;18.0;81;40;2.0;159;2.0;23.0;68.0;8.0;17.0;;;;;513.0
Noorbeek-G0950;2;2;65;314.0;56;18;21;1.0;2.0;17;10;;6;;9.0;23.0;1.0;4.0;;;;;119.0
Noordeloos-G0574;0;7;131;2.0;116;275;10;45.0;4.0;5;13;146.0;13;28.0;3.0;;1.0;3.0;;;;;82.0
Noordoostpolder-G0171;33;16;3383;2442.0;2489;3356;729;1513.0;193.0;467;668;397.0;222;746.0;158.0;97.0;165.0;56.0;;;;;2264.0
Noordwijk-G0575;47;54;1873;2335.0;2352;1114;1200;583.0;256.0;393;617;143.0;201;161.0;177.0;238.0;67.0;26.0;;7.0;;;3202.0
Noordwijkerhout-G0576;41;28;709;2818.0;1610;209;343;185.0;85.0;300;335;10.0;138;16.0;95.0;211.0;34.0;22.0;;2.0;;;1334.0
Nootdorp-G0577;16;9;299;1069.0;537;156;113;155.0;30.0;81;114;14.0;47;27.0;24.0;49.0;5.0;10.0;;1.0;;;429.0
Norg-G0120;4;5;1121;53.0;785;381;72;157.0;47.0;142;157;15.0;137;45.0;30.0;2.0;45.0;22.0;;;;;582.0
Nuenen, Gerwen en Nederwetten-G0820;19;4;1006;2591.0;1093;254;281;58.0;98.0;359;264;4.0;161;28.0;128.0;85.0;12.0;50.0;;;;;1000.0
Nuland-G0821;11;6;220;1066.0;115;56;52;1.0;15.0;57;27;1.0;72;3.0;27.0;66.0;2.0;19.0;;;;;284.0
Numansdorp-G0578;19;14;1498;30.0;384;574;66;274.0;36.0;100;60;279.0;44;38.0;3.0;2.0;16.0;13.0;;;;;502.0
Nunspeet-G0302;18;18;1441;291.0;1652;1615;340;1725.0;93.0;232;467;2482.0;507;351.0;67.0;9.0;34.0;27.0;;;;;1156.0
Nuth-G0951;20;23;926;1443.0;449;83;200;19.0;114.0;193;88;4.0;93;6.0;39.0;318.0;12.0;31.0;;;;;929.0
Obbicht en Papenhoven-G0952;2;13;248;528.0;87;36;29;4.0;26.0;53;15;;40;;20.0;15.0;18.0;11.0;;;;;294.0
Obdam-G0429;5;6;132;950.0;184;29;69;6.0;7.0;43;44;;34;2.0;17.0;82.0;4.0;8.0;2.0;;;;233.0
Odoorn-G0122;36;29;3125;260.0;1091;556;100;509.0;359.0;165;199;9.0;154;176.0;58.0;8.0;39.0;72.0;;;;;1309.0
Oeffelt-G0822;4;8;160;582.0;97;27;23;2.0;14.0;35;10;;46;1.0;10.0;7.0;4.0;10.0;;;;;202.0
Oegstgeest-G0579;48;20;1219;1024.0;2901;907;626;511.0;112.0;459;851;51.0;47;186.0;163.0;108.0;37.0;20.0;;9.0;;;1376.0
Ohé en Laak-G0953;3;5;36;270.0;32;7;6;;4.0;11;4;;18;2.0;4.0;7.0;1.0;4.0;;;;;70.0
Oirsbeek-G0954;12;10;419;1068.0;245;41;130;3.0;51.0;92;52;;57;4.0;17.0;66.0;8.0;23.0;;;;;419.0
Oirschot-G0823;14;16;929;2914.0;700;181;264;23.0;86.0;212;142;7.0;234;27.0;112.0;243.0;17.0;21.0;;;;;295.0
Oisterwijk-G0824;32;31;1643;2626.0;1655;272;365;29.0;139.0;303;255;6.0;327;25.0;103.0;89.0;24.0;59.0;;;;;1524.0
Oldebroek-G0269;45;17;2452;240.0;959;1722;317;1097.0;105.0;258;216;1633.0;223;824.0;126.0;10.0;26.0;31.0;;;;;346.0
Oldehove-G0035;3;4;278;18.0;190;445;25;53.0;13.0;7;23;1.0;12;174.0;10.0;;1.0;3.0;;;;;110.0
Oldekerk-G0036;2;2;203;13.0;173;518;11;74.0;7.0;25;13;11.0;24;102.0;4.0;;12.0;14.0;;;;;139.0
Oldemarkt-G0172;1;5;368;212.0;135;125;39;532.0;11.0;16;32;1.0;34;50.0;6.0;3.0;12.0;8.0;;;;;230.0
Oldenzaal-G0173;51;16;2006;6150.0;1586;378;797;269.0;266.0;444;368;10.0;510;81.0;90.0;276.0;81.0;50.0;;;;;2197.0
Olst-G0174;16;5;1701;1210.0;811;189;129;307.0;61.0;167;148;28.0;99;28.0;28.0;39.0;47.0;34.0;;;;;597.0
Ommen-G0175;6;13;1199;793.0;983;2105;168;1955.0;28.0;129;257;82.0;322;780.0;31.0;31.0;47.0;31.0;;;;;950.0
Oost-, West- en Middelbeers-G0825;8;6;179;1215.0;180;22;48;6.0;11.0;24;17;5.0;49;1.0;11.0;23.0;1.0;6.0;;;;;385.0
Oostburg-G0692;29;41;3376;1853.0;2416;699;431;562.0;102.0;239;212;149.0;158;76.0;82.0;56.0;79.0;90.0;;;;;2242.0
Oostdongeradeel-G0084;26;3;322;12.0;244;2174;34;728.0;19.0;28;40;40.0;30;92.0;6.0;;5.0;6.0;;;;;354.0
Oosterbroek-G0033;8;16;1250;51.0;402;172;22;77.0;308.0;60;77;;69;72.0;90.0;9.0;51.0;22.0;;;;;642.0
Oosterhesselen-G0123;2;15;920;13.0;399;503;51;165.0;87.0;40;66;12.0;42;124.0;24.0;4.0;17.0;17.0;;;;;314.0
Oosterhout-G0826;126;69;4561;5871.0;2637;654;988;159.0;343.0;752;411;23.0;759;57.0;155.0;299.0;88.0;125.0;;;;;3981.0
Oostflakkee-G0580;37;10;1519;784.0;369;600;80;237.0;31.0;84;61;657.0;88;68.0;14.0;15.0;36.0;20.0;;;;;832.0
Ooststellingwerf-G0085;48;67;4486;213.0;1214;1872;231;954.0;683.0;268;365;74.0;341;293.0;336.0;13.0;93.0;74.0;;;;;1860.0
Oostvoorne-G0581;10;27;1303;81.0;1157;443;89;154.0;95.0;174;197;39.0;65;18.0;52.0;2.0;20.0;36.0;;;;;571.0
Oostzaan-G0431;13;24;1236;83.0;471;193;117;113.0;560.0;170;117;32.0;50;29.0;57.0;3.0;18.0;27.0;13.0;;;;491.0
Ootmarsum-G0176;3;1;188;1197.0;228;43;65;50.0;4.0;37;64;1.0;53;8.0;7.0;71.0;15.0;13.0;;;;;219.0
Ophemert-G0270;1;1;336;22.0;114;68;17;110.0;6.0;13;22;25.0;71;14.0;7.0;;2.0;5.0;;;;;157.0
Oploo, Sint Anthonis en Ledeacker-G0827;17;14;318;2376.0;274;71;142;11.0;14.0;76;60;2.0;88;4.0;34.0;62.0;6.0;24.0;;;;;478.0
Opmeer-G0432;6;16;406;1151.0;233;54;63;13.0;37.0;77;38;;36;6.0;34.0;94.0;11.0;4.0;4.0;;;;343.0
Opperdoes-G0433;1;16;115;3.0;77;346;30;80.0;12.0;9;19;64.0;16;48.0;8.0;;6.0;3.0;2.0;;;;113.0
Opsterland-G0086;57;47;4803;128.0;1370;2236;350;664.0;954.0;476;495;98.0;300;690.0;340.0;21.0;106.0;88.0;;;;;2070.0
Oss-G0828;79;35;4867;6881.0;2861;642;1287;101.0;422.0;1092;661;17.0;976;66.0;353.0;351.0;99.0;107.0;;;;;5676.0
Ossendrecht-G0829;9;9;556;857.0;334;73;88;25.0;35.0;93;67;2.0;91;4.0;15.0;39.0;9.0;20.0;;;;;802.0
Ottersum-G0955;9;12;290;1259.0;207;47;140;6.0;25.0;86;48;2.0;84;2.0;45.0;14.0;1.0;37.0;;;;;813.0
Ottoland-G0582;5;0;40;3.0;38;194;7;37.0;;6;2;79.0;10;22.0;3.0;;;4.0;;;;;39.0
Oud- en Nieuw-Gastel-G0831;26;48;834;1867.0;395;87;119;35.0;65.0;107;82;1.0;190;7.0;24.0;54.0;12.0;34.0;;;;;1165.0
Oud-Alblas-G0583;2;13;159;15.0;72;240;24;99.0;9.0;25;16;247.0;15;29.0;3.0;;1.0;1.0;;;;;154.0
Oud-Beijerland-G0584;22;40;1941;214.0;1052;1235;225;306.0;87.0;257;222;892.0;42;230.0;44.0;12.0;19.0;29.0;;;;;1080.0
Oude Pekela-G0038;6;34;2070;191.0;311;336;126;162.0;1231.0;66;59;18.0;46;66.0;15.0;13.0;44.0;44.0;;;;;745.0
Oudenbosch-G0830;31;38;1055;2021.0;528;136;190;52.0;64.0;114;110;3.0;200;3.0;53.0;111.0;34.0;40.0;;;;;1264.0
Oudendijk-G0435;3;2;98;24.0;74;11;7;3.0;14.0;12;9;;8;1.0;2.0;1.0;;4.0;;;;;47.0
Oudenhoorn-G0586;4;5;278;5.0;117;57;12;40.0;12.0;31;17;12.0;25;5.0;6.0;;4.0;4.0;;;;;184.0
Ouder-Amstel-G0437;19;14;918;1013.0;1001;419;314;337.0;154.0;290;293;59.0;69;45.0;88.0;43.0;23.0;26.0;1.0;;;;742.0
Ouderkerk aan den IJssel-G0587;29;7;654;22.0;429;477;47;54.0;26.0;65;51;766.0;34;47.0;12.0;1.0;7.0;11.0;;3.0;;;449.0
Oudewater-G0589;7;28;461;1097.0;371;376;95;174.0;29.0;82;93;106.0;35;65.0;24.0;17.0;13.0;12.0;;;;;458.0
Overasselt-G0271;1;15;156;1058.0;144;65;86;9.0;13.0;17;24;1.0;55;4.0;17.0;32.0;4.0;6.0;;;;;255.0
Pannerden-G0272;10;1;188;575.0;58;20;23;6.0;14.0;23;13;;97;1.0;9.0;38.0;3.0;4.0;;;;;258.0
Papendrecht-G0590;73;25;3490;455.0;1568;1576;501;447.0;283.0;764;409;744.0;84;195.0;119.0;17.0;40.0;31.0;;;;;2217.0
Peize-G0124;8;16;1036;37.0;522;86;66;45.0;114.0;104;135;1.0;133;17.0;38.0;4.0;25.0;23.0;;;;;515.0
Piershil-G0591;2;7;239;4.0;79;64;14;53.0;7.0;25;15;107.0;6;5.0;3.0;;8.0;7.0;;;;;109.0
Pijnacker-G0594;55;0;1256;1655.0;1421;822;498;898.0;64.0;351;457;300.0;83;207.0;72.0;42.0;24.0;26.0;;1.0;;;1080.0
Polsbroek-G0338;0;7;58;106.0;79;156;2;75.0;3.0;9;5;84.0;27;4.0;1.0;1.0;;3.0;;;;;85.0
Poortugal-G0592;37;34;4368;444.0;784;811;426;386.0;567.0;623;264;197.0;77;100.0;128.0;19.0;38.0;21.0;;;;;2338.0
Posterholt-G0956;5;26;336;872.0;146;24;88;3.0;46.0;52;21;2.0;84;2.0;48.0;65.0;5.0;21.0;;;;;534.0
Prinsenbeek-G0832;27;27;970;1811.0;856;158;199;31.0;70.0;159;114;7.0;210;12.0;39.0;50.0;17.0;40.0;;;;;873.0
Purmerend-G0439;52;30;4931;1499.0;2612;703;1044;275.0;1503.0;1269;926;38.0;119;116.0;329.0;70.0;41.0;36.0;29.0;;;;2179.0
Putte-G0833;12;4;320;381.0;200;38;47;4.0;23.0;58;49;;48;1.0;8.0;20.0;4.0;9.0;;;;;580.0
Putten-G0273;25;26;1443;199.0;1226;1313;203;1844.0;99.0;175;353;1733.0;336;342.0;44.0;17.0;29.0;31.0;;;;;1300.0
Puttershoek-G0593;20;0;1054;67.0;356;319;74;241.0;30.0;100;48;192.0;19;44.0;16.0;3.0;13.0;13.0;;;;;410.0
Raalte-G0177;27;15;1330;6391.0;768;327;310;796.0;50.0;235;203;7.0;354;55.0;68.0;233.0;35.0;37.0;;;;;1556.0
Raamsdonk-G0834;16;40;1110;1857.0;494;278;226;341.0;112.0;168;65;67.0;254;28.0;57.0;93.0;19.0;42.0;;;;;1076.0
Rauwerderhem-G0087;9;1;533;162.0;231;178;54;71.0;24.0;47;67;4.0;27;10.0;28.0;15.0;6.0;9.0;;;;;181.0
Ravenstein-G0835;18;22;717;1965.0;335;97;168;20.0;36.0;108;44;;163;9.0;40.0;61.0;12.0;33.0;;;;;684.0
Reeuwijk-G0595;15;14;833;706.0;1125;539;165;170.0;56.0;219;239;243.0;64;68.0;54.0;66.0;22.0;29.0;;4.0;;;575.0
Reimerswaal-G0703;31;11;2301;562.0;1171;1043;299;1188.0;85.0;210;190;2435.0;224;314.0;42.0;20.0;33.0;57.0;;;;;2007.0
Renkum-G0274;73;43;4931;2538.0;4259;2436;1111;1423.0;298.0;709;1129;307.0;313;390.0;278.0;131.0;256.0;61.0;;;;;3615.0
Renswoude-G0339;0;0;186;32.0;222;195;35;316.0;14.0;61;99;148.0;39;40.0;8.0;15.0;10.0;5.0;;;;;255.0
Reusel-G0836;10;2;398;1713.0;292;78;96;3.0;27.0;95;42;;103;7.0;27.0;64.0;13.0;25.0;;;;;799.0
Rheden-G0275;101;38;10179;3245.0;5248;2786;1406;1946.0;515.0;1014;1770;135.0;297;537.0;339.0;211.0;218.0;96.0;;;;;4397.0
Rhenen-G0340;32;60;2973;304.0;1356;790;272;1062.0;94.0;280;339;1238.0;176;213.0;77.0;21.0;66.0;28.0;;;;;1381.0
Rhoon-G0596;28;0;687;306.0;707;455;112;474.0;51.0;135;124;69.0;37;50.0;30.0;6.0;20.0;21.0;;;;;527.0
Ridderkerk-G0597;39;98;8501;735.0;2724;3428;940;1541.0;633.0;1415;663;2610.0;164;552.0;153.0;50.0;99.0;71.0;;;;;4083.0
Riethoven-G0837;3;0;81;560.0;189;29;39;6.0;7.0;41;41;1.0;23;1.0;11.0;11.0;2.0;5.0;;;;;133.0
Rijnsaterwoude-G0601;5;1;104;124.0;103;78;28;60.0;20.0;28;21;54.0;20;22.0;2.0;4.0;2.0;;;;;;80.0
Rijnsburg-G0602;21;16;494;128.0;481;2154;104;999.0;21.0;80;143;205.0;43;402.0;28.0;8.0;11.0;12.0;;;;;603.0
Rijsbergen-G0841;19;13;354;1101.0;256;77;58;11.0;18.0;51;42;1.0;173;12.0;18.0;25.0;15.0;12.0;;;;;730.0
Rijssen-G0178;15;20;1524;669.0;461;1177;148;803.0;46.0;115;168;4417.0;199;297.0;18.0;25.0;54.0;17.0;;;;;1241.0
Rijswijk-G0603;80;43;7060;4006.0;7812;2422;1561;1020.0;565.0;1937;2837;279.0;226;425.0;427.0;303.0;116.0;84.0;;;;;4804.0
Rijswijk (NB)-G0842;0;0;110;6.0;26;498;7;64.0;4.0;10;5;24.0;10;8.0;1.0;;;;;;;;51.0
Rockanje-G0598;12;9;936;58.0;739;480;81;122.0;139.0;153;104;24.0;94;19.0;33.0;1.0;23.0;28.0;;;;;580.0
Roden-G0125;24;10;2870;112.0;1385;1206;241;394.0;256.0;405;405;17.0;283;219.0;87.0;7.0;21.0;32.0;;;;;1078.0
Roermond-G0957;94;138;3336;6476.0;2953;439;865;77.0;316.0;591;496;10.0;458;44.0;213.0;277.0;83.0;177.0;;;;;6858.0
Roggel-G0958;6;14;179;1127.0;159;35;55;4.0;13.0;30;25;;70;;23.0;30.0;5.0;10.0;;;;;528.0
Rolde-G0126;12;10;1222;70.0;1038;196;81;72.0;19.0;119;144;2.0;66;22.0;53.0;6.0;44.0;36.0;;;;;511.0
Roosendaal en Nispen-G0838;188;167;5443;9145.0;3865;904;1034;214.0;450.0;962;812;30.0;897;69.0;296.0;323.0;131.0;174.0;;;;;7533.0
Roosteren-G0959;3;3;107;452.0;73;10;16;;10.0;26;14;;9;1.0;5.0;5.0;;6.0;;;;;177.0
Rosmalen-G0839;33;52;1508;3567.0;1624;302;680;44.0;115.0;384;311;8.0;303;38.0;126.0;200.0;19.0;73.0;;;;;2611.0
Rossum-G0276;3;0;478;375.0;161;115;35;179.0;16.0;36;25;12.0;59;11.0;10.0;15.0;2.0;11.0;;;;;252.0
Rotterdam-G0599;1378;914;171735;24478.0;39566;26838;16318;11795.0;29067.0;19175;11581;6885.0;3508;4716.0;5458.0;2089.0;1818.0;1525.0;;400.0;;;95136.0
Rozenburg-G0600;17;17;2138;238.0;699;821;287;533.0;274.0;456;139;84.0;73;168.0;64.0;4.0;17.0;13.0;;;;;1287.0
Rozendaal-G0277;2;1;93;38.0;337;79;40;68.0;8.0;31;86;2.0;5;12.0;10.0;5.0;3.0;;;;;;68.0
Rucphen-G0840;93;33;2091;3775.0;590;198;135;42.0;137.0;171;126;4.0;830;15.0;63.0;83.0;27.0;72.0;;;;;3419.0
Ruinen-G0127;17;13;1306;39.0;977;421;57;168.0;26.0;98;98;9.0;196;48.0;26.0;3.0;38.0;56.0;;;;;546.0
Ruinerwold-G0128;5;8;527;10.0;563;367;22;113.0;7.0;48;59;6.0;57;61.0;6.0;;24.0;28.0;;;;;209.0
Ruurlo-G0278;12;14;1128;929.0;930;273;83;120.0;18.0;96;100;3.0;205;16.0;18.0;12.0;101.0;17.0;;;;;606.0
Sas van Gent-G0704;23;21;1339;1341.0;674;116;247;47.0;85.0;120;70;31.0;115;31.0;29.0;39.0;28.0;53.0;;;;;1342.0
Sassenheim-G0604;17;26;859;1825.0;1456;1113;323;429.0;86.0;257;350;59.0;74;101.0;70.0;106.0;44.0;14.0;;6.0;;;1036.0
Schaesberg-G0960;52;79;2178;2584.0;986;182;494;52.0;436.0;591;214;9.0;169;30.0;101.0;121.0;28.0;58.0;;;;;2314.0
Schagen-G0441;11;26;1434;817.0;1233;254;224;81.0;171.0;425;242;4.0;54;31.0;119.0;49.0;29.0;19.0;12.0;;;;769.0
Schaijk-G0843;9;15;409;1706.0;315;77;127;8.0;16.0;101;34;;161;5.0;49.0;54.0;13.0;17.0;;;;;769.0
Scheemda-G0039;21;22;1864;33.0;413;663;54;443.0;655.0;63;85;8.0;38;128.0;27.0;9.0;34.0;31.0;;;;;515.0
Schelluinen-G0605;3;0;195;9.0;98;73;19;26.0;15.0;32;14;55.0;11;15.0;5.0;1.0;;;;;;;117.0
Schermer-G0458;4;8;614;403.0;364;199;89;40.0;66.0;115;77;13.0;44;7.0;51.0;40.0;6.0;16.0;8.0;;;;323.0
Scherpenzeel-G0279;5;7;859;76.0;658;406;82;628.0;11.0;108;149;456.0;77;130.0;18.0;7.0;15.0;9.0;;;;;462.0
Schiedam-G0606;155;177;19189;6017.0;4843;3092;2315;1701.0;3450.0;2540;1321;581.0;393;531.0;680.0;414.0;190.0;178.0;;;;;9281.0
Schiermonnikoog-G0088;1;0;120;1.0;81;137;16;46.0;11.0;17;31;2.0;4;16.0;2.0;;3.0;4.0;;;;;63.0
Schijndel-G0844;45;36;1786;3780.0;839;209;448;29.0;113.0;349;168;1.0;451;14.0;85.0;135.0;61.0;64.0;;;;;2076.0
Schimmert-G0961;6;10;207;881.0;148;41;49;1.0;16.0;53;33;;33;1.0;12.0;36.0;3.0;2.0;;;;;327.0
Schinnen-G0962;24;6;535;1467.0;298;54;125;12.0;77.0;120;46;;48;2.0;45.0;188.0;10.0;25.0;;;;;752.0
Schinveld-G0963;23;25;355;984.0;148;41;567;7.0;52.0;61;27;;52;1.0;11.0;135.0;30.0;20.0;;;;;557.0
Schipluiden-G0607;8;12;327;1467.0;619;530;215;363.0;38.0;98;109;49.0;20;64.0;43.0;67.0;14.0;12.0;;;;;460.0
Schoonebeek-G0129;8;6;969;1079.0;223;525;105;592.0;70.0;63;52;4.0;95;26.0;21.0;37.0;17.0;19.0;;;;;777.0
Schoonhoven-G0608;19;21;1300;512.0;816;766;282;270.0;65.0;240;217;288.0;41;103.0;73.0;26.0;16.0;18.0;;2.0;;;806.0
Schoonrewoerd-G0609;1;15;132;4.0;61;183;18;79.0;3.0;14;11;196.0;43;20.0;1.0;1.0;4.0;3.0;;;;;85.0
Schoorl-G0444;21;9;853;666.0;625;97;143;46.0;94.0;166;199;;57;21.0;66.0;42.0;22.0;10.0;6.0;;;;482.0
Sevenum-G0964;11;9;263;2058.0;320;48;90;4.0;24.0;59;42;1.0;45;2.0;52.0;72.0;6.0;7.0;;;;;564.0
's-Graveland-G0390;29;6;833;735.0;937;427;268;334.0;126.0;204;322;96.0;63;127.0;74.0;37.0;35.0;21.0;4.0;;;;801.0
's-Gravendeel-G0517;15;17;1379;45.0;418;744;67;429.0;54.0;107;75;278.0;46;86.0;21.0;1.0;12.0;33.0;;;;;577.0
's-Gravenhage-G0518;865;643;96218;30473.0;57593;21791;12317;11075.0;14668.0;16253;23186;3089.0;2902;4012.0;4849.0;2078.0;1767.0;1097.0;;;574.0;236.0;78084.0
's-Gravenmoer-G0787;4;0;128;54.0;59;389;28;144.0;5.0;16;10;29.0;27;39.0;4.0;4.0;2.0;4.0;;;;;172.0
's-Gravenzande-G0519;24;26;1629;535.0;1467;1515;177;1081.0;55.0;246;343;414.0;53;191.0;33.0;10.0;33.0;27.0;;;;;1133.0
's-Hertogenbosch-G0796;185;119;10541;12634.0;6037;1366;3485;328.0;1123.0;1823;1276;57.0;1119;267.0;936.0;756.0;176.0;225.0;;;;;13002.0
Sijbekarspel-G0447;0;5;207;307.0;138;25;42;2.0;18.0;61;53;;14;1.0;23.0;21.0;1.0;7.0;;;;;128.0
Simpelveld-G0965;27;27;522;1573.0;456;67;132;7.0;100.0;156;90;4.0;135;3.0;16.0;51.0;9.0;12.0;;;;;644.0
Sint Geertruid-G0966;2;5;78;446.0;51;12;20;1.0;6.0;10;14;1.0;28;2.0;6.0;27.0;2.0;4.0;;;;;121.0
Sint Maarten-G0445;7;3;262;155.0;151;166;36;6.0;35.0;60;43;;17;13.0;36.0;6.0;6.0;7.0;4.0;;;;154.0
Sint Odiliënberg-G0967;7;20;243;720.0;224;52;48;2.0;18.0;36;33;;57;1.0;13.0;74.0;8.0;10.0;;;;;424.0
Sint Pancras-G0446;6;14;523;309.0;365;276;116;152.0;108.0;134;71;15.0;67;76.0;49.0;17.0;22.0;14.0;5.0;;;;405.0
Sint Philipsland-G0712;5;2;173;5.0;77;131;17;99.0;11.0;9;17;661.0;11;41.0;;;5.0;8.0;;;;;173.0
Sint-Michielsgestel-G0845;16;17;940;2202.0;786;187;317;36.0;90.0;208;175;9.0;253;28.0;70.0;136.0;21.0;45.0;;;;;1277.0
Sint-Oedenrode-G0846;14;20;1099;3713.0;613;219;431;29.0;104.0;222;124;1.0;245;9.0;72.0;105.0;40.0;47.0;;;;;1082.0
Sittard-G0968;91;111;3480;6719.0;2141;406;883;66.0;533.0;784;412;16.0;346;37.0;284.0;285.0;57.0;116.0;;;;;5736.0
Sleen-G0130;21;19;2131;47.0;788;609;60;300.0;290.0;93;73;8.0;80;44.0;26.0;3.0;13.0;26.0;;;;;649.0
Slenaken-G0969;1;1;41;155.0;31;14;6;;6.0;13;17;;10;;2.0;13.0;;4.0;;;;;134.0
Sliedrecht-G0610;90;0;4908;189.0;1399;1420;334;776.0;334.0;645;335;2141.0;122;310.0;72.0;23.0;25.0;34.0;;;;;2130.0
Slochteren-G0040;22;33;2633;98.0;1170;999;92;436.0;369.0;170;178;17.0;239;773.0;140.0;15.0;63.0;48.0;;;;;1419.0
Sloten (F)-G0089;4;0;68;30.0;46;65;6;116.0;6.0;9;17;3.0;4;22.0;3.0;2.0;3.0;2.0;;;;;49.0
Sluis-G0713;6;13;481;395.0;427;79;64;99.0;14.0;30;37;4.0;53;16.0;15.0;10.0;12.0;9.0;;;;;393.0
Smallingerland-G0090;72;34;7807;454.0;1715;5940;818;1181.0;1093.0;726;737;236.0;258;1239.0;333.0;26.0;115.0;56.0;;;;;2894.0
Smilde-G0131;10;8;1329;16.0;399;1149;74;658.0;53.0;98;102;4.0;92;144.0;31.0;1.0;33.0;31.0;;;;;509.0
Sneek-G0091;84;49;4555;1200.0;1583;2831;775;1623.0;773.0;547;656;79.0;197;321.0;160.0;71.0;109.0;52.0;;;;;2393.0
Snelrewaard-G0341;4;0;21;192.0;62;33;6;26.0;;4;2;28.0;10;5.0;;2.0;;2.0;;;;;50.0
Soest-G0342;103;76;3441;3286.0;5432;2241;913;750.0;388.0;913;1530;325.0;324;445.0;339.0;161.0;129.0;72.0;;;;;3998.0
Someren-G0847;22;33;870;4061.0;617;171;200;45.0;62.0;153;123;8.0;318;9.0;66.0;134.0;27.0;31.0;;;;;1723.0
Son en Breugel-G0848;14;14;719;2236.0;1725;232;337;47.0;51.0;292;479;2.0;125;43.0;84.0;67.0;11.0;26.0;;;;;959.0
Spaubeek-G0970;16;9;313;698.0;260;23;64;3.0;40.0;58;39;;54;5.0;20.0;69.0;5.0;15.0;;;;;532.0
Spijkenisse-G0612;36;19;5844;556.0;1765;1302;674;491.0;590.0;1010;410;207.0;117;138.0;127.0;15.0;31.0;53.0;;;;;2500.0
Sprang-Capelle-G0849;13;9;646;144.0;360;853;69;700.0;44.0;83;109;535.0;309;107.0;12.0;14.0;15.0;18.0;;;;;753.0
Stad Delden-G0179;11;3;589;1448.0;587;175;161;99.0;29.0;104;232;6.0;79;14.0;24.0;61.0;35.0;20.0;;;;;379.0
Stadskanaal-G0037;77;49;5847;1433.0;1367;3014;398;2176.0;1273.0;429;372;102.0;307;936.0;100.0;125.0;121.0;117.0;;;;;3794.0
Standdaarbuiten-G0850;6;12;183;699.0;167;36;25;10.0;12.0;37;12;;34;2.0;9.0;22.0;2.0;15.0;;;;;209.0
Staphorst-G0180;9;16;727;28.0;497;881;56;520.0;24.0;99;98;2017.0;485;591.0;13.0;1.0;30.0;35.0;;;;;595.0
Stavoren-G0092;8;1;96;1.0;42;102;37;153.0;3.0;13;16;3.0;11;13.0;10.0;;9.0;6.0;;;;;99.0
