RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;Politieke Partij Radikalen (PPR);CHU;Communistische Partij van Nederland;D66;Democratisch Socialisten '70;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij;@abs
Graft-De Rijp-G0365;0;0;671;577.0;418;75;133;28.0;181.0;165;137;7.0;42;6.0;70.0;29.0;13.0;32.0;14.0;;;;381.0
Gramsbergen-G0157;9;5;982;71.0;246;819;44;699.0;19.0;47;55;7.0;96;120.0;17.0;5.0;10.0;6.0;;;;;321.0
Grathem-G0909;0;13;91;838.0;132;17;36;1.0;9.0;20;12;1.0;43;1.0;6.0;29.0;2.0;15.0;;;;;274.0
Grave-G0786;10;12;622;1697.0;640;149;431;40.0;54.0;137;107;3.0;96;9.0;61.0;59.0;14.0;30.0;;;;;1099.0
Grevenbicht-G0910;8;16;348;635.0;119;29;40;18.0;19.0;67;18;1.0;56;3.0;13.0;17.0;15.0;8.0;;;;;312.0
Grijpskerk-G0016;4;3;324;14.0;232;1248;72;129.0;13.0;27;33;9.0;14;170.0;17.0;1.0;4.0;6.0;;;;;212.0
Groenlo-G0240;0;0;574;1988.0;608;123;273;67.0;41.0;116;95;12.0;107;34.0;42.0;142.0;66.0;24.0;;;;;737.0
Groesbeek-G0241;44;33;2098;3608.0;889;282;567;124.0;170.0;287;136;14.0;318;18.0;130.0;144.0;36.0;78.0;;;;;2451.0
Groningen-G0014;290;181;36482;3837.0;13320;10642;6707;3864.0;9959.0;4456;5435;249.0;822;6130.0;2759.0;456.0;1051.0;295.0;;;;;17941.0
Gronsveld-G0911;3;6;234;1031.0;234;31;65;3.0;19.0;45;44;2.0;58;;20.0;96.0;9.0;19.0;;;;;385.0
Groot-Ammers-G0520;8;8;283;6.0;195;386;25;71.0;14.0;49;29;263.0;30;48.0;6.0;1.0;5.0;4.0;;;;;219.0
Grootebroek-G0391;26;0;517;1565.0;328;80;255;9.0;115.0;108;81;1.0;69;3.0;54.0;158.0;6.0;12.0;6.0;;;;638.0
Grootegast-G0015;14;21;842;16.0;281;2281;82;328.0;79.0;50;54;41.0;290;343.0;26.0;6.0;11.0;15.0;;;;;652.0
Grubbenvorst-G0912;9;5;295;1673.0;426;40;132;5.0;14.0;61;80;;71;1.0;24.0;68.0;5.0;6.0;;;;;539.0
Gulpen-G0913;8;22;425;1124.0;253;43;57;10.0;32.0;72;32;1.0;53;7.0;12.0;81.0;10.0;20.0;;;;;658.0
Haaften-G0242;7;4;894;29.0;192;310;34;315.0;13.0;49;25;195.0;24;50.0;5.0;2.0;3.0;5.0;;;;;244.0
Haaksbergen-G0158;30;31;1850;5136.0;1236;262;492;137.0;144.0;325;344;4.0;555;28.0;70.0;137.0;60.0;47.0;;;;;1409.0
Haaren-G0788;6;13;225;1280.0;263;64;61;7.0;21.0;51;40;2.0;89;;14.0;33.0;7.0;17.0;;;;;437.0
Haarlem-G0392;550;270;28416;14176.0;17139;6843;5587;2152.0;6517.0;5447;5610;302.0;1554;977.0;2636.0;1251.0;600.0;399.0;169.0;;;;20771.0
Haarlemmerliede en Spaarnwoude-G0393;13;4;361;669.0;432;195;116;57.0;107.0;75;96;14.0;40;29.0;41.0;43.0;12.0;13.0;2.0;;;;364.0
Haarlemmermeer-G0394;173;76;6961;4580.0;6504;4662;1596;2110.0;1532.0;1828;1754;554.0;507;673.0;503.0;318.0;186.0;141.0;24.0;;;;5854.0
Haastrecht-G0521;11;3;407;671.0;380;275;116;55.0;23.0;91;84;89.0;30;35.0;35.0;15.0;8.0;9.0;;;;;307.0
Haelen-G0914;12;15;325;1379.0;427;42;88;7.0;20.0;79;74;2.0;53;4.0;22.0;90.0;9.0;11.0;;;;;748.0
Hagestein-G0522;5;0;83;179.0;98;56;19;78.0;3.0;23;14;120.0;11;4.0;2.0;6.0;5.0;4.0;;;;;73.0
Halsteren-G0789;35;43;1145;1559.0;667;365;211;128.0;115.0;260;190;28.0;279;20.0;62.0;74.0;25.0;47.0;;;;;1873.0
Haps-G0790;6;2;166;873.0;94;33;52;2.0;6.0;24;12;1.0;40;;16.0;11.0;7.0;10.0;;;;;211.0
Hardenberg-G0160;42;20;2982;1234.0;906;3732;260;2563.0;65.0;186;188;48.0;432;2082.0;57.0;36.0;54.0;47.0;;;;;1446.0
Harderwijk-G0243;51;14;2140;592.0;2617;2650;563;2646.0;151.0;417;650;1182.0;405;664.0;77.0;18.0;30.0;55.0;;;;;2018.0
Hardinxveld-Giessendam-G0523;32;50;2357;82.0;707;1092;139;467.0;144.0;277;170;1883.0;130;552.0;32.0;2.0;29.0;29.0;;;;;1418.0
Haren-G0017;26;8;2436;306.0;2901;1712;405;717.0;164.0;495;851;30.0;155;384.0;198.0;32.0;119.0;57.0;;;;;1204.0
Harenkarspel-G0395;22;2;458;1311.0;335;121;101;16.0;77.0;95;89;2.0;71;20.0;48.0;38.0;15.0;12.0;2.0;;;;452.0
Harlingen-G0072;39;29;3021;600.0;779;779;252;727.0;272.0;259;257;21.0;63;387.0;80.0;49.0;37.0;25.0;;;;;1374.0
Harmelen-G0318;33;0;320;722.0;516;368;134;309.0;31.0;101;120;105.0;73;40.0;20.0;46.0;15.0;16.0;;;;;590.0
Haskerland-G0073;40;9;2478;730.0;654;1012;350;1155.0;186.0;192;225;58.0;150;145.0;71.0;55.0;40.0;48.0;;;;;1183.0
Hasselt-G0161;13;10;547;105.0;208;626;61;402.0;17.0;52;63;276.0;60;380.0;11.0;27.0;23.0;14.0;;;;;384.0
Hattem-G0244;20;15;2085;231.0;797;728;122;1112.0;92.0;164;233;90.0;47;744.0;20.0;10.0;15.0;7.0;;;;;565.0
Havelte-G0117;2;20;1519;48.0;815;166;73;136.0;30.0;83;127;5.0;110;19.0;46.0;1.0;16.0;30.0;;;;;394.0
Hazerswoude-G0524;9;10;609;1124.0;850;843;211;408.0;72.0;152;204;243.0;53;90.0;54.0;77.0;10.0;19.0;;3.0;;;726.0
Hedel-G0245;6;5;310;430.0;180;163;57;99.0;19.0;42;31;210.0;40;27.0;10.0;27.0;5.0;10.0;;;;;321.0
Heel en Panheel-G0915;6;8;231;933.0;220;34;83;8.0;14.0;79;38;1.0;30;3.0;37.0;21.0;14.0;14.0;;;;;1064.0
Heemskerk-G0396;36;37;3687;3463.0;1826;803;1409;354.0;681.0;864;594;24.0;184;153.0;330.0;273.0;40.0;62.0;81.0;;;;2303.0
Heemstede-G0397;71;34;2074;2942.0;5710;1283;834;423.0;298.0;647;1243;36.0;154;223.0;312.0;210.0;89.0;34.0;15.0;;;;2391.0
Heenvliet-G0525;0;10;606;44.0;279;110;62;62.0;94.0;114;71;28.0;13;9.0;25.0;1.0;7.0;7.0;;;;;231.0
Heerde-G0246;30;7;3090;96.0;965;1347;161;1747.0;50.0;179;270;485.0;357;520.0;69.0;15.0;55.0;25.0;;;;;1179.0
Heerenveen-G0074;94;59;7004;492.0;2298;2083;623;1108.0;1993.0;716;798;59.0;399;372.0;354.0;59.0;152.0;100.0;;;;;3090.0
Heerewaarden-G0247;3;2;402;18.0;117;43;11;20.0;9.0;18;31;6.0;15;1.0;3.0;2.0;2.0;6.0;;;;;82.0
Heerhugowaard-G0398;25;26;2255;2940.0;1487;692;682;134.0;310.0;644;557;13.0;88;55.0;197.0;136.0;19.0;30.0;19.0;;;;1497.0
Heerjansdam-G0526;7;11;524;26.0;281;273;95;235.0;28.0;98;46;90.0;22;24.0;10.0;2.0;7.0;7.0;;;;;269.0
Heerlen-G0917;210;261;9495;12229.0;4334;1023;2026;330.0;2657.0;1934;1072;25.0;549;128.0;459.0;659.0;134.0;204.0;;;;;11460.0
Heesch-G0791;14;18;703;1977.0;356;84;155;12.0;39.0;102;51;2.0;149;4.0;42.0;130.0;17.0;28.0;;;;;874.0
Heeswijk-Dinther-G0792;10;11;441;2205.0;304;102;116;24.0;28.0;81;53;1.0;110;3.0;37.0;56.0;19.0;16.0;;;;;554.0
Heeze-G0793;23;17;524;1839.0;643;146;191;37.0;57.0;153;100;2.0;156;15.0;35.0;72.0;17.0;13.0;;;;;848.0
Hei- en Boeicop-G0527;2;2;55;;39;163;6;60.0;;3;5;129.0;24;7.0;1.0;;;1.0;;;;;43.0
Heiloo-G0399;48;38;2128;2411.0;2789;595;655;198.0;264.0;587;707;11.0;123;64.0;187.0;161.0;48.0;43.0;30.0;;;;1455.0
Heinenoord-G0528;6;17;530;25.0;232;269;59;142.0;19.0;65;36;147.0;32;57.0;14.0;;7.0;8.0;;;;;239.0
Heino-G0162;11;4;482;1148.0;313;176;99;517.0;14.0;58;115;19.0;70;115.0;42.0;37.0;27.0;11.0;;;;;352.0
Helden-G0918;31;26;647;4385.0;594;128;169;11.0;31.0;129;90;;166;5.0;63.0;129.0;9.0;30.0;;;;;1664.0
Hellendoorn-G0163;43;45;3055;3506.0;1086;2842;666;3420.0;144.0;326;414;234.0;565;781.0;74.0;88.0;85.0;62.0;;;;;1954.0
