RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;@abs
Pijnacker-G0594;0;;1152.0;615;516.0;58.0;834.0;155.0;237.0;
Poederoijen-G1155;0;;4.0;140;241.0;2.0;35.0;9.0;263.0;
Polsbroek-G0338;0;;80.0;50;217.0;5.0;53.0;17.0;57.0;
Poortugal-G0592;0;;115.0;542;364.0;68.0;183.0;131.0;60.0;
Poortvliet-G0700;0;;4.0;35;155.0;9.0;172.0;54.0;451.0;
Posterholt-G0956;0;;919.0;98;2.0;4.0;3.0;;;
Purmerend-G0439;0;;1008.0;1456;202.0;665.0;49.0;321.0;5.0;
Putte-G0833;0;;621.0;126;13.0;7.0;7.0;12.0;1.0;
Putten-G0273;0;;106.0;629;831.0;260.0;2347.0;149.0;353.0;
Puttershoek-G0593;0;;38.0;522;293.0;9.0;79.0;152.0;171.0;
Raalte-G0177;0;;3978.0;699;94.0;13.0;582.0;141.0;3.0;
Raamsdonk-G0834;0;;2361.0;184;167.0;21.0;443.0;31.0;78.0;
Rauwerderhem-G0087;0;;191.0;890;190.0;83.0;99.0;80.0;1.0;
Ravenstein-G0835;0;;2268.0;77;3.0;5.0;3.0;10.0;1.0;
Reeuwijk-G0595;0;;708.0;499;611.0;99.0;123.0;295.0;156.0;
Renesse-G1159;0;;6.0;105;59.0;7.0;81.0;187.0;26.0;
Renkum-G0274;0;;2357.0;3019;1925.0;728.0;1573.0;908.0;224.0;
Renswoude-G0339;0;;39.0;192;312.0;12.0;229.0;38.0;166.0;
Retranchement-G0701;0;;11.0;199;38.0;10.0;71.0;80.0;2.0;
Reusel-G0836;0;;1211.0;28;4.0;3.0;1.0;1.0;;
Rheden-G0275;0;;2758.0;6290;1773.0;1034.0;2527.0;1526.0;40.0;
Rhenen-G0340;0;;157.0;1773;813.0;128.0;904.0;157.0;870.0;
Rhoon-G0596;0;;196.0;263;341.0;48.0;472.0;97.0;28.0;
Ridderkerk-G0597;0;;68.0;2994;2699.0;145.0;1086.0;507.0;1569.0;
Riethoven-G0837;0;;390.0;5;;;;;;
Rietveld-G1160;0;;66.0;24;89.0;2.0;99.0;5.0;11.0;
Rijnsaterwoude-G0601;0;;147.0;38;80.0;;30.0;14.0;45.0;
Rijnsburg-G0602;0;;81.0;159;1347.0;3.0;933.0;27.0;38.0;
Rijsbergen-G0841;0;;1289.0;61;24.0;3.0;11.0;3.0;;
Rijssen-G0178;0;;600.0;906;970.0;52.0;198.0;93.0;2610.0;
Rijswijk-G0603;0;;3554.0;3171;1813.0;671.0;962.0;1774.0;115.0;
Rijswijk (NB)-G0842;0;;4.0;68;135.0;;144.0;2.0;4.0;
Rilland-Bath-G0702;0;;150.0;217;126.0;12.0;435.0;80.0;186.0;
Ritthem-G1163;0;;2.0;26;21.0;4.0;76.0;2.0;4.0;
Rockanje-G0598;0;;23.0;526;330.0;386.0;67.0;344.0;6.0;
Roden-G0125;0;;17.0;1295;534.0;406.0;313.0;483.0;1.0;
Roermond-G0957;0;;7455.0;1674;142.0;337.0;46.0;138.0;26.0;
Roggel-G0958;0;;1138.0;5;1.0;1.0;;;;
Rolde-G0126;0;;14.0;996;80.0;25.0;41.0;637.0;1.0;
Roosendaal en Nispen-G0838;0;;11515.0;1537;335.0;173.0;138.0;106.0;23.0;
Roosteren-G0959;0;;518.0;38;4.0;;1.0;;1.0;
Rosmalen-G0839;0;;2645.0;227;15.0;15.0;11.0;9.0;3.0;
Rossum-G0276;0;;246.0;193;149.0;4.0;142.0;60.0;10.0;
Rotterdam-G0599;0;;48382.0;132393;44600.0;62137.0;16078.0;25252.0;6812.0;
Rozenburg-G0600;0;;4.0;201;518.0;3.0;658.0;116.0;24.0;
Rozendaal-G0277;0;;12.0;113;24.0;4.0;46.0;55.0;;
Rucphen-G0840;0;;3802.0;125;76.0;8.0;18.0;3.0;2.0;
Ruinen-G0127;0;;31.0;1009;392.0;74.0;240.0;781.0;3.0;
Ruinerwold-G0128;0;;12.0;591;420.0;9.0;150.0;420.0;1.0;
Ruurlo-G0278;0;;549.0;970;199.0;54.0;61.0;603.0;5.0;
Ruwiel-G1164;0;;58.0;8;99.0;;51.0;1.0;75.0;
Sappemeer-G1168;0;;414.0;1233;361.0;1401.0;107.0;336.0;1.0;
Sas van Gent-G0704;0;;848.0;557;21.0;58.0;52.0;103.0;7.0;
Sassenheim-G0604;0;;1555.0;306;801.0;10.0;441.0;61.0;41.0;
Schaesberg-G0960;0;;2463.0;508;32.0;458.0;52.0;10.0;8.0;
Schagen-G0441;0;;591.0;1063;108.0;305.0;59.0;379.0;1.0;
Schaijk-G0843;0;;1670.0;19;5.0;1.0;1.0;3.0;;
Schalkwijk-G1169;0;;626.0;12;49.0;7.0;36.0;5.0;5.0;
Scheemda-G0039;0;;37.0;1496;675.0;567.0;701.0;284.0;2.0;
Schellinkhout-G0442;0;;19.0;198;13.0;30.0;7.0;53.0;1.0;
Schelluinen-G0605;0;;;87;44.0;2.0;6.0;40.0;69.0;
Schermerhorn-G0443;0;;199.0;239;110.0;42.0;10.0;20.0;1.0;
Scherpenisse-G0705;0;;1.0;99;68.0;10.0;66.0;63.0;387.0;
Scherpenzeel-G0279;0;;7.0;353;232.0;20.0;381.0;62.0;107.0;
Schiedam-G0606;0;;9275.0;12213;4339.0;4070.0;3284.0;1683.0;462.0;
Schiermonnikoog-G0088;0;;13.0;204;120.0;7.0;51.0;20.0;1.0;
Schijndel-G0844;0;;4266.0;228;19.0;53.0;13.0;9.0;1.0;
Schimmert-G0961;0;;884.0;29;;1.0;;1.0;;
Schinnen-G0962;0;;1671.0;130;7.0;57.0;1.0;3.0;2.0;
Schinveld-G0963;0;;1311.0;91;18.0;30.0;4.0;1.0;1.0;
Schipluiden-G0607;0;;1185.0;62;374.0;13.0;417.0;14.0;23.0;
Schoondijke-G0706;0;;173.0;249;216.0;15.0;101.0;182.0;18.0;
Schoonebeek-G0129;0;;667.0;357;351.0;17.0;385.0;171.0;1.0;
Schoonhoven-G0608;0;;431.0;882;715.0;52.0;170.0;156.0;159.0;
Schoonrewoerd-G0609;0;;1.0;77;209.0;1.0;74.0;20.0;156.0;
Schoorl-G0444;0;;454.0;626;47.0;301.0;18.0;152.0;2.0;
Serooskerke (Schouwen)-G1175;0;;1.0;55;13.0;4.0;38.0;22.0;6.0;
Serooskerke (Walcheren)-G1176;0;;1.0;26;501.0;1.0;220.0;6.0;68.0;
Sevenum-G0964;0;;1712.0;18;;3.0;;;;
's-Graveland-G0390;0;;147.0;165;164.0;43.0;225.0;76.0;34.0;
's-Gravendeel-G0517;0;;8.0;905;869.0;23.0;362.0;349.0;158.0;
's-Gravenhage-G0518;0;;57767.0;87478;37250.0;36721.0;15605.0;31592.0;2088.0;
's-Gravenmoer-G0787;0;;25.0;89;367.0;7.0;162.0;12.0;15.0;
's-Gravenpolder-G0666;0;;82.0;75;86.0;3.0;174.0;22.0;266.0;
's-Gravenzande-G0519;0;;188.0;933;991.0;84.0;1119.0;261.0;238.0;
's-Heer Abtskerke-G0669;0;;34.0;23;22.0;1.0;119.0;25.0;13.0;
's-Heer Arendskerke-G0670;0;;496.0;269;663.0;10.0;830.0;117.0;152.0;
's-Heerenhoek-G0671;0;;645.0;6;16.0;3.0;28.0;5.0;;
's-Hertogenbosch-G0796;0;;17846.0;5156;481.0;1278.0;231.0;326.0;38.0;
Sijbekarspel-G0447;0;;330.0;308;15.0;41.0;3.0;72.0;;
Simpelveld-G0965;0;;1550.0;166;9.0;53.0;2.0;7.0;2.0;
Sint Annaland-G0708;0;;11.0;153;203.0;8.0;62.0;112.0;736.0;
Sint Geertruid-G0966;0;;439.0;8;;;;;;
Sint Jansteen-G0709;0;;1450.0;147;24.0;25.0;22.0;20.0;11.0;
Sint Laurens-G1179;0;;7.0;65;237.0;2.0;157.0;23.0;59.0;
Sint Maarten-G0445;0;;148.0;264;169.0;140.0;13.0;37.0;;
Sint Maartensdijk-G0711;0;;6.0;449;184.0;7.0;55.0;84.0;546.0;
Sint Odiliënberg-G0967;0;;611.0;46;2.0;2.0;;3.0;;
Sint Pancras-G0446;0;;27.0;302;201.0;73.0;174.0;24.0;13.0;
Sint Philipsland-G0712;0;;3.0;51;156.0;6.0;145.0;51.0;712.0;
Sint-Michielsgestel-G0845;0;;2635.0;160;6.0;22.0;32.0;17.0;;
Sint-Oedenrode-G0846;0;;3744.0;154;7.0;62.0;27.0;10.0;;
Sittard-G0968;0;;6337.0;1476;58.0;319.0;49.0;51.0;11.0;
Sleen-G0130;0;;17.0;1130;470.0;302.0;334.0;692.0;2.0;
Slenaken-G0969;0;;273.0;6;2.0;2.0;1.0;1.0;;
Sliedrecht-G0610;0;;64.0;2873;1509.0;682.0;722.0;522.0;1206.0;
Slochteren-G0040;0;;86.0;2599;1567.0;801.0;754.0;1162.0;6.0;
Sloten (F)-G0089;0;;60.0;112;76.0;3.0;115.0;7.0;5.0;
Sluis-G0713;0;;634.0;266;62.0;23.0;79.0;58.0;8.0;
Smallingerland-G0090;0;;93.0;3554;3323.0;1473.0;789.0;269.0;6.0;
Smilde-G0131;0;;10.0;1007;1019.0;131.0;785.0;172.0;2.0;
Sneek-G0091;0;;1249.0;3405;1990.0;1019.0;1323.0;521.0;19.0;
Snelrewaard-G0341;0;;163.0;4;45.0;2.0;40.0;7.0;24.0;
Soest-G0342;0;;3170.0;2835;2037.0;986.0;702.0;974.0;178.0;
Someren-G0847;0;;3266.0;48;6.0;3.0;45.0;2.0;;
Sommelsdijk-G1184;0;;25.0;584;649.0;7.0;33.0;254.0;435.0;
Son en Breugel-G0848;0;;1608.0;81;7.0;5.0;9.0;1.0;;
Spanbroek-G1186;0;;783.0;160;5.0;25.0;5.0;21.0;;
Spaubeek-G0970;0;;668.0;67;2.0;14.0;3.0;1.0;1.0;
Spijkenisse-G0612;0;;10.0;493;332.0;79.0;197.0;170.0;54.0;
Sprang-Capelle-G0849;0;;150.0;446;1059.0;21.0;641.0;55.0;519.0;
Stad aan 't Haringvliet-G1188;0;;1.0;150;231.0;1.0;47.0;118.0;129.0;
Stad Delden-G0179;0;;1138.0;422;121.0;38.0;87.0;117.0;2.0;
Standdaarbuiten-G0850;0;;828.0;18;13.0;4.0;29.0;;;
Staphorst-G0180;0;;28.0;636;1719.0;61.0;357.0;211.0;1193.0;
Stavenisse-G0714;0;;4.0;47;145.0;7.0;48.0;28.0;492.0;
Stavoren-G0092;0;;6.0;159;156.0;32.0;197.0;16.0;1.0;
Stedum-G0041;0;;3.0;324;574.0;44.0;284.0;114.0;1.0;
Steenbergen-G0851;0;;4297.0;364;124.0;35.0;83.0;51.0;24.0;
Steenderen-G0280;0;;905.0;339;337.0;10.0;294.0;136.0;10.0;
Steenwijk-G0181;0;;210.0;2138;731.0;281.0;733.0;320.0;15.0;
Steenwijkerwold-G0182;0;;612.0;1326;446.0;145.0;936.0;163.0;26.0;
Stein-G0971;0;;1833.0;321;4.0;95.0;17.0;3.0;3.0;
Stellendam-G1195;0;;2.0;196;542.0;11.0;58.0;74.0;85.0;
Stevensweert-G0972;0;;549.0;62;;5.0;10.0;5.0;2.0;
Stiphout-G1196;0;;649.0;37;2.0;6.0;4.0;1.0;;
Stolwijk-G0615;0;;11.0;600;283.0;28.0;29.0;263.0;214.0;
Stoutenburg-G0343;0;;527.0;34;72.0;13.0;98.0;5.0;44.0;
Stramproy-G0973;0;;759.0;17;;;2.0;1.0;2.0;
Streefkerk-G0616;0;;;215;331.0;17.0;120.0;92.0;162.0;
Strijen-G0617;0;;5.0;900;658.0;36.0;469.0;423.0;165.0;
Susteren-G0974;0;;1803.0;239;7.0;33.0;5.0;3.0;2.0;
Swalmen-G0975;0;;2290.0;129;15.0;19.0;7.0;5.0;6.0;
't Zandt-G0054;0;;3.0;747;516.0;33.0;247.0;266.0;4.0;
Tegelen-G0976;0;;5267.0;321;30.0;139.0;11.0;14.0;3.0;
Ten Boer-G0009;0;;12.0;900;1254.0;164.0;193.0;414.0;3.0;
Ter Aar-G0480;0;;1155.0;58;262.0;3.0;373.0;33.0;68.0;
Terheijden-G0853;0;;2052.0;119;25.0;8.0;30.0;8.0;3.0;
Termunten-G0042;0;;8.0;701;567.0;487.0;200.0;206.0;;
Terneuzen-G0715;0;;1229.0;2186;885.0;247.0;1041.0;566.0;584.0;
Terschelling-G0093;0;;21.0;1258;162.0;47.0;358.0;187.0;4.0;
Teteringen-G0854;0;;874.0;45;7.0;5.0;;12.0;;
Texel-G0448;0;;1176.0;2400;553.0;262.0;190.0;383.0;18.0;
Tholen-G0716;0;;140.0;216;267.0;13.0;453.0;114.0;534.0;
Thorn-G0977;0;;837.0;44;2.0;7.0;1.0;;;
Tiel-G0281;0;;1887.0;3815;450.0;306.0;462.0;549.0;32.0;
Tienhoven (Ut)-G1202;0;;5.0;47;140.0;1.0;106.0;2.0;8.0;
Tienhoven (ZH)-G0618;0;;2.0;41;118.0;;14.0;14.0;14.0;
Tietjerksteradeel-G0094;0;;57.0;3226;3220.0;440.0;1986.0;521.0;152.0;
Tilburg-G0855;0;;40258.0;7697;707.0;3057.0;340.0;354.0;97.0;
Tubbergen-G0183;0;;4921.0;157;59.0;19.0;240.0;37.0;3.0;
Tull en 't Waal-G1205;0;;158.0;64;29.0;1.0;44.0;1.0;8.0;
Twisk-G0449;0;;7.0;320;46.0;25.0;18.0;64.0;2.0;
Ubach over Worms-G0978;0;;1795.0;334;31.0;578.0;22.0;7.0;13.0;
Ubbergen-G0282;0;;2472.0;168;16.0;9.0;34.0;37.0;3.0;
Uden-G0856;0;;4078.0;130;17.0;20.0;7.0;3.0;2.0;
Udenhout-G0857;0;;2035.0;54;4.0;7.0;1.0;4.0;;
Uitgeest-G0450;0;;1156.0;554;29.0;475.0;18.0;50.0;1.0;
Uithoorn-G0451;0;;1293.0;276;193.0;47.0;318.0;49.0;15.0;
Uithuizen-G0043;0;;346.0;690;630.0;316.0;237.0;289.0;2.0;
Uithuizermeeden-G0044;0;;29.0;640;1113.0;106.0;739.0;252.0;;
Ulestraten-G0979;0;;528.0;16;;5.0;;2.0;;
Ulrum-G0045;0;;5.0;498;1203.0;124.0;205.0;160.0;;
Urk-G0184;0;;13.0;118;1454.0;12.0;182.0;2.0;295.0;
Urmond-G0980;0;;992.0;193;3.0;16.0;13.0;5.0;4.0;
Ursem-G0452;0;;528.0;119;6.0;47.0;2.0;7.0;;
Usquert-G0046;0;;29.0;700;52.0;63.0;44.0;173.0;;
Utingeradeel-G0095;0;;25.0;1488;283.0;449.0;386.0;222.0;42.0;
Utrecht-G0344;0;;26618.0;31944;11431.0;10284.0;4754.0;5156.0;800.0;
Vaals-G0981;0;;2917.0;275;14.0;522.0;9.0;26.0;15.0;
Valburg-G0283;0;;1285.0;507;502.0;90.0;702.0;135.0;345.0;
Valkenburg (ZH)-G0619;0;;18.0;50;153.0;4.0;288.0;9.0;14.0;
Valkenburg-Houthem-G0982;0;;3988.0;315;65.0;88.0;17.0;98.0;4.0;
Valkenswaard-G0858;0;;4624.0;793;74.0;47.0;38.0;43.0;3.0;
Varik-G0284;0;;134.0;176;90.0;2.0;122.0;63.0;23.0;
Veen-G0859;0;;5.0;27;79.0;5.0;34.0;;144.0;
Veendam-G0047;0;;514.0;3725;882.0;1045.0;555.0;973.0;7.0;
Veenendaal-G0345;0;;173.0;1873;2236.0;156.0;937.0;103.0;893.0;
Veere-G0717;0;;25.0;158;210.0;3.0;131.0;35.0;52.0;
Veghel-G0860;0;;4388.0;197;11.0;25.0;19.0;9.0;7.0;
Veldhoven-G0861;0;;3787.0;201;29.0;33.0;38.0;13.0;3.0;
Veldhuizen-G1207;0;;250.0;54;35.0;5.0;78.0;3.0;7.0;
Velsen-G0453;0;;4521.0;6758;2179.0;4289.0;1008.0;917.0;113.0;
Venhuizen-G0454;0;;823.0;635;29.0;67.0;17.0;88.0;2.0;
Venlo-G0983;0;;15576.0;2292;250.0;860.0;87.0;108.0;38.0;
Venray-G0984;0;;6084.0;166;26.0;72.0;16.0;6.0;6.0;
Vessem, Wintelre en Knegsel-G0862;0;;807.0;3;2.0;;2.0;1.0;;
Vianen-G0620;0;;473.0;606;307.0;31.0;236.0;121.0;149.0;
Vierlingsbeek-G0863;0;;2291.0;32;4.0;3.0;20.0;1.0;1.0;
Vierpolders-G0621;0;;4.0;171;109.0;98.0;44.0;96.0;1.0;
Vinkeveen en Waverveen-G0346;0;;1314.0;114;348.0;23.0;246.0;39.0;178.0;
Vlaardingen-G0622;0;;2008.0;8180;3907.0;1527.0;4351.0;906.0;951.0;
Vlagtwedde-G0048;0;;1195.0;2656;1048.0;767.0;1312.0;579.0;3.0;
Vledder-G0132;0;;94.0;678;150.0;123.0;108.0;161.0;;
Vleuten-G1211;0;;970.0;223;253.0;15.0;434.0;43.0;13.0;
Vlieland-G0096;0;;3.0;272;23.0;10.0;33.0;34.0;;
Vlijmen-G0864;0;;3312.0;236;22.0;17.0;6.0;6.0;2.0;
Vlissingen-G0718;0;;1188.0;4308;1436.0;1109.0;1267.0;561.0;197.0;
Vlist-G0623;0;;52.0;37;76.0;6.0;11.0;25.0;44.0;
Vlodrop-G0985;0;;703.0;41;4.0;5.0;1.0;;1.0;
Voerendaal-G0986;0;;1882.0;159;7.0;63.0;4.0;5.0;4.0;
Vogelwaarde-G0719;0;;1917.0;38;24.0;6.0;43.0;20.0;7.0;
Vollenhove-G0185;0;;214.0;613;952.0;44.0;621.0;56.0;42.0;
Voorburg-G0624;0;;5569.0;5140;2782.0;836.0;887.0;3230.0;76.0;
Voorhout-G0625;0;;1398.0;52;51.0;4.0;151.0;9.0;5.0;
Voorschoten-G0626;0;;1453.0;953;811.0;76.0;570.0;375.0;83.0;
Voorst-G0285;0;;2161.0;2669;442.0;783.0;1254.0;909.0;100.0;
Vorden-G0286;0;;430.0;937;617.0;82.0;436.0;303.0;14.0;
Vreeland-G1213;0;;58.0;114;109.0;22.0;112.0;46.0;30.0;
Vreeswijk-G0348;0;;627.0;410;229.0;31.0;246.0;8.0;53.0;
Vries-G0133;0;;18.0;1281;293.0;540.0;112.0;843.0;2.0;
Vriezenveen-G0186;0;;320.0;1137;637.0;156.0;2027.0;130.0;320.0;
Vrouwenpolder-G1214;0;;3.0;21;321.0;4.0;104.0;5.0;31.0;
Vught-G0865;0;;5801.0;1074;130.0;185.0;66.0;252.0;9.0;
Vuren-G0287;0;;7.0;437;238.0;3.0;235.0;28.0;25.0;
Waalre-G0866;0;;2229.0;343;26.0;85.0;32.0;61.0;2.0;
Waalwijk-G0867;0;;4719.0;549;214.0;37.0;479.0;67.0;44.0;
Waarde-G0721;0;;13.0;50;69.0;6.0;147.0;31.0;210.0;
Waardenburg-G0288;0;;24.0;391;78.0;22.0;178.0;60.0;232.0;
Waarder-G1217;0;;20.0;36;207.0;;103.0;6.0;99.0;
Waddinxveen-G0627;0;;536.0;999;830.0;101.0;533.0;227.0;780.0;
Wadenoijen-G1218;0;;159.0;458;120.0;9.0;173.0;227.0;59.0;
Wageningen-G0289;0;;1358.0;3007;978.0;808.0;1295.0;715.0;386.0;
Wamel-G0290;0;;2945.0;148;60.0;49.0;117.0;27.0;3.0;
Wanneperveen-G0187;0;;5.0;249;191.0;8.0;376.0;38.0;28.0;
Wanroij-G0868;0;;1370.0;23;9.0;2.0;1.0;4.0;;
Wanssum-G0987;0;;495.0;4;2.0;;1.0;;;
Warder-G0455;0;;4.0;211;13.0;26.0;5.0;28.0;;
Warffum-G0049;0;;7.0;652;401.0;52.0;47.0;250.0;;
Warmenhuizen-G0456;0;;795.0;197;82.0;119.0;2.0;13.0;2.0;
Warmond-G0628;0;;1062.0;235;68.0;8.0;115.0;115.0;15.0;
Warnsveld-G0291;0;;297.0;904;459.0;104.0;406.0;254.0;6.0;
Waspik-G0869;0;;1237.0;84;102.0;8.0;115.0;5.0;15.0;
Wassenaar-G0629;0;;3876.0;2080;1547.0;297.0;801.0;2753.0;94.0;
Wateringen-G0630;0;;1948.0;111;199.0;7.0;351.0;29.0;7.0;
Waterlandkerkje-G0722;0;;109.0;60;27.0;3.0;50.0;18.0;25.0;
Wedde-G1220;0;;27.0;989;136.0;426.0;179.0;280.0;3.0;
Weerselo-G0188;0;;3435.0;120;21.0;11.0;26.0;19.0;;
Weert-G0988;0;;7660.0;548;63.0;65.0;39.0;24.0;11.0;
Weesp-G0457;0;;814.0;1398;583.0;422.0;671.0;157.0;19.0;
Weesperkarspel-G1221;0;;586.0;332;322.0;101.0;410.0;25.0;30.0;
Wehl-G0292;0;;1614.0;53;14.0;6.0;38.0;8.0;8.0;
Wemeldinge-G0723;0;;20.0;272;352.0;21.0;423.0;111.0;90.0;
Werkendam-G0870;0;;19.0;484;507.0;57.0;319.0;60.0;291.0;
Werkhoven-G1223;0;;382.0;25;23.0;5.0;46.0;2.0;53.0;
Wervershoof-G0459;0;;1757.0;72;24.0;16.0;4.0;2.0;1.0;
Wessem-G0989;0;;558.0;25;2.0;;;;1.0;
Westbroek-G1224;0;;78.0;109;197.0;11.0;168.0;8.0;38.0;
Westdongeradeel-G0097;0;;27.0;1058;1462.0;163.0;1141.0;199.0;44.0;
Westdorpe-G0724;0;;828.0;227;15.0;20.0;21.0;17.0;4.0;
Westerbork-G0134;0;;38.0;1585;659.0;76.0;298.0;433.0;11.0;
Westerhoven-G0871;0;;382.0;1;;;;;;
Westervoort-G0293;0;;908.0;192;74.0;37.0;115.0;18.0;12.0;
Westkapelle-G0726;0;;31.0;353;177.0;116.0;222.0;37.0;204.0;
Westmaas-G0631;0;;1.0;103;206.0;2.0;109.0;67.0;35.0;
Weststellingwerf-G0098;0;;1076.0;5161;859.0;1642.0;1318.0;519.0;9.0;
Westwoud-G0460;0;;438.0;184;4.0;16.0;7.0;33.0;;
Westzaan-G0461;0;;49.0;624;263.0;686.0;51.0;62.0;51.0;
Wierden-G0189;0;;1942.0;1153;1621.0;109.0;1381.0;177.0;380.0;
Wieringen-G0462;0;;308.0;1758;387.0;843.0;113.0;272.0;13.0;
Wieringermeer-G0463;0;;85.0;183;135.0;22.0;72.0;50.0;4.0;
Wieringerwaard-G0464;0;;37.0;374;83.0;163.0;20.0;128.0;2.0;
Wijchen-G0296;0;;3606.0;121;17.0;6.0;23.0;20.0;3.0;
Wijdenes-G0469;0;;24.0;382;28.0;54.0;9.0;83.0;;
Wijdewormer-G0470;0;;154.0;123;30.0;47.0;13.0;31.0;;
Wijhe-G0190;0;;788.0;876;284.0;62.0;560.0;231.0;25.0;
Wijk bij Duurstede-G0352;0;;1017.0;286;75.0;12.0;292.0;46.0;40.0;
Wijk en Aalburg-G0876;0;;14.0;183;506.0;5.0;49.0;14.0;464.0;
Wijlre-G0991;0;;1085.0;40;6.0;9.0;1.0;2.0;2.0;
Wijnandsrade-G0992;0;;320.0;34;2.0;2.0;1.0;;;
Wijngaarden-G0634;0;;;4;102.0;;2.0;7.0;83.0;
Wildervank-G1225;0;;175.0;2324;982.0;662.0;499.0;727.0;2.0;
Willemstad-G0872;0;;97.0;182;231.0;2.0;364.0;47.0;14.0;
Willeskop-G0349;0;;235.0;41;36.0;6.0;79.0;8.0;23.0;
Wilnis-G0350;0;;501.0;35;383.0;10.0;238.0;6.0;69.0;
Winkel-G0465;0;;52.0;672;49.0;349.0;13.0;135.0;4.0;
Winschoten-G0052;0;;345.0;3383;1212.0;1660.0;534.0;1212.0;5.0;
Winsum-G0053;0;;7.0;507;795.0;18.0;26.0;207.0;;
Winterswijk-G0294;0;;1413.0;5908;1239.0;382.0;607.0;1465.0;12.0;
Wisch-G0295;0;;1948.0;1671;1023.0;96.0;915.0;377.0;16.0;
Wissenkerke-G0727;0;;14.0;268;693.0;16.0;764.0;83.0;143.0;
Wittem-G0990;0;;2211.0;100;10.0;33.0;6.0;18.0;3.0;
Woensdrecht-G0873;0;;1829.0;97;43.0;14.0;26.0;19.0;4.0;
Woerden-G0632;0;;1439.0;1076;906.0;95.0;1129.0;192.0;232.0;
Wognum-G0466;0;;868.0;247;8.0;31.0;12.0;28.0;;
Wolphaartsdijk-G0728;0;;44.0;140;330.0;4.0;645.0;93.0;273.0;
Wonseradeel-G0099;0;;604.0;1943;1880.0;320.0;1733.0;225.0;28.0;
Workum-G0100;0;;492.0;573;386.0;29.0;563.0;38.0;1.0;
Wormer-G0467;0;;822.0;907;292.0;702.0;58.0;59.0;9.0;
Wormerveer-G0468;0;;812.0;2084;571.0;2222.0;71.0;242.0;7.0;
Woubrugge-G0633;0;;551.0;91;241.0;17.0;234.0;88.0;73.0;
Woudenberg-G0351;0;;40.0;609;563.0;38.0;492.0;129.0;203.0;
Woudrichem-G0874;0;;17.0;533;334.0;30.0;105.0;30.0;33.0;
Wouw-G0875;0;;2458.0;111;44.0;23.0;17.0;8.0;2.0;
Wymbritseradeel-G0101;0;;763.0;907;1546.0;68.0;2427.0;73.0;1.0;
Yerseke-G0729;0;;111.0;591;480.0;88.0;540.0;148.0;510.0;
Zaamslag-G0731;0;;31.0;386;764.0;7.0;628.0;90.0;129.0;
Zaandam-G0471;0;;2878.0;8828;2904.0;6591.0;589.0;964.0;151.0;
Zaandijk-G0472;0;;158.0;957;299.0;823.0;56.0;134.0;;
Zaltbommel-G0297;0;;456.0;1318;290.0;80.0;239.0;193.0;66.0;
Zandvoort-G0473;0;;734.0;1666;235.0;574.0;454.0;477.0;8.0;
Zeeland-G0877;0;;1508.0;3;2.0;;;;;
Zegveld-G0354;0;;120.0;16;230.0;1.0;172.0;2.0;65.0;
Zeist-G0355;0;;2660.0;6448;4356.0;880.0;2027.0;2486.0;789.0;
Zelhem-G0298;0;;387.0;955;1226.0;30.0;481.0;262.0;86.0;
Zevenaar-G0299;0;;3225.0;392;31.0;35.0;145.0;36.0;7.0;
Zevenbergen-G0878;0;;3146.0;194;233.0;22.0;538.0;49.0;15.0;
Zevenhoven-G0635;0;;292.0;53;74.0;1.0;78.0;11.0;8.0;
Zevenhuizen-G0636;0;;26.0;559;274.0;23.0;259.0;254.0;152.0;
Zierikzee-G0732;0;;471.0;1327;827.0;41.0;424.0;569.0;107.0;
Zijpe-G0476;0;;858.0;1486;83.0;421.0;47.0;235.0;7.0;
Zoelen-G0300;0;;14.0;726;178.0;20.0;206.0;174.0;16.0;
Zoetermeer-G0637;0;;893.0;573;393.0;27.0;257.0;115.0;380.0;
Zoeterwoude-G0638;0;;1712.0;127;200.0;19.0;229.0;63.0;28.0;
Zonnemaire-G1236;0;;3.0;215;93.0;4.0;61.0;80.0;4.0;
Zoutelande-G1237;0;;5.0;34;103.0;;190.0;11.0;104.0;
Zuid- en Noord-Schermer-G0474;0;;54.0;279;25.0;92.0;15.0;26.0;16.0;
Zuid-Beijerland-G0639;0;;5.0;304;435.0;10.0;255.0;116.0;207.0;
Zuidbroek-G1240;0;;20.0;541;193.0;482.0;32.0;185.0;2.0;
Zuiddorpe-G0734;0;;425.0;63;3.0;20.0;4.0;5.0;1.0;
Zuidhorn-G0056;0;;34.0;658;743.0;83.0;146.0;334.0;1.0;
Zuidland-G0640;0;;2.0;114;623.0;11.0;133.0;120.0;23.0;
Zuidlaren-G0136;0;;67.0;1175;710.0;266.0;135.0;501.0;6.0;
Zuidwolde-G0137;0;;46.0;972;979.0;67.0;724.0;398.0;9.0;
Zuidzande-G0735;0;;23.0;243;40.0;20.0;48.0;144.0;8.0;
Zuilen-G1242;0;;2808.0;4654;1197.0;1313.0;650.0;174.0;144.0;
Zuilichem-G1243;0;;1.0;188;146.0;2.0;25.0;2.0;185.0;
Zundert-G0879;0;;3305.0;181;74.0;26.0;54.0;25.0;13.0;
Zutphen-G0301;0;;1433.0;5129;1087.0;2269.0;1021.0;916.0;32.0;
Zwaag-G0475;0;;684.0;272;13.0;16.0;;28.0;;
