RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;@abs
Boxtel-G0757;0;;5082.0;573;48.0;63.0;33.0;29.0;3.0;
Brakel-G0212;0;;7.0;273;84.0;8.0;119.0;24.0;444.0;
Brandwijk-G0500;0;;;53;285.0;2.0;24.0;54.0;73.0;
Breda-G0758;0;;26098.0;10516;1219.0;1010.0;757.0;1370.0;106.0;
Breskens-G0655;0;;88.0;501;113.0;88.0;230.0;135.0;11.0;
Breukelen-Nijenrode-G1028;0;;462.0;275;407.0;32.0;490.0;49.0;114.0;
Breukelen-Sint Pieters-G1029;0;;111.0;110;131.0;16.0;135.0;38.0;20.0;
Brielle-G0501;0;;138.0;805;267.0;149.0;345.0;321.0;5.0;
Broek in Waterland-G0380;0;;33.0;425;115.0;48.0;193.0;103.0;1.0;
Broekhuizen-G0898;0;;482.0;16;1.0;;1.0;;;
Brouwershaven-G0656;0;;2.0;370;159.0;8.0;19.0;115.0;21.0;
Bruinisse-G0657;0;;3.0;278;185.0;9.0;155.0;197.0;253.0;
Brummen-G0213;0;;412.0;3062;473.0;261.0;874.0;719.0;15.0;
Brunssum-G0899;0;;4454.0;1359;284.0;1160.0;184.0;29.0;6.0;
Budel-G0759;0;;2311.0;91;10.0;8.0;6.0;2.0;;
Bunde-G0900;0;;722.0;80;3.0;14.0;3.0;5.0;1.0;
Bunnik-G0312;0;;610.0;208;160.0;29.0;127.0;52.0;38.0;
Bunschoten-G0313;0;;10.0;49;2854.0;3.0;64.0;4.0;17.0;
Buren-G0214;0;;48.0;479;67.0;8.0;243.0;154.0;81.0;
Burgh-G1035;0;;8.0;150;52.0;1.0;109.0;78.0;21.0;
Bussum-G0381;0;;4809.0;4889;2096.0;1311.0;1018.0;2410.0;129.0;
Buurmalsen-G0215;0;;51.0;407;127.0;9.0;322.0;101.0;126.0;
Cadier en Keer-G0901;0;;524.0;27;;4.0;;3.0;;
Cadzand-G0658;0;;13.0;275;24.0;36.0;125.0;83.0;4.0;
Callantsoog-G0382;0;;59.0;251;25.0;159.0;4.0;52.0;2.0;
Capelle aan den IJssel-G0502;0;;50.0;1410;596.0;78.0;441.0;307.0;682.0;
Castricum-G0383;0;;2142.0;837;154.0;348.0;64.0;116.0;1.0;
Chaam-G0760;0;;988.0;49;38.0;;28.0;4.0;;
Clinge-G0659;0;;1340.0;94;13.0;22.0;6.0;2.0;4.0;
Coevorden-G0109;0;;880.0;1477;518.0;88.0;397.0;372.0;8.0;
Cothen-G0314;0;;433.0;27;10.0;2.0;57.0;2.0;24.0;
Cuijk en Sint Agatha-G0761;0;;2350.0;91;5.0;26.0;24.0;5.0;1.0;
Culemborg-G0216;0;;2212.0;1901;341.0;486.0;273.0;424.0;104.0;
Dalen-G0110;0;;209.0;830;143.0;19.0;115.0;794.0;3.0;
Dalfsen-G0148;0;;1271.0;597;639.0;24.0;1642.0;92.0;32.0;
Dantumadeel-G0065;0;;78.0;1719;2926.0;359.0;1684.0;396.0;462.0;
De Bilt-G0310;0;;1676.0;3009;1864.0;380.0;666.0;1463.0;264.0;
De Lier-G0552;0;;235.0;144;674.0;4.0;590.0;93.0;23.0;
De Rijp-G0440;0;;294.0;273;15.0;137.0;7.0;13.0;9.0;
De Werken en Sleeuwijk-G1222;0;;23.0;460;1033.0;36.0;324.0;17.0;132.0;
De Wijk-G0135;0;;6.0;784;434.0;31.0;234.0;433.0;8.0;
Deil-G0217;0;;238.0;382;113.0;9.0;262.0;180.0;55.0;
Delft-G0503;0;;9033.0;10144;3853.0;3454.0;1668.0;1832.0;1042.0;
Delfzijl-G0010;0;;160.0;1564;979.0;1676.0;573.0;635.0;10.0;
Den Bommel-G1024;0;;240.0;194;252.0;2.0;17.0;69.0;155.0;
Den Dungen-G0768;0;;1059.0;39;5.0;2.0;;3.0;;
Den Ham-G0159;0;;267.0;568;1206.0;211.0;965.0;140.0;9.0;
Den Helder-G0400;0;;1895.0;7961;2305.0;1275.0;457.0;971.0;71.0;
Denekamp-G0149;0;;2839.0;243;81.0;59.0;110.0;13.0;1.0;
Deurne-G0762;0;;5890.0;179;50.0;18.0;67.0;7.0;2.0;
Deventer-G0150;0;;4269.0;9026;1477.0;5671.0;908.0;2078.0;45.0;
Didam-G0218;0;;3298.0;142;14.0;10.0;56.0;9.0;4.0;
Diemen-G0384;0;;604.0;571;272.0;218.0;365.0;57.0;5.0;
Diepenheim-G0151;0;;112.0;630;87.0;23.0;123.0;142.0;4.0;
Diepenveen-G0152;0;;1205.0;1277;286.0;162.0;405.0;672.0;8.0;
Diessen-G0763;0;;854.0;33;2.0;;4.0;;1.0;
Diever-G0111;0;;38.0;724;385.0;30.0;73.0;292.0;3.0;
Dinteloord en Prinsenland-G0764;0;;805.0;262;335.0;27.0;434.0;49.0;187.0;
Dinther-G1044;0;;1068.0;14;;1.0;2.0;1.0;;
Dinxperlo-G0219;0;;338.0;393;427.0;20.0;690.0;56.0;5.0;
Dirksland-G0504;0;;18.0;389;731.0;15.0;30.0;211.0;340.0;
Dodewaard-G0220;0;;23.0;478;278.0;13.0;128.0;81.0;163.0;
Doesburg-G0221;0;;1143.0;1011;159.0;52.0;346.0;79.0;12.0;
Doetinchem-G0222;0;;2951.0;3615;673.0;442.0;1057.0;653.0;121.0;
Dokkum-G0066;0;;136.0;1027;1260.0;74.0;360.0;122.0;18.0;
Domburg-G0660;0;;27.0;252;115.0;40.0;156.0;61.0;133.0;
Dongen-G0766;0;;4853.0;183;66.0;10.0;89.0;16.0;9.0;
Doniawerstal-G0067;0;;785.0;922;496.0;61.0;731.0;113.0;9.0;
Doorn-G0315;0;;148.0;1104;686.0;80.0;591.0;487.0;122.0;
Doornspijk-G0223;0;;43.0;359;880.0;27.0;444.0;54.0;967.0;
Dordrecht-G0505;0;;3863.0;14523;7066.0;5065.0;2058.0;2403.0;810.0;
