RegioNaam;@invalid;@blank;PvdA;VVD;CDA;KVP;Politieke Partij Radikalen (PPR);CHU;ARP;Communistische Partij van Nederland;BoerenPartij;SGP;PvdA/PPR/D'66;Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Pacifistisch-Socialistische Partij (PSP);D66;FNP;SGP/NEV;Rooms Katholieke Partij Nederland;Lijst Meijer;Vrouw;Nieuwe Roomse Partij;Anti-Woningnood Aktie;@abs
Heemstede-G0397;95;0;2485;6393;3991;0;923;0;0;188;266;0;0;143;379;218;268;0;55;229;0;0;0;0;3370
Heenvliet-G0525;9;0;670;350;0;46;94;71;70;72;27;27;0;9;21;16;27;0;0;0;0;0;0;0;428
Heerde-G0246;41;0;2933;1183;0;80;189;1879;927;32;616;584;0;449;106;53;34;0;0;0;0;0;0;0;1827
Heerenveen-G0074;191;0;6953;2699;3641;0;526;0;0;1676;453;0;0;299;232;263;152;1220;107;0;0;0;0;0;4656
Heerewaarden-G0247;12;0;349;123;0;27;25;38;13;5;33;5;0;0;13;5;5;0;0;0;0;0;0;0;136
Heerhugowaard-G0398;55;0;2704;2282;3395;0;697;0;0;264;199;0;0;74;228;129;215;0;18;0;0;0;0;0;2759
Heerjansdam-G0526;5;0;564;376;0;24;71;272;239;12;16;89;0;22;22;10;22;0;0;0;0;0;0;0;415
Heerlen-G0917;340;0;8176;4949;11800;0;2496;0;0;2560;484;0;0;0;266;374;234;0;0;436;0;0;274;0;16806
Heesch-G0791;50;0;684;406;1815;0;160;0;0;21;270;0;0;6;20;20;28;0;2;0;0;9;0;0;1445
Heeswijk-Dinther-G0792;31;0;403;436;1966;0;100;0;0;11;239;0;0;10;20;22;21;0;2;0;0;12;0;0;1033
Heeze-G0793;43;0;614;882;1772;0;201;0;0;19;233;0;0;12;36;31;35;0;0;0;0;10;0;0;1373
Hei- en Boeicop-G0527;8;0;62;56;0;2;5;93;129;0;46;115;0;4;9;2;4;0;0;0;0;0;0;0;54
Heiloo-G0399;40;0;2324;3368;2986;0;625;0;0;198;213;0;0;57;282;145;189;0;0;110;0;0;0;0;2267
Heinenoord-G0528;14;0;590;329;0;23;73;167;181;12;49;129;0;104;12;15;22;0;0;0;0;0;0;0;389
Heino-G0162;17;0;568;467;0;1116;134;589;137;10;61;23;0;116;50;37;28;0;0;0;0;0;0;0;581
Helden-G0918;50;0;458;589;4489;0;200;0;0;26;222;0;0;0;19;62;15;0;0;0;0;0;0;0;2859
Hellendoorn-G0163;79;0;3314;1350;0;3453;676;3778;2219;74;708;230;0;640;98;60;54;0;0;0;0;0;0;0;3125
Hellevoetsluis-G0530;32;0;3242;1172;0;186;347;270;263;172;134;80;0;49;86;55;97;0;0;0;0;0;0;0;2016
Helmond-G0794;313;0;6634;3998;10217;0;927;0;0;1701;1154;0;0;96;190;243;246;0;0;0;0;74;0;0;12367
Helvoirt-G0795;16;0;264;430;996;0;65;0;0;14;126;0;0;3;25;24;16;0;2;0;0;6;0;0;571
Hemelumer Oldeferd-G0075;11;0;316;273;1360;0;47;0;0;20;48;0;0;74;11;8;8;396;39;0;0;0;0;0;506
Hendrik-Ido-Ambacht-G0531;2;0;2055;1767;0;226;310;698;896;91;83;945;0;181;117;105;170;0;0;0;0;0;0;0;2148
Hengelo-G0164;182;0;13977;5424;0;9629;2162;1791;1498;853;1064;102;0;567;675;371;619;0;0;0;0;0;0;0;8736
Hengelo-G0248;16;0;883;595;0;1296;109;510;332;17;284;31;0;17;30;19;18;0;0;0;0;0;0;0;1066
Hennaarderadeel-G0076;13;0;381;224;1316;0;54;0;0;17;19;0;0;38;9;11;5;431;12;0;0;0;0;0;388
Hensbroek-G0401;3;0;157;149;268;0;19;0;0;13;32;0;0;0;11;16;4;0;0;8;0;0;0;0;206
Herten-G0919;12;0;157;269;1063;0;61;0;0;5;35;0;0;0;8;15;7;0;0;0;0;0;0;0;565
Herwen en Aerdt-G0249;25;0;473;367;0;1945;74;98;55;19;241;8;0;13;8;17;14;0;0;0;0;0;0;0;1711
Herwijnen-G0250;5;0;468;148;0;13;28;215;219;7;24;67;0;18;6;4;2;0;0;0;0;0;0;0;200
Het Bildt-G0063;28;0;1564;579;1968;0;91;0;0;92;35;0;0;70;16;40;13;236;23;0;0;0;0;0;945
Heteren-G0251;25;0;607;529;0;1365;178;273;198;40;134;204;0;64;41;23;25;0;0;0;0;0;0;0;1149
Heukelum-G0533;14;0;544;218;0;9;33;207;100;12;51;47;0;16;15;8;11;0;0;0;0;0;0;0;378
Heumen-G0252;17;0;559;750;0;1436;271;60;44;43;123;4;0;10;26;38;28;0;0;0;0;0;0;0;989
Heusden-G0797;21;0;394;360;1050;0;68;0;0;38;172;0;0;17;16;27;21;0;55;0;0;0;0;0;1130
Heythuysen-G0920;20;0;163;218;1416;0;93;0;0;6;164;0;0;0;11;20;9;0;0;0;0;0;0;0;874
Hillegom-G0534;72;0;1958;2291;0;2425;449;593;439;87;184;66;0;57;126;101;101;0;0;2;0;0;0;0;2646
Hilvarenbeek-G0798;40;0;638;648;2020;0;192;0;0;47;238;0;0;3;28;31;30;0;8;0;0;21;0;0;1126
