RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;KNP;Gereformeerd Politiek Verbond (GPV);Socialistische Unie;Katholieke Democratische Lijst;Protestants-Christelijke Lijst;Middenstandspartij;Vrijzinnig-Democratische Bond (VDB);Katholieke Arbeiders Lijst;Bond van Wereldburgers;Lijst van Nunen;@abs
Nieuwer-Amstel-G1249;0;0;3598;3110;1875;2199;1962;290;39;155.0;105;5;0;0;0;0;0;0;0;1367
Nieuwerkerk-G1122;0;0;5;157;136;80;116;0;159;0.0;0;0;0;0;0;0;0;0;0;218
Nieuwerkerk aan den IJssel-G0567;0;0;205;774;261;536;257;18;281;12.0;9;2;0;0;0;0;0;0;0;281
Nieuweschans-G0031;0;0;7;495;37;61;120;315;0;0.0;5;0;0;0;20;0;0;0;0;142
Nieuw-Ginneken-G0817;0;0;2665;174;16;30;21;2;3;28.0;0;0;0;0;0;0;0;0;0;192
Nieuw-Helvoet-G1118;0;0;21;850;106;62;275;11;16;3.0;0;0;0;0;0;0;0;0;0;112
Nieuwkoop-G0569;0;0;1008;197;138;304;145;10;86;21.0;1;2;0;0;0;0;0;0;0;96
Nieuwland-G0570;0;0;1;89;111;25;49;0;62;0.0;3;1;0;0;0;0;0;0;0;31
Nieuw-Lekkerland-G0571;0;0;21;672;451;267;162;39;748;11.0;31;1;0;0;0;0;0;0;0;230
Nieuwleusen-G0170;0;0;18;371;349;980;352;6;104;0.0;52;0;0;0;0;0;0;0;0;251
Nieuwolda-G0032;0;0;2;500;165;174;137;25;0;0.0;2;0;0;0;18;0;0;0;0;120
Nieuwpoort-G0572;0;0;7;110;141;12;52;7;91;1.0;4;0;0;0;0;0;0;0;0;43
Nieuwstadt-G0949;0;0;710;36;0;0;0;5;0;0.0;0;0;1;3;0;0;0;0;0;57
Nieuwveen-G0573;0;0;456;123;205;249;39;5;28;19.0;1;0;0;0;0;0;0;0;0;71
Nieuwvliet-G0690;0;0;2;116;12;38;128;2;3;0.0;0;0;0;0;0;0;0;0;0;21
Nieuw-Vossemeer-G0818;0;0;676;27;9;17;20;2;2;23.0;0;0;0;0;0;0;0;0;0;92
Nigtevecht-G0337;0;0;38;110;93;147;13;3;4;0.0;4;0;0;0;0;0;0;1;0;53
Nijeveen-G0121;0;0;2;138;239;307;184;2;0;0.0;4;0;0;0;0;0;0;0;0;74
Nijkerk-G0267;0;0;558;1309;1633;2473;133;21;472;10.0;48;0;0;0;0;0;0;0;0;611
Nijmegen-G0268;0;0;34675;13440;1127;2529;2062;1629;87;1759.0;86;0;0;0;0;0;0;0;0;6262
Nisse-G0691;0;0;64;47;32;124;12;0;74;0.0;4;0;0;0;0;0;3;0;0;44
Nistelrode-G0819;0;0;1744;53;6;7;1;0;0;4.0;0;0;0;0;0;0;0;0;0;95
Noorbeek-G0950;0;0;419;9;0;0;0;1;0;0.0;0;0;4;4;0;0;0;0;0;32
Noordbroek-G1126;0;0;17;585;32;62;174;148;0;0.0;7;0;0;0;62;0;0;0;0;211
Noorddijk-G1127;0;0;21;693;124;101;282;40;0;0.0;52;0;0;0;65;0;0;0;0;208
Noordeloos-G0574;0;0;2;129;320;33;115;2;91;0.0;3;1;0;0;0;0;0;0;0;43
Noordgouwe-G1128;0;0;3;175;83;96;114;0;24;0.0;0;0;0;0;0;0;0;0;0;44
Noordwelle-G1129;0;0;2;82;22;24;73;0;9;0.0;0;0;0;0;0;0;0;0;0;46
Noordwijk-G0575;0;0;3029;1211;978;1031;374;101;66;199.0;18;35;0;0;0;0;0;0;0;1728
Noordwijkerhout-G0576;0;0;3190;196;46;262;22;8;11;70.0;0;1;0;0;0;0;0;0;0;300
Nootdorp-G0577;0;0;796;128;66;149;34;2;18;15.0;0;0;0;0;0;0;0;0;0;60
Norg-G0120;0;0;53;1060;402;231;646;22;0;0.0;26;0;0;0;0;0;0;0;0;314
Nuenen, Gerwen en Nederwetten-G0820;0;0;2180;201;13;86;29;11;0;21.0;0;0;0;0;0;0;0;0;0;423
Nuland-G0821;0;0;942;21;0;0;2;1;0;4.0;0;0;0;0;0;0;0;0;0;108
Numansdorp-G0578;0;0;16;993;527;366;241;13;328;7.0;1;0;0;0;0;0;0;0;0;179
Nuth-G0951;0;0;2198;304;0;0;0;24;0;0.0;2;0;8;28;0;0;0;0;0;163
Obbicht en Papenhoven-G0952;0;0;703;61;0;0;0;6;0;0.0;1;0;5;10;0;0;0;0;0;91
Obdam-G0429;0;0;1027;64;2;2;41;5;0;6.0;0;0;0;0;0;0;0;0;0;28
Odijk-G1131;0;0;162;37;13;60;2;2;21;0.0;2;0;0;0;0;0;0;0;0;21
Odoorn-G0122;0;0;326;2377;640;888;1103;458;0;0.0;111;0;0;0;0;0;0;0;0;1102
Oeffelt-G0822;0;0;738;12;0;5;0;0;0;6.0;0;0;0;0;0;0;0;0;0;47
Oegstgeest-G0579;0;0;1153;1015;988;1113;1116;46;112;264.0;32;20;0;0;0;0;0;0;0;1089
Ohé en Laak-G0953;0;0;343;7;0;0;0;0;0;0.0;0;0;1;6;0;0;0;0;0;8
Oirsbeek-G0954;0;0;1168;63;0;0;0;5;0;0.0;2;0;12;6;0;0;0;0;0;101
Oirschot-G0823;0;0;3146;97;24;51;27;7;3;27.0;0;0;0;0;0;0;0;0;0;231
Oisterwijk-G0824;0;0;3601;784;32;51;53;11;3;112.0;0;0;0;0;0;0;0;0;8;358
Oldebroek-G0269;0;0;207;1205;1382;1638;192;23;891;19.0;359;0;0;0;0;0;0;0;0;812
Oldehove-G0035;0;0;2;341;513;90;165;7;0;0.0;145;0;0;0;31;0;0;0;0;67
Oldekerk-G0036;0;0;2;222;525;109;149;4;0;0.0;34;0;0;0;7;0;0;0;0;56
Oldemarkt-G0172;0;0;227;498;148;763;45;7;0;0.0;4;0;0;0;0;0;0;0;0;106
Oldenzaal-G0173;0;0;5284;820;154;264;280;50;10;0.0;53;0;0;0;0;0;0;0;0;617
Olst-G0174;0;0;1047;1439;117;392;699;112;21;0.0;8;0;0;0;0;0;0;0;0;282
Ommen-G0175;0;0;548;724;1445;2366;347;11;20;0.0;268;0;0;0;0;0;0;0;0;427
Onstwedde-G1250;0;0;1274;2879;1977;2680;375;765;0;0.0;244;0;0;0;174;0;0;0;0;1476
Ooltgensplaat-G1133;0;0;277;476;266;262;54;7;255;3.0;2;0;0;0;0;0;0;0;0;160
Oost- en West-Souburg-G1135;0;0;89;1414;753;730;155;40;136;0.0;7;0;0;0;0;0;38;0;0;335
Oost-, West- en Middelbeers-G0825;0;0;1001;10;2;2;0;0;0;1.0;0;0;0;0;0;0;0;0;0;65
Oostburg-G0692;0;0;524;576;191;150;309;2;40;0.0;5;0;0;0;0;0;52;0;0;201
Oostdongeradeel-G0084;0;0;19;387;2518;1152;193;3;20;0.0;5;0;0;0;0;11;0;0;0;241
Oosterhesselen-G0123;0;0;3;688;480;164;338;39;0;0.0;64;0;0;0;0;0;0;0;0;171
Oosterhout-G0826;0;0;9098;941;62;68;32;0;15;103.0;0;0;0;0;0;0;0;0;0;666
Oosterland-G1136;0;0;3;192;63;143;138;0;298;0.0;0;0;0;0;0;0;0;0;0;219
Oosthuizen-G0430;0;0;50;274;18;20;166;38;1;1.0;1;0;0;0;0;0;0;0;0;43
Oostkapelle-G1137;0;0;10;160;288;256;66;2;145;0.0;11;0;0;0;0;0;2;0;0;136
Ooststellingwerf-G0085;0;0;56;4019;1571;1217;1125;539;14;0.0;91;179;0;0;0;30;0;0;0;1167
Oostvoorne-G0581;0;0;55;1216;192;160;638;171;24;16.0;5;0;0;0;0;0;0;0;0;250
Oostzaan-G0431;0;0;53;1102;251;154;329;658;14;3.0;1;0;0;0;0;0;0;0;0;261
Ootmarsum-G0176;0;0;962;65;9;32;23;0;3;0.0;1;0;0;0;0;0;0;0;0;66
Ophemert-G0270;0;0;22;275;47;175;137;10;16;1.0;1;0;0;0;0;0;0;0;0;128
Oploo, Sint Anthonis en Ledeacker-G0827;0;0;2304;19;5;6;2;0;0;1.0;0;0;0;0;0;0;0;0;0;157
Opmeer-G0432;0;0;243;96;10;3;30;6;0;1.0;0;0;0;0;0;0;0;0;0;5
Opperdoes-G0433;0;0;3;87;338;121;45;6;45;2.0;1;0;0;0;0;0;0;0;0;52
Opsterland-G0086;0;0;64;4307;2003;912;1218;658;11;0.0;276;1155;0;0;0;89;0;0;0;1486
Oss-G0828;0;0;8744;2476;126;138;250;0;0;105.0;0;0;0;0;0;0;0;0;0;1127
Ossendrecht-G0829;0;0;1392;319;21;41;19;3;3;51.0;0;0;0;0;0;0;0;0;0;242
Oterleek-G0434;0;0;63;219;20;7;111;22;0;1.0;0;0;0;0;0;0;0;0;0;70
Ottersum-G0955;0;0;1345;27;0;0;0;0;0;0.0;0;0;0;11;0;0;0;0;0;132
Ottoland-G0582;0;0;5;22;208;39;26;1;45;1.0;3;0;0;0;0;0;0;0;0;25
Oud- en Nieuw-Gastel-G0831;0;0;3179;213;7;49;12;6;4;87.0;0;0;0;0;0;0;0;0;0;421
Oud-Alblas-G0583;0;0;3;106;254;87;41;4;190;1.0;0;1;0;0;0;0;0;0;0;61
Oud-Beijerland-G0584;0;0;113;1088;1285;221;353;12;555;20.0;3;0;0;0;0;0;0;0;0;528
Ouddorp-G1142;0;0;18;214;447;105;107;3;1122;1.0;7;0;0;0;0;0;0;0;0;446
Oude Niedorp-G0436;0;0;564;115;7;2;57;15;0;0.0;1;2;0;0;0;0;0;0;0;41
Oude Pekela-G0038;0;0;273;1782;346;298;247;844;0;0.0;18;0;0;0;118;0;0;0;0;488
Oude Tonge-G1143;0;0;300;434;146;45;131;12;272;7.0;0;0;0;0;0;0;0;0;0;165
Oudelande-G0695;0;0;60;107;74;141;45;0;21;0.0;3;0;0;0;0;0;0;0;0;42
Oudenbosch-G0830;0;0;2787;259;24;62;30;0;5;226.0;0;0;0;0;0;0;0;0;0;390
Oudendijk-G0435;0;0;11;167;8;3;54;21;0;0.0;1;0;0;0;0;0;0;0;0;19
Oudenhoorn-G0586;0;0;4;276;51;57;115;6;8;2.0;0;0;0;0;0;0;0;0;0;48
Ouder-Amstel-G0437;0;0;1344;649;414;532;165;58;8;20.0;6;3;0;0;0;0;0;0;0;218
Ouderkerk aan den IJssel-G0587;0;0;26;382;451;56;240;14;701;2.0;3;0;0;0;0;0;0;0;0;431
Oudewater-G0589;0;0;975;239;266;225;73;1;72;38.0;1;3;0;0;0;0;0;0;0;96
Oudorp-G0438;0;0;583;304;67;21;104;37;1;2.0;1;7;0;0;0;0;0;0;0;56
Oud-Vossemeer-G0696;0;0;298;175;229;264;104;0;113;0.0;0;0;0;0;0;0;0;0;0;124
Ouwerkerk-G1148;0;0;2;137;16;14;54;0;31;0.0;0;0;0;0;0;0;0;0;0;40
Overasselt-G0271;0;0;1291;23;2;31;1;0;0;1.0;0;0;0;0;0;0;0;0;0;55
Overslag-G0697;0;0;93;29;0;13;0;0;2;0.0;0;0;0;0;0;0;0;0;0;16
Ovezande-G0698;0;0;507;25;8;98;5;0;0;0.0;0;0;0;0;0;0;124;0;0;43
Pannerden-G0272;0;0;724;24;2;6;1;2;0;4.0;0;0;0;0;0;0;0;0;0;122
Papekop-G1151;0;0;91;5;54;50;8;0;21;2.0;0;1;0;0;0;0;0;0;0;16
Papendrecht-G0590;0;0;62;1264;876;226;180;76;451;19.0;8;3;0;0;0;0;0;0;0;488
Peize-G0124;0;0;12;767;67;82;422;29;0;0.0;3;0;0;0;0;0;0;0;0;248
Peursum-G1154;0;0;0;46;97;21;45;0;30;0.0;0;0;0;0;0;0;0;0;0;24
Philippine-G0699;0;0;409;108;6;23;0;3;0;0.0;1;0;0;0;0;0;17;0;0;68
Piershil-G0591;0;0;2;174;100;43;57;3;112;1.0;0;0;0;0;0;0;0;0;0;75
Pijnacker-G0594;0;0;1411;599;415;1153;199;19;261;44.0;33;8;0;0;0;0;0;0;0;270
Poederoijen-G1155;0;0;11;188;154;123;30;0;239;3.0;0;0;0;0;0;0;0;0;0;154
Polsbroek-G0338;0;0;90;57;176;84;19;1;71;0.0;0;0;0;0;0;0;0;0;0;42
Poortugal-G0592;0;0;137;698;311;250;162;16;67;8.0;9;0;0;0;0;0;0;0;0;855
Poortvliet-G0700;0;0;11;150;91;207;34;0;364;0.0;0;0;0;0;0;0;0;0;0;147
Posterholt-G0956;0;0;1178;58;0;0;0;0;0;0.0;0;0;1;7;0;0;0;0;0;132
Prinsenbeek-G0832;0;0;1918;77;2;7;6;2;2;18.0;0;0;0;0;0;0;0;0;0;157
Purmerend-G0439;0;0;1161;1370;207;130;599;511;7;15.0;10;1;0;0;0;0;0;0;0;379
Putte-G0833;0;0;583;95;1;18;19;8;1;71.0;0;0;0;0;0;0;0;0;0;176
Putten-G0273;0;0;146;951;791;2695;152;48;557;15.0;13;0;0;0;0;0;0;0;0;584
Puttershoek-G0593;0;0;50;674;250;170;206;13;132;2.0;2;0;0;0;0;0;0;0;0;197
Raalte-G0177;0;0;4763;535;101;1014;89;8;5;0.0;6;0;0;0;0;0;0;0;0;329
Raamsdonk-G0834;0;0;2589;193;199;490;42;0;86;22.0;0;0;0;0;0;0;0;0;0;721
Rauwerderhem-G0087;0;0;198;753;172;103;206;9;0;0.0;4;0;0;0;0;17;0;0;0;145
Ravenstein-G0835;0;0;2451;96;2;13;3;0;0;11.0;0;0;0;0;0;0;0;0;0;177
Reeuwijk-G0595;0;0;790;675;497;178;292;29;204;14.0;6;5;0;0;0;0;0;0;0;268
Renesse-G1159;0;0;9;161;63;98;191;0;28;0.0;0;0;0;0;0;0;0;0;0;6
Renkum-G0274;0;0;3152;3438;2300;2048;1563;156;258;147.0;58;0;0;0;0;0;0;0;0;1982
Renswoude-G0339;0;0;39;216;295;422;38;7;111;0.0;4;0;0;0;0;0;0;5;0;141
Retranchement-G0701;0;0;11;184;25;53;84;3;0;0.0;0;0;0;0;0;0;0;0;0;40
Reusel-G0836;0;0;1559;18;1;4;1;2;2;0.0;0;0;0;0;0;0;0;0;0;132
Rheden-G0275;0;0;3452;6973;1802;3514;2070;341;61;86.0;44;0;0;0;0;0;0;0;0;1729
Rhenen-G0340;0;0;244;2326;646;1263;315;27;829;0.0;9;0;0;0;0;0;0;12;0;606
Rhoon-G0596;0;0;264;392;358;617;167;17;65;10.0;5;0;0;0;0;0;0;0;0;162
Ridderkerk-G0597;0;0;140;3471;2668;1739;682;104;1946;22.0;54;0;0;0;0;0;0;0;0;954
Riethoven-G0837;0;0;455;4;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;24
Rietveld-G1160;0;0;82;26;67;93;13;3;34;5.0;1;1;0;0;0;0;0;0;0;37
Rijnsaterwoude-G0601;0;0;154;35;64;56;19;2;49;2.0;0;0;0;0;0;0;0;0;0;35
Rijnsburg-G0602;0;0;78;293;1338;927;16;4;93;5.0;104;0;0;0;0;0;0;0;0;119
Rijsbergen-G0841;0;0;1513;55;8;16;5;1;1;5.0;0;0;0;0;0;0;0;0;0;131
Rijssen-G0178;0;0;722;984;1248;390;156;17;2740;0.0;14;0;0;0;0;0;0;0;0;911
Rijswijk-G0603;0;0;3480;3364;1762;1370;1983;230;184;429.0;31;27;0;0;0;0;0;0;0;1526
Rijswijk (NB)-G0842;0;0;2;79;130;169;4;0;6;1.0;0;0;0;0;0;0;0;0;0;62
Rilland-Bath-G0702;0;0;129;271;110;363;90;4;183;0.0;4;0;0;0;0;0;2;0;0;122
Ritthem-G1163;0;0;0;41;48;148;7;3;30;0.0;0;0;0;0;0;0;0;0;0;18
Rockanje-G0598;0;0;14;713;260;110;436;137;12;6.0;3;0;0;0;0;0;0;0;0;361
Roden-G0125;0;0;21;1676;605;340;677;52;0;0.0;48;0;0;0;0;0;0;0;0;439
Roermond-G0957;0;0;9048;1646;0;0;0;0;0;0.0;0;0;85;396;0;0;0;0;0;1543
Roggel-G0958;0;0;1262;9;0;0;0;0;0;0.0;0;0;0;1;0;0;0;0;0;68
Rolde-G0126;0;0;21;923;88;104;750;17;0;0.0;7;0;0;0;0;0;0;0;0;202
Roosendaal en Nispen-G0838;0;0;11744;2161;213;341;143;42;36;1948.0;0;0;0;0;0;0;0;0;0;1979
Roosteren-G0959;0;0;514;21;0;0;0;0;0;0.0;0;0;2;6;0;0;0;0;0;86
Rosmalen-G0839;0;0;3230;129;13;36;6;1;0;12.0;0;0;0;0;0;0;0;0;0;325
Rossum-G0276;0;0;245;254;51;209;42;0;6;2.0;0;0;0;0;0;0;0;0;0;85
Rotterdam-G0599;0;0;52779;171024;39889;26496;40332;31323;8785;3554.0;1630;2126;0;0;0;0;0;0;0;52856
Rozenburg-G0600;0;0;7;266;482;688;123;6;30;3.0;51;2;0;0;0;0;0;0;0;109
Rozendaal-G0277;0;0;25;102;26;74;57;5;2;3.0;1;0;0;0;0;0;0;0;0;54
Rucphen-G0840;0;0;5322;216;21;46;12;16;4;99.0;0;0;0;0;0;0;0;0;0;549
Ruinen-G0127;0;0;19;1177;419;284;893;16;0;0.0;12;0;0;0;0;0;0;0;0;358
Ruinerwold-G0128;0;0;3;386;376;139;722;7;0;0.0;21;0;0;0;0;0;0;0;0;120
Ruurlo-G0278;0;0;667;856;151;153;901;7;6;0.0;3;0;0;0;0;0;0;0;0;289
Ruwiel-G1164;0;0;55;9;82;59;12;0;78;0.0;0;0;0;0;0;0;0;0;0;26
Sas van Gent-G0704;0;0;958;608;18;66;240;10;7;0.0;3;0;0;0;0;0;12;0;0;213
Sassenheim-G0604;0;0;1870;388;940;574;165;17;68;76.0;5;2;0;0;0;0;0;0;0;177
Schaesberg-G0960;0;0;3556;970;0;0;0;113;0;0.0;19;0;93;184;0;0;0;0;0;452
Schagen-G0441;0;0;690;853;102;65;718;122;3;5.0;4;6;0;0;0;0;0;0;0;261
Schaijk-G0843;0;0;1722;24;0;3;4;0;0;2.0;0;0;0;0;0;0;0;0;0;200
Schalkwijk-G1169;0;0;724;25;55;46;9;4;8;0.0;0;0;0;0;0;0;0;2;0;26
Scheemda-G0039;0;0;14;1716;672;702;362;420;0;0.0;19;0;0;0;76;0;0;0;0;390
Schellinkhout-G0442;0;0;12;145;5;3;119;6;3;2.0;2;0;0;0;0;0;0;0;0;34
Schelluinen-G0605;0;0;0;89;58;2;50;2;51;0.0;0;4;0;0;0;0;0;0;0;33
Schermerhorn-G0443;0;0;235;194;99;11;41;15;0;0.0;2;0;0;0;0;0;0;0;0;38
Scherpenisse-G0705;0;0;1;194;61;121;64;0;266;0.0;0;0;0;0;0;0;0;0;0;158
Scherpenzeel-G0279;0;0;11;403;271;469;75;4;78;1.0;3;0;0;0;0;0;0;0;0;122
Schiedam-G0606;0;0;10049;15137;4059;4197;2646;2006;681;614.0;426;138;0;0;0;0;0;0;0;3697
Schiermonnikoog-G0088;0;0;4;164;144;36;32;1;0;0.0;1;0;0;0;0;2;0;0;0;64
Schijndel-G0844;0;0;5224;214;16;34;8;12;0;13.0;0;0;0;0;0;0;0;0;0;287
Schimmert-G0961;0;0;1024;27;0;0;0;0;0;0.0;2;0;5;0;0;0;0;0;0;64
Schinnen-G0962;0;0;1951;106;0;0;0;6;0;0.0;4;0;4;10;0;0;0;0;0;193
Schinveld-G0963;0;0;1503;100;0;0;0;33;0;0.0;2;0;10;33;0;0;0;0;0;212
Schipluiden-G0607;0;0;1443;106;386;466;18;5;52;19.0;4;0;0;0;0;0;0;0;0;94
Schoondijke-G0706;0;0;190;360;205;102;207;2;23;0.0;10;0;0;0;0;0;28;0;0;122
Schoonebeek-G0129;0;0;870;436;419;648;173;20;0;0.0;8;0;0;0;0;0;0;0;0;185
Schoonhoven-G0608;0;0;529;1039;684;326;230;21;176;13.0;0;3;0;0;0;0;0;0;0;222
Schoonrewoerd-G0609;0;0;3;88;196;102;24;0;170;0.0;2;0;0;0;0;0;0;0;0;72
Schoorl-G0444;0;0;522;636;55;29;331;120;1;12.0;2;8;0;0;0;0;0;0;0;179
Serooskerke (Schouwen)-G1175;0;0;3;46;9;27;21;0;2;0.0;0;0;0;0;0;0;0;0;0;30
Serooskerke (Walcheren)-G1176;0;0;2;41;520;226;6;0;92;0.0;18;0;0;0;0;0;1;0;0;65
Sevenum-G0964;0;0;1949;15;0;0;0;0;0;0.0;0;0;0;4;0;0;0;0;0;97
's-Graveland-G0390;0;0;147;173;160;255;73;17;44;4.0;11;0;0;0;0;0;0;0;0;124
's-Gravendeel-G0517;0;0;15;1020;701;553;343;8;237;5.0;1;0;0;0;0;0;0;0;0;276
's-Gravenhage-G0518;0;0;59337;111925;40958;23767;45585;18416;4873;12340.0;834;922;0;0;0;0;0;0;0;40116
's-Gravenmoer-G0787;0;0;30;41;467;161;29;0;7;1.0;0;0;0;0;0;0;0;0;0;103
's-Gravenpolder-G0666;0;0;65;57;95;225;11;3;278;0.0;0;0;0;0;0;0;2;0;0;66
's-Gravenzande-G0519;0;0;272;1020;1050;1264;593;18;298;37.0;9;1;0;0;0;0;0;0;0;237
's-Heer Abtskerke-G0669;0;0;36;23;13;135;21;0;14;0.0;1;0;0;0;0;0;3;0;0;16
's-Heer Arendskerke-G0670;0;0;358;335;578;827;113;6;127;0.0;6;0;0;0;0;0;164;0;0;194
's-Heerenhoek-G0671;0;0;402;19;16;20;1;0;0;0.0;0;0;0;0;0;0;269;0;0;43
's-Hertogenbosch-G0796;0;0;20709;5658;670;790;364;501;0;553.0;0;0;0;0;0;0;0;0;0;3909
Sijbekarspel-G0447;0;0;333;208;4;7;168;14;0;0.0;1;0;0;0;0;0;0;0;0;41
Simpelveld-G0965;0;0;1608;81;0;0;0;12;0;0.0;0;0;351;18;0;0;0;0;0;231
Sint Annaland-G0708;0;0;18;294;216;119;74;0;617;0.0;0;0;0;0;0;0;0;0;0;339
Sint Geertruid-G0966;0;0;518;11;0;0;0;0;0;0.0;0;0;2;1;0;0;0;0;0;31
Sint Jansteen-G0709;0;0;1545;200;6;54;13;8;7;0.0;3;0;0;0;0;0;44;0;0;215
Sint Laurens-G1179;0;0;7;94;325;227;35;1;86;0.0;4;0;0;0;0;0;1;0;0;56
Sint Maarten-G0445;0;0;158;215;135;6;147;50;3;0.0;8;2;0;0;0;0;0;0;0;55
Sint Maartensdijk-G0711;0;0;20;575;62;154;76;0;469;0.0;0;0;0;0;0;0;0;0;0;309
Sint Odiliënberg-G0967;0;0;689;41;0;0;0;0;0;0.0;0;0;2;1;0;0;0;0;0;66
Sint Pancras-G0446;0;0;33;250;184;217;118;37;6;0.0;3;1;0;0;0;0;0;0;0;109
Sint Philipsland-G0712;0;0;5;107;203;150;40;0;616;0.0;0;0;0;0;0;0;0;0;0;189
Sint-Michielsgestel-G0845;0;0;3012;140;13;42;14;18;0;16.0;0;0;0;0;0;0;0;0;0;373
Sint-Oedenrode-G0846;0;0;3916;145;13;57;18;24;1;8.0;0;0;0;0;0;0;0;0;0;495
Sittard-G0968;0;0;9285;1489;0;0;0;75;0;0.0;33;0;79;245;0;0;0;0;0;1350
Sleen-G0130;0;0;15;1312;524;378;772;257;0;0.0;7;0;0;0;0;0;0;0;0;405
Slenaken-G0969;0;0;232;16;0;0;0;1;0;0.0;0;0;0;7;0;0;0;0;0;35
Sliedrecht-G0610;0;0;53;3508;1115;918;693;155;1590;26.0;71;20;0;0;0;0;0;0;0;1255
Slochteren-G0040;0;0;71;3225;1089;840;971;339;0;0.0;449;0;0;0;249;0;0;0;0;997
Sloten (F)-G0089;0;0;61;102;82;141;10;1;9;0.0;1;0;0;0;0;0;0;0;0;27
Sluis-G0713;0;0;654;367;43;102;96;7;4;0.0;1;0;0;0;0;0;6;0;0;151
Smallingerland-G0090;0;0;135;4328;3292;969;566;514;14;0.0;353;247;0;0;0;109;0;0;0;610
Smilde-G0131;0;0;10;1109;974;985;252;26;0;0.0;76;0;0;0;0;0;0;0;0;319
Sneek-G0091;0;0;1321;3359;2090;1689;838;538;24;0.0;32;0;0;0;0;104;0;0;0;1143
Snelrewaard-G0341;0;0;167;8;36;27;21;0;53;0.0;0;0;0;0;0;0;0;0;0;14
Soest-G0342;0;0;4019;2846;2163;904;1697;264;233;0.0;58;0;0;0;0;0;0;41;0;1645
Someren-G0847;0;0;3798;51;2;72;0;5;0;9.0;0;0;0;0;0;0;0;0;0;456
Sommelsdijk-G1184;0;0;23;623;513;49;251;10;566;1.0;3;0;0;0;0;0;0;0;0;296
Son en Breugel-G0848;0;0;1838;70;4;15;3;0;2;11.0;0;0;0;0;0;0;0;0;0;179
Spanbroek-G1186;0;0;853;114;4;1;45;13;0;10.0;0;0;0;0;0;0;0;0;0;32
Spaubeek-G0970;0;0;808;37;0;0;0;8;0;0.0;2;0;9;7;0;0;0;0;0;54
Spijkenisse-G0612;0;0;21;741;319;316;164;10;72;5.0;2;0;0;0;0;0;0;0;0;138
Sprang-Capelle-G0849;0;0;162;493;920;802;317;0;302;22.0;0;0;0;0;0;0;0;0;0;426
Stad aan 't Haringvliet-G1188;0;0;3;151;219;54;109;0;130;4.0;0;0;0;0;0;0;0;0;0;110
Stad Delden-G0179;0;0;1244;386;111;109;142;7;1;0.0;0;0;0;0;0;0;0;0;0;156
Standdaarbuiten-G0850;0;0;1000;12;10;28;5;0;0;36.0;0;0;0;0;0;0;0;0;0;82
Staphorst-G0180;0;0;35;641;1486;325;377;15;1437;0.0;263;0;0;0;0;0;0;0;0;414
Stavenisse-G0714;0;0;5;176;52;73;39;0;355;0.0;0;0;0;0;0;0;0;0;0;263
Stavoren-G0092;0;0;4;158;134;198;23;1;0;0.0;2;0;0;0;0;4;0;0;0;115
Stedum-G0041;0;0;2;327;508;292;112;24;0;0.0;44;0;0;0;15;0;0;0;0;58
Steenbergen-G0851;0;0;4390;393;61;116;175;7;25;239.0;0;0;0;0;0;0;0;0;0;627
Steenderen-G0280;0;0;983;362;313;326;156;5;10;3.0;3;0;0;0;0;0;0;0;0;120
Steenwijk-G0181;0;0;313;2221;686;919;544;162;27;0.0;87;0;0;0;0;0;0;0;0;523
Steenwijkerwold-G0182;0;0;662;1435;339;1017;254;49;23;0.0;95;0;0;0;0;0;0;0;0;400
Stein-G0971;0;0;2581;292;0;0;0;29;0;0.0;12;0;13;69;0;0;0;0;0;486
Stellendam-G1195;0;0;6;259;319;91;65;7;142;5.0;1;0;0;0;0;0;0;0;0;161
Stevensweert-G0972;0;0;613;36;0;0;0;0;0;0.0;0;0;4;12;0;0;0;0;0;76
Stiphout-G1196;0;0;701;40;1;7;1;3;0;2.0;0;0;0;0;0;0;0;0;0;81
Stolwijk-G0615;0;0;27;586;239;55;385;21;270;6.0;0;2;0;0;0;0;0;0;0;174
Stoutenburg-G0343;0;0;638;49;54;111;4;1;71;0.0;2;0;0;0;0;0;0;1;0;70
Stramproy-G0973;0;0;880;21;0;0;0;0;0;0.0;0;0;0;3;0;0;0;0;0;58
Streefkerk-G0616;0;0;6;249;214;160;93;11;227;0.0;2;2;0;0;0;0;0;0;0;144
Strijen-G0617;0;0;12;1036;444;544;442;37;250;4.0;3;0;0;0;0;0;0;0;0;287
Susteren-G0974;0;0;2210;225;0;0;0;0;0;0.0;0;0;8;14;0;0;0;0;0;362
Swalmen-G0975;0;0;2582;164;0;0;0;0;0;0.0;0;0;10;42;0;0;0;0;0;459
't Zandt-G0054;0;0;0;764;485;224;262;15;0;0.0;11;0;0;0;63;0;0;0;0;118
Tegelen-G0976;0;0;6556;281;0;0;0;49;0;0.0;0;0;0;48;0;0;0;0;0;564
Ten Boer-G0009;0;0;8;945;982;230;357;196;0;0.0;263;0;0;0;60;0;0;0;0;206
Ter Aar-G0480;0;0;1325;64;271;411;41;2;77;26.0;1;2;0;0;0;0;0;0;0;87
Terheijden-G0853;0;0;2163;147;4;52;21;0;5;10.0;0;0;0;0;0;0;0;0;0;288
