RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;KNP;Gereformeerd Politiek Verbond (GPV);Socialistische Unie;Katholieke Democratische Lijst;Protestants-Christelijke Lijst;Middenstandspartij;Vrijzinnig-Democratische Bond (VDB);Katholieke Arbeiders Lijst;Bond van Wereldburgers;Lijst van Nunen;@abs
Den Dungen-G0768;0;0;1153;23;1;7;2;2;0;8.0;0;0;0;0;0;0;0;0;0;91
Den Ham-G0159;0;0;319;545;1228;1888;114;118;26;0.0;122;0;0;0;0;0;0;0;0;580
Den Helder-G0400;0;0;3056;10216;2913;1037;2351;407;108;161.0;193;39;0;0;0;0;0;0;0;2572
Denekamp-G0149;0;0;3256;222;73;208;62;34;4;0.0;12;0;0;0;0;0;0;0;0;105
Deurne-G0762;0;0;6638;142;25;175;53;13;0;36.0;0;0;0;0;0;0;0;0;0;792
Deventer-G0150;0;0;5399;11688;1423;1560;3204;3554;90;0.0;107;0;0;0;0;0;0;0;0;3230
Didam-G0218;0;0;3607;124;24;36;8;1;3;119.0;2;0;0;0;0;0;0;0;0;318
Diemen-G0384;0;0;900;748;359;472;222;213;11;29.0;10;1;0;0;0;0;0;0;0;284
Diepenheim-G0151;0;0;132;604;34;96;279;8;6;0.0;3;0;0;0;0;0;0;0;0;139
Diepenveen-G0152;0;0;1527;1239;174;637;876;60;11;0.0;10;0;0;0;0;0;0;0;0;353
Diessen-G0763;0;0;976;10;0;8;0;0;0;4.0;0;0;0;0;0;0;0;0;0;43
Diever-G0111;0;0;30;702;374;87;412;1;0;0.0;20;0;0;0;0;0;0;0;0;154
Dinteloord en Prinsenland-G0764;0;0;892;303;308;472;76;10;153;36.0;0;0;0;0;0;0;0;0;0;235
Dinther-G1044;0;0;1180;9;1;22;0;1;0;1.0;0;0;0;0;0;0;0;0;0;70
Dinxperlo-G0219;0;0;346;448;382;892;114;7;2;52.0;1;0;0;0;0;0;0;0;0;247
Dirksland-G0504;0;0;20;411;488;67;204;8;446;4.0;1;0;0;0;0;0;0;0;0;225
Dodewaard-G0220;0;0;25;575;182;301;101;6;150;1.0;4;0;0;0;0;0;0;0;0;114
Doesburg-G0221;0;0;1325;1119;209;442;193;49;5;22.0;7;0;0;0;0;0;0;0;0;219
Doetinchem-G0222;0;0;4002;3761;714;1296;1095;184;134;104.0;30;0;0;0;0;0;0;0;0;1190
Dokkum-G0066;0;0;143;1025;1475;421;184;14;23;0.0;15;0;0;0;0;15;0;0;0;210
Domburg-G0660;0;0;24;313;99;202;69;6;116;0.0;0;0;0;0;0;0;1;0;0;86
Dongen-G0766;0;0;5444;193;80;93;18;0;13;47.0;0;0;0;0;0;0;0;0;0;427
Doniawerstal-G0067;0;0;801;820;504;835;197;3;15;0.0;2;0;0;0;0;12;0;0;0;250
Doorn-G0315;0;0;313;985;679;747;695;14;128;0.0;28;0;0;0;0;0;0;13;0;665
Doornspijk-G0223;0;0;81;331;834;641;75;6;1089;11.0;15;0;0;0;0;0;0;0;0;405
Dordrecht-G0505;0;0;4203;17553;5437;3888;4092;1913;1108;465.0;149;145;0;0;0;0;0;0;0;5504
Dreischor-G1047;0;0;5;315;26;67;181;0;14;0.0;0;0;0;0;0;0;0;0;0;49
Dreumel-G0224;0;0;1235;92;4;24;11;0;1;21.0;0;0;0;0;0;0;0;0;0;161
Driebergen-Rijsenburg-G0316;0;0;1037;1726;1419;1086;822;51;366;0.0;51;0;0;0;0;0;0;36;0;732
Driewegen-G0661;0;0;44;99;53;126;35;1;12;0.0;1;0;0;0;0;0;11;0;0;30
Drunen-G0767;0;0;2663;81;29;73;8;0;8;14.0;0;0;0;0;0;0;0;0;0;182
Druten-G0225;0;0;3402;154;10;147;27;0;10;73.0;0;0;0;0;0;0;0;0;0;261
Dubbeldam-G0507;0;0;39;959;510;692;487;21;141;14.0;16;1;0;0;0;0;0;0;0;308
Duiven-G0226;0;0;2130;70;29;35;2;0;0;5.0;1;0;0;0;0;0;0;0;0;138
Duivendijke-G1050;0;0;2;37;82;14;31;0;5;0.0;0;0;0;0;0;0;0;0;0;89
Dussen-G0769;0;0;1209;106;263;296;24;0;64;16.0;0;0;0;0;0;0;0;0;0;303
Dwingeloo-G0112;0;0;4;909;295;103;491;2;0;0.0;3;0;0;0;0;0;0;0;0;170
Echt-G0902;0;0;5823;362;0;0;0;0;0;0.0;0;0;44;32;0;0;0;0;0;494
Echteld-G0227;0;0;38;999;123;417;174;6;244;5.0;3;0;0;0;0;0;0;0;0;185
Edam-Volendam-G0385;0;0;4083;832;160;203;428;89;5;17.0;15;3;0;0;0;0;0;0;0;196
Ede-G0228;0;0;1667;5141;5911;6069;1854;193;3389;163.0;81;0;0;0;0;0;0;0;0;2709
Eelde-G0113;0;0;33;1369;128;135;589;26;0;0.0;9;0;0;0;0;0;0;0;0;295
Eemnes-G0317;0;0;568;181;258;96;45;4;52;0.0;0;0;0;0;0;0;0;3;0;81
Eenrum-G0011;0;0;42;755;182;14;303;17;0;0.0;150;0;0;0;54;0;0;0;0;100
Eersel-G0770;0;0;1899;18;1;19;2;1;0;7.0;0;0;0;0;0;0;0;0;0;163
Eethen-G0771;0;0;48;173;547;335;200;0;117;9.0;0;0;0;0;0;0;0;0;0;196
Egmond aan Zee-G0386;0;0;263;1130;158;43;221;80;5;2.0;1;2;0;0;0;0;0;0;0;245
Egmond-Binnen-G0387;0;0;1268;120;21;18;69;17;1;15.0;0;2;0;0;0;0;0;0;0;73
Eibergen-G0229;0;0;2751;1648;534;733;392;12;3;0.0;17;0;0;0;0;0;0;0;0;428
Eijgelshoven-G0904;0;0;1813;412;0;0;0;53;0;0.0;10;0;65;60;0;0;0;0;0;338
Eijsden-G0905;0;0;2039;160;0;0;0;8;0;0.0;0;0;20;20;0;0;0;0;0;286
Eindhoven-G0772;0;0;45811;19141;2591;1856;2429;478;213;760.0;0;0;0;0;0;0;0;0;0;5821
Elburg-G0230;0;0;25;255;276;627;17;6;334;7.0;5;0;0;0;0;0;0;0;0;183
Elkerzee-G1053;0;0;3;50;86;50;57;0;18;0.0;0;0;0;0;0;0;0;0;0;70
Ellemeet-G1054;0;0;3;74;18;33;36;0;4;0.0;0;0;0;0;0;0;0;0;0;109
Ellewoutsdijk-G0663;0;0;6;125;15;95;20;0;7;0.0;0;0;0;0;0;0;0;0;0;35
Elsloo-G0903;0;0;1564;127;0;0;0;5;0;0.0;5;0;9;15;0;0;0;0;0;201
Elst-G0231;0;0;3485;968;226;822;215;11;40;52.0;1;0;0;0;0;0;0;0;0;374
Elten-G1055;0;0;328;53;20;11;1;4;2;1.0;2;0;0;0;0;0;0;0;0;107
Emmen-G0114;0;0;4914;7758;4370;3726;2698;2648;0;0.0;218;0;0;0;0;0;0;0;0;4594
Empel en Meerwijk-G0773;0;0;421;6;2;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;57
Engelen-G0774;0;0;321;23;3;23;1;0;1;4.0;0;0;0;0;0;0;0;0;0;58
Enkhuizen-G0388;0;0;798;2307;1180;665;464;132;155;31.0;27;0;0;0;0;0;0;0;0;504
Enschede-G0153;0;0;14407;20074;3800;4576;7118;7996;185;0.0;1579;0;0;0;0;0;0;0;0;6221
Epe-G0232;0;0;1125;4075;1005;1981;1272;77;469;28.0;16;0;0;0;0;0;0;0;0;1065
Ermelo-G0233;0;0;312;1223;2714;3865;566;35;1665;40.0;143;0;0;0;0;0;0;0;0;1451
Erp-G0775;0;0;1724;24;1;4;3;0;0;2.0;0;0;0;0;0;0;0;0;0;72
Esch-G0776;0;0;432;14;0;3;0;1;0;2.0;0;0;0;0;0;0;0;0;0;39
