RegioNaam;@invalid;@blank;KVP;PvdA;VVD;D66;ARP;CHU;Combinatie van Christelijke Partijen;Progressief Akkoord;Communistische Partij van Nederland;SGP;Boeren Partij;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);PvdA/PPR;Gereformeerd Politiek Verbond (GPV);Protestants-Christelijke Groepering;Binding Rechts;FNP;Lijst Koekoek;Christen-Democraten Unie;Lijst Steur;Lijst Volleman;Lijst Leferink;Lijst Kooiker;Verenigde Protestantse Partij;@abs
Overslag-G0697;8;0;19;3;1;0;0;3;0;0;2;2;11;33;0;0;0;0;0;0.0;0;0;0;14;0;0;0;32
Pannerden-G0272;9;0;615;61;7;44;2;8;0;0;5;0;26;23;6;0;1;0;2;0.0;0;0;0;0;0;0;0;280
Papendrecht-G0590;51;0;331;1962;827;828;1128;580;0;0;146;630;35;76;107;0;41;0;28;0.0;0;0;0;0;0;0;0;3633
Peize-G0124;33;0;11;0;236;76;27;43;0;748;113;0;83;0;0;0;5;0;199;0.0;0;0;0;0;0;0;0;654
Philippine-G0699;10;0;201;34;30;18;4;16;0;0;8;6;11;151;0;0;1;0;0;0.0;0;0;0;11;0;0;0;257
Piershil-G0591;10;0;3;169;62;32;41;77;0;0;3;98;13;4;3;0;2;0;0;0.0;0;0;0;0;0;0;0;160
Pijnacker-G0594;38;0;1482;772;828;537;646;1127;0;0;28;309;99;99;62;0;70;0;44;0.0;0;0;0;0;0;0;0;2127
Polsbroek-G0338;6;0;84;0;33;11;99;85;0;37;1;72;29;0;0;0;1;0;44;0.0;0;0;0;0;0;0;0;117
Poortugal-G0592;55;0;431;2285;451;875;647;430;0;0;254;154;52;82;129;0;25;0;0;0.0;0;0;0;0;0;0;0;3985
Poortvliet-G0700;7;0;3;106;45;5;93;189;0;0;0;318;51;0;0;0;0;0;0;0.0;0;4;0;0;0;0;0;221
Posterholt-G0956;64;0;0;101;27;58;0;0;1023;0;22;0;42;29;8;0;0;0;2;0.0;0;0;0;0;0;0;0;691
Prinsenbeek-G0832;57;0;2011;0;284;193;0;0;0;0;18;4;38;0;20;258;1;49;12;0.0;44;0;0;0;0;0;0;1602
Purmerend-G0439;71;0;1345;2838;1435;1679;485;328;0;0;974;18;93;534;306;0;38;0;0;0.0;0;9;22;0;0;0;0;3660
Putte-G0833;26;0;352;0;89;61;0;0;0;0;11;1;10;0;10;124;6;16;4;0.0;19;0;0;0;0;0;0;735
Putten-G0273;58;0;155;932;614;208;755;2121;0;0;59;1152;216;41;53;0;70;0;547;0.0;0;0;0;0;0;0;0;2098
Puttershoek-G0593;20;0;40;686;165;64;186;319;0;0;11;141;13;9;10;0;11;0;0;0.0;0;0;0;0;0;0;0;595
Raalte-G0177;45;0;5887;0;252;202;94;923;0;676;14;11;271;0;0;0;21;0;42;0.0;0;0;0;0;0;0;0;2028
