RegioNaam;@invalid;@blank;KVP;PvdA;VVD;D66;ARP;CHU;Combinatie van Christelijke Partijen;Progressief Akkoord;Communistische Partij van Nederland;SGP;Boeren Partij;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);PvdA/PPR;Gereformeerd Politiek Verbond (GPV);Protestants-Christelijke Groepering;Binding Rechts;FNP;Lijst Koekoek;Christen-Democraten Unie;Lijst Steur;Lijst Volleman;Lijst Leferink;Lijst Kooiker;Verenigde Protestantse Partij;@abs
Zuidlaren-G0136;63;0;73;0;1058;284;875;262;0;1312;120;0;111;0;0;0;239;0;58;0.0;0;0;0;0;0;0;0;1663
Zuidwolde-G0137;37;0;36;0;640;142;765;600;0;969;25;0;206;0;0;0;115;0;105;0.0;0;0;0;0;0;0;0;903
Zuidzande-G0735;5;0;106;21;14;7;2;7;0;0;1;0;7;132;0;0;0;0;0;0.0;0;3;0;19;0;0;0;219
Zundert-G0879;119;0;2540;0;215;149;0;0;0;0;19;6;160;0;24;209;8;64;16;0.0;134;0;0;0;0;0;0;3282
Zutphen-G0301;140;0;1411;5368;1661;835;1025;1126;0;0;756;59;136;197;221;0;71;0;61;0.0;0;0;0;0;0;0;0;4516
Zwaag-G0475;6;0;695;78;62;51;9;11;0;0;3;0;6;20;15;0;2;0;0;0.0;0;0;9;0;0;0;0;472
Zwartewaal-G0641;7;0;11;158;88;54;99;29;0;0;10;2;2;7;8;0;1;0;0;0.0;0;0;0;0;0;0;0;193
Zwartsluis-G0192;15;0;23;0;91;47;716;351;0;352;22;108;35;0;0;0;54;0;12;0.0;0;0;0;0;0;0;0;595
Zweeloo-G0138;10;0;7;0;416;62;283;66;0;522;10;0;37;0;0;0;10;0;8;0.0;0;0;0;0;0;0;0;186
Zwijndrecht-G0642;121;0;816;3342;1654;1257;2363;2039;0;0;161;704;91;154;179;0;391;0;0;0.0;0;0;0;0;0;0;0;5731
Zwolle-G0193;251;0;5053;0;4240;2296;3995;4456;0;11433;808;742;517;0;0;0;987;0;177;0.0;0;0;0;0;0;0;0;12016
