RegioNaam;@invalid;@blank;CDA;VVD;PvdA;D66;SGP;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);PSP/CPN/PPR;PvdA/PPR;RPF/GPV;PSP/CPN;RFP;Gereformeerd Politiek Verbond (GPV);SP;RPF/SGP;PPR/PSP;Fryske Nasjonale Partij;SGP-GPV-RPF;Verontruste Provinciale Statengroep;Evangelische Volkspartij;RVP;Federoalistische Partij Gronneger Bond;GOD MET ONS;Lijst Heezen;Lijst Mormon;@abs
Houten-G0321;9;9;2814;1243;0;435;243;58;114;0;0;645;129;0;0;0;22;0.0;0;0;0;0;0;0;0;0;0;0;1569
Huijbergen-G0803;2;2;557;199;101;60;0;10;6;24;0;0;0;0;0;0;1;0.0;0;0;3;0;0;0;0;0;0;0;438
Huissen-G0255;30;10;3319;1484;902;614;14;0;0;198;0;0;0;210;17;16;25;0.0;0;0;0;0;0;0;0;0;0;0;3095
Huizen-G0406;102;62;4529;4886;2197;1419;0;199;566;247;0;0;0;0;0;120;18;1696.0;0;0;0;0;0;16;0;0;0;0;5753
Hulst-G0677;53;55;3456;1552;1526;520;39;0;0;205;0;0;26;185;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;4992
Hummelo en Keppel-G0256;5;4;788;785;558;237;14;0;0;47;0;0;0;45;8;4;15;0.0;0;0;0;0;0;0;0;0;0;0;594
Hunsel-G0925;23;7;1825;350;207;172;0;6;35;34;0;0;0;0;0;0;9;5.0;0;0;0;0;0;0;0;0;0;0;1024
Idaarderadeel-G0078;17;5;730;950;2459;397;0;89;0;0;0;0;0;0;0;6;0;47.0;209;483;0;0;24;0;0;0;0;0;1033
IJlst-G0102;3;2;710;179;295;77;0;9;0;0;0;0;0;0;0;10;0;28.0;53;110;0;0;15;0;0;0;0;0;395
IJsselham-G0195;16;0;1219;529;632;171;16;0;0;44;0;0;0;55;79;69;3;0.0;0;0;0;0;0;0;0;0;0;0;761
IJsselmuiden-G0191;28;31;2469;607;487;213;1714;0;0;96;0;0;0;43;846;101;3;0.0;0;0;0;0;0;0;0;0;0;0;1141
IJsselstein-G0353;40;15;2912;1874;0;821;417;122;239;0;0;1443;90;0;0;0;38;0.0;0;0;0;0;0;0;0;0;0;0;3330
Ilpendam-G0407;14;10;515;449;374;137;0;158;31;28;0;0;0;0;0;4;1;19.0;0;0;0;0;0;7;0;0;0;0;542
