RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Vriezenveen-G0186;30;;5518;3376;981;306;489.0;40.0;28.0;98.0;624.0;12.0;5.0;5.0;31.0;8.0;4.0;17.0;7.0;;;18.0;;;;;2.0;;;1105.0
Vught-G0865;12;;6303;3964;3197;936;29.0;199.0;189.0;49.0;25.0;38.0;13.0;50.0;33.0;37.0;12.0;24.0;14.0;7.0;;1.0;4.0;6.0;4.0;;1.0;;;2692.0
Vuren-G0287;11;;2293;2037;1173;333;248.0;47.0;68.0;58.0;101.0;38.0;18.0;2.0;15.0;4.0;7.0;8.0;5.0;5.0;;4.0;2.0;2.0;1.0;2.0;0.0;;;654.0
Waalre-G0866;20;;4402;2113;2685;702;4.0;116.0;55.0;5.0;10.0;16.0;17.0;6.0;11.0;12.0;13.0;13.0;4.0;1.0;;;2.0;2.0;7.0;;1.0;;;993.0
Waalwijk-G0867;45;;7629;4876;2785;837;59.0;153.0;132.0;44.0;74.0;52.0;57.0;47.0;31.0;30.0;34.0;33.0;27.0;6.0;;1.0;6.0;9.0;1.0;;3.0;;;3292.0
Waddinxveen-G0627;24;;5043;3474;3090;928;1094.0;149.0;90.0;220.0;336.0;33.0;41.0;18.0;32.0;13.0;26.0;14.0;11.0;;15.0;6.0;6.0;;;;;;;1656.0
Wageningen-G0289;31;;5253;7844;3890;2114;379.0;1158.0;987.0;182.0;234.0;334.0;17.0;78.0;140.0;73.0;36.0;43.0;1.0;14.0;;7.0;4.0;;;10.0;0.0;5.0;;3278.0
Wanroij-G0868;10;;2308;470;252;100;;22.0;21.0;4.0;5.0;3.0;1.0;3.0;3.0;2.0;4.0;5.0;;;;;1.0;0.0;1.0;;0.0;;;248.0
Warffum-G0049;6;;385;804;239;76;4.0;19.0;21.0;37.0;26.0;5.0;;;6.0;1.0;;2.0;1.0;2.0;;;;;;2.0;;;;114.0
Warmenhuizen-G0456;6;;1359;506;599;135;2.0;39.0;50.0;6.0;5.0;16.0;3.0;3.0;3.0;10.0;5.0;4.0;1.0;;;;2.0;;;;;;;249.0
Warmond-G0628;11;;1631;580;772;228;26.0;41.0;27.0;11.0;8.0;14.0;4.0;3.0;13.0;11.0;2.0;7.0;3.0;1.0;2.0;1.0;;;;;;;;496.0
Warnsveld-G0291;13;;2147;1994;1197;388;7.0;81.0;40.0;34.0;42.0;11.0;6.0;4.0;12.0;19.0;16.0;7.0;3.0;;;3.0;1.0;;;16.0;0.0;0.0;;852.0
Waspik-G0869;9;;1561;911;323;144;19.0;18.0;20.0;6.0;19.0;4.0;6.0;5.0;1.0;1.0;3.0;2.0;1.0;;;4.0;1.0;0.0;1.0;;0.0;;;335.0
Wassenaar-G0629;11;;6094;2087;7684;1098;67.0;104.0;122.0;58.0;37.0;22.0;22.0;14.0;19.0;22.0;14.0;18.0;16.0;4.0;50.0;5.0;2.0;;;;;;;1792.0
Wateringen-G0630;4;;4900;1372;2290;538;11.0;69.0;96.0;24.0;31.0;29.0;14.0;18.0;9.0;21.0;16.0;9.0;3.0;3.0;;2.0;1.0;;1.0;;;;;1465.0
Weerselo-G0188;13;;4730;567;410;136;;24.0;18.0;6.0;4.0;5.0;3.0;3.0;11.0;5.0;2.0;9.0;1.0;;;;1.0;;;;0.0;;;273.0
Weert-G0988;126;;10947;7499;3381;1139;17.0;155.0;147.0;20.0;27.0;42.0;98.0;54.0;18.0;35.0;39.0;30.0;;3.0;65.0;17.0;6.0;36.0;13.0;;3.0;;;5372.0
Weesp-G0457;26;;3434;3805;2708;1192;41.0;147.0;219.0;59.0;63.0;46.0;60.0;22.0;48.0;35.0;41.0;20.0;24.0;11.0;;3.0;6.0;;5.0;;;;;1856.0
Wehl-G0292;5;;2381;997;377;146;1.0;32.0;20.0;2.0;2.0;9.0;7.0;1.0;1.0;2.0;2.0;5.0;2.0;;;;;0.0;3.0;1.0;0.0;;;702.0
Werkendam-G0870;30;;4866;2542;1263;367;1351.0;71.0;62.0;131.0;290.0;22.0;17.0;7.0;37.0;23.0;16.0;9.0;7.0;1.0;;6.0;2.0;5.0;1.0;;1.0;;;1418.0
Wervershoof-G0459;9;;2911;753;594;216;1.0;58.0;36.0;4.0;9.0;21.0;11.0;4.0;6.0;14.0;12.0;7.0;2.0;1.0;;;1.0;;2.0;;;;;468.0
Wessem-G0989;2;;730;365;149;43;;8.0;10.0;1.0;;2.0;4.0;;;4.0;3.0;;;;7.0;;;2.0;;;0.0;;;312.0
West Maas en Waal-G0668;32;;6057;3100;1397;386;11.0;71.0;86.0;17.0;10.0;14.0;19.0;17.0;7.0;16.0;15.0;6.0;3.0;1.0;;4.0;2.0;3.0;6.0;1.0;2.0;;;1266.0
Westerbork-G0134;8;;1285;2137;1264;228;55.0;72.0;38.0;32.0;47.0;10.0;;2.0;23.0;12.0;5.0;5.0;6.0;;;4.0;;;;;;;;312.0
Westerhoven-G0871;2;;755;285;115;40;;17.0;8.0;;;1.0;1.0;1.0;2.0;2.0;;2.0;1.0;;;;;0.0;;;0.0;;;
Wester-Koggenland-G0558;24;;3988;1560;1730;415;5.0;104.0;77.0;4.0;17.0;37.0;11.0;10.0;8.0;25.0;25.0;15.0;4.0;1.0;;2.0;4.0;;3.0;;;;;907.0
Westerschouwen-G0725;13;;1339;1168;1284;206;148.0;43.0;22.0;30.0;94.0;5.0;9.0;8.0;11.0;5.0;8.0;6.0;1.0;;;3.0;1.0;;;;;;;
Westervoort-G0293;16;;2924;2929;1260;550;7.0;151.0;97.0;31.0;23.0;26.0;14.0;12.0;9.0;12.0;12.0;19.0;6.0;;;;;1.0;;1.0;0.0;;;1087.0
Westkapelle-G0726;10;;569;575;332;63;218.0;10.0;12.0;14.0;29.0;3.0;2.0;;8.0;2.0;4.0;1.0;;;;1.0;1.0;;;;;;;143.0
Weststellingwerf-G0098;44;;4419;7597;2811;821;28.0;140.0;128.0;67.0;141.0;93.0;28.0;20.0;48.0;24.0;24.0;21.0;11.0;3.0;;4.0;5.0;;6.0;;;;;1938.0
Westvoorne-G0614;40;;2137;2725;3237;619;59.0;67.0;44.0;23.0;50.0;37.0;27.0;7.0;20.0;13.0;36.0;9.0;8.0;1.0;;1.0;4.0;;4.0;;;;;974.0
Wierden-G0189;27;;8754;2302;1624;486;476.0;73.0;35.0;65.0;560.0;6.0;9.0;5.0;46.0;7.0;17.0;7.0;3.0;1.0;;6.0;3.0;;;;0.0;;;823.0
Wieringen-G0462;16;;1111;2194;1457;319;4.0;38.0;52.0;17.0;19.0;75.0;21.0;6.0;3.0;11.0;13.0;9.0;7.0;;;3.0;3.0;;4.0;;;;;696.0
Wieringermeer-G0463;20;;3011;1984;1556;465;39.0;113.0;56.0;63.0;68.0;36.0;16.0;5.0;28.0;6.0;17.0;9.0;7.0;2.0;;7.0;1.0;;1.0;;;;;837.0
Wijchen-G0296;18;;8412;6193;2915;1059;16.0;189.0;263.0;19.0;35.0;43.0;21.0;63.0;15.0;12.0;14.0;24.0;2.0;4.0;;;11.0;11.0;;1.0;3.0;;;2921.0
Wijdewormer-G0470;0;;326;215;226;66;;9.0;14.0;3.0;6.0;9.0;;3.0;4.0;2.0;2.0;2.0;2.0;;;;;;1.0;;;;;97.0
Wijhe-G0190;8;;2359;1536;631;194;16.0;35.0;33.0;33.0;54.0;6.0;1.0;1.0;8.0;5.0;7.0;1.0;1.0;;;3.0;5.0;;;;0.0;;;296.0
Wijk bij Duurstede-G0352;8;;2946;2439;1893;746;42.0;184.0;104.0;47.0;49.0;38.0;23.0;9.0;18.0;13.0;19.0;6.0;3.0;1.0;;1.0;1.0;;;2.0;0.0;3.0;;1005.0
Willemstad-G0872;9;;822;647;472;122;11.0;20.0;20.0;4.0;28.0;3.0;7.0;1.0;3.0;4.0;9.0;7.0;4.0;1.0;;1.0;2.0;0.0;;;0.0;;;190.0
Willeskop-G0349;3;;380;72;95;25;59.0;7.0;2.0;1.0;4.0;1.0;1.0;;1.0;;2.0;;;;;;;;;;0.0;0.0;;45.0
Wilnis-G0350;12;;1905;393;909;215;129.0;41.0;27.0;22.0;100.0;5.0;2.0;;10.0;7.0;6.0;1.0;;;;;;;;1.0;0.0;1.0;;341.0
Winschoten-G0052;48;;2396;8097;1673;538;15.0;107.0;108.0;120.0;163.0;345.0;8.0;28.0;35.0;20.0;14.0;20.0;7.0;31.0;;14.0;3.0;;1.0;5.0;;;;1899.0
Winsum-G0053;7;;1313;1444;500;223;4.0;111.0;71.0;200.0;27.0;8.0;1.0;9.0;16.0;5.0;;3.0;;3.0;;2.0;;;;;;;;386.0
Winterswijk-G0294;58;;5333;7483;3877;1073;23.0;175.0;136.0;59.0;111.0;29.0;32.0;33.0;53.0;17.0;14.0;25.0;16.0;2.0;;6.0;2.0;1.0;2.0;5.0;1.0;;;2434.0
Wisch-G0295;42;;5665;3723;2083;626;16.0;128.0;97.0;23.0;61.0;23.0;23.0;5.0;69.0;19.0;11.0;17.0;10.0;;;1.0;1.0;4.0;5.0;6.0;0.0;;;2020.0
Wissenkerke-G0727;6;;937;533;380;73;122.0;17.0;10.0;39.0;28.0;3.0;4.0;1.0;9.0;;3.0;1.0;;1.0;;;1.0;;1.0;;;;;234.0
Wittem-G0990;25;;2927;1591;542;216;2.0;61.0;39.0;10.0;4.0;11.0;10.0;3.0;8.0;17.0;4.0;4.0;;1.0;16.0;2.0;1.0;32.0;;;1.0;;;203.0
Woensdrecht-G0873;18;;2358;1917;1263;347;4.0;53.0;41.0;9.0;12.0;8.0;22.0;6.0;6.0;10.0;9.0;13.0;6.0;4.0;;4.0;1.0;5.0;5.0;3.0;2.0;;;1118.0
Woerden-G0632;30;;7073;3653;3623;1151;508.0;252.0;138.0;120.0;181.0;30.0;66.0;132.0;50.0;20.0;30.0;26.0;17.0;1.0;9.0;7.0;4.0;;;;;;;1960.0
Wognum-G0466;4;;2492;760;814;271;2.0;48.0;47.0;6.0;2.0;13.0;17.0;1.0;3.0;10.0;6.0;11.0;1.0;1.0;;2.0;;;1.0;;;;;665.0
Wonseradeel-G0099;25;;3508;2254;958;345;13.0;95.0;64.0;78.0;63.0;31.0;7.0;8.0;45.0;9.0;8.0;15.0;1.0;;;3.0;4.0;;;;;;;658.0
Wormer-G0467;19;;2090;2657;1162;533;19.0;148.0;256.0;15.0;70.0;189.0;12.0;6.0;14.0;12.0;26.0;5.0;3.0;6.0;;3.0;1.0;;2.0;;;;;917.0
Woubrugge-G0633;9;;1573;531;636;247;48.0;45.0;25.0;12.0;19.0;7.0;3.0;2.0;25.0;8.0;8.0;5.0;3.0;;3.0;3.0;;;;;;;;255.0
Woudenberg-G0351;12;;2384;988;1334;272;618.0;67.0;39.0;92.0;213.0;21.0;6.0;5.0;27.0;4.0;4.0;3.0;1.0;;;1.0;2.0;;;1.0;0.0;1.0;;528.0
Woudrichem-G0874;15;;3894;2035;983;329;489.0;52.0;47.0;256.0;245.0;14.0;14.0;3.0;41.0;12.0;15.0;6.0;1.0;1.0;;4.0;3.0;2.0;1.0;;0.0;;;848.0
Wouw-G0875;27;;2550;1416;952;217;1.0;25.0;15.0;3.0;2.0;5.0;11.0;;6.0;5.0;3.0;13.0;1.0;1.0;;;;1.0;3.0;;0.0;;;942.0
Wymbritseradiel-G0683;16;;5430;1813;1111;446;30.0;159.0;67.0;59.0;117.0;13.0;8.0;6.0;70.0;6.0;9.0;16.0;;3.0;;4.0;6.0;;2.0;;;;;738.0
Zaanstad-G0479;186;;17726;33571;12871;6024;257.0;1216.0;1612.0;417.0;579.0;2092.0;413.0;136.0;182.0;208.0;240.0;112.0;134.0;218.0;;29.0;46.0;;40.0;;;;;14796.0
Zaltbommel-G0297;15;;1558;2351;1067;396;115.0;83.0;73.0;56.0;40.0;18.0;4.0;18.0;18.0;20.0;2.0;12.0;1.0;1.0;;;2.0;1.0;;1.0;0.0;;;646.0
Zandvoort-G0473;37;;2484;2916;4063;726;7.0;82.0;61.0;15.0;25.0;48.0;49.0;14.0;9.0;27.0;21.0;8.0;15.0;7.0;;1.0;3.0;;5.0;;;;;2066.0
Zederik-G0707;33;;3490;1800;1209;273;1049.0;39.0;35.0;83.0;279.0;13.0;16.0;1.0;18.0;7.0;4.0;7.0;3.0;3.0;;11.0;;;2.0;;;;;552.0
Zeeland-G0877;13;;2487;607;283;118;;23.0;26.0;2.0;4.0;6.0;2.0;30.0;6.0;3.0;6.0;7.0;5.0;;;;3.0;15.0;;;1.0;;;409.0
Zeevang-G0478;11;;770;1176;1194;333;8.0;40.0;59.0;2.0;5.0;20.0;7.0;2.0;3.0;13.0;13.0;10.0;11.0;1.0;;;;;1.0;;;;;414.0
Zeewolde-G0050;9;;664;243;455;119;30.0;15.0;10.0;33.0;37.0;4.0;6.0;1.0;2.0;2.0;5.0;;;;;;;;1.0;;;;;78.0
Zegveld-G0354;2;;764;84;177;44;117.0;10.0;6.0;11.0;86.0;1.0;3.0;1.0;1.0;;;;;;;1.0;;;;;0.0;0.0;;81.0
Zeist-G0355;163;;11617;9696;10279;2833;1163.0;620.0;419.0;626.0;466.0;110.0;123.0;86.0;189.0;294.0;57.0;38.0;38.0;8.0;;14.0;13.0;;;8.0;4.0;7.0;;6332.0
Zelhem-G0298;26;;2969;2357;1190;264;117.0;62.0;30.0;15.0;86.0;12.0;8.0;6.0;21.0;10.0;5.0;3.0;2.0;;;2.0;2.0;0.0;1.0;1.0;3.0;;;1128.0
Zevenaar-G0299;75;;7225;4735;2527;1108;26.0;216.0;95.0;51.0;52.0;40.0;27.0;12.0;27.0;12.0;16.0;43.0;12.0;;;1.0;1.0;2.0;1.0;2.0;1.0;;;2372.0
Zevenbergen-G0878;46;;3873;2988;1625;501;10.0;66.0;66.0;113.0;26.0;14.0;29.0;11.0;22.0;20.0;17.0;12.0;8.0;1.0;;;4.0;4.0;1.0;5.0;2.0;;;1624.0
Zevenhoven-G0635;1;;910;211;317;83;31.0;12.0;11.0;13.0;30.0;;5.0;;3.0;1.0;2.0;1.0;1.0;;0.0;1.0;;;;;;;;146.0
Zevenhuizen-G0636;9;;1258;1112;1021;231;238.0;38.0;18.0;22.0;68.0;9.0;14.0;3.0;5.0;4.0;13.0;4.0;2.0;;3.0;1.0;1.0;;;;;;;396.0
Zierikzee-G0732;16;;1965;2367;1180;362;186.0;53.0;49.0;48.0;154.0;11.0;9.0;7.0;12.0;8.0;8.0;14.0;4.0;1.0;;7.0;1.0;;3.0;;;;;805.0
Zijpe-G0476;7;;1998;1635;1312;333;5.0;54.0;71.0;7.0;15.0;27.0;11.0;3.0;7.0;10.0;9.0;6.0;5.0;2.0;;2.0;3.0;;4.0;;;;;650.0
Zoetermeer-G0637;114;;13781;15175;11607;5005;841.0;473.0;444.0;371.0;510.0;161.0;232.0;747.0;98.0;96.0;82.0;66.0;64.0;18.0;177.0;51.0;17.0;;;;;;;8351.0
Zoeterwoude-G0638;11;;2573;826;1008;355;30.0;81.0;50.0;10.0;8.0;11.0;16.0;4.0;10.0;16.0;5.0;9.0;1.0;;16.0;4.0;1.0;;;;;;;790.0
Zuidhorn-G0056;10;;1338;1240;736;266;11.0;89.0;35.0;886.0;39.0;10.0;1.0;3.0;26.0;2.0;4.0;2.0;3.0;1.0;;7.0;;;;;;;;401.0
Zuidlaren-G0136;17;;1610;2377;1826;466;11.0;98.0;64.0;339.0;80.0;17.0;;10.0;23.0;12.0;13.0;3.0;5.0;3.0;;2.0;3.0;;2.0;;;;;868.0
Zuidwolde-G0137;27;;2425;1555;1435;342;27.0;47.0;23.0;154.0;58.0;4.0;;6.0;24.0;3.0;3.0;8.0;11.0;;;1.0;1.0;;;;;;;621.0
Zundert-G0879;53;;4339;1782;1371;328;6.0;36.0;71.0;7.0;2.0;14.0;12.0;3.0;3.0;11.0;15.0;11.0;7.0;;;1.0;;1.0;5.0;2.0;1.0;;;1777.0
Zutphen-G0301;38;;4765;9419;3125;1374;28.0;388.0;243.0;148.0;95.0;128.0;34.0;37.0;48.0;113.0;24.0;33.0;15.0;10.0;;7.0;8.0;;;46.0;5.0;3.0;;2904.0
Zwartsluis-G0192;8;;1389;757;329;93;81.0;8.0;10.0;115.0;104.0;4.0;;1.0;11.0;4.0;5.0;5.0;;7.0;;1.0;;;;;0.0;;;243.0
Zweeloo-G0138;10;;437;750;612;94;2.0;18.0;22.0;12.0;23.0;3.0;;3.0;7.0;3.0;5.0;2.0;3.0;;;2.0;;;;;;;;67.0
Zwijndrecht-G0642;84;;8056;8173;4765;1760;901.0;246.0;182.0;589.0;454.0;62.0;124.0;28.0;55.0;49.0;48.0;39.0;44.0;3.0;;11.0;8.0;;6.0;;;;;4055.0
Zwolle-G0193;96;;17381;19608;9497;3976;383.0;978.0;846.0;1856.0;950.0;264.0;88.0;237.0;301.0;92.0;102.0;72.0;27.0;17.0;;34.0;26.0;;;;2.0;;;8947.0
