RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Noordoostpolder-G0171;69;;10565;6090;3997;1442;419.0;256.0;132.0;583.0;533.0;41.0;40.0;21.0;98.0;27.0;26.0;47.0;5.0;8.0;;10.0;8.0;;2.0;;;;;2315.0
Noordwijk-G0575;53;;6267;3366;3548;890;87.0;307.0;199.0;61.0;111.0;45.0;36.0;24.0;55.0;20.0;28.0;21.0;12.0;2.0;12.0;7.0;11.0;;;;;;;2899.0
Noordwijkerhout-G0576;27;;4850;1496;2218;526;20.0;106.0;112.0;26.0;14.0;42.0;13.0;6.0;14.0;19.0;27.0;18.0;6.0;;9.0;2.0;2.0;;;;;;;1199.0
Nootdorp-G0577;13;;2268;541;877;212;20.0;36.0;20.0;11.0;21.0;5.0;7.0;1.0;14.0;5.0;7.0;16.0;13.0;1.0;4.0;2.0;2.0;;;;;;;544.0
Norg-G0120;11;;799;1601;1374;285;1.0;79.0;34.0;47.0;23.0;11.0;;5.0;11.0;10.0;8.0;3.0;13.0;;;2.0;;;;;;;;494.0
Nuenen, Gerwen en Nederwetten-G0820;10;;5225;2659;3060;1078;11.0;223.0;182.0;40.0;44.0;17.0;16.0;13.0;16.0;23.0;19.0;10.0;2.0;4.0;;1.0;6.0;8.0;1.0;;2.0;;;1431.0
Nuland-G0821;13;;1757;627;193;91;2.0;17.0;13.0;2.0;;3.0;2.0;36.0;2.0;3.0;2.0;2.0;;;;1.0;1.0;0.0;;;0.0;;;277.0
Nunspeet-G0302;38;;6345;1986;2414;493;2746.0;85.0;48.0;144.0;1190.0;21.0;29.0;9.0;56.0;17.0;10.0;10.0;7.0;;;4.0;2.0;;;3.0;2.0;2.0;;881.0
Nuth-G0951;72;;5803;3554;1135;495;2.0;220.0;96.0;12.0;12.0;24.0;26.0;8.0;8.0;32.0;7.0;17.0;;6.0;32.0;;3.0;19.0;3.0;;0.0;;;1330.0
Obdam-G0429;3;;1986;604;643;202;;45.0;41.0;3.0;6.0;11.0;2.0;1.0;4.0;14.0;7.0;13.0;;2.0;;;;;1.0;;;;;346.0
