RegioNaam;@invalid;@blank;CDA;VVD;PvdA;SP;GL;CU;D66;PvdD;SGP;CU-SGP;Leefbaar Zuid-Holland;Fryske Nasjonale Partij (FNP);Ouderenpartij NH/VSP;Brabantse Partij;Partij Nieuw Limburg;Verenigde Senioren Partij (NB);Partij voor het Noorden;Partij voor Zeeland;Fortuyn;Mooi Utrecht;Lokaal Zuid-Holland;Gelderland Lokaal;De Groenen/Noord-Holland Anders;Een voor de Vrijheid;Nieuw Rechts;Limburgs Belang;Gemeentebelangen Friesland;Actief Drenthe;Islam Democraten;Onafhankelijke Partij Drenthe;LEEFBAAR OV/ VER. SENIOREN PARTIJ;Drentse Ouderenpartijen;Nederlandse Volksunie;ONS Flevoland / VER. SENIOREN PARTIJ;Zeeuws Belang !;Tilburgse Volkspartij (TVP);deFriezen;Drents Belang-Ver. Senioren Partij;Nieuwe Communistische Partij;Groep Hop;Nederlandse Klokkenluiders Partij;Sociaal-Liberale Partij;@abs
Aa en Hunze-G1680;;27;1310;2621;4014;1274;618;291.0;240;237.0;12.0;;;;;;;;155.0;;;;;;;;;;;444.0;;176.0;;61.0;;;;;;68.0;;;;;8330
Aalburg-G0738;;14;1343;492;287;284;49;;24;78.0;;2238.0;;;;101.0;;28.0;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;4001
Aalsmeer-G0358;;36;2558;2365;1408;746;341;;209;233.0;;675.0;;;214.0;;;;;;;;;;38.0;;;;;;;;;;;;;;;;;;;;9835
Aalten-G0197;;15;4644;1179;1389;1465;323;840.0;105;174.0;32.0;;;;;;;;;;28.0;;;74.0;;54.0;;;;;;;;;30.0;;;;;;;2.0;;;10182
Abcoude-G0305;;14;946;1068;502;260;375;139.0;186;72.0;30.0;;;;;;;;;;;34.0;;;;;;;;;;;;;;;;;;;;;;;2581
Achtkarspelen-G0059;;21;3582;611;2336;861;158;1788.0;43;111.0;;;;1745.0;;;;;39.0;;;;;;;;;;184.0;;;;;;;;;;55.0;;;;12.0;;9954
Alblasserdam-G0482;;19;1366;797;1238;748;139;1051.0;71;143.0;1266.0;;99.0;;;;;;;;26.0;;21.0;;;;;;;;21.0;;;;;;;;;;;;;;6633
Albrandswaard-G0613;;42;1457;1909;923;722;248;391.0;123;231.0;143.0;;358.0;;;;;;;;48.0;;1019.0;;;;;;;;8.0;;;;;;;;;;;;;;8618
Alkemade-G0483;;17;1991;1255;670;513;221;53.0;74;80.0;15.0;;68.0;;;;;;;;23.0;;25.0;;;;26.0;;;;;;;;;;;;;;;;;3.0;5860
Alkmaar-G0361;;145;5197;5446;7159;6356;2882;;849;1174.0;;947.0;;;936.0;;;;;;;;;;275.0;;;;;;;;;;;;;;;;;;;;39790
Almelo-G0141;;66;6133;3476;5241;3266;909;1398.0;389;415.0;81.0;;;;;;;;;;91.0;;;;;;255.0;;;;;;251.0;;;;;;;;;;;;31157
Almere-G0034;;318;5510;12984;9763;8167;3234;2262.0;1216;1946.0;96.0;;;;;;;;;;;;;;;;;;;;;;;;;752.0;;;;;;;;;78810
Alphen aan den Rijn-G0484;;107;5686;5153;3482;2986;1345;1767.0;547;568.0;404.0;;304.0;;;;;;;;61.0;;48.0;;;;102.0;;;;;;;;;;;;;;;;;11.0;30566
Alphen-Chaam-G1723;;10;1521;762;322;475;91;;43;75.0;;26.0;;;;85.0;;70.0;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;3679
Ameland-G0060;;7;480;258;319;87;43;20.0;20;38.0;;;;12.0;;;;;4.0;;;;;;;;;;217.0;;;;;;;;;;6.0;;;;0.0;;1092
Amersfoort-G0307;;177;9592;9216;8897;6805;4963;5362.0;1682;1402.0;576.0;;;;;;;;;;;955.0;;;;;;;;;;;;;;;;;;;;;;;50987
Amstelveen-G0362;;108;5748;8405;5193;3544;2681;;1362;1024.0;;950.0;;;1062.0;;;;;;;;;;177.0;;;;;;;;;;;;;;;;;;;;26672
Amsterdam-G0363;;1385;15188;37726;50786;39526;37047;;12599;9685.0;;4271.0;;;5424.0;;;;;;;;;;2269.0;;;;;;;;;;;;;;;;;;;;313689
Andijk-G0364;;9;768;469;340;274;122;;42;69.0;;304.0;;;53.0;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;2493
Anna Paulowna-G0366;;19;1398;1252;723;594;135;;74;108.0;;138.0;;;171.0;;;;;;;;;;30.0;;;;;;;;;;;;;;;;;;;;5855
Apeldoorn-G0200;;183;12864;10761;10713;8069;3191;4845.0;1327;1727.0;2288.0;;;;;;;;;;156.0;;;588.0;;445.0;;;;;;;;;221.0;;;;;;;31.0;;;61603
Appingedam-G0003;;12;979;455;1350;703;138;362.0;215;83.0;;;;;;;;;210.0;;;;;;;;;;;;;;;;;;;;;;58.0;;;;5068
Arcen en Velden-G0885;;9;1585;432;487;370;84;39.0;41;86.0;;;;;;;41.0;;;;;;;;;;;22.0;;;;;;;;;;;;;;;;;3478
Arnhem-G0202;;203;6973;7054;9924;9452;4644;1891.0;1506;1464.0;125.0;;;;;;;;;;158.0;;;556.0;;348.0;;;;;;;;;210.0;;;;;;;16.0;;;63450
Assen-G0106;;60;4038;3406;6781;3671;1518;3283.0;540;447.0;103.0;;;;;;;;198.0;;;;;;;;;;;332.0;;290.0;;155.0;;;;;;128.0;;;;;23071
Asten-G0743;;31;2541;910;618;890;202;;231;69.0;;61.0;;;;108.0;;78.0;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;6568
Baarle-Nassau-G0744;;8;1019;354;221;369;46;;25;57.0;;23.0;;;;28.0;;33.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;3008
Baarn-G0308;;58;2248;2560;1452;1097;613;702.0;296;296.0;81.0;;;;;;;;;;;563.0;;;;;;;;;;;;;;;;;;;;;;;8456
Barendrecht-G0489;;60;3574;3281;1828;1422;604;1153.0;278;372.0;937.0;;610.0;;;;;;;;50.0;;83.0;;;;;;;;12.0;;;;;;;;;;;;;;17386
Barneveld-G0203;;56;6365;2862;1123;958;290;4365.0;134;204.0;5404.0;;;;;;;;;;63.0;;;113.0;;217.0;;;;;;;;;34.0;;;;;;;20.0;;;13959
Bedum-G0005;;8;1500;358;1045;501;242;948.0;79;59.0;;;;;;;;;222.0;;;;;;;;;;;;;;;;;;;;;;5.0;;;;2974
Beek-G0888;;28;2439;1164;926;926;307;101.0;161;138.0;;;;;;;155.0;;;;;;;;;;;61.0;;;;;;;;;;;;;;;;;6613
Beemster-G0370;;31;847;1034;614;394;180;;83;115.0;;44.0;;;111.0;;;;;;;;;;29.0;;;;;;;;;;;;;;;;;;;;2981
Beesel-G0889;;17;1649;782;710;615;121;65.0;53;134.0;;;;;;;143.0;;;;;;;;;;;42.0;;;;;;;;;;;;;;;;;6056
Bellingwedde-G0007;;1;643;532;1266;924;156;167.0;67;143.0;;;;;;;;;162.0;;;;;;;;;;;;;;;;;;;;;;33.0;;;;3390
Bennebroek-G0372;;6;664;858;316;173;139;;77;73.0;;61.0;;;56.0;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;;1572
Bergambacht-G0491;;9;786;771;702;312;115;467.0;55;80.0;697.0;;62.0;;;;;;;;7.0;;56.0;;;;26.0;;;;;;;;;;;;;;;;;1.0;2903
Bergeijk-G1724;;27;3028;1472;586;857;109;;62;96.0;;59.0;;;;19.0;;44.0;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;7239
Bergen-G0893;;21;2040;677;452;591;82;45.0;286;79.0;;;;;;;144.0;;;;;;;;;;;19.0;;;;;;;;;;;;;;;;;5851
Bergen-G0373;;59;2718;3338;2049;1477;1049;;486;551.0;;200.0;;;393.0;;;;;;;;;;95.0;;;;;;;;;;;;;;;;;;;;12038
Bergen op Zoom-G0748;;97;4403;4268;3324;3855;759;;365;515.0;;395.0;;;;426.0;;256.0;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;29999
Berkelland-G1859;;36;6165;3921;3954;2310;563;443.0;337;319.0;40.0;;;;;;;;;;51.0;;;87.0;;98.0;;;;;;;;;36.0;;;;;;;6.0;;;16217
Bernheze-G1721;;22;4008;1493;940;2369;244;;100;146.0;;90.0;;;;361.0;;88.0;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;12309
Bernisse-G0568;;27;1087;1149;759;521;189;295.0;136;151.0;83.0;;195.0;;;;;;;;49.0;;72.0;;;;;;;;3.0;;;;;;;;;;;;;;5128
Best-G0753;;28;3237;1884;1249;1711;277;;332;193.0;;330.0;;;;89.0;;128.0;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;11854
Beuningen-G0209;;26;2220;1512;1434;1461;350;137.0;132;165.0;13.0;;;;;;;;;;20.0;;;97.0;;40.0;;;;;;;;;24.0;;;;;;;2.0;;;11185
Beverwijk-G0375;;94;2512;2867;2617;2122;961;;265;423.0;;259.0;;;450.0;;;;;;;;;;108.0;;;;;;;;;;;;;;;;;;;;14975
Binnenmaas-G0585;;35;2315;1926;1452;1186;852;1010.0;178;240.0;902.0;;564.0;;;;;;;;36.0;;155.0;;;;;;;;4.0;;;;;;;;;;;;;;11379
Bladel-G1728;;10;3165;948;552;1053;161;;47;98.0;;51.0;;;;58.0;;80.0;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;8196
Blaricum-G0376;;23;888;1476;590;426;196;;161;136.0;;107.0;;;118.0;;;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;;2891
Bloemendaal-G0377;;25;1735;3127;979;576;594;;463;244.0;;177.0;;;117.0;;;;;;;;;;48.0;;;;;;;;;;;;;;;;;;;;4486
Boarnsterhim-G0055;;20;1454;1285;3172;665;285;235.0;129;120.0;;;;1288.0;;;;;11.0;;;;;;;;;;99.0;;;;;;;;;;30.0;;;;17.0;;5800
Bodegraven-G0497;;29;2180;1237;770;544;313;927.0;106;128.0;603.0;;107.0;;;;;;;;13.0;;31.0;;;;24.0;;;;;;;;;;;;;;;;;4.0;7139
Boekel-G0755;;18;1714;395;292;531;98;;31;38.0;;31.0;;;;52.0;;36.0;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;3721
Bolsward-G0064;;10;1501;317;920;376;145;182.0;30;60.0;;;;330.0;;;;;0.0;;;;;;;;;;42.0;;;;;;;;;;18.0;;;;5.0;;3376
Borger-Odoorn-G1681;;30;1804;1887;3195;1382;408;741.0;213;208.0;14.0;;;;;;;;141.0;;;;;;;;;;;206.0;;119.0;;104.0;;;;;;40.0;;;;;10018
Borne-G0147;;26;3327;1097;1508;958;288;237.0;185;101.0;12.0;;;;;;;;;;18.0;;;;;;18.0;;;;;;27.0;;;;;;;;;;;;7343
Borsele-G0654;;14;2677;984;869;991;486;623.0;107;;1752.0;;;;;;;;;772.0;;;;;;;;;;;;;;;;;122.0;;;;;;;;7188
Boskoop-G0499;;11;1776;1235;584;487;312;507.0;123;124.0;291.0;;76.0;;;;;;;;23.0;;22.0;;;;27.0;;;;;;;;;;;;;;;;;3.0;5489
Boxmeer-G0756;;46;4576;1478;1274;2466;244;;133;166.0;;109.0;;;;104.0;;112.0;;;;;;;;;;;;;;;;;;;;38.0;;;;;;;10805
Boxtel-G0757;;39;3275;1573;1449;2171;402;;419;175.0;;148.0;;;;90.0;;97.0;;;;;;;;;;;;;;;;;;;;11.0;;;;;;;12885
Breda-G0758;;201;12994;12008;9236;11187;3330;;1649;1504.0;;1058.0;;;;710.0;;797.0;;;;;;;;;;;;;;;;;;;;45.0;;;;;;;74680
Breukelen-G0311;;15;1654;1287;709;511;381;601.0;194;113.0;389.0;;;;;;;;;;;176.0;;;;;;;;;;;;;;;;;;;;;;;4791
Brielle-G0501;;35;1020;1526;1003;1262;204;151.0;157;157.0;25.0;;146.0;;;;;;;;34.0;;59.0;;;;;;;;0.0;;;;;;;;;;;;;;6463
Bronckhorst-G1876;;42;6210;3110;2678;1711;493;517.0;292;308.0;125.0;;;;;;;;;;22.0;;;92.0;;86.0;;;;;;;;;19.0;;;;;;;4.0;;;13409
Brummen-G0213;;18;1743;1601;1915;1129;340;219.0;165;174.0;36.0;;;;;;;;;;24.0;;;147.0;;57.0;;;;;;;;;20.0;;;;;;;13.0;;;8615
Brunssum-G0899;;69;2529;1340;1921;2451;246;310.0;107;317.0;;;;;;;451.0;;;;;;;;;;;124.0;;;;;;;;;;;;;;;;;13540
Bunnik-G0312;;22;2018;1251;1068;569;816;232.0;265;149.0;103.0;;;;;;;;;;;90.0;;;;;;;;;;;;;;;;;;;;;;;4073
Bunschoten-G0313;;18;2721;511;291;186;58;4040.0;36;55.0;219.0;;;;;;;;;;;57.0;;;;;;;;;;;;;;;;;;;;;;;5918
Buren-G0214;;25;1953;2689;1582;915;370;458.0;218;212.0;613.0;;;;;;;;;;37.0;;;85.0;;93.0;;;;;;;;;21.0;;;;;;;8.0;;;10234
Bussum-G0381;;53;2646;3629;1933;1315;1080;;616;389.0;;440.0;;;423.0;;;;;;;;;;54.0;;;;;;;;;;;;;;;;;;;;10763
Capelle aan den IJssel-G0502;;102;3599;4398;3637;2637;821;1537.0;382;732.0;1760.0;;879.0;;;;;;;;90.0;;64.0;;;;138.0;;;;;;;;;;;;;;;;;17.0;28746
Castricum-G0383;;57;3659;3490;2612;1670;1462;;401;465.0;;276.0;;;396.0;;;;;;;;;;137.0;;;;;;;;;;;;;;;;;;;;11852
Coevorden-G0109;;38;3256;3184;3835;1613;405;582.0;189;258.0;29.0;;;;;;;;124.0;;;;;;;;;;;280.0;;203.0;;201.0;;;;;;90.0;;;;;13514
Cranendonck-G1706;;46;2562;1146;761;1154;110;;72;134.0;;98.0;;;;66.0;;71.0;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;9404
Cromstrijen-G0611;;13;1306;949;743;547;262;258.0;125;95.0;424.0;;186.0;;;;;;;;10.0;;219.0;;;;;;;;0.0;;;;;;;;;;;;;;4958
Cuijk-G1684;;29;2616;1124;1144;1800;271;;220;144.0;;78.0;;;;123.0;;131.0;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;10310
Culemborg-G0216;;35;1799;1765;1709;1529;957;415.0;414;195.0;97.0;;;;;;;;;;32.0;;;55.0;;57.0;;;;;;;;;34.0;;;;;;;3.0;;;10486
Dalfsen-G0148;;27;4844;1351;1264;730;256;1729.0;103;124.0;236.0;;;;;;;;;;63.0;;;;;;27.0;;;;;;42.0;;;;;;;;;;;;9057
Dantumadeel-G0065;;18;2427;400;1669;508;175;1642.0;47;64.0;;;;948.0;;;;;21.0;;;;;;;;;;170.0;;;;;;;;;;40.0;;;;5.0;;6661
De Bilt-G0310;;62;4139;4781;2734;2179;1692;1164.0;1063;554.0;680.0;;;;;;;;;;;233.0;;;;;;;;;;;;;;;;;;;;;;;12737
De Marne-G1663;;18;1197;622;1198;645;297;652.0;65;133.0;;;;;;;;;171.0;;;;;;;;;;;;;;;;;;;;;;20.0;;;;3362
De Ronde Venen-G0736;;56;4276;3407;1369;1034;411;850.0;278;331.0;294.0;;;;;;;;;;;413.0;;;;;;;;;;;;;;;;;;;;;;;13022
De Wolden-G1690;;17;2654;2438;2099;766;406;600.0;211;195.0;43.0;;;;;;;;69.0;;;;;;;;;;;404.0;;204.0;;91.0;;;;;;54.0;;;;;7804
Delft-G0503;;218;5948;5794;6577;4896;3883;1483.0;1561;988.0;256.0;;688.0;;;;;;;;107.0;;64.0;;;;;;;;74.0;;;;;;;;;;;;;;38841
Delfzijl-G0010;;41;2310;1118;2863;1558;258;896.0;160;236.0;;;;;;;;;406.0;;;;;;;;;;;;;;;;;;;;;;49.0;;;;11400
Den Helder-G0400;;89;2781;3659;3063;2753;464;;1065;596.0;;1479.0;;;597.0;;;;;;;;;;79.0;;;;;;;;;;;;;;;;;;;;28393
Deurne-G0762;;48;4411;1612;1202;1792;350;;143;145.0;;121.0;;;;102.0;;180.0;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;14038
Deventer-G0150;;95;7015;5619;8444;5594;2785;1581.0;1017;736.0;72.0;;;;;;;;;;106.0;;;;;;128.0;;;;;;303.0;;;;;;;;;;;;37649
Diemen-G0384;;44;1047;1950;1646;1421;842;;290;297.0;;212.0;;;254.0;;;;;;;;;;59.0;;;;;;;;;;;;;;;;;;;;9514
Dinkelland-G1774;;20;6718;1096;816;594;221;147.0;87;130.0;9.0;;;;;;;;;;31.0;;;;;;34.0;;;;;;32.0;;;;;;;;;;;;9284
Dirksland-G0504;;6;535;404;393;316;36;425.0;26;83.0;1038.0;;41.0;;;;;;;;15.0;;16.0;;;;;;;;0.0;;;;;;;;;;;;;;2860
Doesburg-G0221;;13;848;661;890;1091;190;159.0;120;91.0;16.0;;;;;;;;;;9.0;;;19.0;;32.0;;;;;;;;;13.0;;;;;;;1.0;;;4515
Doetinchem-G0222;;53;5334;3133;3724;3238;1358;858.0;323;415.0;221.0;;;;;;;;;;74.0;;;122.0;;164.0;;;;;;;;;65.0;;;;;;;22.0;;;23650
Dongen-G0766;;34;2568;1509;1208;2065;253;;143;212.0;;254.0;;;;78.0;;82.0;;;;;;;;;;;;;;;;;;;;13.0;;;;;;;10625
Dongeradeel-G0058;;14;3947;715;1731;787;217;1417.0;83;143.0;;;;1491.0;;;;;28.0;;;;;;;;;;92.0;;;;;;;;;;57.0;;;;10.0;;7757
Dordrecht-G0505;;155;6100;6426;6688;6015;2135;3150.0;749;1169.0;1384.0;;1007.0;;;;;;;;234.0;;186.0;;;;;;;;382.0;;;;;;;;;;;;;;51983
Drechterland-G0498;;28;1902;1896;926;826;248;;135;164.0;;132.0;;;220.0;;;;;;;;;;50.0;;;;;;;;;;;;;;;;;;;;7467
Drimmelen-G1719;;38;2646;1832;1148;1707;274;;167;207.0;;144.0;;;;409.0;;132.0;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;11790
Dronten-G0303;;51;4253;3211;1931;1402;599;1676.0;205;280.0;102.0;;;;;;;;;;;;;;;;;;;;;;;;;129.0;;;;;;;;;13220
Druten-G0225;;19;1786;914;916;1047;214;86.0;97;97.0;15.0;;;;;;;;;;16.0;;;66.0;;36.0;;;;;;;;;9.0;;;;;;;3.0;;;8088
Duiven-G0226;;22;2589;1604;1396;1315;493;279.0;158;180.0;10.0;;;;;;;;;;110.0;;;91.0;;72.0;;;;;;;;;24.0;;;;;;;6.0;;;10252
Echt-Susteren-G1711;;54;5944;1235;1419;1630;685;261.0;124;355.0;;;;;;;246.0;;;;;;;;;;;124.0;;;;;;;;;;;;;;;;;13136
Edam-Volendam-G0385;;46;4881;1445;813;699;451;;108;246.0;;135.0;;;221.0;;;;;;;;;;44.0;;;;;;;;;;;;;;;;;;;;12360
Ede-G0228;;91;11411;6592;4708;3378;1825;7410.0;654;683.0;6157.0;;;;;;;;;;121.0;;;282.0;;293.0;;;;;;;;;100.0;;;;;;;26.0;;;35296
Eemnes-G0317;;5;1022;800;455;375;139;186.0;95;78.0;24.0;;;;;;;;;;;372.0;;;;;;;;;;;;;;;;;;;;;;;2944
Eemsmond-G1651;;19;1883;740;1990;904;423;1126.0;74;154.0;;;;;;;;;247.0;;;;;;;;;;;;;;;;;;;;;;13.0;;;;5169
Eersel-G0770;;30;2982;1143;639;922;179;;107;109.0;;90.0;;;;70.0;;79.0;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;6968
Eijsden-G0905;;8;1409;509;1054;445;157;48.0;59;82.0;;;;;;;937.0;;;;;;;;;;;21.0;;;;;;;;;;;;;;;;;4080
Eindhoven-G0772;;299;13581;10839;10742;15118;3753;;1824;1525.0;;1738.0;;;;682.0;;1343.0;;;;;;;;;;;;;;;;;;;;62.0;;;;;;;96529
Elburg-G0230;;19;2324;1018;784;514;126;2498.0;52;125.0;1685.0;;;;;;;;;;14.0;;;47.0;;31.0;;;;;;;;;8.0;;;;;;;14.0;;;7319
Emmen-G0114;;144;8693;4130;11205;5714;1161;2238.0;573;747.0;80.0;;;;;;;;475.0;;;;;;;;;;;204.0;;330.0;;971.0;;;;;;173.0;;;;;47223
Enkhuizen-G0388;;35;1221;1146;1321;956;315;;167;174.0;;432.0;;;157.0;;;;;;;;;;58.0;;;;;;;;;;;;;;;;;;;;7577
Enschede-G0153;;264;9624;7955;12559;7918;2980;3589.0;1185;1076.0;159.0;;;;;;;;;;259.0;;;;;;267.0;;;;;;237.0;;;;;;;;;;;;67631
Epe-G0232;;34;3311;2780;2565;1283;451;1132.0;212;336.0;624.0;;;;;;;;;;46.0;;;85.0;;82.0;;;;;;;;;41.0;;;;;;;31.0;;;12669
Ermelo-G0233;;32;3846;1667;962;856;399;2196.0;131;235.0;717.0;;;;;;;;;;18.0;;;77.0;;72.0;;;;;;;;;28.0;;;;;;;148.0;;;8508
Etten-Leur-G0777;;33;3298;2474;1954;2394;439;;249;290.0;;277.0;;;;356.0;;154.0;;;;;;;;;;;;;;;;;;;;16.0;;;;;;;18356
Ferwerderadiel-G1722;;14;1353;321;659;258;80;371.0;19;65.0;;;;594.0;;;;;5.0;;;;;;;;;;80.0;;;;;;;;;;22.0;;;;6.0;;2909
Franekeradeel-G0070;;20;2271;743;2102;734;250;594.0;63;144.0;;;;1194.0;;;;;21.0;;;;;;;;;;216.0;;;;;;;;;;52.0;;;;11.0;;7287
Gaasterlân-Sleat-G0653;;15;1550;446;625;298;139;361.0;42;63.0;;;;1067.0;;;;;32.0;;;;;;;;;;54.0;;;;;;;;;;16.0;;;;9.0;;3140
Geertruidenberg-G0779;;30;1661;1276;975;1403;216;;83;148.0;;136.0;;;;170.0;;95.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;9978
Geldermalsen-G0236;;40;2628;2283;1550;940;390;472.0;273;203.0;1267.0;;;;;;;;;;49.0;;;108.0;;64.0;;;;;;;;;41.0;;;;;;;2.0;;;9042
Geldrop-Mierlo-G1771;;54;3895;2167;1674;2908;683;;240;270.0;;262.0;;;;115.0;;202.0;;;;;;;;;;;;;;;;;;;;9.0;;;;;;;16330
Gemert-Bakel-G1652;;38;3773;1666;962;1762;233;;81;137.0;;80.0;;;;111.0;;134.0;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;12162
Gennep-G0907;;20;1545;620;652;756;109;45.0;2039;78.0;;;;;;;38.0;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;7071
Giessenlanden-G0689;;34;1776;1215;906;532;129;1055.0;85;80.0;374.0;;72.0;;;;;;;;21.0;;41.0;;;;;;;;1.0;;;;;;;;;;;;;;4557
Gilze en Rijen-G0784;;44;2620;1492;1319;1656;242;;148;166.0;;114.0;;;;131.0;;155.0;;;;;;;;;;;;;;;;;;;;14.0;;;;;;;10842
Goedereede-G0511;;12;1140;847;454;367;64;591.0;39;83.0;1691.0;;85.0;;;;;;;;24.0;;14.0;;;;;;;;3.0;;;;;;;;;;;;;;3525
Goes-G0664;;41;3676;2190;2020;2012;1330;1240.0;273;;1378.0;;;;;;;;;529.0;;;;;;;;;;;;;;;;;232.0;;;;;;;;13329
Goirle-G0785;;25;2204;1350;1223;1741;342;;166;161.0;;93.0;;;;61.0;;94.0;;;;;;;;;;;;;;;;;;;;30.0;;;;;;;9666
Gorinchem-G0512;;57;1967;1851;2172;1626;479;958.0;221;256.0;277.0;;126.0;;;;;;;;49.0;;27.0;;;;;;;;18.0;;;;;;;;;;;;;;14768
Gouda-G0513;;120;4540;3996;4944;3486;2087;2514.0;790;732.0;1490.0;;430.0;;;;;;;;78.0;;380.0;;;;135.0;;;;;;;;;;;;;;;;;26.0;26009
Graafstroom-G0693;;11;1498;447;338;241;78;1004.0;24;35.0;881.0;;47.0;;;;;;;;8.0;;12.0;;;;;;;;1.0;;;;;;;;;;;;;;2286
Graft-De Rijp-G0365;;13;644;688;447;395;130;;66;106.0;;24.0;;;75.0;;;;;;;;;;12.0;;;;;;;;;;;;;;;;;;;;2347
Grave-G0786;;15;1420;862;539;1146;220;;143;102.0;;54.0;;;;80.0;;55.0;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;4764
Groesbeek-G0241;;17;2251;862;1322;1125;439;108.0;73;180.0;7.0;;;;;;;;;;11.0;;;60.0;;37.0;;;;;;;;;26.0;;;;;;;6.0;;;8242
Groningen-G0014;;247;8073;8323;17889;12800;9335;5496.0;3254;1695.0;;;;;;;;;2175.0;;;;;;;;;;;;;;;;;;;;;;348.0;;;;77230
Grootegast-G0015;;15;1975;425;689;406;138;871.0;37;55.0;;;;;;;;;124.0;;;;;;;;;;;;;;;;;;;;;;6.0;;;;4184
Gulpen-Wittem-G1729;;38;2367;510;816;747;345;105.0;77;157.0;;;;;;;1195.0;;;;;;;;;;;71.0;;;;;;;;;;;;;;;;;5289
Haaksbergen-G0158;;25;4175;1477;1692;887;255;210.0;140;124.0;13.0;;;;;;;;;;59.0;;;;;;35.0;;;;;;59.0;;;;;;;;;;;;9372
Haaren-G0788;;7;2077;1001;511;651;180;;82;83.0;;61.0;;;;50.0;;65.0;;;;;;;;;;;;;;;;;;;;25.0;;;;;;;5479
Haarlem-G0392;;232;7433;9368;10450;10310;5706;;1902;2343.0;;1610.0;;;1637.0;;;;;;;;;;443.0;;;;;;;;;;;;;;;;;;;;59869
Haarlemmerliede en Spaarnwoude-G0393;;7;507;572;310;236;170;;76;68.0;;56.0;;;54.0;;;;;;;;;;27.0;;;;;;;;;;;;;;;;;;;;2003
Haarlemmermeer-G0394;;213;10086;12888;5982;5242;2867;;1032;1524.0;;2401.0;;;1099.0;;;;;;;;;;202.0;;;;;;;;;;;;;;;;;;;;56569
Halderberge-G1655;;30;2661;2017;1124;1502;236;;164;216.0;;161.0;;;;566.0;;203.0;;;;;;;;;;;;;;;;;;;;11.0;;;;;;;13722
Hardenberg-G0160;;51;9162;2274;3322;1794;439;4554.0;180;255.0;358.0;;;;;;;;;;122.0;;;;;;56.0;;;;;;114.0;;;;;;;;;;;;20566
Harderwijk-G0243;;39;4468;2636;1914;1500;644;3174.0;276;321.0;445.0;;;;;;;;;;32.0;;;132.0;;130.0;;;;;;;;;31.0;;;;;;;64.0;;;15388
Hardinxveld-Giessendam-G0523;;24;1574;641;896;438;77;2004.0;28;85.0;1731.0;;92.0;;;;;;;;18.0;;26.0;;;;;;;;2.0;;;;;;;;;;;;;;5389
Haren-G0017;;14;1991;2090;2072;821;1089;807.0;446;195.0;;;;;;;;;259.0;;;;;;;;;;;;;;;;;;;;;;10.0;;;;4544
Harenkarspel-G0395;;18;1576;1212;786;664;247;;112;148.0;;102.0;;;149.0;;;;;;;;;;68.0;;;;;;;;;;;;;;;;;;;;6691
Harlingen-G0072;;22;1199;750;1572;819;302;410.0;92;122.0;;;;315.0;;;;;20.0;;;;;;;;;;111.0;;;;;;;;;;48.0;;;;23.0;;6016
Hattem-G0244;;14;1262;700;1041;386;139;1401.0;83;76.0;96.0;;;;;;;;;;10.0;;;15.0;;15.0;;;;;;;;;8.0;;;;;;;4.0;;;3595
Heemskerk-G0396;;58;2920;2512;2418;1812;1092;;233;357.0;;342.0;;;487.0;;;;;;;;;;89.0;;;;;;;;;;;;;;;;;;;;16002
Heemstede-G0397;;25;2673;3923;1573;999;950;;590;380.0;;275.0;;;230.0;;;;;;;;;;71.0;;;;;;;;;;;;;;;;;;;;7562
Heerde-G0246;;16;2258;955;1307;510;148;1597.0;77;169.0;216.0;;;;;;;;;;28.0;;;26.0;;35.0;;;;;;;;;15.0;;;;;;;19.0;;;6527
Heerenveen-G0074;;34;3271;2358;5751;1618;817;988.0;299;380.0;;;;1175.0;;;;;131.0;;;;;;;;;;115.0;;;;;;;;;;126.0;;;;27.0;;15903
Heerhugowaard-G0398;;72;3424;3511;2773;2444;803;;307;446.0;;602.0;;;449.0;;;;;;;;;;109.0;;;;;;;;;;;;;;;;;;;;21721
Heerlen-G0917;;173;6447;3444;4850;9724;1039;640.0;348;829.0;;;;;;;631.0;;;;;;;;;;;417.0;;;;;;;;;;;;;;;;;42177
