RegioNaam;@invalid;@blank;CDA;VVD;PvdA;SP;GL;CU;D66;PvdD;SGP;CU-SGP;Leefbaar Zuid-Holland;Fryske Nasjonale Partij (FNP);Ouderenpartij NH/VSP;Brabantse Partij;Partij Nieuw Limburg;Verenigde Senioren Partij (NB);Partij voor het Noorden;Partij voor Zeeland;Fortuyn;Mooi Utrecht;Lokaal Zuid-Holland;Gelderland Lokaal;De Groenen/Noord-Holland Anders;Een voor de Vrijheid;Nieuw Rechts;Limburgs Belang;Gemeentebelangen Friesland;Actief Drenthe;Islam Democraten;Onafhankelijke Partij Drenthe;LEEFBAAR OV/ VER. SENIOREN PARTIJ;Drentse Ouderenpartijen;Nederlandse Volksunie;ONS Flevoland / VER. SENIOREN PARTIJ;Zeeuws Belang !;Tilburgse Volkspartij (TVP);deFriezen;Drents Belang-Ver. Senioren Partij;Nieuwe Communistische Partij;Groep Hop;Nederlandse Klokkenluiders Partij;Sociaal-Liberale Partij;@abs
Sliedrecht-G0610;;25;1649;998;1262;1153;166;1648.0;64;164.0;1769.0;;139.0;;;;;;;;45.0;;28.0;;;;;;;;14.0;;;;;;;;;;;;;;8778
Slochteren-G0040;;25;1292;838;1597;750;285;988.0;116;137.0;;;;;;;;;271.0;;;;;;;;;;;;;;;;;;;;;;21.0;;;;5309
Sluis-G1714;;31;2521;1956;1412;1123;275;269.0;106;;115.0;;;;;;;;;981.0;;;;;;;;;;;;;;;;;103.0;;;;;;;;9304
Smallingerland-G0090;;60;5617;2059;6165;2647;819;3356.0;304;274.0;;;;1533.0;;;;;100.0;;;;;;;;;;192.0;;;;;;;;;;116.0;;;;21.0;;18426
Sneek-G0091;;45;3048;1703;3364;1526;542;767.0;239;236.0;;;;1073.0;;;;;31.0;;;;;;;;;;48.0;;;;;;;;;;62.0;;;;28.0;;12456
Soest-G0342;;84;4164;4756;2227;1762;993;1214.0;547;517.0;231.0;;;;;;;;;;;1383.0;;;;;;;;;;;;;;;;;;;;;;;16014
Someren-G0847;;27;2546;896;537;776;118;;58;95.0;;84.0;;;;590.0;;93.0;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;7818
Son en Breugel-G0848;;24;1892;1454;654;817;199;;144;138.0;;127.0;;;;50.0;;73.0;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;5877
Spijkenisse-G0612;;120;2902;4468;4045;3907;771;974.0;303;821.0;206.0;;888.0;;;;;;;;636.0;;107.0;;;;;;;;23.0;;;;;;;;;;;;;;36477
Stadskanaal-G0037;;36;3571;1056;3180;1730;255;1922.0;114;205.0;;;;;;;;;358.0;;;;;;;;;;;;;;;;;;;;;;34.0;;;;13949
Staphorst-G0180;;6;1441;589;392;188;74;1860.0;27;53.0;2690.0;;;;;;;;;;20.0;;;;;;12.0;;;;;;23.0;;;;;;;;;;;;3566
Stede Broec-G0532;;37;1851;1437;1089;1049;218;;114;210.0;;194.0;;;237.0;;;;;;;;;;49.0;;;;;;;;;;;;;;;;;;;;9463
Steenbergen-G0851;;51;1693;1960;960;1203;229;;96;185.0;;413.0;;;;191.0;;85.0;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;11034
Steenwijkerland-G1708;;59;5404;2862;3523;1914;663;1849.0;225;367.0;117.0;;;;;;;;;;53.0;;;;;;50.0;;;;;;71.0;;;;;;;;;;;;15785
Stein-G0971;;52;3421;1106;1948;1569;286;135.0;136;260.0;;;;;;;149.0;;;;;;;;;;;105.0;;;;;;;;;;;;;;;;;11790
Strijen-G0617;;14;833;604;444;403;172;320.0;71;101.0;138.0;;151.0;;;;;;;;9.0;;36.0;;;;;;;;0.0;;;;;;;;;;;;;;3720
Ten Boer-G0009;;7;824;265;792;410;195;630.0;59;57.0;;;;;;;;;124.0;;;;;;;;;;;;;;;;;;;;;;5.0;;;;1993
Terneuzen-G0715;;53;4620;2574;3291;2528;591;1803.0;185;;1078.0;;;;;;;;;2675.0;;;;;;;;;;;;;;;;;190.0;;;;;;;;21316
Terschelling-G0093;;4;389;572;473;195;135;39.0;36;52.0;;;;45.0;;;;;8.0;;;;;;;;;;8.0;;;;;;;;;;6.0;;;;4.0;;1825
Texel-G0448;;27;1663;1105;1251;705;355;;112;166.0;;191.0;;;94.0;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;4578
Teylingen-G1525;;59;4321;3423;1595;1434;542;445.0;305;252.0;42.0;;99.0;;;;;;;;34.0;;26.0;;;;51.0;;;;;;;;;;;;;;;;;4.0;12966
Tholen-G0716;;27;1766;1114;1246;961;114;1177.0;57;;3036.0;;;;;;;;;404.0;;;;;;;;;;;;;;;;;71.0;;;;;;;;8482
Tiel-G0281;;52;2399;2492;2763;1563;838;470.0;237;292.0;134.0;;;;;;;;;;32.0;;;129.0;;109.0;;;;;;;;;42.0;;;;;;;8.0;;;18143
Tilburg-G0855;;211;12869;9063;9207;13734;3583;;1490;1281.0;;849.0;;;;451.0;;1330.0;;;;;;;;;;;;;;;;;;;;856.0;;;;;;;97734
Tubbergen-G0183;;8;6003;921;473;353;93;88.0;47;68.0;20.0;;;;;;;;;;13.0;;;;;;34.0;;;;;;33.0;;;;;;;;;;;;6887
Twenterand-G1700;;29;5981;919;1431;820;173;2101.0;54;136.0;574.0;;;;;;;;;;57.0;;;;;;63.0;;;;;;31.0;;;;;;;;;;;;12744
Tynaarlo-G1730;;32;2191;3239;3556;1547;1180;884.0;462;248.0;16.0;;;;;;;;205.0;;;;;;;;;;;294.0;;126.0;;77.0;;;;;;405.0;;;;;9924
Tytsjerksteradiel-G0737;;24;4350;1298;3209;1026;588;1260.0;131;165.0;;;;2185.0;;;;;26.0;;;;;;;;;;103.0;;;;;;;;;;72.0;;;;21.0;;9961
Ubbergen-G0282;;13;1146;537;847;657;378;54.0;94;110.0;4.0;;;;;;;;;;7.0;;;22.0;;19.0;;;;;;;;;8.0;;;;;;;0.0;;;3405
Uden-G0856;;55;5407;2420;1315;3490;288;;181;236.0;;144.0;;;;159.0;;149.0;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;16375
Uitgeest-G0450;;9;998;978;735;585;346;;185;139.0;;79.0;;;136.0;;;;;;;;;;34.0;;;;;;;;;;;;;;;;;;;;4706
Uithoorn-G0451;;45;2437;2823;1522;1208;502;;247;278.0;;259.0;;;287.0;;;;;;;;;;50.0;;;;;;;;;;;;;;;;;;;;10157
Urk-G0184;;3;1299;53;20;48;1;3235.0;8;17.0;3002.0;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;3258
Utrecht-G0344;;489;13253;16744;20172;14635;16874;4179.0;7103;2873.0;409.0;;;;;;;;;;;1509.0;;;;;;;;;;;;;;;;;;;;;;;118284
Utrechtse Heuvelrug-G1581;;68;5463;5207;2976;1967;1679;1462.0;713;617.0;1095.0;;;;;;;;;;;243.0;;;;;;;;;;;;;;;;;;;;;;;15573
Vaals-G0981;;8;865;222;493;414;110;51.0;27;96.0;;;;;;;235.0;;;;;;;;;;;28.0;;;;;;;;;;;;;;;;;3499
Valkenburg aan de Geul-G0994;;33;2746;907;942;1328;223;148.0;113;197.0;;;;;;;255.0;;;;;;;;;;;48.0;;;;;;;;;;;;;;;;;6787
Valkenswaard-G0858;;46;3302;2071;1485;2104;340;;208;206.0;;121.0;;;;76.0;;171.0;;;;;;;;;;;;;;;;;;;;14.0;;;;;;;13959
Veendam-G0047;;28;1651;1351;3545;1838;317;615.0;141;215.0;;;;;;;;;655.0;;;;;;;;;;;;;;;;;;;;;;25.0;;;;11612
Veenendaal-G0345;;87;5651;3425;2677;1901;591;5524.0;282;323.0;3028.0;;;;;;;;;;;172.0;;;;;;;;;;;;;;;;;;;;;;;21033
Veere-G0717;;33;3377;1639;1124;865;614;907.0;143;;1746.0;;;;;;;;;320.0;;;;;;;;;;;;;;;;;181.0;;;;;;;;5745
Veghel-G0860;;33;4983;1994;1254;2696;266;;130;180.0;;141.0;;;;439.0;;162.0;;;;;;;;;;;;;;;;;;;;11.0;;;;;;;14886
Veldhoven-G0861;;75;4404;2937;1912;3179;461;;230;297.0;;333.0;;;;161.0;;305.0;;;;;;;;;;;;;;;;;;;;15.0;;;;;;;18590
Velsen-G0453;;108;4122;4941;4479;3513;1322;;643;757.0;;1075.0;;;801.0;;;;;;;;;;136.0;;;;;;;;;;;;;;;;;;;;28733
Venlo-G0983;;209;7911;4847;3790;5109;1586;584.0;403;703.0;;;;;;;2026.0;;;;;;;;;;;329.0;;;;;;;;;;;;;;;;;40894
Venray-G0984;;56;5790;1731;1770;2166;317;217.0;404;167.0;;;;;;;150.0;;;;;;;;;;;83.0;;;;;;;;;;;;;;;;;16133
Vianen-G0620;;20;1766;1304;1040;913;234;454.0;123;202.0;335.0;;;;;;;;;;;111.0;;;;;;;;;;;;;;;;;;;;;;;8264
Vlaardingen-G0622;;150;4528;3844;4430;4631;1226;1327.0;370;761.0;606.0;;690.0;;;;;;;;163.0;;131.0;;;;;;;;68.0;;;;;;;;;;;;;;31707
Vlagtwedde-G0048;;18;1874;711;1511;954;233;329.0;74;165.0;;;;;;;;;239.0;;;;;;;;;;;;;;;;;;;;;;22.0;;;;6807
Vlieland-G0096;;0;42;164;93;36;17;7.0;12;23.0;;;;10.0;;;;;2.0;;;;;;;;;;47.0;;;;;;;;;;0.0;;;;0.0;;385
Vlissingen-G0718;;66;3242;2362;2596;2712;894;999.0;232;;452.0;;;;;;;;;904.0;;;;;;;;;;;;;;;;;254.0;;;;;;;;19550
Vlist-G0623;;10;1094;837;560;319;134;363.0;41;60.0;569.0;;37.0;;;;;;;;13.0;;46.0;;;;12.0;;;;;;;;;;;;;;;;;1.0;3274
Voerendaal-G0986;;16;2189;731;753;838;130;120.0;283;104.0;;;;;;;160.0;;;;;;;;;;;47.0;;;;;;;;;;;;;;;;;4836
Voorschoten-G0626;;28;2445;2819;1309;948;1054;276.0;325;252.0;43.0;;115.0;;;;;;;;29.0;;11.0;;;;21.0;;;;;;;;;;;;;;;;;2.0;6947
Voorst-G0285;;31;3559;1877;1614;993;349;281.0;170;151.0;208.0;;;;;;;;;;23.0;;;80.0;;58.0;;;;;;;;;35.0;;;;;;;3.0;;;8725
Vught-G0865;;35;2405;2434;1531;1699;516;;266;211.0;;144.0;;;;103.0;;80.0;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;9554
Waalre-G0866;;26;2007;1749;844;890;278;;199;141.0;;120.0;;;;49.0;;84.0;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;5902
Waalwijk-G0867;;64;4297;2554;1918;2513;401;;184;346.0;;1366.0;;;;415.0;;271.0;;;;;;;;;;;;;;;;;;;;29.0;;;;;;;20815
Waddinxveen-G0627;;55;2376;1793;1295;874;388;1548.0;225;203.0;932.0;;150.0;;;;;;;;24.0;;43.0;;;;41.0;;;;;;;;;;;;;;;;;4.0;9493
Wageningen-G0289;;62;2454;1686;2965;2039;2245;981.0;783;288.0;196.0;;;;;;;;;;15.0;;;302.0;;80.0;;;;;;;;;18.0;;;;;;;5.0;;;10856
Wassenaar-G0629;;44;2867;4405;791;572;375;201.0;271;285.0;21.0;;103.0;;;;;;;;31.0;;18.0;;;;47.0;;;;;;;;;;;;;;;;;11.0;7401
Waterland-G0852;;33;2001;1588;1109;962;948;;185;227.0;;184.0;;;172.0;;;;;;;;;;55.0;;;;;;;;;;;;;;;;;;;;5726
Weert-G0988;;88;5219;3188;3169;2976;328;283.0;229;334.0;;;;;;;216.0;;;;;;;;;;;143.0;;;;;;;;;;;;;;;;;20768
