RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;SGP;Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij;@abs
Aagtekerke-G1000;1;2;;;86.0;56.0;15.0;2.0;21.0;;;179.0;;;;;2.0;;;1.0;2.0;;43.0
Aalsmeer-G0358;54;25;880.0;1083.0;1058.0;579.0;410.0;311.0;420.0;94.0;42.0;77.0;1.0;;3.0;;4.0;5.0;;;;1.0;181.0
Aalten-G0197;100;108;774.0;465.0;2229.0;1082.0;283.0;294.0;70.0;11.0;81.0;2.0;;8.0;14.0;1.0;2.0;6.0;1.0;4.0;2.0;;217.0
Aardenburg-G0648;23;29;535.0;122.0;112.0;11.0;197.0;24.0;35.0;5.0;3.0;8.0;1.0;;2.0;;2.0;2.0;;5.0;1.0;;72.0
Aarle-Rixtel-G0739;14;5;1072.0;8.0;10.0;7.0;3.0;20.0;10.0;;2.0;;;3.0;1.0;21.0;;2.0;;;1.0;;45.0
Abbekerk-G0359;3;1;129.0;69.0;9.0;11.0;90.0;5.0;39.0;4.0;8.0;;;;;;;;;;;;23.0
Abbenbroek-G0481;7;7;;146.0;33.0;9.0;60.0;40.0;50.0;8.0;10.0;3.0;1.0;;;;1.0;;2.0;5.0;;;22.0
Abcoude-Baambrugge-G1003;3;11;173.0;37.0;210.0;230.0;30.0;49.0;10.0;4.0;16.0;11.0;;;1.0;;6.0;;;1.0;;;51.0
Abcoude-Proostdij-G1004;7;4;385.0;47.0;121.0;179.0;13.0;35.0;5.0;3.0;1.0;6.0;;2.0;2.0;;1.0;;;;;;56.0
Achtkarspelen-G0059;123;92;25.0;1215.0;3108.0;912.0;511.0;27.0;184.0;133.0;902.0;28.0;6.0;2.0;18.0;;1.0;28.0;1.0;4.0;;;393.0
Achttienhoven-G1005;2;13;63.0;26.0;103.0;99.0;4.0;12.0;4.0;1.0;;39.0;2.0;;1.0;;2.0;;;;;;26.0
Adorp-G0001;3;7;4.0;52.0;373.0;37.0;73.0;35.0;58.0;3.0;89.0;;;;4.0;;;5.0;1.0;;1.0;;50.0
Aduard-G0002;12;8;7.0;156.0;499.0;54.0;132.0;32.0;88.0;9.0;49.0;;;;3.0;;;8.0;3.0;1.0;;;58.0
Akersloot-G0360;0;13;551.0;88.0;26.0;15.0;144.0;29.0;23.0;6.0;7.0;2.0;9.0;3.0;5.0;;;3.0;;14.0;;;44.0
Alblasserdam-G0482;19;72;27.0;767.0;541.0;562.0;60.0;91.0;401.0;11.0;3.0;503.0;;;;;;;;;;;277.0
Alem, Maren en Kessel-G1007;4;4;509.0;8.0;1.0;;;;;;;4.0;;2.0;;44.0;;;1.0;2.0;;;32.0
Alkemade-G0483;11;7;2102.0;13.0;233.0;117.0;17.0;24.0;6.0;3.0;8.0;5.0;2.0;;7.0;;;1.0;3.0;2.0;;;84.0
Alkmaar-G0361;158;264;5100.0;3882.0;1571.0;722.0;2120.0;890.0;576.0;381.0;173.0;18.0;;;;;;;;;;;906.0
Almelo-G0141;362;536;3205.0;4830.0;1972.0;873.0;1294.0;506.0;626.0;1050.0;1826.0;51.0;386.0;411.0;15.0;5.0;15.0;123.0;1.0;8.0;15.0;8.0;806.0
Almkerk-G0740;22;24;9.0;69.0;1075.0;396.0;29.0;39.0;22.0;7.0;;22.0;;;15.0;;1.0;3.0;;1.0;;;180.0
Alphen aan den Rijn-G0484;46;118;1638.0;819.0;2351.0;2163.0;251.0;379.0;278.0;30.0;52.0;352.0;2.0;10.0;28.0;;113.0;11.0;1.0;5.0;3.0;;498.0
Alphen en Riel-G0741;4;7;1148.0;1.0;7.0;;13.0;1.0;;;;;;6.0;;21.0;;;1.0;;;;28.0
Ambt Delden-G0142;22;21;1162.0;158.0;166.0;166.0;170.0;15.0;25.0;8.0;13.0;2.0;2.0;5.0;;;1.0;9.0;1.0;7.0;;;72.0
Ambt Hardenberg-G1011;84;70;723.0;551.0;2296.0;1296.0;247.0;232.0;260.0;11.0;167.0;32.0;7.0;3.0;15.0;1.0;3.0;10.0;2.0;8.0;2.0;;346.0
Ambt Vollenhove-G1013;14;13;9.0;26.0;656.0;275.0;25.0;7.0;65.0;9.0;67.0;21.0;4.0;;;;53.0;;;12.0;;;88.0
Amby-G0883;22;47;774.0;38.0;7.0;1.0;;75.0;;;2.0;;;6.0;;1.0;;;;;;;25.0
Ameide-G0485;14;15;1.0;242.0;318.0;14.0;57.0;24.0;41.0;5.0;4.0;68.0;;;;;;;;;;;82.0
Ameland-G0060;11;11;258.0;119.0;177.0;178.0;219.0;9.0;103.0;10.0;9.0;;2.0;;3.0;;;6.0;;;;;51.0
Amerongen-G0306;34;21;14.0;277.0;333.0;346.0;39.0;95.0;32.0;3.0;6.0;199.0;;1.0;2.0;;2.0;3.0;;3.0;;;132.0
Amersfoort-G0307;298;512;4848.0;5753.0;3758.0;2101.0;1226.0;891.0;1160.0;297.0;445.0;211.0;193.0;575.0;51.0;;323.0;49.0;3.0;4.0;36.0;;1528.0
Ammerstol-G0486;1;13;;364.0;28.0;3.0;79.0;11.0;15.0;1.0;14.0;23.0;;;2.0;;2.0;;1.0;;;;54.0
Ammerzoden-G0198;8;16;969.0;42.0;138.0;152.0;11.0;4.0;1.0;1.0;;46.0;;2.0;2.0;4.0;;;;1.0;;;72.0
Amstenrade-G0884;8;15;576.0;79.0;27.0;9.0;2.0;110.0;;8.0;3.0;;;1.0;2.0;1.0;;;;;1.0;2.0;22.0
Amsterdam-G0363;21279;2140;60378.0;132719.0;61215.0;13222.0;17130.0;24756.0;20007.0;51350.0;7074.0;578.0;8173.0;1929.0;2085.0;46.0;288.0;285.0;204.0;129.0;542.0;;23480.0
Andel-G0742;4;13;2.0;26.0;251.0;174.0;6.0;7.0;6.0;1.0;;16.0;;;7.0;;1.0;;1.0;5.0;;;70.0
Andijk-G0364;8;31;267.0;356.0;711.0;21.0;239.0;5.0;75.0;104.0;64.0;25.0;30.0;1.0;;;;3.0;;5.0;;;129.0
Angerlo-G0199;20;5;651.0;65.0;165.0;157.0;63.0;42.0;26.0;2.0;17.0;5.0;1.0;10.0;1.0;34.0;;;;38.0;;;53.0
Ankeveen-G1014;3;5;143.0;39.0;39.0;94.0;10.0;3.0;;9.0;2.0;1.0;3.0;3.0;;;;;;;;;20.0
Anloo-G0105;34;71;21.0;669.0;144.0;25.0;412.0;729.0;116.0;97.0;236.0;3.0;3.0;2.0;3.0;;2.0;11.0;;13.0;1.0;1.0;185.0
Anna Paulowna-G0366;19;36;671.0;855.0;273.0;104.0;530.0;70.0;22.0;111.0;103.0;16.0;8.0;62.0;3.0;;1.0;13.0;;2.0;1.0;;124.0
Apeldoorn-G0200;627;842;3362.0;8812.0;6714.0;5982.0;2939.0;1366.0;1240.0;401.0;806.0;575.0;88.0;274.0;115.0;8.0;18.0;63.0;27.0;95.0;124.0;32.0;1850.0
Appeltern-G0201;11;11;1232.0;17.0;12.0;103.0;6.0;26.0;1.0;;;6.0;1.0;;;188.0;;;;6.0;;;59.0
Appingedam-G0003;32;82;74.0;558.0;706.0;504.0;522.0;122.0;119.0;425.0;315.0;2.0;2.0;5.0;4.0;;1.0;45.0;;3.0;;;214.0
Arcen en Velden-G0885;11;16;1334.0;17.0;19.0;2.0;7.0;57.0;1.0;6.0;;;;2.0;1.0;39.0;;;;1.0;;;45.0
Arkel-G0487;5;21;8.0;189.0;112.0;12.0;35.0;15.0;181.0;1.0;4.0;9.0;4.0;1.0;4.0;;6.0;25.0;;9.0;;;34.0
Arnemuiden-G0649;36;17;7.0;87.0;304.0;194.0;47.0;53.0;26.0;13.0;1.0;298.0;3.0;;13.0;;44.0;;;5.0;;;84.0
Arnhem-G0202;654;1459;11798.0;13464.0;7137.0;1713.0;2726.0;2091.0;2247.0;1044.0;260.0;79.0;462.0;202.0;632.0;178.0;16.0;40.0;70.0;28.0;101.0;13.0;1978.0
Asperen-G0488;7;22;2.0;91.0;261.0;33.0;20.0;72.0;47.0;5.0;6.0;134.0;;;;;;;;;;;55.0
Assen-G0106;137;184;361.0;2605.0;2005.0;744.0;1909.0;484.0;410.0;532.0;228.0;23.0;43.0;4.0;4.0;5.0;7.0;16.0;;7.0;41.0;6.0;630.0
Assendelft-G0367;24;26;1010.0;699.0;176.0;30.0;342.0;17.0;37.0;288.0;25.0;26.0;8.0;33.0;2.0;;1.0;1.0;2.0;2.0;1.0;;81.0
Asten-G0743;12;13;2581.0;16.0;12.0;26.0;6.0;18.0;4.0;1.0;;;;7.0;;53.0;1.0;1.0;1.0;;14.0;;68.0
Avenhorn-G0368;1;5;268.0;101.0;25.0;3.0;195.0;27.0;24.0;5.0;16.0;;6.0;1.0;1.0;;;3.0;;;;;34.0
Avereest-G0143;84;65;414.0;638.0;1283.0;1339.0;396.0;129.0;232.0;15.0;66.0;31.0;3.0;6.0;3.0;4.0;3.0;1.0;2.0;6.0;1.0;;456.0
Axel-G0650;63;30;475.0;397.0;1026.0;515.0;133.0;91.0;162.0;11.0;39.0;159.0;2.0;9.0;40.0;;;4.0;1.0;8.0;;;178.0
Baarderadeel-G0061;43;18;108.0;821.0;463.0;242.0;615.0;62.0;174.0;27.0;97.0;3.0;3.0;;13.0;;1.0;9.0;1.0;11.0;;;172.0
Baarland-G0651;4;4;88.0;27.0;86.0;89.0;23.0;3.0;28.0;11.0;1.0;31.0;1.0;;2.0;;2.0;2.0;;;;;16.0
Baarle-Nassau-G0744;4;8;1164.0;11.0;22.0;4.0;3.0;13.0;4.0;;;;1.0;9.0;;2.0;;3.0;;1.0;;;43.0
Baarn-G0308;100;149;1021.0;1385.0;1774.0;632.0;376.0;374.0;643.0;76.0;103.0;104.0;13.0;120.0;8.0;;267.0;14.0;3.0;3.0;13.0;;388.0
Baexem-G0886;3;1;537.0;2.0;5.0;;;3.0;;;1.0;;;2.0;1.0;2.0;;1.0;;;;;
Baflo-G0004;10;11;;241.0;603.0;25.0;107.0;54.0;94.0;7.0;260.0;1.0;;;4.0;;1.0;3.0;;;;;86.0
Bakel en Milheeze-G0745;9;3;1298.0;2.0;13.0;6.0;3.0;;;4.0;;;;1.0;;80.0;;2.0;4.0;;;;61.0
Barendrecht-G0489;30;24;23.0;327.0;1320.0;351.0;96.0;124.0;114.0;10.0;10.0;175.0;;;5.0;;10.0;18.0;;5.0;1.0;;167.0
Barneveld-G0203;46;67;388.0;607.0;1692.0;1839.0;86.0;271.0;80.0;46.0;9.0;1155.0;7.0;2.0;42.0;2.0;447.0;10.0;;7.0;2.0;;613.0
Barradeel-G0062;53;40;45.0;745.0;1124.0;1063.0;383.0;10.0;71.0;24.0;301.0;1.0;64.0;2.0;4.0;;;5.0;;6.0;1.0;;208.0
Barsingerhorn-G0369;17;13;30.0;419.0;74.0;13.0;282.0;58.0;38.0;118.0;6.0;4.0;11.0;2.0;;;;;;;;;64.0
Barwoutswaarder-G1017;6;2;64.0;15.0;97.0;100.0;;13.0;1.0;1.0;;32.0;;;;;;;;;;;24.0
Batenburg-G0204;2;3;154.0;;15.0;24.0;;3.0;3.0;;;;;;;36.0;;;;2.0;;;13.0
Bathmen-G0144;4;16;26.0;219.0;152.0;227.0;290.0;44.0;46.0;5.0;;;;;;;;6.0;;12.0;;;48.0
Bedum-G0005;11;19;143.0;422.0;1675.0;44.0;334.0;93.0;158.0;10.0;263.0;1.0;5.0;1.0;5.0;;;10.0;;2.0;3.0;;129.0
Beegden-G0887;1;3;421.0;4.0;1.0;;1.0;5.0;;;;;;;;;;;;;1.0;;5.0
Beek-G0888;27;65;2194.0;54.0;59.0;44.0;13.0;131.0;;1.0;3.0;1.0;1.0;8.0;1.0;4.0;;3.0;2.0;1.0;2.0;;126.0
Beek en Donk-G0746;9;17;1344.0;5.0;;2.0;;8.0;;4.0;;;;;;14.0;;;1.0;;;;58.0
Beemster-G0370;11;21;665.0;456.0;353.0;37.0;735.0;246.0;183.0;73.0;29.0;5.0;48.0;13.0;;;;5.0;;19.0;2.0;;158.0
Beers-G0747;0;4;401.0;;;;;;;;;;;;;20.0;;;8.0;;2.0;;13.0
Beerta-G0006;36;89;15.0;427.0;113.0;56.0;237.0;99.0;91.0;633.0;57.0;6.0;6.0;;8.0;;7.0;5.0;2.0;1.0;5.0;;168.0
Beesd-G0205;12;13;546.0;170.0;147.0;232.0;36.0;14.0;37.0;3.0;9.0;50.0;;2.0;7.0;2.0;1.0;2.0;1.0;30.0;;;76.0
Beesel-G0889;12;31;1800.0;17.0;3.0;;2.0;55.0;;2.0;1.0;;1.0;2.0;;4.0;;3.0;;;1.0;;56.0
Beets-G0371;1;1;1.0;90.0;25.0;5.0;76.0;34.0;4.0;1.0;11.0;2.0;6.0;;;;;;;3.0;;;25.0
Beilen-G0107;32;45;30.0;974.0;972.0;714.0;523.0;245.0;188.0;17.0;155.0;1.0;1.0;2.0;5.0;;9.0;5.0;;5.0;1.0;3.0;181.0
Belfeld-G0890;11;14;791.0;4.0;2.0;;;21.0;;4.0;;;;2.0;1.0;1.0;;;1.0;3.0;;;20.0
Bellingwolde-G1019;45;41;35.0;1288.0;301.0;121.0;309.0;205.0;86.0;374.0;255.0;4.0;4.0;1.0;12.0;;1.0;5.0;2.0;2.0;4.0;;190.0
Bemelen-G0891;1;5;112.0;2.0;;;;7.0;;;;;;;;2.0;;;1.0;;;;3.0
Bemmel-G0206;41;16;2385.0;33.0;81.0;110.0;13.0;27.0;16.0;1.0;7.0;11.0;;3.0;1.0;580.0;;;1.0;19.0;2.0;;250.0
Bennebroek-G0372;16;14;505.0;91.0;237.0;67.0;60.0;56.0;43.0;7.0;57.0;3.0;;;;;;;;;;;65.0
Benschop-G0309;3;16;299.0;23.0;183.0;23.0;32.0;33.0;24.0;9.0;;99.0;1.0;;3.0;;201.0;1.0;;8.0;;;39.0
Benthuizen-G0490;3;3;7.0;26.0;92.0;50.0;10.0;42.0;13.0;;1.0;181.0;;;;;;;;;;;60.0
Berg en Terblijt-G0892;8;23;860.0;9.0;2.0;;3.0;55.0;;3.0;;;;2.0;5.0;550.0;;1.0;5.0;3.0;5.0;1.0;28.0
Bergambacht-G0491;17;40;7.0;444.0;473.0;38.0;193.0;142.0;97.0;7.0;4.0;390.0;1.0;;4.0;;24.0;1.0;;2.0;;;199.0
Bergen-G0373;36;56;1165.0;633.0;356.0;77.0;592.0;204.0;178.0;62.0;15.0;3.0;22.0;18.0;7.0;;1.0;18.0;;3.0;6.0;;126.0
Bergen-G0893;38;25;2184.0;22.0;10.0;3.0;13.0;158.0;1.0;;1.0;2.0;;;;;;1.0;;;;;112.0
Bergen op Zoom-G0748;173;285;7649.0;989.0;771.0;198.0;183.0;240.0;232.0;46.0;18.0;17.0;4.0;191.0;3.0;4.0;11.0;20.0;29.0;9.0;12.0;4.0;665.0
Bergeyk-G0749;12;8;1258.0;25.0;10.0;24.0;1.0;4.0;;5.0;;;1.0;2.0;;25.0;;1.0;2.0;;;;58.0
Bergh-G0207;58;85;3446.0;227.0;54.0;21.0;76.0;313.0;11.0;5.0;2.0;8.0;4.0;20.0;5.0;574.0;;1.0;2.0;2.0;4.0;;169.0
Bergharen-G0208;3;3;713.0;4.0;14.0;90.0;;5.0;1.0;;;1.0;;;;12.0;;;5.0;15.0;1.0;;24.0
Berghem-G0750;9;10;771.0;8.0;7.0;;1.0;7.0;1.0;1.0;;1.0;;9.0;;278.0;;;;;3.0;;66.0
Bergschenhoek-G0492;10;32;287.0;121.0;223.0;394.0;21.0;54.0;17.0;9.0;3.0;49.0;;;;;;;;;;;61.0
Berkel en Rodenrijs-G0493;11;13;922.0;48.0;481.0;385.0;14.0;24.0;25.0;2.0;;22.0;;1.0;49.0;;6.0;3.0;1.0;3.0;;;53.0
Berkel-Enschot-G0751;3;8;986.0;6.0;10.0;;5.0;4.0;;1.0;;;;12.0;;6.0;;;39.0;;;2.0;38.0
Berkenwoude-G0494;4;5;2.0;36.0;81.0;6.0;33.0;31.0;111.0;1.0;;75.0;;;;;;;;;;;49.0
Berkhout-G0374;15;10;667.0;274.0;48.0;19.0;238.0;97.0;107.0;2.0;7.0;2.0;;;;;;;;;;;41.0
Berlicum-G0752;4;16;1350.0;20.0;9.0;23.0;2.0;8.0;4.0;1.0;;1.0;;11.0;;262.0;1.0;;;4.0;;;93.0
Best-G0753;8;19;2050.0;41.0;14.0;3.0;5.0;36.0;;4.0;2.0;;;10.0;;22.0;;7.0;6.0;1.0;1.0;;74.0
Beugen en Rijkevoort-G1021;0;5;961.0;8.0;1.0;1.0;;;;1.0;;;;1.0;1.0;60.0;;;2.0;;;;30.0
Beuningen-G0209;28;10;1108.0;27.0;15.0;16.0;8.0;48.0;1.0;;;3.0;15.0;;2.0;241.0;;1.0;;3.0;9.0;;66.0
Beusichem-G0210;24;20;33.0;223.0;143.0;33.0;78.0;34.0;59.0;12.0;107.0;56.0;2.0;1.0;2.0;1.0;2.0;1.0;;18.0;;;65.0
Beverwijk-G0375;136;178;4301.0;1964.0;941.0;313.0;735.0;358.0;102.0;560.0;203.0;16.0;43.0;119.0;7.0;;3.0;15.0;7.0;6.0;4.0;1.0;391.0
Bierum-G0008;8;25;3.0;128.0;853.0;377.0;90.0;59.0;78.0;36.0;420.0;2.0;;1.0;72.0;;3.0;9.0;3.0;;1.0;;182.0
Biervliet-G0652;44;43;346.0;233.0;124.0;66.0;84.0;28.0;68.0;13.0;2.0;28.0;2.0;;2.0;;;4.0;1.0;1.0;;;89.0
Biggekerke-G1022;9;4;1.0;12.0;216.0;136.0;23.0;1.0;5.0;1.0;;67.0;1.0;1.0;;;;;;1.0;1.0;;39.0
Bingelrade-G0894;1;6;253.0;;;2.0;;2.0;;;;;;;;;;;;;3.0;;3.0
Bladel en Netersel-G0754;3;3;1080.0;1.0;2.0;43.0;3.0;1.0;;;;2.0;;1.0;;10.0;;;3.0;2.0;;;50.0
Blankenham-G0145;5;4;11.0;26.0;25.0;53.0;58.0;3.0;34.0;2.0;28.0;;;;;;;;;;;;34.0
Blaricum-G0376;16;29;691.0;172.0;243.0;88.0;157.0;96.0;185.0;70.0;25.0;6.0;5.0;13.0;3.0;;1.0;;;3.0;3.0;1.0;147.0
Bleiswijk-G0495;4;7;301.0;62.0;208.0;228.0;27.0;42.0;57.0;2.0;2.0;74.0;;;;;;;;;;;58.0
Bleskensgraaf en Hofwegen-G0496;4;4;5.0;46.0;189.0;15.0;16.0;7.0;44.0;2.0;;136.0;;;;;;;;;;;124.0
Bloemendaal-G0377;48;72;1789.0;964.0;1538.0;439.0;801.0;629.0;920.0;51.0;117.0;16.0;14.0;15.0;13.0;;2.0;8.0;2.0;2.0;57.0;2.0;586.0
Blokker-G0378;2;8;793.0;76.0;26.0;7.0;196.0;43.0;29.0;3.0;6.0;;1.0;2.0;;;;15.0;;10.0;;;39.0
Blokzijl-G0146;5;8;;91.0;128.0;116.0;94.0;16.0;14.0;4.0;33.0;12.0;1.0;;4.0;;;;;;;;7.0
Bocholtz-G0895;52;37;1146.0;23.0;4.0;2.0;1.0;71.0;2.0;4.0;;;2.0;3.0;1.0;1.0;;;1.0;1.0;;;43.0
Bodegraven-G0497;22;42;605.0;200.0;1119.0;395.0;66.0;180.0;149.0;38.0;20.0;140.0;3.0;5.0;11.0;;194.0;6.0;;17.0;;;183.0
Boekel-G0755;8;10;1540.0;4.0;;;;;;;;1.0;;;;87.0;;;2.0;;;;86.0
Bolsward-G0064;32;76;1171.0;587.0;537.0;447.0;399.0;28.0;98.0;37.0;68.0;1.0;4.0;16.0;18.0;;1.0;6.0;1.0;1.0;;;233.0
Borculo-G0211;42;54;274.0;693.0;544.0;238.0;540.0;150.0;276.0;18.0;14.0;1.0;4.0;1.0;4.0;2.0;1.0;;1.0;64.0;;5.0;182.0
Borger-G0108;71;61;85.0;1574.0;726.0;561.0;488.0;609.0;201.0;30.0;262.0;4.0;9.0;7.0;9.0;1.0;3.0;18.0;;14.0;;1.0;247.0
Borgharen-G0896;9;19;372.0;15.0;4.0;;;52.0;1.0;;1.0;;1.0;3.0;;;;;3.0;1.0;;;24.0
Born-G0897;19;40;1196.0;37.0;11.0;4.0;5.0;56.0;1.0;4.0;;;2.0;5.0;;1.0;;3.0;;1.0;;;57.0
Borne-G0147;42;50;2570.0;509.0;235.0;220.0;145.0;83.0;94.0;71.0;552.0;21.0;8.0;75.0;;;1.0;21.0;;;3.0;1.0;201.0
Borssele-G1254;8;4;99.0;51.0;76.0;137.0;69.0;17.0;33.0;2.0;;165.0;;;;;;11.0;;7.0;;;87.0
Boskoop-G0499;40;63;766.0;415.0;992.0;529.0;130.0;84.0;513.0;16.0;34.0;166.0;5.0;3.0;8.0;;41.0;20.0;2.0;;3.0;;226.0
Bovenkarspel-G0379;6;9;1000.0;125.0;21.0;3.0;133.0;7.0;23.0;2.0;6.0;1.0;2.0;19.0;1.0;;2.0;;;;1.0;;60.0
Boxmeer-G0756;20;31;1528.0;52.0;22.0;17.0;9.0;19.0;9.0;16.0;3.0;1.0;;2.0;;87.0;;2.0;1.0;1.0;1.0;;82.0
Boxtel-G0757;85;94;3790.0;190.0;36.0;29.0;28.0;18.0;12.0;8.0;1.0;1.0;3.0;61.0;;188.0;1.0;4.0;276.0;1.0;4.0;2.0;278.0
Brakel-G0212;15;27;1.0;208.0;64.0;76.0;13.0;18.0;7.0;2.0;3.0;316.0;4.0;;1.0;1.0;3.0;;;96.0;;;90.0
Brandwijk-G0500;0;5;;30.0;193.0;17.0;18.0;2.0;44.0;6.0;;68.0;;;1.0;;36.0;;;1.0;;;66.0
Breda-G0758;356;757;14930.0;4055.0;1534.0;482.0;497.0;711.0;479.0;173.0;36.0;39.0;18.0;520.0;17.0;9.0;6.0;27.0;177.0;15.0;35.0;47.0;965.0
Breskens-G0655;51;37;98.0;551.0;390.0;200.0;184.0;41.0;111.0;10.0;1.0;18.0;;;5.0;;2.0;7.0;1.0;;;;167.0
Breukelen-Nijenrode-G1028;20;7;426.0;108.0;353.0;406.0;41.0;82.0;39.0;1.0;2.0;97.0;;1.0;17.0;;14.0;1.0;;;;;38.0
Breukelen-Sint Pieters-G1029;14;6;83.0;46.0;119.0;115.0;6.0;18.0;18.0;1.0;;15.0;1.0;;9.0;;1.0;1.0;;;;;40.0
Brielle-G0501;25;15;133.0;415.0;310.0;335.0;277.0;53.0;218.0;29.0;5.0;11.0;3.0;1.0;6.0;;5.0;7.0;1.0;5.0;;;175.0
Broek in Waterland-G0380;4;17;16.0;167.0;181.0;150.0;230.0;32.0;37.0;5.0;16.0;3.0;;;;;;;;;;;50.0
Broek op Langendijk-G1031;6;12;13.0;148.0;511.0;237.0;89.0;20.0;;8.0;20.0;6.0;7.0;;2.0;;14.0;18.0;;;;;64.0
Broekhuizen-G0898;0;6;421.0;1.0;1.0;2.0;;7.0;;;;;;;;14.0;;;;;;;13.0
Broeksittard-G1032;8;8;343.0;6.0;;;;15.0;;;;;;;;;;1.0;1.0;;;;1.0
Brouwershaven-G0656;10;11;2.0;240.0;168.0;11.0;84.0;9.0;135.0;1.0;5.0;17.0;;;;;3.0;;;;;;57.0
Bruinisse-G0657;29;21;3.0;206.0;361.0;118.0;84.0;17.0;165.0;1.0;22.0;261.0;4.0;;1.0;;14.0;1.0;1.0;1.0;;;181.0
Brummen-G0213;72;138;324.0;1750.0;1009.0;545.0;350.0;190.0;519.0;30.0;33.0;6.0;4.0;;6.0;2.0;1.0;;;44.0;5.0;3.0;334.0
Brunssum-G0899;100;168;3102.0;898.0;319.0;193.0;12.0;404.0;3.0;144.0;28.0;3.0;10.0;10.0;3.0;5.0;;;17.0;1.0;1.0;36.0;128.0
Budel-G0759;8;19;1768.0;16.0;3.0;10.0;11.0;19.0;;1.0;;4.0;;1.0;1.0;142.0;;2.0;;;2.0;;72.0
Buggenum-G1033;3;10;376.0;1.0;;;;8.0;;;;;;3.0;;2.0;;;;;1.0;;0.0
Bunde-G0900;17;27;551.0;4.0;2.0;1.0;;49.0;1.0;3.0;;;3.0;1.0;;;;3.0;2.0;;6.0;1.0;24.0
Bunnik-G0312;17;13;457.0;111.0;108.0;83.0;30.0;26.0;31.0;3.0;4.0;41.0;;;25.0;;12.0;;2.0;1.0;;;55.0
Bunschoten-G0313;29;14;6.0;10.0;2036.0;18.0;7.0;41.0;9.0;6.0;2.0;24.0;1.0;;;;66.0;1.0;;;;;170.0
Buren-G0214;24;34;42.0;136.0;149.0;110.0;44.0;23.0;126.0;2.0;153.0;87.0;;2.0;7.0;1.0;1.0;1.0;1.0;7.0;2.0;;62.0
Burgh-G1035;7;8;4.0;68.0;53.0;81.0;38.0;5.0;78.0;;;16.0;;;;;2.0;;;2.0;;;13.0
Bussum-G0381;179;255;3680.0;2136.0;2824.0;1098.0;769.0;923.0;1170.0;374.0;338.0;83.0;82.0;280.0;24.0;;26.0;6.0;34.0;5.0;80.0;1.0;858.0
Buurmalsen-G0215;29;13;39.0;242.0;174.0;183.0;58.0;16.0;48.0;2.0;40.0;123.0;2.0;1.0;2.0;;1.0;1.0;;18.0;2.0;;78.0
Cadier en Keer-G0901;9;43;428.0;8.0;;1.0;;25.0;;;;;1.0;2.0;1.0;3.0;;;1.0;;1.0;;100.0
Cadzand-G0658;10;10;9.0;149.0;123.0;47.0;77.0;11.0;79.0;9.0;3.0;6.0;;2.0;2.0;;;;1.0;1.0;1.0;;44.0
Callantsoog-G0382;6;9;54.0;234.0;19.0;3.0;161.0;15.0;7.0;8.0;4.0;;5.0;4.0;;;;8.0;;2.0;;;25.0
Capelle aan den IJssel-G0502;110;143;47.0;1134.0;833.0;359.0;105.0;168.0;240.0;30.0;7.0;680.0;9.0;5.0;50.0;;148.0;14.0;1.0;4.0;;;404.0
Castricum-G0383;16;41;1680.0;535.0;232.0;47.0;178.0;70.0;25.0;49.0;56.0;2.0;14.0;8.0;5.0;;;1.0;;3.0;;;82.0
Chaam-G0760;0;4;791.0;11.0;42.0;22.0;2.0;5.0;2.0;;;3.0;1.0;10.0;2.0;;1.0;;;;;;28.0
Clinge-G0659;53;47;1008.0;56.0;11.0;4.0;21.0;54.0;6.0;16.0;2.0;2.0;2.0;1.0;2.0;;7.0;2.0;3.0;5.0;;;128.0
Coevorden-G0109;57;36;592.0;803.0;447.0;313.0;262.0;232.0;268.0;6.0;242.0;1.0;13.0;34.0;;;2.0;11.0;;2.0;3.0;;141.0
Colijnsplaat-G1038;11;24;8.0;101.0;329.0;281.0;95.0;2.0;99.0;5.0;1.0;45.0;3.0;3.0;1.0;;;2.0;;3.0;;;117.0
Cothen-G0314;4;2;355.0;14.0;46.0;9.0;2.0;6.0;8.0;1.0;;23.0;;;2.0;;;;;;;;31.0
Cuijk en Sint Agatha-G0761;12;23;1467.0;29.0;18.0;8.0;16.0;22.0;2.0;1.0;;1.0;1.0;6.0;;169.0;1.0;2.0;128.0;;1.0;;99.0
Culemborg-G0216;69;100;1849.0;1145.0;343.0;206.0;135.0;48.0;564.0;212.0;49.0;73.0;78.0;17.0;7.0;2.0;22.0;8.0;2.0;3.0;1.0;;217.0
Dalen-G0110;22;52;151.0;357.0;131.0;117.0;300.0;310.0;360.0;6.0;84.0;1.0;5.0;12.0;2.0;34.0;2.0;;;6.0;;1.0;98.0
Dalfsen-G0148;41;24;1059.0;270.0;610.0;1381.0;155.0;45.0;75.0;3.0;27.0;26.0;3.0;5.0;8.0;2.0;;3.0;1.0;3.0;;;150.0
