RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;SGP;Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij;@abs
Voorburg-G0624;121;160;3779.0;1982.0;2456.0;1037.0;1067.0;1120.0;1063.0;157.0;104.0;43.0;14.0;63.0;155.0;;11.0;24.0;9.0;9.0;177.0;;670.0
Voorhout-G0625;5;6;1155.0;45.0;43.0;101.0;6.0;13.0;4.0;;7.0;6.0;;1.0;5.0;;;;;;;;30.0
Voorschoten-G0626;42;49;954.0;343.0;622.0;493.0;106.0;159.0;155.0;21.0;25.0;39.0;;7.0;33.0;;5.0;2.0;;2.0;7.0;;195.0
Voorst-G0285;88;93;1753.0;1694.0;871.0;878.0;1004.0;290.0;321.0;126.0;58.0;112.0;19.0;12.0;10.0;2.0;5.0;17.0;;63.0;5.0;;391.0
Vorden-G0286;32;38;324.0;297.0;758.0;338.0;216.0;109.0;183.0;10.0;10.0;11.0;;3.0;3.0;6.0;2.0;3.0;;6.0;1.0;2.0;123.0
Vreeland-G1213;4;5;46.0;74.0;110.0;87.0;27.0;21.0;22.0;3.0;9.0;27.0;;;;;;;;7.0;;;20.0
Vreeswijk-G0348;12;36;534.0;232.0;236.0;242.0;34.0;35.0;8.0;9.0;2.0;41.0;3.0;3.0;2.0;;7.0;1.0;;;1.0;;145.0
Vries-G0133;30;65;14.0;603.0;390.0;63.0;523.0;459.0;301.0;142.0;148.0;6.0;4.0;5.0;5.0;2.0;2.0;9.0;;52.0;3.0;12.0;147.0
Vriezenveen-G0186;81;75;272.0;351.0;514.0;1652.0;59.0;139.0;71.0;19.0;355.0;280.0;35.0;2.0;68.0;2.0;35.0;62.0;3.0;1.0;1.0;5.0;271.0
Vrouwenpolder-G1214;6;2;3.0;3.0;366.0;123.0;21.0;4.0;2.0;;;23.0;;;;;;3.0;;1.0;;;26.0
Vught-G0865;48;90;4316.0;356.0;226.0;56.0;86.0;96.0;68.0;23.0;11.0;1.0;12.0;58.0;;115.0;3.0;9.0;25.0;2.0;5.0;;291.0
Vuren-G0287;19;21;9.0;249.0;233.0;164.0;51.0;24.0;20.0;2.0;1.0;25.0;1.0;1.0;;2.0;8.0;2.0;1.0;43.0;1.0;;90.0
Waalre-G0866;15;18;1685.0;106.0;65.0;10.0;20.0;32.0;5.0;22.0;2.0;4.0;5.0;12.0;;145.0;1.0;7.0;2.0;1.0;1.0;;84.0
Waalwijk-G0867;40;73;4016.0;226.0;197.0;337.0;47.0;103.0;11.0;11.0;6.0;12.0;;42.0;4.0;17.0;44.0;57.0;16.0;1.0;2.0;;177.0
Waarde-G0721;0;8;;20.0;64.0;94.0;36.0;110.0;9.0;1.0;4.0;144.0;1.0;;2.0;;5.0;;;;;;58.0
Waardenburg-G0288;18;21;8.0;122.0;108.0;139.0;29.0;18.0;16.0;1.0;6.0;231.0;1.0;;1.0;;1.0;10.0;;30.0;;;56.0
Waarder-G1217;2;2;9.0;9.0;170.0;53.0;4.0;26.0;4.0;2.0;15.0;75.0;1.0;;8.0;;7.0;;;1.0;;;54.0
Waddinxveen-G0627;32;69;498.0;608.0;647.0;218.0;72.0;166.0;73.0;38.0;47.0;273.0;3.0;10.0;22.0;;758.0;3.0;1.0;10.0;;;302.0
Wadenoijen-G1218;23;40;105.0;245.0;165.0;53.0;58.0;39.0;79.0;7.0;103.0;67.0;;5.0;;2.0;;2.0;;27.0;1.0;;75.0
Wageningen-G0289;99;159;1132.0;1818.0;1043.0;982.0;359.0;236.0;405.0;298.0;45.0;310.0;9.0;5.0;7.0;2.0;128.0;9.0;;10.0;11.0;1.0;407.0
Wamel-G0290;12;15;2205.0;40.0;10.0;141.0;6.0;17.0;;5.0;1.0;10.0;3.0;2.0;;459.0;;;;11.0;2.0;;210.0
Wanneperveen-G0187;2;20;5.0;67.0;175.0;278.0;85.0;12.0;21.0;1.0;90.0;26.0;;;1.0;;9.0;1.0;;;;;49.0
Wanroij-G0868;3;4;661.0;1.0;;;;2.0;;;;;;;;38.0;;;1.0;;;;21.0
Wanssum-G0987;1;0;417.0;;1.0;1.0;;2.0;;;;1.0;;1.0;;6.0;;;;;1.0;;21.0
Warder-G0455;1;0;2.0;65.0;21.0;3.0;121.0;41.0;3.0;5.0;3.0;;;;;;;7.0;;25.0;;;15.0
Warffum-G0049;12;11;1.0;384.0;368.0;25.0;94.0;25.0;95.0;6.0;234.0;;;;;;;8.0;;;1.0;;72.0
Warmenhuizen-G0456;7;4;642.0;95.0;82.0;;163.0;6.0;2.0;61.0;1.0;3.0;4.0;4.0;;;;1.0;;1.0;;;50.0
Warmond-G0628;8;11;903.0;99.0;120.0;128.0;19.0;28.0;25.0;4.0;3.0;8.0;;1.0;10.0;;4.0;2.0;1.0;1.0;2.0;;74.0
Warnsveld-G0291;25;47;249.0;501.0;510.0;397.0;121.0;110.0;190.0;9.0;18.0;6.0;7.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;16.0;;510.0
Waspik-G0869;15;8;1137.0;46.0;150.0;50.0;7.0;10.0;1.0;1.0;;8.0;;9.0;2.0;1.0;7.0;;5.0;;;;294.0
