RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Papendrecht-G0590;48;0;3534;4444;2180;1153;699.0;310.0;;620.0;;;81.0;;;11.0;;;37.0;;;;22.0;0.0;;;;6289.0
Peize-G0124;14;0;264;1385;718;280;;;97.0;;18.0;;;42.0;;2.0;;;;;19.0;;;;;;;854.0
Pijnacker-G0594;22;0;4341;1406;1669;768;290.0;207.0;;155.0;;;94.0;;;5.0;;;63.0;;;;24.0;2.0;;;;2855.0
Polsbroek-G0338;4;0;309;59;121;1;136.0;;5.0;12.0;;;;;4.0;0.0;;;1.0;;;;;;;2.0;;170.0
Posterholt-G0956;10;0;832;715;207;64;;;32.0;;;;;;20.0;8.0;7.0;82.0;;;;;;;;;;1159.0
Prinsenbeek-G0832;34;0;2639;1252;1012;333;;60.0;;;;;;;;6.0;26.0;;;;;;;5.0;;;;2201.0
Purmerend-G0439;95;0;3961;9661;4653;2430;;;453.0;;;906.0;343.0;533.0;;21.0;217.0;;0.0;;;;;29.0;;;;15645.0
Putte-G0833;13;0;505;400;289;87;;30.0;;;;;;;;1.0;13.0;;;;;;;0.0;;;;1090.0
Putten-G0273;40;0;4660;1558;1552;385;1442.0;159.0;;1109.0;;;91.0;;;15.0;;;;;;;;0.0;;;;3658.0
Raalte-G0177;55;0;9614;2621;1156;594;9.0;;190.0;;18.0;;;;92.0;;;;;;57.0;;;2.0;;;;4505.0
Raamsdonk-G0834;38;0;2266;2202;778;323;;171.0;;;;;;;;25.0;85.0;;;;;;;0.0;;;;3664.0
Ravenstein-G0835;20;0;2002;1287;348;164;;103.0;;;;;;;;99.0;11.0;;;;;;;0.0;;;;1628.0
Reeuwijk-G0595;30;0;1704;862;1354;384;219.0;127.0;;173.0;;;36.0;;;0.0;;;15.0;;;;14.0;1.0;;;;1811.0
Reimerswaal-G0703;44;0;2852;2407;1257;439;2963.0;;142.0;257.0;;;;;72.0;0.0;;;;;;;;;;;;3328.0
Renkum-G0274;76;0;6251;5692;4439;1656;261.0;631.0;;325.0;;;190.0;;;42.0;;;;;;;;0.0;;;;6956.0
Renswoude-G0339;0;0;933;212;257;53;221.0;;17.0;73.0;;;;;7.0;0.0;;;3.0;;;;;;;0.0;;360.0
Reusel-G0836;12;0;1962;694;468;104;;50.0;;;;;;;;9.0;4.0;;;;;;;4.0;;;;2041.0
Rheden-G0275;132;0;7559;10433;5034;2040;154.0;866.0;;459.0;;;230.0;;;71.0;;;;;;;;0.0;;;;9460.0
Rhenen-G0340;39;0;2461;2532;1308;599;1279.0;;117.0;304.0;;;;;91.0;5.0;;;8.0;;;;;;;6.0;;3373.0
Ridderkerk-G0597;83;0;6206;8757;2843;1831;2711.0;476.0;;786.0;;;130.0;;;15.0;;;114.0;;;;41.0;6.0;;;;10375.0
Riethoven-G0837;0;0;778;123;234;59;;32.0;;;;;;;;2.0;7.0;;;;;;;1.0;;;;388.0
Rijnsaterwoude-G0601;3;0;269;117;156;47;42.0;29.0;;16.0;;;6.0;;;0.0;;;1.0;;;;1.0;0.0;;;;253.0
Rijnsburg-G0602;21;0;3798;725;676;235;214.0;71.0;;630.0;;;24.0;;;1.0;;;8.0;;;;25.0;0.0;;;;2454.0
Rijnwaarden-G0196;14;0;2027;1720;407;246;5.0;78.0;;8.0;;;37.0;;;5.0;;;;;;;;0.0;;;;2950.0
Rijsbergen-G0841;14;0;1485;601;343;130;;36.0;;;;;;;;2.0;18.0;;;;;;;5.0;;;;1573.0
Rijssen-G0178;45;0;4392;2041;510;227;5127.0;;67.0;;67.0;;;;38.0;;;;;;857.0;;;0.0;;;;2244.0
Rijswijk-G0603;130;0;7522;7105;6527;2658;249.0;916.0;;342.0;;;247.0;;;24.0;;;266.0;;;;42.0;7.0;;;;12753.0
Roden-G0125;40;0;2006;4232;2052;882;;;314.0;;238.0;;;148.0;;18.0;;;;;108.0;;;;;;;2987.0
Roermond-G0957;9;0;5366;5402;2234;663;;;303.0;;;;;;380.0;27.0;95.0;839.0;;;;;;;;;;12668.0
Roggel-G0958;19;0;1200;449;228;68;;;61.0;;;;;;27.0;3.0;0.0;60.0;;;;;;;;;;1040.0
Rolde-G0126;16;0;419;1411;1383;202;;;212.0;;26.0;;;47.0;;1.0;;;;;13.0;;;;;;;880.0
Roosendaal en Nispen-G0838;117;0;10174;7429;3585;1461;;876.0;;;;;;;;126.0;188.0;;;;;;;0.0;;;;18814.0
Rosmalen-G0839;70;0;4676;3182;1901;810;;319.0;;;;;;;;404.0;54.0;;;;;;;24.0;;;;6999.0
