RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Nisse-G0691;3;2;57.0;3.0;36.0;111.0;10.0;35.0;;;38.0;;;1.0;;40.0
Nistelrode-G0819;23;15;1193.0;49.0;1.0;5.0;;11.0;21.0;;;;;28.0;;100.0
Noorbeek-G0950;13;12;316.0;9.0;1.0;;;;11.0;;;;;;;33.0
Noordbroek-G1126;16;48;2.0;451.0;36.0;56.0;99.0;105.0;53.0;63.0;;154.0;;;12.0;106.0
Noorddijk-G1127;21;56;12.0;430.0;148.0;55.0;111.0;70.0;120.0;14.0;;177.0;;;27.0;110.0
Noordeloos-G0574;4;7;1.0;46.0;235.0;12.0;15.0;126.0;4.0;3.0;54.0;1.0;2.0;75.0;;65.0
Noordgouwe-G1128;3;5;8.0;79.0;80.0;113.0;37.0;94.0;2.0;;33.0;;;1.0;;51.0
Noord-Scharwoude-G1124;0;7;389.0;178.0;119.0;4.0;240.0;24.0;25.0;46.0;;1.0;1.0;;;68.0
Noordwelle-G1129;1;6;2.0;48.0;25.0;49.0;24.0;78.0;3.0;;8.0;;;;;19.0
Noordwijk-G0575;96;53;2258.0;321.0;686.0;789.0;139.0;89.0;182.0;47.0;35.0;358.0;16.0;42.0;;961.0
Noordwijkerhout-G0576;18;15;2271.0;82.0;51.0;234.0;12.0;4.0;30.0;2.0;5.0;6.0;;4.0;;154.0
Nootdorp-G0577;8;3;544.0;34.0;51.0;142.0;19.0;20.0;17.0;1.0;8.0;;;19.0;;37.0
Norg-G0120;17;46;59.0;463.0;234.0;169.0;221.0;422.0;213.0;36.0;;24.0;;;;130.0
Nuenen, Gerwen en Nederwetten-G0820;13;33;1687.0;64.0;15.0;52.0;;14.0;52.0;;;;;10.0;;129.0
Nuland-G0821;12;0;577.0;18.0;6.0;;;2.0;1.0;;;;;8.0;;67.0
