RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Cothen-G0314;5;3;367.0;21.0;29.0;21.0;1.0;11.0;1.0;;26.0;;;;;30.0
Cuijk en Sint Agatha-G0761;30;48;1690.0;89.0;1.0;7.0;;21.0;11.0;;;;;50.0;;183.0
Culemborg-G0216;57;89;1955.0;1154.0;223.0;280.0;113.0;795.0;32.0;130.0;92.0;55.0;37.0;;;328.0
Dalen-G0110;37;44;163.0;414.0;99.0;108.0;158.0;567.0;326.0;;;85.0;2.0;;;144.0
Dalfsen-G0148;19;38;1080.0;244.0;546.0;1507.0;103.0;93.0;58.0;6.0;19.0;24.0;1.0;;;253.0
Dantumadeel-G0065;0;0;64.0;753.0;2388.0;1483.0;316.0;332.0;34.0;34.0;297.0;758.0;77.0;;95.0;729.0
De Bilt-G0310;68;141;1163.0;1300.0;1394.0;943.0;665.0;1055.0;446.0;42.0;364.0;213.0;7.0;;;596.0
De Lier-G0552;7;9;186.0;59.0;534.0;411.0;58.0;47.0;48.0;3.0;20.0;1.0;;3.0;;58.0
De Rijp-G0440;8;6;249.0;196.0;6.0;10.0;118.0;25.0;20.0;24.0;5.0;13.0;1.0;2.0;;49.0
De Werken en Sleeuwijk-G1222;24;25;13.0;126.0;861.0;315.0;;94.0;50.0;;91.0;;;;;336.0
De Wijk-G0135;34;23;3.0;268.0;388.0;214.0;624.0;139.0;143.0;1.0;;;;;;123.0
Deil-G0217;26;44;220.0;147.0;36.0;333.0;58.0;167.0;20.0;5.0;41.0;14.0;1.0;;;155.0
Delft-G0503;419;856;7963.0;6597.0;3652.0;1985.0;1496.0;1108.0;601.0;832.0;1047.0;159.0;74.0;111.0;;1542.0
Delfzijl-G0010;137;213;107.0;1232.0;815.0;533.0;657.0;240.0;921.0;417.0;;396.0;;123.0;58.0;585.0
Den Bommel-G1024;11;29;212.0;83.0;227.0;38.0;11.0;109.0;12.0;4.0;129.0;;1.0;9.0;;122.0
Den Dungen-G0768;15;0;794.0;43.0;;2.0;;1.0;1.0;;;;;37.0;;89.0
Den Ham-G0159;78;99;222.0;245.0;1053.0;1154.0;78.0;193.0;82.0;17.0;13.0;92.0;5.0;;;257.0
Den Helder-G0400;315;793;2166.0;4581.0;4018.0;866.0;3625.0;611.0;383.0;183.0;70.0;115.0;71.0;52.0;;2381.0
Denekamp-G0149;26;40;2254.0;80.0;46.0;150.0;37.0;25.0;254.0;14.0;;23.0;;;;185.0
Deurne-G0762;48;91;4721.0;67.0;8.0;115.0;;34.0;20.0;;;;;21.0;;322.0
Deventer-G0150;392;501;3560.0;6357.0;943.0;1278.0;3217.0;1566.0;708.0;839.0;38.0;307.0;1794.0;;;1936.0
Didam-G0218;31;26;2413.0;160.0;3.0;59.0;7.0;10.0;65.0;;3.0;;;;157.0;136.0
Diemen-G0384;58;133;707.0;448.0;294.0;519.0;128.0;87.0;202.0;133.0;7.0;87.0;45.0;14.0;;180.0
Diepenheim-G0151;16;42;72.0;314.0;49.0;103.0;246.0;102.0;43.0;6.0;4.0;4.0;3.0;;;91.0
Diepenveen-G0152;41;60;971.0;696.0;192.0;574.0;532.0;271.0;165.0;11.0;1.0;29.0;22.0;;;268.0
Diessen-G0763;8;2;682.0;10.0;9.0;3.0;;;2.0;;;;;;;61.0
Diever-G0111;8;22;24.0;425.0;337.0;41.0;290.0;171.0;64.0;3.0;;1.0;;;;84.0
Dinteloord en Prinsenland-G0764;22;25;642.0;201.0;252.0;446.0;;82.0;48.0;;116.0;;;;;191.0
Dinther-G1044;13;5;827.0;12.0;1.0;25.0;;2.0;2.0;;;;;13.0;;94.0
Dinxperlo-G0219;24;29;234.0;163.0;399.0;529.0;51.0;68.0;116.0;;3.0;53.0;;;;157.0
Dirksland-G0504;49;36;11.0;213.0;467.0;42.0;48.0;356.0;22.0;6.0;259.0;1.0;;32.0;;144.0
Dodewaard-G0220;13;43;11.0;276.0;279.0;170.0;14.0;38.0;49.0;2.0;87.0;30.0;;;;99.0
Doesburg-G0221;60;111;909.0;598.0;110.0;412.0;68.0;133.0;156.0;8.0;8.0;6.0;;;;
Doetinchem-G0222;103;255;2331.0;1892.0;551.0;1107.0;586.0;540.0;567.0;16.0;90.0;55.0;;;;617.0
Dokkum-G0066;23;15;141.0;460.0;1052.0;292.0;250.0;229.0;38.0;30.0;20.0;118.0;5.0;;28.0;193.0
Domburg-G0660;18;9;9.0;155.0;106.0;141.0;84.0;106.0;13.0;;108.0;;;7.0;;55.0
Dongen-G0766;12;26;4078.0;59.0;29.0;77.0;;58.0;18.0;;7.0;;;;;275.0
Doniawerstal-G0067;23;39;671.0;347.0;407.0;680.0;238.0;52.0;37.0;14.0;7.0;290.0;4.0;;30.0;222.0
Doorn-G0315;36;41;60.0;455.0;535.0;635.0;120.0;407.0;95.0;9.0;149.0;14.0;1.0;;;223.0
Doornspijk-G0223;42;70;8.0;195.0;767.0;753.0;20.0;33.0;28.0;1.0;264.0;35.0;;;;193.0
Dordrecht-G0505;565;1194;2954.0;9826.0;6019.0;2592.0;2015.0;2956.0;787.0;421.0;767.0;254.0;1605.0;117.0;;3462.0
Dreischor-G1047;4;23;2.0;202.0;37.0;43.0;74.0;190.0;7.0;;27.0;;;;;51.0
Dreumel-G0224;5;16;713.0;54.0;4.0;27.0;;20.0;58.0;;;2.0;271.0;;;174.0
Driebergen-Rijsenburg-G0316;109;31;660.0;749.0;1180.0;940.0;254.0;488.0;199.0;5.0;288.0;84.0;2.0;;;487.0
Driel-G1248;26;27;1446.0;29.0;37.0;88.0;23.0;14.0;43.0;;49.0;3.0;;;56.0;168.0
Driewegen-G0661;4;4;33.0;37.0;68.0;112.0;18.0;47.0;2.0;;13.0;;;;;28.0
Drunen-G0767;22;27;1828.0;66.0;4.0;18.0;;7.0;13.0;;1.0;;;;;290.0
Druten-G0225;26;19;1985.0;24.0;7.0;67.0;3.0;6.0;6.0;2.0;1.0;;;;686.0;248.0
Dubbeldam-G0507;55;95;38.0;491.0;622.0;438.0;141.0;406.0;81.0;13.0;166.0;13.0;20.0;11.0;;211.0
Duiven-G0226;5;30;1283.0;27.0;17.0;39.0;;4.0;24.0;;;;;;345.0;148.0
Duivendijke-G1050;6;2;1.0;21.0;128.0;39.0;8.0;58.0;1.0;;3.0;;;;;25.0
Dussen-G0769;22;10;1066.0;54.0;282.0;188.0;;34.0;3.0;;68.0;;;;;188.0
Dwingeloo-G0112;7;21;10.0;296.0;242.0;73.0;246.0;532.0;101.0;4.0;;;;;;114.0
Echt-G0902;94;115;3695.0;15.0;32.0;;;7.0;208.0;;;;;100.0;;330.0
Echteld-G0227;13;49;40.0;582.0;161.0;174.0;19.0;249.0;47.0;9.0;207.0;48.0;3.0;;;179.0
Edam-G1315;30;23;2415.0;336.0;108.0;158.0;303.0;351.0;97.0;11.0;3.0;65.0;16.0;55.0;;292.0
Ede-G0228;232;438;789.0;1844.0;4210.0;4509.0;1241.0;475.0;525.0;104.0;2056.0;123.0;18.0;;;1294.0
Eede-G1052;7;5;371.0;1.0;5.0;3.0;15.0;2.0;1.0;;;;;8.0;;18.0
Eelde-G0113;33;81;16.0;796.0;68.0;49.0;322.0;327.0;203.0;5.0;;34.0;2.0;;;145.0
Eemnes-G0317;0;27;471.0;41.0;105.0;68.0;26.0;12.0;21.0;8.0;159.0;3.0;;;;75.0
Eenrum-G0011;17;20;38.0;581.0;266.0;24.0;137.0;146.0;36.0;6.0;;115.0;;;4.0;103.0
Eersel-G0770;3;8;1241.0;3.0;7.0;8.0;;5.0;1.0;;;;;4.0;;87.0
Eethen-G0771;11;26;39.0;39.0;698.0;135.0;;174.0;5.0;;64.0;;;;;162.0
Egmond aan Zee-G0386;63;42;217.0;561.0;107.0;87.0;202.0;94.0;59.0;16.0;1.0;27.0;21.0;7.0;;266.0
Egmond-Binnen-G0387;24;8;951.0;35.0;4.0;8.0;87.0;41.0;6.0;;;;7.0;;;63.0
Eibergen-G0229;39;36;1931.0;682.0;518.0;598.0;283.0;312.0;70.0;4.0;;57.0;2.0;;;341.0
Eijgelshoven-G0904;48;51;1079.0;152.0;2.0;17.0;;5.0;151.0;;;;;8.0;;69.0
Eijsden-G0905;35;102;1424.0;38.0;7.0;7.0;;;96.0;;;;;;;106.0
Eindhoven-G0772;869;1657;31885.0;7492.0;1891.0;1395.0;;2341.0;1199.0;;77.0;;;158.0;;2703.0
Elburg-G0230;36;19;5.0;46.0;372.0;729.0;67.0;7.0;8.0;1.0;10.0;6.0;;;;98.0
Elkerzee-G1053;4;6;3.0;27.0;91.0;77.0;24.0;63.0;5.0;;30.0;;;1.0;;28.0
Ellemeet-G1054;0;11;;77.0;31.0;53.0;14.0;83.0;;;5.0;;;1.0;;22.0
Ellewoutsdijk-G0663;2;12;6.0;65.0;25.0;102.0;21.0;59.0;;;9.0;;;;;35.0
Elsloo-G0903;21;50;985.0;5.0;;3.0;;5.0;60.0;;;;;8.0;;113.0
Elst-G0231;44;70;2407.0;467.0;243.0;405.0;162.0;342.0;243.0;;59.0;;;;45.0;253.0
Emmen-G0114;890;840;2577.0;3120.0;2797.0;2115.0;819.0;1979.0;1591.0;1410.0;;391.0;433.0;;;1607.0
Empel en Meerwijk-G0773;1;4;301.0;5.0;2.0;1.0;;2.0;2.0;;;;;;;35.0
Engelen-G0774;1;9;270.0;11.0;;38.0;;2.0;2.0;;1.0;;;;;295.0
Enkhuizen-G0388;68;155;613.0;1171.0;1034.0;609.0;558.0;228.0;108.0;30.0;121.0;220.0;68.0;28.0;;504.0
Enschede-G0153;1299;1676;9285.0;12021.0;3969.0;2988.0;3748.0;2617.0;2765.0;3184.0;105.0;2623.0;794.0;;;2858.0
Epe-G0232;66;198;788.0;1575.0;1063.0;1120.0;1248.0;866.0;243.0;37.0;173.0;27.0;;;;516.0
Ermelo-G0233;58;174;70.0;369.0;2022.0;3340.0;136.0;258.0;110.0;13.0;621.0;32.0;;;;600.0
Erp-G0775;10;9;1297.0;15.0;1.0;40.0;;2.0;1.0;;;;;;;86.0
Esch-G0776;0;0;339.0;7.0;;3.0;;2.0;;;;;;;;28.0
Escharen-G1057;8;0;635.0;4.0;;;;;;;;;;19.0;;60.0
Est en Opijnen-G0234;12;12;3.0;80.0;23.0;198.0;9.0;111.0;4.0;4.0;47.0;6.0;1.0;;;55.0
Etten en Leur-G1251;63;114;3869.0;233.0;18.0;119.0;;45.0;21.0;;3.0;;;;;443.0
Everdingen-G0508;12;6;99.0;36.0;87.0;70.0;24.0;65.0;8.0;;71.0;4.0;;13.0;;61.0
Ewijk-G0235;48;0;1103.0;27.0;1.0;17.0;1.0;34.0;5.0;2.0;1.0;3.0;;;128.0;92.0
Ezinge-G0012;2;20;;197.0;358.0;26.0;100.0;173.0;12.0;1.0;;55.0;;;;69.0
Ferwerderadeel-G0068;38;40;8.0;387.0;2142.0;788.0;390.0;161.0;27.0;12.0;7.0;374.0;10.0;;28.0;241.0
Fijnaart en Heijningen-G0778;19;26;801.0;39.0;242.0;736.0;;160.0;10.0;;62.0;;;;;180.0
Finsterwolde-G0013;28;114;;323.0;40.0;46.0;103.0;200.0;29.0;664.0;;83.0;;;18.0;148.0
Franeker-G0069;22;30;512.0;379.0;883.0;413.0;553.0;144.0;79.0;83.0;;323.0;7.0;;637.0;907.0
Franekeradeel-G0070;37;105;86.0;454.0;485.0;578.0;433.0;75.0;45.0;8.0;;150.0;11.0;;198.0;79.0
Gaasterland-G0071;27;16;606.0;98.0;603.0;1122.0;182.0;45.0;45.0;7.0;124.0;112.0;1.0;;5.0;241.0
Gameren-G1058;8;52;11.0;128.0;396.0;59.0;14.0;14.0;18.0;;216.0;2.0;;;11.0;126.0
Gassel-G1059;2;1;302.0;1.0;;;;;1.0;;;;;5.0;;19.0
Gasselte-G0115;26;56;13.0;623.0;253.0;226.0;98.0;249.0;109.0;17.0;;45.0;11.0;;;121.0
Geertruidenberg-G0779;10;37;904.0;83.0;21.0;69.0;;77.0;13.0;;7.0;;;;;148.0
Geervliet-G0509;11;12;7.0;161.0;68.0;112.0;36.0;59.0;29.0;12.0;27.0;2.0;3.0;2.0;;47.0
Geffen-G0780;2;8;675.0;32.0;3.0;1.0;;2.0;4.0;;;;;69.0;;80.0
Geldermalsen-G0236;24;84;34.0;593.0;184.0;560.0;86.0;305.0;59.0;20.0;238.0;44.0;5.0;;;252.0
Geldrop-G0781;74;95;3467.0;415.0;82.0;84.0;;48.0;111.0;;6.0;;;46.0;;288.0
Geleen-G0906;148;193;4160.0;462.0;146.0;230.0;;33.0;543.0;;;;;68.0;;346.0
Gemert-G0782;28;39;2901.0;47.0;5.0;17.0;;17.0;6.0;;;;;99.0;;291.0
Gendringen-G0237;39;36;3581.0;133.0;211.0;385.0;61.0;60.0;233.0;;11.0;;;;37.0;221.0
Gendt-G0238;18;15;1390.0;44.0;26.0;40.0;7.0;9.0;9.0;;;1.0;;;99.0;85.0
Genemuiden-G0154;32;35;8.0;176.0;390.0;210.0;32.0;22.0;19.0;4.0;558.0;43.0;8.0;;;330.0
Gennep-G0907;39;78;1206.0;119.0;31.0;38.0;;44.0;41.0;;;;;54.0;;115.0
Geulle-G0908;26;35;599.0;13.0;2.0;7.0;;;41.0;;;;;2.0;;75.0
Giessen-G0783;2;1;;4.0;118.0;49.0;;18.0;5.0;;7.0;;;;;72.0
Giessendam-G1063;32;76;5.0;210.0;646.0;89.0;54.0;204.0;22.0;6.0;379.0;3.0;7.0;95.0;;368.0
Giessen-Nieuwkerk-G1062;4;20;3.0;32.0;213.0;58.0;16.0;84.0;8.0;2.0;40.0;;1.0;32.0;;56.0
Gieten-G0116;22;60;10.0;540.0;91.0;224.0;434.0;245.0;151.0;8.0;;20.0;4.0;;;119.0
Giethoorn-G0155;19;64;5.0;510.0;77.0;156.0;110.0;83.0;57.0;79.0;5.0;106.0;1.0;;;137.0
Gilze en Rijen-G0784;22;36;3680.0;61.0;10.0;16.0;;5.0;14.0;;1.0;;;1.0;;210.0
Ginneken en Bavel-G1064;100;222;5218.0;800.0;208.0;;;597.0;160.0;;22.0;;;266.0;;681.0
Goedereede-G0511;9;31;3.0;73.0;198.0;18.0;38.0;101.0;2.0;2.0;56.0;;1.0;25.0;;6265.0
Goes-G0664;60;120;774.0;786.0;639.0;1468.0;217.0;815.0;136.0;;133.0;;;6.0;;381.0
Goirle-G0785;55;62;2294.0;103.0;21.0;14.0;;20.0;30.0;;2.0;;;7.0;;102.0
Goor-G0156;42;60;533.0;1174.0;71.0;166.0;247.0;81.0;90.0;13.0;3.0;28.0;23.0;;;126.0
Gorinchem-G0512;111;257;853.0;2152.0;1467.0;528.0;499.0;1085.0;166.0;210.0;145.0;10.0;10.0;43.0;;624.0
Gorssel-G0239;50;121;264.0;947.0;767.0;1265.0;341.0;779.0;114.0;18.0;;33.0;9.0;;;378.0
Gouda-G0513;228;440;3703.0;5155.0;2246.0;1010.0;844.0;1113.0;535.0;355.0;723.0;405.0;77.0;811.0;;1056.0
Gouderak-G0514;13;17;20.0;202.0;223.0;26.0;41.0;97.0;40.0;6.0;158.0;8.0;1.0;25.0;;116.0
Goudriaan-G0515;5;8;;6.0;147.0;7.0;21.0;37.0;2.0;2.0;42.0;;2.0;14.0;;32.0
Goudswaard-G0516;8;7;7.0;64.0;97.0;72.0;8.0;149.0;14.0;1.0;254.0;2.0;1.0;8.0;;99.0
Graauw en Langendam-G0665;12;44;506.0;23.0;16.0;14.0;7.0;8.0;10.0;;1.0;;;228.0;;145.0
Graft-G0389;10;12;143.0;194.0;7.0;21.0;116.0;43.0;33.0;9.0;;5.0;6.0;1.0;;45.0
Gramsbergen-G0157;10;47;43.0;187.0;629.0;652.0;61.0;226.0;124.0;4.0;9.0;48.0;1.0;;;174.0
Grathem-G0909;7;4;672.0;1.0;1.0;2.0;;;1.0;;;;;3.0;;61.0
Grave-G0786;25;34;704.0;43.0;12.0;5.0;;60.0;16.0;;;;;20.0;;365.0
Grevenbicht-G0910;21;27;553.0;20.0;;71.0;;1.0;127.0;;;;;10.0;;87.0
Grijpskerk-G0016;5;14;2.0;154.0;1061.0;130.0;182.0;159.0;57.0;9.0;;62.0;;;7.0;117.0
Grijpskerke-G1067;4;1;;2.0;286.0;104.0;2.0;4.0;1.0;;52.0;;;1.0;;38.0
Groede-G0667;28;30;157.0;244.0;77.0;139.0;140.0;377.0;21.0;;17.0;;;7.0;;114.0
Groenlo-G0240;17;24;1571.0;107.0;21.0;62.0;71.0;35.0;45.0;5.0;;5.0;2.0;;;131.0
Groesbeek-G0241;121;205;2571.0;92.0;30.0;120.0;61.0;35.0;154.0;15.0;2.0;7.0;;;432.0;300.0
Groningen-G0014;843;1561;4749.0;18858.0;8483.0;5077.0;6079.0;3584.0;2324.0;3083.0;;3679.0;;495.0;3371.0;6022.0
Gronsveld-G0911;10;38;701.0;10.0;;1.0;;;54.0;;;;;;;54.0
Groot-Ammers-G0520;20;16;3.0;36.0;300.0;21.0;83.0;84.0;11.0;;186.0;2.0;;17.0;;110.0
Grootebroek-G0391;6;18;1545.0;112.0;6.0;;92.0;59.0;16.0;4.0;1.0;16.0;6.0;;;99.0
Grootegast-G0015;43;52;1.0;301.0;2046.0;324.0;233.0;124.0;90.0;9.0;;372.0;;;5.0;320.0
Grubbenvorst-G0912;6;11;1086.0;22.0;2.0;1.0;;;8.0;;;;;4.0;;76.0
Gulpen-G0913;29;34;1224.0;10.0;3.0;13.0;;;124.0;;;;;;;87.0
Haaften-G0242;24;36;10.0;287.0;173.0;392.0;34.0;53.0;24.0;9.0;172.0;16.0;3.0;;;1204.0
Haaksbergen-G0158;56;47;2816.0;596.0;49.0;65.0;493.0;38.0;144.0;11.0;6.0;15.0;5.0;;;266.0
Haamstede-G1068;1;1;7.0;106.0;177.0;195.0;47.0;205.0;11.0;;53.0;;;;;123.0
Haaren-G0788;4;5;975.0;10.0;;1.0;;2.0;;;;;;4.0;;92.0
Haarlem-G0392;1231;1960;19518.0;21018.0;5549.0;4108.0;6901.0;4749.0;3468.0;3460.0;202.0;1671.0;736.0;118.0;;4883.0
Haarlemmerliede en Spaarnwoude-G0393;23;28;815.0;163.0;143.0;95.0;68.0;146.0;42.0;29.0;14.0;33.0;14.0;;;123.0
Haarlemmermeer-G0394;344;362;3231.0;2310.0;3186.0;2236.0;875.0;547.0;768.0;536.0;282.0;500.0;111.0;26.0;;1009.0
Haarzuilens-G1069;2;0;189.0;2.0;7.0;19.0;;;1.0;;;;;;;11.0
Haastrecht-G0521;13;17;388.0;139.0;166.0;43.0;87.0;106.0;76.0;2.0;47.0;2.0;1.0;12.0;;67.0
Haelen-G0914;10;10;533.0;4.0;;1.0;;;4.0;;;;;1.0;;48.0
Hagestein-G0522;4;4;138.0;2.0;37.0;64.0;9.0;36.0;3.0;1.0;66.0;;1.0;62.0;;43.0
Halsteren-G0789;153;54;2321.0;144.0;60.0;47.0;;74.0;71.0;;4.0;;;;;262.0
Haps-G0790;9;8;625.0;1.0;;1.0;;;5.0;;;;;42.0;;66.0
Harderwijk-G0243;62;78;177.0;297.0;902.0;2179.0;143.0;211.0;62.0;4.0;344.0;9.0;;;;442.0
Hardinxveld-G1070;49;134;14.0;833.0;527.0;60.0;129.0;329.0;59.0;22.0;626.0;9.0;13.0;229.0;;720.0
Haren-G0017;48;110;68.0;1048.0;963.0;729.0;632.0;661.0;215.0;52.0;;553.0;;;68.0;476.0
Harenkarspel-G0395;9;8;914.0;189.0;80.0;4.0;239.0;12.0;11.0;15.0;1.0;11.0;12.0;2.0;;1595.0
Harlingen-G0072;65;108;661.0;1204.0;776.0;983.0;518.0;119.0;65.0;41.0;;215.0;38.0;;568.0;519.0
Harmelen-G0318;12;5;525.0;40.0;189.0;248.0;6.0;29.0;30.0;1.0;60.0;2.0;;;;53.0
Haskerland-G0073;102;140;449.0;667.0;612.0;1096.0;614.0;94.0;52.0;76.0;27.0;747.0;10.0;;150.0;471.0
Hasselt-G0161;9;10;47.0;86.0;463.0;153.0;28.0;76.0;12.0;;53.0;28.0;;;;235.0
Hattem-G0244;28;101;27.0;812.0;528.0;599.0;55.0;157.0;27.0;8.0;12.0;20.0;;;;198.0
Havelte-G0117;27;69;22.0;479.0;105.0;171.0;417.0;458.0;135.0;14.0;;3.0;;;;175.0
Hazerswoude-G0524;27;25;829.0;42.0;590.0;431.0;24.0;35.0;54.0;3.0;94.0;2.0;3.0;76.0;;126.0
Hedel-G0245;15;12;368.0;29.0;126.0;104.0;6.0;8.0;76.0;;121.0;1.0;;;;98.0
Heel en Panheel-G0915;6;11;1036.0;3.0;1.0;;;;8.0;;;;;10.0;;76.0
Heemskerk-G0396;33;31;1542.0;133.0;26.0;114.0;100.0;49.0;53.0;45.0;1.0;4.0;5.0;5.0;;83.0
Heemstede-G0397;143;230;3289.0;796.0;878.0;960.0;951.0;1648.0;663.0;152.0;30.0;322.0;60.0;11.0;;849.0
Heenvliet-G0525;8;19;5.0;158.0;46.0;72.0;98.0;97.0;17.0;95.0;8.0;;2.0;3.0;;104.0
Heer-G0916;81;186;1703.0;375.0;17.0;17.0;;;155.0;;;;;;;141.0
Heerde-G0246;61;153;30.0;885.0;1039.0;1635.0;198.0;507.0;78.0;8.0;15.0;30.0;;;;237.0
Heerenveen-G0074;168;346;307.0;2211.0;1370.0;1062.0;2554.0;334.0;156.0;1194.0;29.0;828.0;46.0;;665.0;1030.0
Heerewaarden-G0247;12;16;8.0;268.0;14.0;10.0;54.0;133.0;22.0;1.0;;4.0;;;7.0;65.0
Heerhugowaard-G0398;7;12;1459.0;240.0;139.0;35.0;271.0;56.0;28.0;27.0;1.0;;16.0;1.0;;
Heerjansdam-G0526;11;2;1.0;127.0;158.0;249.0;10.0;19.0;5.0;2.0;41.0;;;2.0;;40.0
Heerlen-G0917;522;665;13108.0;2934.0;280.0;1116.0;;232.0;1006.0;;;;;35.0;;1202.0
Heesch-G0791;16;8;1162.0;31.0;2.0;15.0;;6.0;11.0;;;;;110.0;;136.0
Heeswijk-G1072;20;0;695.0;16.0;;;;2.0;;;;;;6.0;;73.0
Heeze-G0793;9;21;1366.0;24.0;4.0;42.0;;9.0;23.0;;;;;12.0;;419.0
Hei- en Boeicop-G0527;5;6;;8.0;109.0;29.0;3.0;34.0;1.0;;114.0;1.0;;9.0;;53.0
Heiloo-G0399;78;69;1509.0;786.0;129.0;136.0;615.0;413.0;163.0;45.0;6.0;29.0;32.0;6.0;;300.0
Heinenoord-G0528;8;13;9.0;106.0;289.0;210.0;63.0;86.0;35.0;5.0;149.0;1.0;4.0;8.0;;116.0
Heinkenszand-G0672;10;8;458.0;10.0;120.0;226.0;19.0;57.0;12.0;;28.0;;;;;76.0
Heino-G0162;6;7;717.0;129.0;93.0;399.0;49.0;13.0;35.0;2.0;2.0;4.0;2.0;;;80.0
Hekelingen-G1074;10;15;5.0;194.0;85.0;54.0;75.0;52.0;12.0;10.0;32.0;;;;;60.0
Hekendorp-G1075;3;8;85.0;17.0;66.0;46.0;16.0;20.0;34.0;1.0;37.0;1.0;;10.0;;17.0
Helden-G0918;21;23;2942.0;4.0;;3.0;;5.0;44.0;;;;;;;128.0
Hellendoorn-G0163;54;105;1513.0;489.0;1496.0;2294.0;139.0;158.0;126.0;40.0;70.0;746.0;;;;490.0
Hellevoetsluis-G0530;0;31;13.0;153.0;85.0;146.0;102.0;149.0;28.0;6.0;11.0;2.0;1.0;4.0;;92.0
Helmond-G0794;186;531;9712.0;1355.0;80.0;108.0;;376.0;212.0;;;;;29.0;;946.0
Helvoirt-G0795;5;11;926.0;19.0;1.0;48.0;;3.0;1.0;;2.0;;;36.0;;110.0
Hemelumer Oldephaert en Noordwolde-G1260;43;0;82.0;178.0;559.0;1295.0;202.0;33.0;23.0;7.0;25.0;139.0;5.0;;9.0;186.0
Hemmen-G1076;0;0;4.0;;29.0;40.0;;7.0;11.0;;19.0;1.0;;;;11.0
Hendrik-Ido-Ambacht-G0531;21;67;10.0;477.0;597.0;373.0;63.0;163.0;51.0;10.0;468.0;4.0;4.0;13.0;;197.0
Hengelo-G0248;38;38;838.0;169.0;541.0;453.0;178.0;142.0;48.0;1.0;30.0;8.0;;;;174.0
Hengelo-G0164;363;646;6468.0;6217.0;1161.0;1013.0;1871.0;968.0;891.0;394.0;26.0;1037.0;87.0;;;1273.0
Hennaarderadeel-G0076;13;12;97.0;177.0;465.0;1143.0;269.0;80.0;11.0;5.0;;81.0;2.0;;34.0;160.0
Hensbroek-G0401;3;13;215.0;19.0;2.0;4.0;122.0;19.0;23.0;21.0;3.0;;4.0;;;43.0
Herkingen-G1078;5;10;3.0;19.0;100.0;5.0;10.0;24.0;9.0;7.0;153.0;1.0;;65.0;;121.0
Herpen-G1079;13;5;688.0;14.0;;2.0;;;2.0;;;;;119.0;;891.0
Herten-G0919;3;8;700.0;;3.0;;;2.0;19.0;;;;;1.0;;45.0
Herwen en Aerdt-G0249;53;64;1558.0;172.0;36.0;146.0;115.0;14.0;24.0;;7.0;;;;234.0;265.0
Herwijnen-G0250;21;25;10.0;147.0;260.0;221.0;9.0;61.0;42.0;1.0;47.0;11.0;3.0;;;127.0
Het Bildt-G0063;0;0;11.0;1020.0;1306.0;726.0;726.0;119.0;93.0;99.0;;246.0;160.0;;156.0;
Heteren-G0251;21;18;973.0;65.0;228.0;344.0;22.0;20.0;74.0;3.0;196.0;3.0;2.0;;;142.0
Heukelum-G0533;19;22;6.0;212.0;172.0;125.0;47.0;166.0;3.0;12.0;33.0;2.0;3.0;68.0;;58.0
Heumen-G0252;21;19;964.0;16.0;12.0;6.0;4.0;15.0;21.0;;3.0;2.0;;;65.0;284.0
Heusden-G0797;15;46;869.0;103.0;71.0;178.0;;49.0;13.0;;30.0;;;;;171.0
Heythuysen-G0920;9;5;1178.0;1.0;2.0;1.0;;;17.0;;;;;1.0;;90.0
Hillegersberg-G1081;186;284;1970.0;2044.0;2039.0;1165.0;1552.0;1148.0;731.0;93.0;298.0;149.0;82.0;170.0;;701.0
Hillegom-G0534;30;71;2816.0;607.0;620.0;567.0;194.0;130.0;138.0;53.0;87.0;140.0;2.0;15.0;;353.0
Hilvarenbeek-G0798;29;52;1777.0;57.0;31.0;39.0;;15.0;31.0;;;;;6.0;;122.0
Hilversum-G0402;593;1099;7805.0;9111.0;4956.0;4400.0;2818.0;2937.0;1855.0;1040.0;593.0;888.0;323.0;46.0;;2581.0
Hindeloopen-G0077;3;4;7.0;93.0;54.0;177.0;118.0;;;6.0;1.0;14.0;;;1.0;49.0
Hoedekenskerke-G0673;14;7;374.0;7.0;44.0;174.0;10.0;26.0;10.0;;105.0;;;;;47.0
Hoek-G0674;24;27;25.0;245.0;223.0;230.0;48.0;384.0;34.0;;223.0;;;19.0;;136.0
Hoenkoop-G0319;3;3;143.0;8.0;70.0;21.0;4.0;7.0;22.0;;9.0;;;;;16.0
Hoensbroek-G0921;226;209;3042.0;837.0;93.0;224.0;;27.0;363.0;;;;;;;282.0
Hoevelaken-G0253;7;15;46.0;99.0;73.0;415.0;5.0;14.0;6.0;;21.0;6.0;;;;83.0
Hoeven-G0799;25;52;1589.0;64.0;6.0;6.0;;3.0;13.0;;;;;;;209.0
Holten-G0165;33;17;30.0;266.0;298.0;979.0;225.0;233.0;81.0;17.0;10.0;41.0;1.0;;;177.0
Hontenisse-G0675;58;67;2011.0;30.0;34.0;109.0;23.0;34.0;44.0;;5.0;;;235.0;;268.0
Hoofdplaat-G0676;15;16;418.0;11.0;22.0;32.0;11.0;16.0;6.0;;5.0;;;32.0;;68.0
