RegioNaam;@invalid;@blank;CDA;PvdA;SP;VVD;PVV;GL;CU;D66;PvdD;SGP;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij;@abs
Wageningen-G0289;;42;4121;5244;3496;2246;521;2481;1116;1046;337;225;74;13;8.0;6.0;3.0;1.0;2;12.0;9.0;4.0;;;;;4048
Wassenaar-G0629;;21;4832;1506;1094;5076;777;442;251;300;401;36;107;30;;9.0;5.0;1.0;3;;7.0;1.0;0.0;;;;2549
Waterland-G0852;;14;3257;2151;1444;2428;709;664;240;238;318;20;55;23;23.0;6.0;6.0;;3;10.0;2.0;1.0;1.0;;;;1580
Weert-G0988;;45;8486;5296;5750;4532;3036;776;366;289;357;15;120;54;53.0;23.0;8.0;;6;;;7.0;;;;;7722
Weesp-G0457;;15;2523;2445;1907;1926;552;654;220;249;288;34;63;17;26.0;13.0;4.0;;4;12.0;1.0;1.0;1.0;;;2.0;2468
Werkendam-G0870;;17;6357;2267;1752;1937;839;296;1112;76;200;1663;68;19;11.0;14.0;;1.0;7;1.0;0.0;0.0;2.0;;;;3383
Wervershoof-G0459;;5;2293;629;689;906;277;156;60;37;83;5;33;13;14.0;6.0;1.0;;2;1.0;2.0;1.0;0.0;;;;1073
West Maas en Waal-G0668;;8;4409;1970;2197;1816;598;293;84;98;160;13;175;24;15.0;9.0;6.0;;1;;1.0;3.0;0.0;;;;2223
Wester-Koggenland-G0558;;17;3660;1131;1121;1696;489;355;86;108;149;11;55;17;10.0;10.0;8.0;;0;4.0;4.0;3.0;1.0;;;;1690
Westerveld-G1701;;11;2911;3865;1735;2613;405;580;335;210;266;30;54;32;;;18.0;;3;;4.0;4.0;;;;;2098
Westervoort-G0293;;13;2342;2288;2093;1139;637;414;216;120;158;12;37;18;11.0;1.0;7.0;8.0;2;6.0;1.0;2.0;;;;;2204
Westland-G1783;;72;27343;6041;4963;11475;4802;1257;2245;522;813;850;556;839;55.0;42.0;38.0;12.0;10;;5.0;11.0;1.0;;;;11426
Weststellingwerf-G0098;;24;4085;4858;2681;2170;684;556;442;126;263;27;52;29;16.0;18.0;8.0;;5;10.0;;5.0;;;;;3787
Westvoorne-G0614;;12;2438;1453;1103;2649;791;243;164;133;240;42;130;41;12.0;10.0;3.0;0.0;2;;3.0;0.0;1.0;;;;1626
Wierden-G0189;;6;7780;1732;1346;1724;586;257;1407;107;101;329;36;28;8.0;5.0;9.0;;1;6.0;0.0;;2.0;;;;2122
Wieringen-G0462;;7;1029;1200;1024;1153;373;160;98;51;119;4;30;16;39.0;9.0;2.0;;0;3.0;0.0;3.0;0.0;;;;1494
Wieringermeer-G0463;;10;2539;1259;1310;1390;477;201;308;100;115;43;29;17;9.0;3.0;0.0;;3;4.0;2.0;3.0;1.0;;;;1701
Wijchen-G0296;;35;7969;4832;5118;3283;1229;791;299;319;311;13;110;34;17.0;13.0;12.0;;9;;9.0;4.0;2.0;;;;5255
Wijdemeren-G1696;;24;4908;2238;1766;3826;755;651;436;278;380;83;91;34;21.0;12.0;3.0;;2;3.0;5.0;2.0;0.0;;;2.0;2502
Wijk bij Duurstede-G0352;;20;4457;2652;2254;2447;839;647;528;251;282;277;80;27;7.0;8.0;3.0;6.0;0;;5.0;4.0;0.0;;;;2560
Winschoten-G0052;;17;1555;4659;2393;1160;412;467;489;73;188;18;26;27;8.0;11.0;8.0;;5;;2.0;1.0;;;;;3137
Winsum-G0053;;16;2286;2419;1548;856;220;591;885;107;126;44;19;13;4.0;3.0;5.0;;2;;1.0;1.0;;;;;1355
Winterswijk-G0294;;18;4392;4958;3348;2966;563;554;413;217;200;12;56;22;18.0;7.0;18.0;2.0;5;3.0;0.0;3.0;;;;;4166
Woensdrecht-G0873;;12;3807;2274;2227;1994;1005;268;155;163;230;20;86;40;31.0;9.0;;0.0;1;9.0;1.0;1.0;2.0;;;;3797
Woerden-G0632;;35;10697;4480;3269;4940;1449;1163;2122;515;504;819;186;55;31.0;22.0;10.0;9.0;4;;5.0;6.0;4.0;;;;5100
Wognum-G0466;;3;2306;570;664;859;270;181;86;74;100;1;27;16;7.0;5.0;1.0;;4;0.0;3.0;0.0;1.0;;;;892
Wormerland-G0880;;13;2306;2049;2029;1777;562;554;246;161;237;15;38;10;27.0;7.0;7.0;;0;8.0;2.0;3.0;1.0;;;;1881
Woudenberg-G0351;;11;2529;768;521;989;287;175;759;76;74;938;30;15;3.0;1.0;0.0;0.0;0;;0.0;3.0;0.0;;;;1052
Woudrichem-G0874;;7;3662;1183;1043;1062;440;171;1119;77;121;284;37;14;5.0;2.0;;0.0;4;2.0;0.0;1.0;0.0;;;;1630
Wûnseradiel-G0710;;3;2811;1549;1127;832;300;271;347;67;98;9;29;13;10.0;2.0;5.0;;1;1.0;;0.0;;;;;1363
Wymbritseradiel-G0683;;13;4490;1755;1382;1137;300;360;544;116;97;19;32;24;8.0;7.0;8.0;;1;1.0;;0.0;;;;;1659
Zaanstad-G0479;;177;14240;20233;18205;12393;6016;4495;1989;1818;2097;208;552;219;188.0;85.0;53.0;;43;68.0;17.0;19.0;6.0;;;;21693
Zaltbommel-G0297;;12;4302;2960;1793;2101;764;544;1194;185;178;1911;69;26;7.0;7.0;10.0;;2;;1.0;2.0;3.0;;;;2956
Zandvoort-G0473;;11;2111;1707;1465;3042;649;343;129;152;367;7;82;16;48.0;13.0;7.0;;6;7.0;1.0;2.0;0.0;;;0.0;2953
Zederik-G0707;;8;3521;1150;653;1065;347;139;918;51;96;950;35;15;8.0;7.0;6.0;0.0;1;;0.0;2.0;0.0;;;;1012
Zeevang-G0478;;17;886;773;533;1062;271;210;53;66;129;4;13;13;12.0;3.0;2.0;;0;2.0;0.0;1.0;0.0;;;;670
Zeewolde-G0050;;10;3394;1409;1184;2517;558;367;1247;143;230;77;50;35;14.0;3.0;0.0;;2;6.0;5.0;1.0;0.0;;;;2046
Zeist-G0355;;59;9014;7057;4837;7279;1857;2476;1751;1080;842;677;202;60;39.0;27.0;16.0;9.0;3;;15.0;12.0;0.0;;;;7959
Zevenaar-G0299;;15;6632;4342;3855;2519;948;645;324;325;307;18;92;45;18.0;10.0;9.0;6.0;6;4.0;1.0;33.0;;;;;4582
Zevenhuizen-Moerkapelle-G1666;;6;1963;954;494;1164;373;126;461;59;113;775;55;13;;5.0;5.0;1.0;1;;0.0;2.0;0.0;;;;1049
Zijpe-G0476;;9;2064;1383;1170;1599;417;290;115;86;162;13;48;21;9.0;3.0;4.0;;9;6.0;0.0;0.0;0.0;;;;1374
Zoetermeer-G0637;;143;16223;15209;11814;12707;5182;2871;2672;1389;1603;584;648;180;;28.0;201.0;33.0;19;;21.0;23.0;8.0;;;;17029
Zoeterwoude-G0638;;8;2013;753;655;876;296;271;118;89;107;38;32;10;;3.0;1.0;0.0;2;;1.0;2.0;0.0;;;;1032
Zuidhorn-G0056;;24;3372;2461;1633;1146;282;613;2087;149;154;121;27;18;13.0;4.0;2.0;;3;;1.0;1.0;;;;;1346
Zundert-G0879;;8;4596;1768;1859;1842;740;249;110;112;137;4;59;32;13.0;9.0;;3.0;6;3.0;1.0;1.0;1.0;;;;3930
Zutphen-G0301;;42;5228;7909;6725;3438;1053;2020;1084;827;630;43;87;55;28.0;10.0;11.0;52.0;15;16.0;7.0;5.0;;;;;5901
Zwartewaterland-G1896;;13;4326;1756;1064;990;376;157;2439;50;74;2123;18;13;8.0;4.0;6.0;;0;4.0;1.0;;0.0;;;;2032
Zwijndrecht-G0642;;35;7257;5315;4409;3861;2056;701;1861;380;471;901;346;65;59.0;17.0;14.0;5.0;2;;5.0;1.0;2.0;;;;6291
Zwolle-G0193;;90;16063;17250;12429;8356;2464;4170;7588;1412;1092;369;267;102;61.0;20.0;29.0;;5;32.0;14.0;;3.0;;;;15485
