RegioNaam;@invalid;@blank;CDA;PvdA;SP;VVD;PVV;GL;CU;D66;PvdD;SGP;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij;@abs
Lingewaal-G0733;;2;2235;1315;748;1082;466;157;528;62;104;265;47;12;5.0;1.0;5.0;;1;;0.0;2.0;1.0;;;;1134
Lingewaard-G1705;;27;9823;5337;4803;3999;1410;976;327;384;374;17;102;43;31.0;13.0;8.0;2.0;2;9.0;4.0;6.0;;;;;5934
Lisse-G0553;;12;5328;1824;1570;2536;732;411;478;222;210;596;68;28;;7.0;11.0;1.0;2;;2.0;1.0;0.0;;;;2381
Lith-G0808;;14;1679;566;896;604;220;87;36;32;51;1;22;5;3.0;;0.0;;0;;0.0;1.0;1.0;;;;797
Littenseradiel-G0140;;7;2362;1624;1085;804;187;335;293;90;86;4;17;8;0.0;2.0;4.0;;1;3.0;;0.0;;;;;1055
Lochem-G0262;;31;6330;4839;3022;4598;673;1057;485;486;365;20;73;29;13.0;6.0;4.0;3.0;9;7.0;1.0;0.0;;;;;3454
Loenen-G0329;;4;1721;809;528;1282;248;273;177;140;134;89;33;8;11.0;7.0;2.0;1.0;0;;2.0;0.0;0.0;;;;697
Loon op Zand-G0809;;17;4915;2437;2347;2158;846;362;154;126;216;70;79;30;14.0;3.0;;6.0;6;5.0;4.0;1.0;0.0;;;;3729
Lopik-G0331;;5;3585;869;774;1184;622;159;731;57;92;466;37;17;5.0;1.0;3.0;3.0;2;;1.0;0.0;1.0;;;;1454
Loppersum-G0024;;4;1922;1754;1183;565;216;389;718;80;128;54;9;17;4.0;3.0;3.0;;12;;2.0;3.0;;;;;1202
Losser-G0168;;18;5798;2910;2250;1569;832;317;218;114;120;7;36;25;19.0;7.0;4.0;;5;6.0;1.0;;1.0;;;;2942
Maarssen-G0333;;52;6314;5028;3298;4641;1864;1103;773;471;524;98;142;57;30.0;20.0;9.0;8.0;3;;7.0;29.0;1.0;;;;5387
Maasbracht-G0933;;17;2956;1362;1508;1037;1002;180;124;55;149;3;26;23;9.0;9.0;10.0;;2;;;3.0;;;;;2281
Maasbree-G0934;;9;3304;1021;1069;944;1076;194;66;65;93;8;42;10;14.0;4.0;3.0;;3;;;1.0;;;;;1783
Maasdonk-G1671;;4;2962;823;1462;822;469;113;40;37;45;0;27;13;3.0;;2.0;;1;;3.0;1.0;0.0;;;;1568
Maasdriel-G0263;;9;5318;2359;2203;2681;1044;397;221;132;180;249;70;33;15.0;10.0;8.0;;2;;3.0;1.0;1.0;;;;2886
Maassluis-G0556;;20;5344;3806;2791;3060;1771;440;828;479;350;107;296;83;77.0;16.0;10.0;21.0;2;;3.0;5.0;4.0;;;;4326
Maastricht-G0935;;108;14639;18180;14512;7820;5727;4275;913;1592;1241;34;221;112;198.0;72.0;55.0;;22;;;20.0;;;;;23579
Margraten-G0936;;19;3286;1466;1343;1021;861;374;125;116;138;3;30;10;17.0;16.0;6.0;;0;;;2.0;;;;;1509
Marum-G0025;;11;1666;1587;899;830;248;191;466;67;74;29;27;23;3.0;2.0;4.0;;0;;0.0;3.0;;;;;1395
Medemblik-G0420;;6;1317;808;842;729;366;151;113;70;91;5;30;15;7.0;5.0;3.0;;1;3.0;1.0;0.0;2.0;;;;1282
Meerlo-Wanssum-G0993;;4;2004;618;801;509;554;115;47;26;43;2;11;16;11.0;4.0;1.0;;1;;;0.0;;;;;1056
Meerssen-G0938;;14;3946;2370;2380;1587;1339;491;152;127;206;8;44;16;34.0;6.0;8.0;;5;;;4.0;;;;;2633
Meijel-G0941;;7;1579;484;473;428;429;65;22;29;52;1;9;4;6.0;1.0;2.0;;1;;;3.0;;;;;946
Menaldumadeel-G0083;;13;2527;2560;1498;1003;304;347;418;85;87;17;23;17;2.0;5.0;2.0;;2;1.0;;3.0;;;;;1493
Menterwolde-G1987;;11;953;3149;1733;826;343;374;313;59;111;15;24;16;6.0;3.0;4.0;;4;;0.0;0.0;;;;;1792
Meppel-G0119;;19;4540;5490;3174;2943;762;832;1228;265;251;47;62;19;;;18.0;;1;;4.0;7.0;;;;;4028
Middelburg-G0687;;35;6967;5856;4831;3203;1305;1496;2169;495;616;2055;121;55;39.0;;21.0;;50;;;8.0;;;;;6121
Middelharnis-G0559;;10;2788;1795;1471;1450;643;232;1048;66;113;1534;86;26;7.0;8.0;6.0;2.0;4;;1.0;2.0;0.0;;;;2318
Midden-Delfland-G1842;;14;5218;1240;913;1988;616;390;472;199;133;43;112;36;10.0;4.0;5.0;1.0;3;;3.0;2.0;2.0;;;;1385
Midden-Drenthe-G1731;;25;5740;6390;3170;3332;799;752;986;238;292;75;70;36;;;14.0;;10;;6.0;2.0;;;;;3770
Mill en Sint Hubert-G0815;;8;3165;1051;1475;787;373;103;47;41;51;4;20;13;4.0;;7.0;;3;;0.0;1.0;0.0;;;;1300
Millingen aan de Rijn-G0265;;1;953;985;865;412;170;94;30;37;50;1;5;3;2.0;4.0;2.0;;1;;2.0;2.0;0.0;;;;798
Moerdijk-G1709;;20;6928;3625;4388;3458;1496;549;755;226;410;94;177;54;27.0;9.0;;2.0;6;10.0;7.0;5.0;3.0;;;;6040
Montferland-G1955;;13;7958;4578;3954;2494;1021;517;202;190;286;16;74;46;9.0;14.0;9.0;7.0;5;13.0;3.0;10.0;;;;;5487
Montfoort-G0335;;5;3278;1076;836;1386;500;318;572;113;103;343;32;26;5.0;7.0;4.0;1.0;0;;2.0;1.0;0.0;;;;1226
Mook en Middelaar-G0944;;10;1706;997;896;826;207;275;61;116;103;5;22;2;3.0;6.0;0.0;;0;;;0.0;;;;;826
Moordrecht-G0563;;12;1311;909;542;812;355;138;248;55;76;195;53;10;;1.0;3.0;1.0;4;;0.0;3.0;0.0;;;;1084
Muiden-G0424;;8;1015;926;448;1015;206;252;66;160;146;6;22;9;4.0;1.0;0.0;;0;1.0;3.0;6.0;0.0;;;1.0;627
Naarden-G0425;;15;2802;1646;1070;3287;373;638;248;352;270;54;59;37;7.0;3.0;2.0;;0;5.0;4.0;4.0;0.0;;;2.0;1534
Neder-Betuwe-G1740;;12;3336;2694;1099;1351;617;186;741;83;152;3219;29;17;9.0;3.0;2.0;;4;;1.0;1.0;1.0;;;;2176
Nederlek-G0643;;10;2340;2081;1262;1628;719;257;430;124;180;535;145;28;;4.0;1.0;0.0;0;;3.0;0.0;0.0;;;;1381
Nederweert-G0946;;8;4018;1500;1701;1374;939;197;65;76;83;3;41;31;21.0;6.0;6.0;;1;;;1.0;;;;;2642
Neerijnen-G0304;;17;2157;1450;750;1187;421;167;257;79;108;786;30;7;6.0;1.0;2.0;;0;;1.0;0.0;0.0;;;;1346
Niedorp-G0412;;7;1908;1463;1201;1427;425;291;75;112;147;4;47;19;3.0;3.0;2.0;;4;1.0;3.0;3.0;1.0;;;;1713
Nieuwegein-G0356;;54;9218;8308;6839;5813;2733;1565;1239;634;705;172;213;77;177.0;22.0;14.0;12.0;4;;6.0;4.0;3.0;;;;9495
Nieuwerkerk aan den IJssel-G0567;;19;3767;1971;1674;2884;1040;388;968;224;248;412;176;34;;10.0;10.0;2.0;3;;7.0;1.0;1.0;;;;2389
Nieuwkoop-G0569;;9;2550;837;722;1352;413;235;257;128;107;102;35;11;;6.0;3.0;1.0;0;;0.0;3.0;4.0;;;;1529
Nieuw-Lekkerland-G0571;;4;1259;927;566;406;270;76;920;30;77;1249;42;17;5.0;1.0;3.0;1.0;0;;0.0;0.0;0.0;;;;692
Nijefurd-G0104;;12;2726;1392;1071;827;256;328;419;73;93;11;30;14;2.0;5.0;5.0;;2;6.0;;0.0;;;;;1079
Nijkerk-G0267;;17;9703;3166;2096;3318;1192;604;2414;295;276;1323;104;45;25.0;6.0;10.0;18.0;2;7.0;5.0;4.0;;;;;4260
Nijmegen-G0268;;155;17961;24483;24951;9873;3649;10212;1589;3157;1818;51;321;131;170.0;71.0;28.0;;16;;17.0;18.0;7.0;;;;25985
Noord-Beveland-G1695;;3;1457;771;687;776;283;125;188;42;113;183;26;6;6.0;;4.0;;1;;;4.0;;;;;1039
Noordenveld-G1699;;27;3862;6455;3121;3607;821;1033;907;336;344;50;77;45;;;9.0;;6;;10.0;2.0;;;;;3770
Noorder-Koggenland-G0529;;7;1704;1070;1071;1446;389;291;238;74;159;71;47;13;8.0;9.0;7.0;;2;9.0;0.0;1.0;0.0;;;;1311
Noordoostpolder-G0171;;20;10154;4433;3247;3676;1124;702;2617;292;380;586;93;61;25.0;19.0;72.0;;4;12.0;6.0;7.0;1.0;;;;5131
Noordwijk-G0575;;23;5084;2219;1839;3726;899;597;396;228;303;37;117;35;;4.0;8.0;4.0;9;;6.0;3.0;2.0;;;;3237
Noordwijkerhout-G0576;;16;3620;1248;1133;2132;552;348;130;128;151;5;45;23;;8.0;2.0;0.0;1;;3.0;2.0;0.0;;;;1705
Nuenen, Gerwen en Nederwetten-G0820;;21;5254;2276;2374;2691;747;566;240;271;201;9;88;20;17.0;;2.0;;3;;10.0;1.0;1.0;;;;2411
Nunspeet-G0302;;7;5884;1291;1103;1760;658;240;2436;113;173;3321;56;24;15.0;4.0;3.0;0.0;2;5.0;2.0;0.0;;;;;2471
Nuth-G0951;;11;3210;2187;1851;1182;1188;401;130;81;197;4;40;21;25.0;13.0;5.0;;0;;;3.0;;;;;2105
Obdam-G0429;;2;1815;593;579;761;252;165;56;57;69;5;30;10;6.0;2.0;3.0;;1;0.0;3.0;3.0;0.0;;;;718
Oegstgeest-G0579;;16;3561;2414;1448;3499;509;971;508;539;338;41;106;20;;5.0;3.0;4.0;2;;16.0;1.0;2.0;;;;1854
Oirschot-G0823;;33;5097;1554;1726;1420;600;251;77;82;129;5;55;26;24.0;;5.0;;0;;1.0;0.0;3.0;;;;2424
Oisterwijk-G0824;;15;5883;2576;2642;2812;705;506;198;212;188;7;64;30;12.0;7.0;;4.0;8;10.0;4.0;0.0;1.0;;;;3430
Oldebroek-G0269;;17;4631;2072;1107;988;559;166;3165;69;90;1599;30;19;3.0;1.0;5.0;1.0;1;3.0;1.0;0.0;;;;;2619
Oldenzaal-G0173;;20;7637;3880;3366;2513;812;695;271;345;189;11;57;33;16.0;12.0;4.0;;6;18.0;4.0;;3.0;;;;3872
Olst-Wijhe-G1773;;17;3830;2790;1684;1399;319;420;286;134;141;28;45;21;10.0;4.0;7.0;;1;3.0;2.0;;0.0;;;;1876
Ommen-G0175;;9;5126;1405;1225;1338;295;225;1443;109;133;98;28;12;5.0;3.0;6.0;;4;1.0;0.0;;0.0;;;;1894
Onderbanken-G0881;;7;1348;1082;1214;452;703;154;54;32;96;6;22;11;8.0;3.0;3.0;;0;;;0.0;;;;;1281
Oosterhout-G0826;;33;8506;6575;6375;5296;2317;932;443;574;430;24;169;70;38.0;13.0;;2.0;7;10.0;1.0;7.0;3.0;;;;8424
Oostflakkee-G0580;;3;1736;1349;851;775;523;115;476;27;133;460;58;16;6.0;0.0;2.0;0.0;0;;1.0;0.0;0.0;;;;1405
Ooststellingwerf-G0085;;33;3999;5230;2927;1954;610;642;768;141;288;62;47;38;14.0;4.0;8.0;;1;6.0;;2.0;;;;;3410
Oostzaan-G0431;;11;1006;1179;918;1402;513;297;144;89;156;16;56;16;18.0;3.0;2.0;;1;1.0;0.0;2.0;0.0;;;;1136
Opmeer-G0432;;4;2822;992;975;1216;333;227;87;75;89;5;34;20;12.0;2.0;2.0;;2;5.0;0.0;1.0;0.0;;;;1420
Opsterland-G0086;;24;4352;5745;3175;2151;451;705;1528;247;217;119;38;21;11.0;12.0;6.0;;2;16.0;;2.0;;;;;3452
Oss-G0828;;69;12514;7117;14261;5877;2595;1300;434;745;501;24;176;76;48.0;;21.0;;3;;6.0;3.0;7.0;;;;11883
Oud-Beijerland-G0584;;17;3940;2398;1951;2454;1076;487;1025;202;241;1106;205;42;10.0;9.0;7.0;3.0;8;;0.0;6.0;0.0;;;;2872
Oude IJsselstreek-G1509;;28;9137;5010;4529;2811;1058;616;428;364;274;13;81;40;24.0;9.0;9.0;105.0;2;8.0;3.0;21.0;;;;;5890
Ouder-Amstel-G0437;;7;2183;1605;901;1803;392;495;200;259;218;57;54;21;14.0;6.0;6.0;;2;4.0;1.0;2.0;0.0;;;0.0;1491
Ouderkerk-G0644;;3;1405;861;492;780;294;114;517;45;59;684;51;17;;2.0;0.0;0.0;1;;2.0;2.0;1.0;;;;803
Oudewater-G0589;;4;2821;712;551;1051;367;163;386;74;65;149;56;10;7.0;1.0;3.0;1.0;2;;1.0;0.0;0.0;;;;1024
Overbetuwe-G1734;;12;8789;4990;4171;3626;1263;974;934;476;354;462;81;33;19.0;13.0;14.0;7.0;7;4.0;1.0;7.0;;;;;5481
Papendrecht-G0590;;25;5427;3686;2750;3089;1257;488;1494;274;350;665;245;61;22.0;10.0;9.0;2.0;4;;2.0;6.0;0.0;;;;4022
Pekela-G0765;;9;1006;3247;1948;540;345;240;311;29;69;15;29;15;2.0;1.0;8.0;;2;;0.0;2.0;;;;;2231
Pijnacker-Nootdorp-G1926;;28;8698;3429;2546;5719;1660;1019;857;510;486;192;303;71;;13.0;10.0;6.0;6;;6.0;11.0;4.0;;;;4288
Purmerend-G0439;;56;8411;10780;8539;8640;4066;1818;856;707;1234;39;352;157;199.0;47.0;24.0;;11;51.0;11.0;29.0;1.0;;;;12589
Putten-G0273;;10;6545;1418;931;1811;655;238;1858;100;169;1098;33;24;6.0;6.0;4.0;0.0;2;0.0;0.0;0.0;;;;;2243
Raalte-G0177;;27;12027;3662;3337;2416;670;631;561;211;163;17;66;47;30.0;11.0;5.0;;4;7.0;0.0;;1.0;;;;4042
Reeuwijk-G0595;;16;3037;848;620;1831;443;245;509;104;112;542;64;13;;8.0;5.0;2.0;1;;2.0;1.0;2.0;;;;1095
Reiderland-G1661;;4;272;1820;1296;336;165;142;49;21;106;9;17;14;7.0;5.0;5.0;;1;;2.0;0.0;;;;;1238
Reimerswaal-G0703;;5;3591;1491;1296;1214;673;146;648;83;132;3518;35;29;13.0;;8.0;;3;;;3.0;;;;;2292
Renkum-G0274;;32;5540;4483;3050;3663;675;1331;702;530;592;81;79;31;26.0;6.0;6.0;4.0;6;7.0;2.0;1.0;;;;;3740
Renswoude-G0339;;2;1361;189;156;341;124;29;190;13;21;334;18;2;0.0;1.0;1.0;0.0;0;;1.0;0.0;0.0;;;;381
Reusel-De Mierden-G1667;;6;3611;986;1300;885;333;123;56;54;67;6;31;12;8.0;;8.0;;3;;1.0;1.0;1.0;;;;2023
Rheden-G0275;;30;6716;7022;5730;4102;1294;1471;975;558;667;64;101;30;22.0;13.0;15.0;19.0;2;13.0;7.0;9.0;;;;;5731
Rhenen-G0340;;16;3228;2111;1085;1676;742;430;674;144;181;1487;50;18;24.0;6.0;3.0;0.0;3;;2.0;2.0;0.0;;;;2030
Ridderkerk-G0597;;26;6896;5628;4330;3633;2346;563;1928;323;524;2225;401;78;46.0;20.0;13.0;4.0;4;;4.0;5.0;1.0;;;;6308
Rijnwaarden-G0196;;7;2028;1721;1326;714;425;155;58;58;93;6;28;17;12.0;2.0;4.0;0.0;1;2.0;1.0;8.0;;;;;1751
Rijnwoude-G1672;;24;4442;1685;1323;2084;708;389;624;184;169;616;87;18;;4.0;3.0;1.0;1;;3.0;5.0;1.0;;;;1897
Rijssen-Holten-G1742;;15;7801;2930;1537;1933;752;274;3035;200;152;5119;45;25;8.0;6.0;10.0;;7;10.0;1.0;;1.0;;;;2654
Rijswijk-G0603;;43;7092;5413;4250;5684;2659;1384;789;685;924;97;286;68;44.0;18.0;29.0;18.0;11;;5.0;3.0;10.0;;;;7849
Roerdalen-G1669;;9;2085;1011;1112;815;834;173;54;44;119;2;20;14;14.0;13.0;5.0;;1;;;0.0;;;;;1582
Roermond-G0957;;36;5855;5293;4766;3707;3079;1059;353;546;484;12;101;44;50.0;18.0;10.0;;9;;;9.0;;;;;8748
Roggel en Neer-G1670;;14;1947;658;784;685;638;149;59;54;71;6;13;17;21.0;10.0;2.0;;1;;;2.0;;;;;1273
Roosendaal-G1674;;41;12851;8501;8113;6856;3631;1192;600;705;704;18;280;133;46.0;27.0;;16.0;15;21.0;9.0;8.0;4.0;;;;14129
Rotterdam-G0599;;787;42695;86935;52440;35331;25316;14988;8323;9990;7300;1891;9519;1116;;232.0;302.0;979.0;69;;100.0;92.0;21.0;;52.0;;122684
Rozenburg-G0600;;15;1804;1528;1554;953;767;170;328;65;153;53;140;34;13.0;6.0;1.0;10.0;2;;0.0;1.0;0.0;;;;2146
Rozendaal-G0277;;0;317;136;80;378;31;67;18;27;32;5;6;0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;;;;;77
Rucphen-G0840;;16;3445;3075;2275;1587;1935;138;75;50;184;3;48;30;18.0;7.0;;3.0;5;7.0;1.0;1.0;1.0;;;;4964
Schagen-G0441;;20;2706;2487;2189;2345;575;468;259;177;231;11;75;21;20.0;9.0;6.0;;2;9.0;6.0;0.0;1.0;;;;2814
Scheemda-G0039;;6;1668;3183;1928;725;314;312;590;79;143;12;33;13;4.0;5.0;7.0;;2;;3.0;1.0;;;;;1900
Schermer-G0458;;8;1084;507;472;635;180;147;58;51;64;7;25;12;4.0;2.0;1.0;;4;3.0;0.0;0.0;0.0;;;;531
Scherpenzeel-G0279;;3;2223;563;310;837;230;93;500;43;52;879;27;6;4.0;2.0;2.0;0.0;0;0.0;1.0;0.0;;;;;772
Schiedam-G0606;;56;7684;10116;8411;5321;4262;1574;958;1007;906;153;762;139;112.0;45.0;47.0;285.0;13;;6.0;5.0;4.0;;;;13263
Schiermonnikoog-G0088;;0;184;172;123;121;12;42;23;15;17;3;0;0;1.0;0.0;0.0;;0;0.0;;1.0;;;;;43
Schijndel-G0844;;24;4713;2542;2933;1764;775;376;74;121;148;6;44;41;37.0;;2.0;;3;;2.0;1.0;2.0;;;;3916
Schinnen-G0962;;6;2710;1846;1723;978;1011;298;115;73;146;4;11;16;18.0;3.0;5.0;;1;;;0.0;;;;;1438
Schoonhoven-G0608;;12;2256;1381;1106;1349;469;306;464;117;169;156;58;16;;3.0;3.0;0.0;5;;4.0;0.0;0.0;;;;1313
Schouwen-Duiveland-G1676;;59;6449;3848;2868;3950;1183;605;1136;209;486;1695;155;58;25.0;;6.0;;8;;;10.0;;;;;3964
Sevenum-G0964;;5;2259;491;804;480;388;130;49;55;32;4;12;4;4.0;2.0;1.0;;0;;;0.0;;;;;1033
's-Gravendeel-G0517;;4;1636;1063;759;772;412;124;411;52;93;288;48;20;4.0;0.0;3.0;2.0;1;;1.0;1.0;1.0;;;;1199
's-Gravenhage-G0518;;513;40530;61278;34762;42004;18594;14069;5565;8632;7879;958;1848;506;301.0;165.0;233.0;1029.0;55;;109.0;74.0;23.0;;;;95256
's-Hertogenbosch-G0796;;189;19256;17074;17727;12356;5554;4333;1091;1752;1377;54;451;159;123.0;;32.0;;22;;15.0;18.0;6.0;;;;21570
