RegioNaam;@invalid;@blank;PvdA;VVD;CDA;FvD;GL;D66;CU-SGP;PvdD;50+;PVV;SP;Volt;DENK;vandeRegio & Piratenpartij;DG;JEZUS LEEFT;@abs
Maastricht-G0935;109;54;9776;3538;3260;3942;4966;2558;348;1601;1347;1986;1146;823;204;66;78;48;53292
Medemblik-G0420;28;34;2510;2354;2162;1909;931;733;588;475;834;526;407;226;40;25;18;31;20346
Meerssen-G0938;19;14;2237;769;898;730;477;331;41;247;208;387;162;75;10;7;9;5;8786
Meierijstad-G1948;43;47;4479;3717;4136;2255;1395;1406;118;580;1330;906;1278;351;294;34;40;12;39882
Meppel-G0119;17;23;2492;1692;1465;1211;1057;656;879;396;447;374;484;179;38;15;20;22;14625
Middelburg-G0687;27;30;3352;1694;1719;1313;1848;775;2854;796;556;441;565;292;118;43;24;38;20932
Midden-Delfland-G1842;15;9;1145;1561;1589;745;589;554;382;245;279;186;123;119;13;12;11;11;7263
Midden-Drenthe-G1731;18;21;2605;1659;2130;1234;868;539;711;388;426;327;433;121;7;21;15;11;15127
Midden-Groningen-G1952;27;27;4005;1853;1530;1877;1355;747;1374;671;729;796;1146;194;166;34;24;53;31917
Mill en Sint Hubert-G0815;6;7;491;432;1128;398;167;142;26;91;195;125;205;38;2;2;3;0;5320
Moerdijk-G1709;19;23;1788;1862;1586;1463;578;529;428;349;546;507;416;151;17;19;10;9;18860
Molenlanden-G1978;19;15;1784;2083;2917;1554;545;477;6035;333;453;403;295;99;9;19;10;56;15992
Montferland-G1955;18;16;2220;1608;2121;1505;629;559;139;318;528;560;355;90;32;15;15;8;18341
Montfoort-G0335;8;10;750;917;1017;528;353;325;757;99;187;148;83;95;10;5;6;2;5330
Mook en Middelaar-G0944;9;9;916;538;297;301;485;262;25;152;108;78;90;63;0;5;8;1;3035
Neder-Betuwe-G1740;15;10;855;615;707;830;197;152;3211;114;196;273;116;66;4;6;6;10;10056
Nederweert-G0946;7;16;1057;497;1734;571;229;216;17;109;277;225;159;51;3;5;4;2;8536
Nieuwegein-G0356;28;27;3768;2803;1774;2487;1945;1197;820;788;984;803;752;340;147;58;33;33;30066
Nieuwkoop-G0569;24;17;1295;1890;1913;1251;569;576;572;260;436;354;136;154;8;14;11;20;12804
Nijkerk-G0267;26;18;1775;2101;2606;1565;785;630;3447;310;487;442;228;186;86;19;15;32;17617
Nijmegen-G0268;88;139;13964;6892;3779;4198;16512;6989;813;3673;1531;1354;3121;1835;520;133;176;35;72456
Nissewaard-G1930;63;51;3980;3149;1898;4490;1131;970;941;820;1396;1685;1043;276;137;65;26;56;44333
Noardeast-Fryslân-G1970;20;13;2115;1641;3077;1449;748;378;2277;413;321;464;451;118;2;18;14;46;21680
Noord-Beveland-G1695;4;5;456;384;450;353;158;97;230;128;143;132;79;25;2;11;3;6;3309
Noordenveld-G1699;29;15;3104;1762;1312;1079;1314;726;664;426;361;342;454;146;1;27;21;15;13343
Noordoostpolder-G0171;23;18;2089;2248;3096;1765;800;510;2405;330;428;532;512;140;55;19;10;49;18998
Noordwijk-G0575;35;21;2110;3295;2704;2421;1148;909;282;510;747;547;352;299;26;22;29;8;17184
Nuenen, Gerwen en Nederwetten-G0820;3;18;1953;1554;1141;740;846;700;98;266;622;212;253;245;3;10;15;7;9621
Nunspeet-G0302;11;22;667;929;1401;1093;353;239;4662;238;256;269;175;57;10;11;5;24;10649
Oegstgeest-G0579;12;15;2074;2333;992;826;1332;1403;341;475;304;151;151;339;29;18;19;4;7058
Oirschot-G0823;16;11;1035;1030;1245;522;316;363;40;166;358;218;199;116;2;4;8;3;9280
Oisterwijk-G0824;7;16;1825;1805;1261;862;705;676;85;277;459;279;254;129;23;12;15;4;11961
Oldambt-G1895;34;31;2726;1162;1118;1506;700;365;599;445;448;640;914;103;12;44;15;25;20041
Oldebroek-G0269;15;9;624;533;1053;704;259;179;3234;104;176;228;126;44;3;5;2;40;10625
Oldenzaal-G0173;26;10;1952;1526;2485;1036;832;520;96;218;345;320;327;106;128;13;16;8;14908
Olst-Wijhe-G1773;5;15;1432;873;1453;487;674;377;152;217;217;148;165;78;18;9;8;4;8052
Ommen-G0175;7;9;802;1107;2023;569;339;262;964;153;183;162;105;69;1;6;4;22;7076
Oost Gelre-G1586;11;20;1683;1525;3227;929;504;496;67;197;406;205;326;98;23;6;7;9;13892
Oosterhout-G0826;25;26;3156;3057;1866;1955;1327;1199;192;487;760;696;586;249;163;22;30;16;27727
Ooststellingwerf-G0085;6;12;1859;1680;1177;1021;623;337;513;417;287;337;370;77;8;22;14;15;11797
Oostzaan-G0431;9;6;667;519;236;595;314;171;102;183;191;168;119;39;14;13;5;4;4293
Opmeer-G0432;7;11;687;741;678;496;198;192;49;107;236;135;115;60;1;6;6;3;5369
Opsterland-G0086;13;16;2259;1555;1324;817;841;588;1130;335;257;300;415;94;1;16;7;19;13436
Oss-G0828;47;45;4520;3978;3675;2970;2108;1597;197;674;1214;1002;2719;310;666;44;36;19;44699
Oude IJsselstreek-G1509;25;25;2698;1543;2793;1247;777;585;246;369;542;457;542;122;186;11;13;10;19249
Ouder-Amstel-G0437;10;10;1106;1047;501;525;697;590;122;254;209;112;102;140;18;8;23;5;4830
Oudewater-G0589;3;4;511;622;923;359;193;172;398;84;111;106;51;43;4;3;3;6;4288
Overbetuwe-G1734;47;24;2957;2474;2351;1504;1452;1120;895;492;522;478;422;225;43;24;14;11;21498
Papendrecht-G0590;18;17;1521;1553;1094;1371;566;431;1707;329;440;408;261;91;52;13;10;25;15221
Peel en Maas-G1894;12;22;2622;1458;3456;1373;588;441;58;269;511;645;330;111;33;7;10;9;22441
Pekela-G0765;2;12;651;227;313;452;171;46;152;105;127;239;385;15;3;26;3;6;6916
Pijnacker-Nootdorp-G1926;38;36;2890;4097;2506;2246;1655;1598;881;750;802;624;378;378;48;27;29;17;20537
Purmerend-G0439;55;55;4578;3069;1554;3939;1994;1295;417;1012;1430;1299;900;314;215;65;32;43;40593
Putten-G0273;11;9;662;1129;1692;985;292;248;2956;189;237;240;98;65;14;6;6;23;9747
Raalte-G0177;21;16;2089;1982;4455;955;895;671;273;240;393;257;277;144;35;13;12;6;17032
Reimerswaal-G0703;22;14;700;534;739;689;178;153;3587;129;227;304;144;39;9;9;2;7;8266
Renkum-G0274;22;28;2901;2093;1290;1160;2111;1202;470;684;389;296;294;317;27;24;18;11;12079
Renswoude-G0339;4;4;116;249;345;209;40;37;656;35;46;42;16;12;1;0;2;1;2017
Reusel-De Mierden-G1667;16;7;582;561;768;368;183;190;19;78;318;127;159;54;2;9;6;3;6711
Rheden-G0275;29;27;3391;2352;1705;1614;2034;1178;512;808;553;484;762;304;96;39;36;19;19010
Rhenen-G0340;13;11;963;935;766;833;596;365;1819;181;182;237;142;91;27;7;11;6;8103
Ridderkerk-G0597;27;25;1974;1678;1391;2203;630;523;2989;430;787;651;398;129;92;24;16;31;22569
Rijssen-Holten-G1742;31;12;1103;1200;3222;1206;367;313;5981;152;239;282;169;80;61;16;13;28;14048
Rijswijk-G0603;35;27;2966;2920;1469;2420;1849;1470;475;764;865;841;454;327;147;37;25;23;22743
Roerdalen-G1669;10;19;1765;537;1297;784;308;201;46;237;199;481;177;48;13;3;8;3;10357
Roermond-G0957;33;46;3988;1684;2190;1983;1349;794;129;638;585;1019;512;195;383;29;23;23;29239
Roosendaal-G1674;46;47;3909;3544;2542;2636;1610;1033;240;627;1138;1153;855;295;404;24;34;19;38595
Rotterdam-G0599;643;345;25150;21389;8437;18939;22239;14075;5573;7704;5790;6663;6052;4073;8560;335;265;262;304157
Rozendaal-G0277;5;3;158;260;87;58;87;91;19;40;27;12;6;12;0;0;1;2;381
Rucphen-G0840;12;4;681;697;702;933;192;210;43;163;283;710;164;42;9;9;5;3;13648
Saba-O9003;0;0;16;1;3;5;12;65;0;6;1;1;2;0;0;0;0;1;795
Schagen-G0441;25;36;3528;2897;1978;1823;1270;810;221;550;693;528;591;245;11;38;25;23;21468
Scherpenzeel-G0279;3;7;294;526;549;443;117;103;1374;45;75;103;42;21;3;3;3;6;3667
Schiedam-G0606;72;42;3456;2440;1406;3247;1735;1141;553;892;1146;1097;911;281;1353;49;37;21;35813
Schiermonnikoog-G0088;0;1;159;73;56;44;100;43;40;42;25;11;19;9;0;4;2;1;153
Schouwen-Duiveland-G1676;36;20;1987;1997;1799;1547;795;571;2237;523;580;442;424;165;10;17;23;19;14097
's-Gravenhage-G0518;784;320;29810;28752;10300;18981;25969;19217;4502;9369;5308;6646;4652;4367;4369;360;559;264;245196
's-Hertogenbosch-G0796;91;143;9721;8155;4365;4832;6635;4765;505;2057;2048;1714;2079;1146;506;92;112;52;71031
Simpelveld-G0965;7;9;1416;198;524;399;152;91;12;107;84;242;86;25;2;3;9;3;5043
Sint Anthonis-G1702;8;12;636;549;1314;404;212;243;30;86;208;90;201;54;1;2;5;1;5236
Sint Eustatius-O9002;4;0;6;3;83;1;10;38;3;1;2;3;1;0;1;1;1;1;1701
Sint-Michielsgestel-G0845;7;28;2051;1576;1412;774;827;720;74;297;335;283;373;172;4;10;19;5;13697
Sittard-Geleen-G1883;51;67;8596;2228;3566;3403;2222;1200;192;1130;1088;1940;1019;327;118;44;29;41;47752
Sliedrecht-G0610;11;15;980;825;824;942;280;201;2966;254;314;328;229;72;64;10;6;29;10719
Sluis-G1714;17;8;1456;1173;1200;887;383;293;204;255;392;360;273;117;7;12;12;8;10760
Smallingerland-G0090;31;30;4120;2062;2663;1820;1368;791;2628;571;544;638;898;179;29;26;26;73;25207
Soest-G0342;32;29;2872;3391;1920;1928;1692;1435;1067;754;662;566;325;350;284;28;28;33;18081
Someren-G0847;9;18;893;827;1070;600;255;223;29;115;1005;219;152;66;4;6;8;8;9634
Son en Breugel-G0848;10;10;1112;1167;845;493;457;500;80;223;399;123;149;150;2;6;7;5;7394
Stadskanaal-G0037;18;12;1648;658;1525;1176;347;198;1387;204;330;449;548;67;5;22;13;30;17086
Staphorst-G0180;14;7;365;394;870;772;104;76;3600;64;68;159;57;25;0;5;4;18;5579
Stede Broec-G0532;15;11;1149;1064;829;912;408;301;148;210;600;275;298;80;14;14;7;9;10244
Steenbergen-G0851;17;15;1123;1103;887;995;253;288;225;233;306;360;235;79;3;8;4;12;12317
Steenwijkerland-G1708;27;19;2773;2275;2797;1868;1035;633;1626;440;534;534;477;207;59;18;16;24;19228
Stein-G0971;27;17;2530;638;1148;1107;393;260;33;315;347;665;298;78;13;15;7;3;12840
