RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PvdA/PPR;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Reformatorische Politieke Federatie (RPF);Fryske Nasjonale Partij;Democratisch Socialisten '70;SGP/RPF;Conservatieve Volkspartij;Lijst de Boer;Gronneger Bond;Internationale Kommunistenbond;Christen Democraten Unie;Lijst Wartena;Lijst Hofman;@abs
Diepenheim-G0151;7;3;410;746;462;73;5.0;0;4;9;5;2;14;0;0;0;0;0.0;0;0;0;0;0;0;130
Diepenveen-G0152;12;13;2933;1459;1386;389;9.0;0;16;85;33;14;52;6;0;0;0;1.0;0;0;0;0;0;0;659
Diessen-G0763;8;0;1420;184;118;29;1.0;0;2;22;13;0;10;0;0;0;0;0.0;0;0;0;0;0;0;328
Diever-G0111;2;13;547;810;495;66;0.0;0;7;26;29;27;0;4;0;0;0;0.0;22;0;0;0;0;0;176
Dinteloord en Prinsenland-G0764;24;6;1178;1006;446;98;220.0;0;16;14;7;7;16;0;0;0;0;3.0;0;0;0;3;0;0;593
Dinxperlo-G0219;12;10;2417;864;405;75;8.0;0;3;26;10;5;35;15;0;0;0;0.0;0;0;0;0;0;0;855
Dirksland-G0504;13;5;867;1261;445;94;1160.0;0;14;17;12;32;18;37;0;0;0;2.0;0;0;0;0;0;0;667
Dodewaard-G0220;2;1;616;919;293;69;245.0;0;4;17;5;6;12;5;0;0;0;0.0;0;0;0;0;0;0;322
Doesburg-G0221;25;14;1782;2521;716;234;21.0;0;18;103;29;30;21;15;0;0;0;3.0;0;0;0;0;0;0;848
Doetinchem-G0222;78;21;7863;7599;3198;876;187.0;0;90;413;202;68;124;55;0;0;0;5.0;0;0;0;0;0;0;4437
Dokkum-G0066;18;8;3743;1429;484;151;0.0;0;29;94;18;149;0;0;195;0;150;0.0;0;0;0;0;1;0;993
Domburg-G0660;6;3;788;512;535;112;304.0;0;2;24;4;45;16;0;0;0;0;2.0;0;0;0;0;0;0;370
Dongen-G0766;57;32;4795;3160;1231;406;16.0;0;70;167;71;8;92;0;0;0;0;19.0;0;0;0;9;0;0;2896
Doniawerstal-G0067;5;9;1749;709;382;52;0.0;0;11;17;13;13;0;0;642;0;29;0.0;0;0;0;0;1;0;485
Doorn-G0315;15;8;1966;0;2313;428;271.0;1265;23;0;82;52;22;37;0;26;0;3.0;0;0;0;0;0;0;1770
Dordrecht-G0505;243;194;12933;25972;9920;3141;1746.0;0;663;747;681;410;162;415;0;0;0;23.0;0;0;0;0;0;0;16323
Dreumel-G0224;5;4;1025;412;186;40;0.0;0;3;15;12;0;30;0;0;0;0;1.0;0;0;0;0;0;0;476
Driebergen-Rijsenburg-G0316;44;10;3255;0;2762;615;525.0;2316;37;0;158;106;43;35;0;37;0;5.0;0;0;0;0;0;0;1951
Driebruggen-G0506;4;3;1129;234;374;95;341.0;0;4;25;6;7;14;10;0;0;0;1.0;0;0;0;0;0;0;326
Drunen-G0767;39;12;4004;1618;928;283;6.0;0;23;75;40;5;46;0;0;0;0;11.0;0;0;0;5;0;0;1902
Druten-G0225;20;9;3151;2007;505;155;10.0;0;14;67;47;5;46;2;0;0;0;5.0;0;0;0;0;0;0;1820
Duiven-G0226;9;1;584;763;421;105;786.0;0;6;16;14;33;10;0;0;0;0;0.0;0;0;0;0;0;0;489
Duivendijke-G1050;10;4;2673;1226;660;229;8.0;0;13;90;24;18;50;2;0;0;0;2.0;0;0;0;0;0;0;1179
Dussen-G0769;19;14;1489;877;354;79;117.0;0;5;18;6;13;30;0;0;0;0;5.0;0;0;0;7;0;0;697
Dwingeloo-G0112;12;6;493;1011;644;102;0.0;0;2;31;18;8;0;6;0;0;0;0.0;17;0;0;0;0;0;216
Echt-G0902;60;106;5113;2507;774;167;0.0;0;121;89;327;0;0;0;0;0;0;17.0;0;0;0;0;0;0;2855
Echteld-G0227;7;5;730;1550;687;118;470.0;0;2;30;6;14;28;8;0;0;0;0.0;0;0;0;0;0;0;467
Edam-Volendam-G0385;56;15;6591;2184;1769;641;12.0;0;86;318;69;16;42;4;0;22;0;0.0;0;0;0;0;0;0;2780
