RegioNaam;@invalid;@blank;CDA;LPF;VVD;PvdA;GL;SP;D66;CU;SGP;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij;@abs
Harenkarspel-G0395;;4;3025;1575;1781;1088;565;573;486;56;11;332;42;4.0;6;;4.0;;1881.0
Harlingen-G0072;;11;2334;1489;1267;1931;602;547;399;300;10;173;45;;3;6.0;6.0;;2464.0
Hattem-G0244;;6;2520;683;890;1453;245;234;260;1212;97;75;23;5.0;0;2.0;1.0;;1156.0
Heel-G1937;;16;1881;782;663;502;247;193;223;6;2;87;31;7.0;1;3.0;0.0;;1700.0
Heemskerk-G0396;;20;6087;3877;3236;3226;1666;1203;1168;198;32;537;137;;13;18.0;2.0;;5372.0
Heemstede-G0397;;17;4409;2409;4750;1843;1267;774;1352;123;19;150;70;;4;7.0;3.0;;2380.0
Heerde-G0246;;15;4452;1275;1356;1965;385;321;287;1149;375;124;15;5.0;3;3.0;5.0;;2162.0
Heerenveen-G0074;;25;5673;3240;3915;6483;1818;1526;1256;811;43;473;69;;23;18.0;6.0;;6636.0
Heerhugowaard-G0398;;18;7378;4417;5328;3733;2058;1479;1771;394;29;876;121;17.0;24;;15.0;;6566.0
Heerjansdam-G0526;;9;725;546;355;324;90;102;113;59;40;58;16;1.0;3;0.0;1.0;;354.0
Heerlen-G0917;;57;14227;10509;4460;6726;3312;6152;1839;298;56;888;218;96.0;12;38.0;13.0;;23968.0
Heeze-Leende-G1658;;18;4064;1520;1729;884;494;424;463;25;4;140;33;4.0;5;20.0;1.0;;1855.0
Heiloo-G0399;;25;3999;2001;3354;1982;1085;820;975;128;15;245;71;5.0;5;;6.0;;2235.0
Helden-G0918;;9;4867;1853;1802;895;618;431;333;27;4;184;37;1.0;15;11.0;2.0;;3334.0
Hellendoorn-G0163;;20;12818;2235;1925;2714;891;800;607;978;107;272;71;9.0;6;11.0;4.0;;4131.0
Hellevoetsluis-G0530;;25;4004;6701;4152;3127;1095;1166;1038;279;86;544;138;29.0;18;20.0;5.0;;6635.0
Helmond-G0794;;76;11911;10113;6545;5739;2448;3445;1795;226;27;792;321;67.0;21;75.0;8.0;;16871.0
Hendrik-Ido-Ambacht-G0531;;12;3651;2555;1839;1436;431;418;497;569;1718;208;34;13.0;5;4.0;3.0;;2277.0
Hengelo-G0248;;4;2734;644;717;731;160;161;179;26;11;75;1;1.0;0;0.0;0.0;;1105.0
Hengelo-G0164;;70;15631;6160;6589;8377;3657;3635;2632;1018;66;641;161;104.0;11;21.0;14.0;;12141.0
Het Bildt-G0063;;5;2386;858;723;1211;331;376;174;137;13;84;19;;1;5.0;3.0;;1593.0
Heumen-G0252;;13;3504;1319;1739;1419;944;587;646;26;2;110;22;11.0;2;9.0;;;1845.0
Heusden-G0797;;0;8927;4473;4267;2621;1563;1514;1322;129;67;460;134;26.0;15;56.0;23.0;;6922.0
Heythuysen-G0920;;11;3289;1152;992;534;361;259;296;31;4;107;35;4.0;2;0.0;3.0;;1968.0
Hillegom-G0534;;11;4173;2520;2441;1302;723;552;606;107;81;212;48;8.0;2;14.0;7.0;;2749.0
Hilvarenbeek-G0798;;9;3883;1182;1415;986;608;526;444;13;8;139;32;9.0;4;13.0;0.0;;1837.0
Hilversum-G0402;;57;11594;8349;9524;7545;4215;3691;3521;1003;321;910;331;;44;36.0;10.0;;12509.0
Hof van Twente-G1735;;21;9349;2447;4215;3620;856;929;899;190;44;252;67;11.0;4;24.0;3.0;;3823.0
Hontenisse-G0675;;3;2044;921;692;511;271;237;149;24;9;79;17;;2;4.0;1.0;;1105.0
Hoogeveen-G0118;;22;12000;4096;3171;5812;1423;1393;1020;1887;409;479;73;30.0;39;25.0;9.0;;8681.0
Hoogezand-Sappemeer-G0018;;21;3118;2752;2535;5257;1599;1147;856;729;45;312;72;36.0;66;19.0;10.0;;6785.0
Hoorn-G0405;;57;8146;6965;6923;6691;3237;2984;2566;374;31;978;331;69.0;13;;15.0;;10018.0
Horst aan de Maas-G1507;;13;7709;2395;2156;1431;793;1121;693;49;17;242;63;16.0;13;13.0;6.0;;4459.0
Houten-G0321;;12;6383;3284;4165;2717;1960;1161;1479;911;507;385;58;19.0;6;7.0;;;3760.0
Huizen-G0406;;21;7247;3917;5067;2894;1594;1288;1569;1276;528;417;146;;20;13.0;11.0;;4796.0
Hulst-G0677;;7;3566;2149;1594;1537;562;385;485;47;13;159;54;;1;3.0;2.0;;3328.0
Hummelo en Keppel-G0256;;1;1113;345;618;500;135;149;160;8;9;37;3;1.0;0;2.0;0.0;;472.0
Hunsel-G0925;;3;1691;638;423;300;171;144;132;2;2;74;30;2.0;0;4.0;1.0;;926.0
IJsselstein-G0353;;12;5106;3142;3936;2499;1174;965;1095;310;259;407;62;12.0;8;16.0;;;4565.0
Jacobswoude-G0645;;6;2668;1241;1283;515;333;281;366;90;57;143;22;2.0;1;3.0;3.0;;1040.0
Kampen-G0166;;17;11043;3079;2195;3466;1375;1260;723;3678;2684;346;48;26.0;12;12.0;7.0;;5285.0
Kapelle-G0678;;4;2654;901;1045;743;301;209;244;330;736;84;14;;2;1.0;1.0;;1310.0
Katwijk-G0537;;22;10372;3858;2193;1557;669;680;541;1953;2763;339;72;23.0;51;15.0;7.0;;5268.0
Kerkrade-G0928;;35;7878;5677;2088;4016;1678;1460;631;66;10;415;121;42.0;18;24.0;5.0;;12364.0
Kessel-G0929;;15;1226;465;402;244;88;84;88;3;1;42;14;5.0;1;4.0;1.0;;509.0
Kesteren-G0258;;6;3153;1738;1376;2287;352;321;319;523;3148;147;26;7.0;2;13.0;;;2236.0
Kollumerland en Nieuwkruisland-G0079;;28;3838;1046;619;930;310;355;189;488;88;102;20;;4;2.0;0.0;;1893.0
Korendijk-G0588;;5;1750;1443;996;775;163;249;197;173;1112;99;21;1.0;1;4.0;2.0;;1126.0
Krimpen aan den IJssel-G0542;;12;4091;3970;2448;2586;701;666;696;934;2204;303;45;10.0;10;7.0;0.0;;3189.0
Laarbeek-G1659;;14;5298;2310;1829;1472;741;801;485;28;5;204;41;10.0;1;19.0;3.0;;3049.0
Landerd-G1685;;4;4027;1295;1225;838;407;749;371;18;3;127;29;1.0;6;3.0;2.0;;1824.0
Landgraaf-G0882;;30;7335;4461;2008;2902;1473;1728;783;99;21;331;66;27.0;13;22.0;8.0;;9322.0
Landsmeer-G0415;;8;1071;1569;1378;1193;459;439;455;44;10;158;31;4.0;0;;1.0;;1082.0
Langedijk-G0416;;15;4370;2237;3180;1822;1071;796;937;340;32;748;72;6.0;3;;4.0;;2630.0
Laren-G0417;;7;1875;1258;2292;727;309;330;464;22;8;74;43;;0;2.0;12.0;;1249.0
Leek-G0022;;6;3150;1379;1671;2388;789;555;500;929;78;144;28;12.0;1;4.0;4.0;;2556.0
Leerdam-G0545;;10;3334;2317;1586;1949;443;483;445;696;827;178;19;18.0;11;13.0;2.0;;2839.0
Leersum-G0326;;7;1280;841;1048;578;312;182;200;98;224;60;13;4.0;1;2.0;;;672.0
Leeuwarden-G0080;;65;12063;6907;6791;12423;5774;4749;3383;1496;105;848;146;;38;38.0;10.0;;15719.0
Leeuwarderadeel-G0081;;19;2185;686;922;1560;410;394;306;140;7;116;19;;1;5.0;0.0;;1005.0
Leiden-G0546;;149;11754;12047;11118;13094;8806;5301;6548;975;211;720;151;68.0;159;45.0;9.0;;17040.0
Leiderdorp-G0547;;24;4362;2777;3319;2185;1177;772;1231;235;142;272;57;8.0;27;11.0;4.0;;3034.0
Leidschendam-Voorburg-G1916;;73;12941;9499;9344;5245;2902;2486;2964;555;156;677;195;91.0;45;27.0;9.0;;9092.0
Lelystad-G0995;;46;6547;7941;6057;6120;2920;2237;1902;984;175;840;214;57.0;53;;22.0;;12760.0
Lemsterland-G0082;;13;2525;1409;1099;1316;314;438;318;207;40;131;18;;3;8.0;1.0;;1872.0
Leusden-G0327;;18;5706;2233;3849;2112;1303;792;1184;813;266;256;50;5.0;3;7.0;;;2684.0
Lichtenvoorde-G0260;;6;5953;1432;1571;1165;561;485;453;25;14;169;30;5.0;9;9.0;1.0;;2337.0
Liemeer-G1673;;1;1597;758;677;244;150;124;139;98;52;84;12;1.0;3;3.0;1.0;;859.0
Liesveld-G0694;;16;2019;819;790;682;146;151;141;604;756;75;6;1.0;3;5.0;0.0;;752.0
Lingewaal-G0733;;3;2148;1177;934;1076;223;232;231;313;292;103;10;4.0;1;3.0;;;1175.0
Lisse-G0553;;16;5070;2609;2261;1199;543;502;719;276;615;251;47;4.0;1;7.0;0.0;;2324.0
Lith-G0808;;8;1648;763;548;375;168;429;149;7;0;43;6;3.0;1;3.0;0.0;;833.0
Littenseradiel-G0140;;4;2651;611;958;1137;485;368;283;106;9;101;19;;0;6.0;0.0;;1141.0
Lochem-G0262;;11;3671;1291;2795;2380;909;562;777;75;22;139;43;7.0;10;5.0;5.0;;2297.0
Loenen-G0329;;2;1533;886;1275;650;302;267;347;104;106;75;17;4.0;0;3.0;;;740.0
Loon op Zand-G0809;;9;4852;2501;2286;1450;798;670;604;46;75;154;67;21.0;4;17.0;6.0;;4034.0
Lopik-G0331;;2;3353;1406;1022;615;257;247;203;558;543;158;16;2.0;2;4.0;;;1419.0
Loppersum-G0024;;0;2382;656;729;1320;534;349;245;476;86;96;17;1.0;4;0.0;1.0;;1353.0
Losser-G0168;;6;6394;1798;1526;1924;603;616;522;72;7;250;48;12.0;2;6.0;6.0;;3323.0
Maarn-G0332;;0;1186;580;995;435;246;152;230;69;123;57;14;2.0;2;2.0;;;333.0
Maarssen-G0333;;34;5879;4484;4765;3484;1761;1330;1409;430;123;497;80;35.0;14;14.0;;;5480.0
Maasbracht-G0933;;4;3323;1664;1030;815;391;320;273;44;9;129;35;3.0;2;5.0;0.0;;2620.0
Maasbree-G0934;;8;3447;1228;1173;628;356;223;307;10;14;143;43;4.0;0;6.0;0.0;;1958.0
Maasdonk-G1671;;25;2885;1239;898;585;238;631;228;5;3;106;24;1.0;0;6.0;0.0;;1573.0
Maasdriel-G0263;;7;5041;3402;2402;1491;631;584;538;112;294;214;41;8.0;2;5.0;;;3024.0
Maasland-G0555;;2;2230;817;665;256;134;131;157;120;31;59;12;0.0;0;1.0;0.0;;391.0
Maassluis-G0556;;21;5410;5065;2979;2724;710;859;888;521;142;345;184;13.0;36;13.0;5.0;;4616.0
Maastricht-G0935;;84;18176;12825;8119;10956;7055;4163;3827;318;52;802;518;106.0;52;28.0;18.0;;27889.0
Margraten-G0936;;7;4031;1369;977;805;493;312;357;24;4;89;23;3.0;2;3.0;0.0;;1771.0
Marum-G0025;;4;1765;965;923;1087;246;250;215;272;31;101;15;5.0;1;2.0;4.0;;1525.0
Medemblik-G0420;;6;1186;1141;765;493;235;274;192;82;9;126;40;9.0;20;;1.0;;1215.0
