RegioNaam;@invalid;@blank;CDA;LPF;VVD;PvdA;GL;SP;D66;CU;SGP;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij;@abs
Aa en Hunze-G1680;;13;2606;1893;3946;4411;1138;757;938;157;26;246;62;13.0;5;6.0;2.0;;3226.0
Aalburg-G0738;;3;2541;1067;656;416;138;215;116;655;1574;81;7;4.0;0;9.0;2.0;;1174.0
Aalsmeer-G0358;;15;4590;2774;3106;1486;593;537;765;361;62;303;98;;8;17.0;4.0;;2561.0
Aalten-G0197;;12;5922;1119;1088;1417;607;469;400;398;30;136;39;6.0;3;9.0;1.0;;2266.0
Abcoude-G0305;;5;1564;845;1318;625;334;264;410;80;42;79;14;1.0;1;3.0;;;595.0
Achtkarspelen-G0059;;15;7188;2160;1190;3025;625;704;360;1363;213;225;30;;7;23.0;2.0;;4213.0
Alblasserdam-G0482;;11;2837;1929;1155;1853;327;498;309;711;1324;145;36;15.0;4;1.0;0.0;;2275.0
Albrandswaard-G0613;;16;2988;3188;2192;1228;359;444;498;202;143;248;43;7.0;5;4.0;3.0;;2192.0
Alkemade-G0483;;5;3738;1558;1637;853;445;351;403;25;14;177;18;2.0;2;11.0;5.0;;1489.0
Alkmaar-G0361;;81;11079;8557;8284;10041;5736;4850;3592;676;57;1310;304;74.0;66;;27.0;;14458.0
Almelo-G0141;;42;12259;6081;5015;7994;2557;2118;1652;1050;132;611;200;105.0;50;25.0;3.0;;12635.0
Almere-G0034;;95;13538;19340;16279;13230;6830;4659;5081;1577;98;2374;575;118.0;58;;38.0;;25874.0
Alphen aan den Rijn-G0484;;81;11436;7013;8220;4912;2854;2211;2587;1427;512;689;114;37.0;32;31.0;9.0;;10830.0
Alphen-Chaam-G1723;;0;2676;1014;1069;491;260;269;255;13;2;71;23;2.0;3;6.0;2.0;;922.0
Ambt Montfort-G1679;;27;2766;1283;716;694;341;251;224;19;2;111;21;10.0;1;1.0;4.0;;2079.0
Ameland-G0060;;0;1107;443;499;502;155;103;118;42;4;53;14;;0;5.0;1.0;;
Amerongen-G0306;;5;1373;772;768;482;177;160;196;202;415;52;15;1.0;2;3.0;;;806.0
Amersfoort-G0307;;85;18018;9912;13625;11290;7072;5353;4544;3862;697;1152;204;94.0;45;46.0;;;18306.0
Amstelveen-G0362;;82;10639;7675;11213;6899;3614;2657;3688;521;95;740;294;;17;26.0;8.0;;9337.0
Amsterdam-G0363;;2614;38518;61185;53243;86601;48707;40052;28349;3527;352;5052;2212;939.0;523;243.0;282.0;;152357.0
Andijk-G0364;;5;1343;727;631;437;204;209;153;214;49;76;16;2.0;2;;1.0;;676.0
Angerlo-G0199;;10;1178;401;509;490;183;179;160;12;5;49;7;4.0;1;3.0;1.0;;570.0
Anna Paulowna-G0366;;3;2556;1468;1919;933;369;337;391;93;21;256;76;10.0;7;;7.0;;1905.0
Apeldoorn-G0200;;85;27139;13122;15935;14673;6709;4482;5058;2686;2458;1476;284;164.0;105;56.0;19.0;;23792.0
Appingedam-G0003;;2;1781;1020;792;2074;397;382;352;262;15;136;33;12.0;1;5.0;1.0;;2507.0
Arcen en Velden-G0885;;8;2786;761;682;462;268;193;186;15;5;70;21;4.0;1;1.0;0.0;;1173.0
Arnhem-G0202;;322;15393;12036;11416;14882;9385;6804;5091;1213;113;1112;267;182.0;232;39.0;11.0;;28117.0
Assen-G0106;;30;7713;3938;5127;8394;3052;2258;1943;2638;139;426;105;43.0;26;19.0;5.0;;9073.0
Asten-G0743;;33;4476;1536;1380;908;528;533;344;14;4;166;39;6.0;0;19.0;1.0;;1939.0
Axel-G0650;;28;2235;1256;905;917;315;220;239;550;94;116;33;;7;5.0;2.0;;2053.0
Baarle-Nassau-G0744;;2;1717;772;569;340;162;170;135;12;3;47;14;1.0;3;1.0;2.0;;975.0
Baarn-G0308;;21;3921;2427;3088;1976;1033;836;876;506;118;230;61;9.0;6;9.0;;;3234.0
Barendrecht-G0489;;11;5858;5128;3562;2065;842;821;988;740;1056;339;49;13.0;10;9.0;5.0;;3789.0
Barneveld-G0203;;6;11310;3734;3001;1728;698;612;573;2604;5489;327;57;17.0;6;8.0;4.0;;3950.0
Bathmen-G0144;;13;1150;360;884;588;199;131;187;12;1;50;10;2.0;0;1.0;1.0;;491.0
Bedum-G0005;;4;2659;621;651;1132;392;292;328;841;58;81;9;2.0;3;2.0;1.0;;1024.0
Beek-G0888;;12;4035;1834;1428;1134;615;431;450;33;2;166;29;23.0;5;3.0;4.0;;2897.0
Beemster-G0370;;15;1416;929;1350;841;285;274;303;26;3;103;36;3.0;0;;3.0;;930.0
Beesel-G0889;;6;2755;1550;1032;827;431;290;308;16;6;153;30;11.0;2;3.0;7.0;;2677.0
Bellingwedde-G0007;;7;895;1055;736;1818;402;342;218;87;16;117;26;0.0;2;4.0;0.0;;1823.0
Bemmel-G0206;;16;9351;3675;4159;3610;1601;1257;1566;123;22;561;87;16.0;4;16.0;6.0;;6040.0
Bennebroek-G0372;;4;1175;504;981;335;183;127;229;26;6;30;8;;0;0.0;1.0;;556.0
Bergambacht-G0491;;3;1469;933;1040;951;158;190;233;277;653;103;8;0.0;2;2.0;2.0;;839.0
Bergeijk-G1724;;7;4907;1892;1713;1066;499;508;334;43;6;164;60;6.0;1;16.0;4.0;;2205.0
Bergen-G0893;;10;3267;1350;917;957;304;343;250;9;4;118;33;9.0;2;8.0;1.0;;2464.0
Bergen-G0373;;14;4970;3865;4590;2844;1589;1292;1345;100;17;465;119;12.0;7;;4.0;;3257.0
Bergen op Zoom-G0748;;34;9311;7501;7343;4503;2163;1915;1856;218;38;615;120;47.0;57;30.0;9.0;;12530.0
Bergh-G0207;;9;4435;1839;1581;1510;498;421;411;29;15;136;38;1.0;4;15.0;6.0;;3114.0
Bergschenhoek-G0492;;4;2657;2067;1731;646;258;250;377;322;46;167;24;3.0;0;1.0;0.0;;1345.0
Berkel en Rodenrijs-G0493;;7;3809;2251;1728;852;427;359;406;763;96;141;25;3.0;1;3.0;3.0;;1529.0
Bernheze-G1721;;26;7480;2132;2324;1576;856;1654;669;25;11;237;29;12.0;5;25.0;0.0;;4306.0
Bernisse-G0568;;13;2311;1914;1565;973;233;298;403;130;113;184;22;2.0;6;2.0;0.0;;1642.0
Best-G0753;;25;5614;2816;2930;1783;938;895;855;226;24;233;60;14.0;16;34.0;3.0;;3873.0
Beuningen-G0209;;38;4485;2336;2619;2141;1122;953;807;75;16;193;72;17.0;4;20.0;;;3744.0
Beverwijk-G0375;;17;5099;4481;3014;3535;1685;1433;1002;140;29;536;175;;25;18.0;18.0;;6018.0
Binnenmaas-G0585;;13;3405;2948;2135;1624;436;460;541;219;692;206;38;3.0;5;2.0;2.0;;2269.0
