RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;GPV/RPF;Centrumdemocraten;SP;Gereformeerd Politiek Verbond (GPV);DG;Partij Nieuw Limburg;SGP-GPV-RPF;Brabantse Onafhankelijke Federatie;SGP/RPF;Centrumpartij;FNP;Reformatorische Politieke Federatie (RPF);Delta Anders;Onafhankelijke Partijen Drenthe;Socialistische Arbeiderspartij;Lokale Partijen Gelderland;VCN: partij van communisten in Nederland;Vooruitstrevende Volkspartij;Lijst Hendriks;@abs
Utrecht-G0344;376;;16987;18598;10176;16810;12560;713.0;1396.0;3037.0;1760.0;;;;;;;;;;;;;;;;;91990
Vaals-G0981;31;;1800;757;590;324;79;;;;5.0;;;47.0;13.0;;;;;;;;;;;;;2857
Valburg-G0283;10;;2209;652;812;643;182;392.0;129.0;13.0;8.0;;80.0;;;;;;;;;;4.0;83.0;;;3.0;4135
Valkenburg (ZH)-G0619;0;;589;130;164;178;32;47.0;176.0;14.0;6.0;;4.0;;;;;2.0;;;;;1.0;;;1.0;;995
Valkenburg aan de Geul-G0994;62;;3897;943;789;521;191;;;;17.0;;;1992.0;14.0;;;;;;;;;;;;;5636
Valkenisse-G0720;6;;962;284;526;434;79;238.0;85.0;;;;;;;;;;;;111.0;;;;;;;1952
Valkenswaard-G0858;37;;5268;2211;1449;1406;364;;;33.0;80.0;;41.0;;46.0;23.0;;40.0;;;;;12.0;;;;;12027
Veendam-G0047;76;;2071;4414;1971;1907;543;;;;137.0;182.0;;;;;200.0;;;;;;25.0;;30.0;;;9851
Veenendaal-G0345;67;;5897;2117;2497;2133;682;2617.0;2817.0;178.0;21.0;;;;;;;;;;;;;;;;;15425
Veere-G0717;15;;905;166;375;356;111;248.0;212.0;;;;;;;;;;;;129.0;;;;;;;1149
Veghel-G0860;34;;4928;1297;1100;1130;215;;;24.0;332.0;;29.0;;44.0;340.0;;22.0;;;;;8.0;;;;;9218
Veldhoven-G0861;45;;6234;2112;1938;2235;525;;;45.0;162.0;;73.0;;105.0;162.0;;45.0;;;;;15.0;;;;;15432
Velsen-G0453;99;;5893;5313;4450;4154;1151;;;374.0;49.0;;357.0;;633.0;;;;;;;;39.0;;29.0;;;24547
Venhuizen-G0454;10;;1234;502;756;459;121;;;35.0;4.0;;52.0;;15.0;;;;;;;;;;8.0;;;2159
Venlo-G0983;21;;9705;3342;3038;2220;861;;;;107.0;;;220.0;92.0;;;;;;;;;;;;;28027
Venray-G0984;25;;6913;1536;1041;1063;370;;;;71.0;;;699.0;9.0;;;;;;;;;;;;;13697
Vessem, Wintelre en Knegsel-G0862;6;;1513;182;235;169;56;;;6.0;4.0;;5.0;;4.0;26.0;;4.0;;;;;1.0;;;;;1557
Vianen-G0620;30;;2337;1412;1203;1269;230;483.0;100.0;67.0;14.0;;26.0;;;;;25.0;;;;;3.0;;;5.0;;6543
Vierlingsbeek-G0863;17;;2202;483;295;299;104;;;9.0;10.0;;10.0;;12.0;29.0;;6.0;;;;;2.0;;;;;2466
Vlaardingen-G0622;138;;6498;5974;3659;4988;1222;1101.0;996.0;494.0;2646.0;;114.0;;;;;221.0;;;;;27.0;;;12.0;;28823
Vlagtwedde-G0048;38;;2152;2334;922;678;247;;;;20.0;70.0;;;;;204.0;;;;;;7.0;;10.0;;;5975
Vledder-G0132;7;;353;632;359;222;77;;;;;11.0;;;;;14.0;;;;;184.0;;;;;;1023
Vleuten-De Meern-G0347;30;;3266;716;2020;1054;215;115.0;142.0;104.0;18.0;;;;;;;;;;;;;;;;;4440
Vlieland-G0096;2;;77;145;191;76;23;;;1.0;;3.0;;;;;;;7.0;;;;;;;;;317
Vlijmen-G0864;24;;1989;750;749;707;164;;;25.0;35.0;;14.0;;25.0;1253.0;;22.0;;;;;4.0;;;;;6140
Vlissingen-G0718;218;;3367;3515;2033;2814;669;773.0;450.0;;;;;;;;;;;;647.0;;;;;;;18704
Vlist-G0623;12;;1543;755;886;562;87;581.0;153.0;38.0;6.0;;12.0;;;;;12.0;;;;;1.0;;;;;2398
Voerendaal-G0986;3;;2606;916;580;424;135;;;;27.0;;;957.0;20.0;;;;;;;;;;;;;4565
Voorburg-G0624;71;;4823;2997;4738;3516;761;178.0;360.0;391.0;59.0;;115.0;;;;;88.0;;;;;18.0;;;17.0;;13656
Voorhout-G0625;19;;1919;437;1093;747;180;17.0;46.0;25.0;5.0;;19.0;;;;;5.0;;;;;;;;1.0;;2977
Voorschoten-G0626;12;;3105;1373;2652;1913;406;98.0;124.0;65.0;22.0;;54.0;;;;;25.0;;;;;4.0;;;4.0;;6461
Voorst-G0285;21;;4705;2107;1861;1293;252;251.0;98.0;37.0;9.0;;29.0;;;;;;;;;;3.0;38.0;;;12.0;6995
Vorden-G0286;14;;2089;778;821;427;85;29.0;71.0;17.0;6.0;;13.0;;;;;;;;;;1.0;5.0;;;;2211
Vries-G0133;15;;731;1440;1381;954;249;;;;;103.0;;;;;37.0;;;;;50.0;;;;;;2408
Vriezenveen-G0186;30;;4081;1424;560;547;71;500.0;;;11.0;91.0;;;;;;;;756.0;;;;;;;;5462
Vught-G0865;14;;3669;1430;1512;1287;446;;;23.0;42.0;;84.0;;55.0;365.0;;18.0;;;;;12.0;;;;;9693
Waalre-G0866;24;;2663;895;1661;1213;203;;;18.0;12.0;;37.0;;21.0;35.0;;19.0;;;;;4.0;;;;;4915
Waalwijk-G0867;50;;3875;1572;1486;1332;522;;;46.0;55.0;;32.0;;206.0;286.0;;85.0;;;;;13.0;;;;;11706
Waddinxveen-G0627;24;;3033;1648;2033;1719;269;1263.0;692.0;93.0;14.0;;38.0;;;;;36.0;;;;;6.0;;;5.0;;7131
Wageningen-G0289;58;;3209;3106;1980;3359;2559;351.0;393.0;46.0;78.0;;140.0;;;;;;;;;;16.0;16.0;;;9.0;11382
Wanroij-G0868;8;;1722;249;109;153;34;;;1.0;4.0;;1.0;;4.0;99.0;;3.0;;;;;1.0;;;;;1297
Warmond-G0628;9;;1023;333;477;363;85;17.0;20.0;25.0;6.0;;2.0;;;;;9.0;;;;;3.0;;;;;1587
Warnsveld-G0291;13;;1198;984;883;743;147;14.0;80.0;2.0;9.0;;28.0;;;;;;;;;;1.0;12.0;;;;2417
Waspik-G0869;7;;1019;398;258;227;52;;;6.0;14.0;;7.0;;37.0;18.0;;9.0;;;;;1.0;;;;;1623
Wassenaar-G0629;17;;3528;1074;5025;1531;248;90.0;113.0;80.0;6.0;;33.0;;;;;11.0;;;;;4.0;;;4.0;;7324
Wateringen-G0630;3;;3160;656;1118;667;165;20.0;74.0;96.0;10.0;;26.0;;;;;25.0;;;;;2.0;;;1.0;;5709
Waterland-G0852;30;;2344;1471;1569;1452;323;;;126.0;6.0;;80.0;;93.0;;;;;;;;7.0;;4.0;;;5876
Weerselo-G0188;19;;3936;305;238;221;57;2.0;;;1.0;7.0;;;;;;;;2.0;;;;;7.0;;;1786
Weert-G0988;79;;5713;2396;1921;1066;247;;;;112.0;;;2339.0;30.0;;;;;;;;;;;;;16621
Weesp-G0457;7;;1750;1299;1425;1650;428;;;159.0;14.0;;78.0;;177.0;;;;;;;;18.0;;;;;6543
Wehl-G0292;11;;1586;411;203;230;44;;2.0;10.0;2.0;;13.0;;;;;;;;;;;45.0;;;3.0;2444
Werkendam-G0870;30;;3136;1134;872;552;113;;;24.0;16.0;;12.0;;1646.0;4.0;;19.0;;;;;4.0;;;;;5905
Wervershoof-G0459;7;;1841;359;298;267;74;;;17.0;5.0;;34.0;;11.0;;;;;;;;;;1.0;;;2428
West Maas en Waal-G0668;30;;3539;1227;805;585;127;17.0;7.0;32.0;26.0;;22.0;;;;;;;;;;2.0;14.0;;;;6674
Westerbork-G0134;16;;987;1400;848;648;150;;;;;36.0;;;;;85.0;;;;;142.0;;;;;;1544
Westerhoven-G0871;5;;499;98;57;82;28;;;1.0;3.0;;10.0;;;68.0;;3.0;;;;;1.0;;;;;470
Wester-Koggenland-G0558;30;;2588;838;1059;685;140;;;52.0;14.0;;69.0;;25.0;;;;;;;;;;4.0;;;3922
Westerschouwen-G0725;22;;710;566;863;371;66;156.0;98.0;;;;;;;;;;;;46.0;;;;;;;1623
Westervoort-G0293;24;;1649;1158;690;1014;261;7.0;98.0;50.0;19.0;;32.0;;;;;;;;;;5.0;24.0;;;3.0;5816
Westkapelle-G0726;13;;305;358;216;99;31;260.0;44.0;;;;;;;;;;;;44.0;;;;;;;659
Weststellingwerf-G0098;50;;3191;3697;1748;1302;542;;;153.0;;74.0;;;;;142.0;;106.0;;;;;;10.0;;;7826
Westvoorne-G0614;37;;1301;1300;2173;947;190;49.0;76.0;58.0;16.0;;17.0;;;;;14.0;;;;;2.0;;;2.0;;4463
Wierden-G0189;42;;6785;1175;1155;869;156;431.0;;;13.0;91.0;;;;;;;;962.0;;;;;;;;4703
Wieringen-G0462;19;;655;1031;804;541;107;;;37.0;;;47.0;;23.0;;;;;;;;;;6.0;;;2963
Wieringermeer-G0463;17;;1931;874;874;612;199;;;44.0;;;44.0;;198.0;;;;;;;;;;6.0;;;3857
Wijchen-G0296;14;;5788;2236;1413;1734;387;12.0;49.0;63.0;76.0;;45.0;;;;;;;;;;8.0;12.0;;;15.0;13640
Wijhe-G0190;10;;1698;892;398;315;81;17.0;;;8.0;34.0;;;;;;;;54.0;;;;;1.0;;;1992
Wijk bij Duurstede-G0352;21;;1686;1032;1218;1299;425;60.0;122.0;59.0;35.0;;;;;;;;;;;;;;;;;5532
Willemstad-G0872;7;;622;282;312;206;35;;;3.0;1.0;;4.0;;52.0;4.0;;9.0;;;;;4.0;;;;;980
Winschoten-G0052;54;;1480;3624;1167;1243;645;;;;42.0;128.0;;;;;165.0;;;;;;8.0;;99.0;;;6770
Winsum-G0053;21;;2154;1665;824;824;484;;;;14.0;490.0;;;;;71.0;;;;;;5.0;;2.0;;;2939
Winterswijk-G0294;29;;3693;3822;2673;1678;552;36.0;130.0;46.0;31.0;;50.0;;;;;;;;;;10.0;15.0;;;7.0;8668
Wisch-G0295;30;;3775;1693;1162;940;193;28.0;106.0;46.0;7.0;;30.0;;;;;;;;;;4.0;49.0;;;4.0;6951
Wissenkerke-G0727;21;;595;256;232;165;33;137.0;64.0;;;;;;;;;;;;62.0;;;;;;;915
Wittem-G0990;26;;2111;711;359;254;81;;;;17.0;;;333.0;6.0;;;;;;;;;;;;;2071
Woensdrecht-G0873;15;;1272;715;544;509;119;;;22.0;11.0;;22.0;;29.0;31.0;;34.0;;;;;3.0;;;;;4488
Woerden-G0632;40;;6034;1612;2617;2255;521;931.0;669.0;189.0;536.0;;;;;;;;;;;;;;;;;9882
Wognum-G0466;11;;1521;307;465;440;76;;;26.0;2.0;;33.0;;10.0;;;;;;;;;;2.0;;;2383
Wormerland-G0880;26;;1524;1330;966;1111;552;;;45.0;3.0;;140.0;;113.0;;;;;;;;1.0;;1.0;;;4929
Woudenberg-G0351;11;;1598;505;824;541;139;726.0;464.0;27.0;12.0;;;;;;;;;;;;;;;;;2439
Woudrichem-G0874;18;;2480;1036;603;468;120;;;11.0;7.0;;18.0;;1033.0;5.0;;14.0;;;;;4.0;;;;;4189
Wouw-G0875;19;;1560;570;501;283;63;;;6.0;3.0;;12.0;;3.0;152.0;;28.0;;;;;;;;;;3385
Wûnseradiel-G0710;33;;2494;1333;578;455;197;;;25.0;;85.0;;;;;75.0;;351.0;;;;;;3.0;;;2640
Wymbritseradiel-G0683;21;;3644;1021;697;584;225;;;25.0;;64.0;;;;;156.0;;880.0;;;;;;;;;3274
Zaanstad-G0479;204;;9331;11705;7470;9178;4464;;;963.0;118.0;;1001.0;;1097.0;;;;;;;;88.0;;105.0;;;51051
Zaltbommel-G0297;13;;968;1047;565;754;198;103.0;87.0;30.0;21.0;;15.0;;;;;;;;;;2.0;4.0;;;1.0;3208
Zandvoort-G0473;22;;1056;1130;2342;1164;186;;;126.0;2.0;;99.0;;54.0;;;;;;;;6.0;;5.0;;;6628
Zederik-G0707;24;;2697;1098;791;480;85;1053.0;497.0;35.0;9.0;;16.0;;;;;10.0;;;;;;;;2.0;;2758
Zeeland-G0877;19;;1465;256;150;154;46;;;4.0;36.0;;1.0;;5.0;126.0;;5.0;;;;;1.0;;;;;2060
Zeevang-G0478;18;;395;507;899;567;153;;;38.0;9.0;;23.0;;12.0;;;;;;;;1.0;;;;;1760
Zeewolde-G0050;5;;957;359;1142;654;102;;;18.0;;133.0;;;;;213.0;;;;;;;;;;;1947
Zeist-G0355;90;;6579;4065;6238;4511;1598;1154.0;1073.0;277.0;86.0;;;;;;;;;;;;;;;;;19587
Zelhem-G0298;19;;2097;1236;709;468;86;134.0;89.0;16.0;4.0;;10.0;;;;;;;;;;1.0;11.0;;;1.0;3911
Zevenaar-G0299;30;;4419;1884;1456;1745;360;25.0;91.0;48.0;48.0;;52.0;;;;;;;;;;4.0;72.0;;;5.0;10083
Zevenbergen-G0878;25;;2348;980;1008;852;159;;;21.0;13.0;;21.0;;155.0;40.0;;30.0;;;;;6.0;;;;;6358
Zierikzee-G0732;30;;1265;1163;715;695;149;227.0;261.0;;;;;;;;;;;;106.0;;;;;;;3021
Zijpe-G0476;13;;1345;899;1105;684;155;;;34.0;;;74.0;;33.0;;;;;;;;;;16.0;;;4042
Zoetermeer-G0637;47;;7465;6701;7137;8288;1381;910.0;1085.0;560.0;1515.0;;345.0;;;;;167.0;;;;;24.0;;;77.0;;34862
Zoeterwoude-G0638;19;;1555;400;737;569;160;37.0;21.0;17.0;4.0;;22.0;;;;;9.0;;;;;;;;1.0;;2634
Zuidhorn-G0056;26;;3101;1501;1049;977;379;;;;20.0;1604.0;;;;;133.0;;;;;;7.0;;8.0;;;3505
Zuidlaren-G0136;18;;1179;1259;1259;933;214;;;;;421.0;;;;;75.0;;;;;31.0;;;;;;3058
Zuidwolde-G0137;13;;1752;961;1021;636;143;;;;;169.0;;;;;77.0;;;;;75.0;;;;;;2333
Zundert-G0879;35;;2519;646;548;419;185;;;13.0;5.0;;26.0;;3.0;28.0;;13.0;;;;;1.0;;;;;5996
Zutphen-G0301;35;;2933;3980;1826;2307;928;37.0;233.0;61.0;83.0;;107.0;;;;;;;;;;21.0;19.0;;;13.0;10892
Zwartsluis-G0192;7;;915;432;222;172;36;75.0;;;2.0;184.0;;;;;;;;111.0;;;;;;;;1090
Zweeloo-G0138;7;;391;508;440;191;57;;;;;15.0;;;;;24.0;;;;;7.0;;;;;;554
Zwijndrecht-G0642;77;;4889;3149;2675;2947;642;989.0;1051.0;214.0;30.0;;73.0;;;;;86.0;;;;;5.0;;;10.0;;14877
Zwolle-G0193;76;;10886;8494;5292;6937;2597;388.0;;;192.0;2146.0;;;;;;;;1642.0;;;;;;;;34123
