RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;GPV/RPF;Centrumdemocraten;SP;Gereformeerd Politiek Verbond (GPV);DG;Partij Nieuw Limburg;SGP-GPV-RPF;Brabantse Onafhankelijke Federatie;SGP/RPF;Centrumpartij;FNP;Reformatorische Politieke Federatie (RPF);Delta Anders;Onafhankelijke Partijen Drenthe;Socialistische Arbeiderspartij;Lokale Partijen Gelderland;VCN: partij van communisten in Nederland;Vooruitstrevende Volkspartij;Lijst Hendriks;@abs
Hattem-G0244;15;;2074;1286;671;664;113;63.0;1087.0;12.0;;;15.0;;;;;;;;;;4.0;1.0;;;1.0;2664
Havelte-G0117;15;;376;1153;825;369;102;;;;;18.0;;;;;17.0;;;;;254.0;;;;;;1498
Hedel-G0245;7;;699;242;232;207;35;194.0;36.0;9.0;2.0;;5.0;;;;;;;;;;;12.0;;;2.0;1256
Heel-G1937;15;;1386;474;298;276;79;;;;4.0;;;121.0;3.0;;;;;;;;;;;;;3704
Heemskerk-G0396;44;;4212;2577;1874;2196;750;;;146.0;25.0;;186.0;;170.0;;;;;;;;23.0;;3.0;;;13026
Heemstede-G0397;45;;3715;1492;4244;2253;477;;;96.0;6.0;;146.0;;141.0;;;;;;;;12.0;;3.0;;;8262
Heerde-G0246;12;;3365;2066;1038;793;131;414.0;1082.0;29.0;6.0;;7.0;;;;;;;;;;6.0;13.0;;;;4768
Heerenveen-G0074;59;;4018;6063;2493;2888;1202;;;140.0;;300.0;;;;;256.0;;773.0;;;;;;48.0;;;11246
Heerewaarden-G0247;1;;90;258;125;48;18;10.0;;5.0;1.0;;6.0;;;;;;;;;;1.0;1.0;;;;323
Heerhugowaard-G0398;49;;4186;2141;2312;2432;495;;;96.0;28.0;;165.0;;182.0;;;50.0;;;;;16.0;;7.0;;;13026
Heerjansdam-G0526;10;;449;286;247;246;44;62.0;38.0;13.0;8.0;;6.0;;;;;2.0;;;;;;;;;;1227
Heerlen-G0917;200;;11053;6815;2928;3599;1597;;;;2070.0;;;3280.0;256.0;;;;;;;;;;;;;41220
Heesch-G0791;18;;1863;493;406;437;67;;;4.0;637.0;;10.0;;11.0;471.0;;4.0;;;;;16.0;;;;;4086
Heeswijk-Dinther-G0792;23;;2292;438;306;324;230;;;3.0;40.0;;6.0;;8.0;23.0;;7.0;;;;;3.0;;;;;2555
Heeze-G0793;14;;1749;646;552;508;103;;;4.0;13.0;;21.0;;7.0;320.0;;11.0;;;;;2.0;;;;;3173
Hefshuizen-G0019;18;;2536;2602;926;696;305;;;;33.0;927.0;;;;;95.0;;;;;;11.0;;17.0;;;4144
Heiloo-G0399;35;;3042;1572;2647;1710;397;;;51.0;15.0;;125.0;;118.0;;;17.0;;;;;4.0;;9.0;;;6448
Heino-G0162;10;;2054;536;413;391;101;6.0;;;9.0;131.0;;;;;;;;66.0;;;;;;;;1656
Helden-G0918;21;;4503;734;442;435;154;;;;10.0;;;471.0;14.0;;;;;;;;;;;;;6528
Hellendoorn-G0163;55;;10247;2272;1294;1490;407;114.0;;;27.0;411.0;;;;;;;;513.0;;;;;;;;8891
Hellevoetsluis-G0530;53;;1774;2734;2657;2530;790;94.0;160.0;175.0;58.0;;69.0;;;;;96.0;;;;;7.0;;;16.0;;13679
Helmond-G0794;54;;7833;4148;2426;2919;795;;;87.0;728.0;;48.0;;92.0;62.0;;119.0;;;;;14.0;;;;;32226
Helvoirt-G0795;7;;1007;255;306;267;43;;;4.0;8.0;;5.0;;8.0;108.0;;5.0;;;;;1.0;;;;;1489
Hendrik-Ido-Ambacht-G0531;2;;2134;1185;1444;1224;181;1417.0;301.0;48.0;8.0;;43.0;;;;;22.0;;;;;1.0;;;2.0;;6373
Hengelo-G0164;118;;11889;7846;3926;5742;1604;67.0;;;628.0;536.0;;;;;;;;447.0;;;;;26.0;;;24806
Hengelo-G0248;8;;2249;751;487;346;45;18.0;24.0;11.0;1.0;;13.0;;;;;;;;;;;8.0;;;5.0;2393
Het Bildt-G0063;18;;2083;1380;544;430;229;;;16.0;;51.0;;;;;57.0;;226.0;;;;;;3.0;;;2436
Heteren-G0251;6;;1374;555;438;448;109;168.0;68.0;14.0;4.0;;12.0;;;;;;;;;;2.0;244.0;;;3.0;2974
Heumen-G0252;1;;2642;823;717;936;327;3.0;8.0;12.0;14.0;;31.0;;;;;;;;;;7.0;12.0;;;17.0;4393
Heusden-G0797;16;;799;333;249;294;65;;;5.0;8.0;;9.0;;76.0;32.0;;12.0;;;;;4.0;;;;;2202
Heythuysen-G0920;26;;3085;430;400;375;92;;;;7.0;;;113.0;24.0;;;;;;;;;;;;;3913
Hillegom-G0534;38;;3227;1140;1717;1214;316;76.0;90.0;53.0;13.0;;35.0;;;;;28.0;;;;;4.0;;;2.0;;6945
Hilvarenbeek-G0798;16;;2163;713;482;550;153;;;7.0;7.0;;20.0;;7.0;105.0;;8.0;;;;;2.0;;;;;3246
Hilversum-G0402;140;;8602;6815;7727;6924;1677;;;541.0;351.0;;525.0;;1434.0;;;;;;;;42.0;;;;;31572
Hoevelaken-G0253;4;;1253;512;814;584;102;385.0;198.0;13.0;1.0;;18.0;;;;;;;;;;;1.0;;;;2316
Hoeven-G0799;11;;1206;457;551;375;52;;;20.0;6.0;;14.0;;16.0;80.0;;14.0;;;;;1.0;;;;;3616
Holten-G0165;24;;1950;998;1109;532;79;16.0;;;3.0;32.0;;;;;;;;44.0;;;;;2.0;;;2084
Hontenisse-G0675;42;;1996;384;398;235;99;14.0;24.0;;;;;;;;;;;;136.0;;;;;;;2576
Hooge en Lage Mierde-G0801;10;;1150;152;122;115;28;;;;4.0;;11.0;;3.0;13.0;;3.0;;;;;1.0;;;;;1207
Hooge en Lage Zwaluwe-G0802;13;;989;418;460;296;71;;;12.0;3.0;;15.0;;38.0;5.0;;11.0;;;;;9.0;;;;;2309
Hoogeloon, Hapert en Casteren-G0800;20;;2068;397;371;295;60;;;5.0;5.0;;27.0;;7.0;22.0;;8.0;;;;;1.0;;;;;2829
