RegioNaam;@invalid;@blank;VVD;PVV;CDA;D66;GL;SP;PvdA;CU;PvdD;50+;SGP;DENK;FvD;VNL (VoorNederland);PPNL;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);@abs
Heeze-Leende-G1658;23;17;3053;1172;1829;1321;625;1095;420;91;234;293;17;11;146;34;31.0;2.0;18;14;13.0;9.0;1.0;2.0;;0.0;0.0;;0.0;;1982.0
Heiloo-G0399;33;16;4832;1166;1771;2553;1589;881;1197;238;689;382;53;17;301;70;56.0;7.0;19;20;7.0;11.0;12.0;11.0;;4.0;;;;1.0;2105.0
Hellendoorn-G0163;31;15;4622;2498;7287;2113;1292;2239;1063;1168;375;598;192;37;301;51;36.0;4.0;25;25;25.0;12.0;15.0;5.0;;3.0;;;;;3964.0
Hellevoetsluis-G0530;64;42;5675;5205;2118;2025;1360;2074;1313;439;792;1227;100;331;739;218;72.0;25.0;56;40;21.0;22.0;16.0;5.0;13.0;6.0;2.0;;1.0;;6340.0
Helmond-G0794;219;110;10493;10260;5272;4777;3532;7067;1898;388;1188;1805;51;1501;820;201;148.0;41.0;71;51;50.0;38.0;29.0;22.0;;12.0;4.0;;19.0;;15423.0
Hendrik-Ido-Ambacht-G0531;36;22;4414;2536;2333;1546;852;1127;763;1179;383;529;2441;167;373;73;32.0;15.0;19;19;13.0;6.0;5.0;3.0;14.0;3.0;1.0;;0.0;;3231.0
Hengelo-G0164;156;74;9521;6180;8438;6532;4113;6599;3182;1240;1328;1181;143;1015;873;186;173.0;27.0;66;50;28.0;32.0;23.0;16.0;;21.0;;;;;10966.0
Het Bildt-G0063;7;11;1092;731;1386;497;457;822;505;229;217;211;29;0;137;14;22.0;;11;15;6.0;;3.0;1.0;;1.0;2.0;;;;1526.0
Heumen-G0252;10;10;2708;1064;1659;1721;1153;1224;667;128;326;252;9;15;125;16;35.0;0.0;5;8;6.0;3.0;10.0;2.0;3.0;3.0;0.0;;0.0;;1723.0
Heusden-G0797;62;30;7289;4415;4010;2980;1642;3121;1105;300;652;933;63;414;457;112;66.0;9.0;42;44;46.0;15.0;7.0;12.0;;15.0;3.0;;2.0;;5698.0
Hillegom-G0534;37;14;3870;1820;1641;1593;980;876;687;233;443;565;75;86;390;64;42.0;7.0;19;28;;5.0;11.0;4.0;3.0;7.0;3.0;;1.0;;2628.0
Hilvarenbeek-G0798;16;16;2858;944;2093;1226;673;1200;434;75;226;299;9;4;112;25;20.0;1.0;7;11;15.0;4.0;2.0;1.0;3.0;5.0;1.0;;0.0;;1782.0
Hilversum-G0402;171;62;12464;5470;4345;9036;6073;3704;3314;1441;2304;1800;351;1169;944;232;314.0;50.0;59;67;24.0;31.0;24.0;39.0;;22.0;;;;;11685.0
Hof van Twente-G1735;47;25;6210;2466;5851;2560;1200;1956;1458;318;354;590;108;126;346;83;54.0;4.0;19;20;15.0;9.0;6.0;7.0;;3.0;;;;;3796.0
Hollands Kroon-G1911;58;26;8618;4375;3887;2936;1867;2455;1650;576;820;1233;174;15;859;218;89.0;3.0;61;62;80.0;15.0;15.0;19.0;;8.0;;;;7.0;6334.0
Hoogeveen-G0118;70;50;5385;5307;6958;2394;1812;4292;1993;2423;582;1194;693;147;720;135;70.0;;45;49;31.0;;14.0;6.0;;6.0;1.0;;;;8205.0
Hoogezand-Sappemeer-G0018;48;22;2832;3050;1788;1713;1808;3753;1907;820;576;900;73;497;300;66;65.0;13.0;26;27;36.0;15.0;11.0;9.0;;5.0;3.0;;;;6517.0
Hoorn-G0405;143;61;10073;5432;3827;5592;4659;4212;3166;695;1728;1571;109;692;955;193;193.0;154.0;75;74;39.0;55.0;24.0;19.0;;24.0;;;;7.0;10813.0
Horst aan de Maas-G1507;38;49;5720;3433;5886;2918;1444;3652;920;150;510;1049;24;30;426;99;67.0;2.0;33;50;;13.0;28.0;5.0;;6.0;5.0;;;;5712.0
Houten-G0321;53;32;7958;3147;3810;4622;3129;1827;1734;1968;863;831;728;155;448;104;94.0;47.0;29;40;;9.0;6.0;15.0;11.0;7.0;4.0;5.0;1.0;;4612.0
Huizen-G0406;60;20;7431;2803;3483;3260;1973;1457;1358;1528;926;854;603;437;584;101;67.0;28.0;53;27;9.0;18.0;11.0;13.0;;8.0;;;;;5015.0
Hulst-G0677;39;130;3540;2804;2381;1289;882;1903;855;130;422;833;56;19;241;71;30.0;3.0;30;20;17.0;;6.0;6.0;;4.0;2.0;;6.0;;4306.0
IJsselstein-G0353;48;23;5783;2804;2634;2996;1630;1447;1036;517;551;693;212;399;368;87;44.0;35.0;19;25;;8.0;8.0;6.0;15.0;4.0;3.0;4.0;0.0;;4272.0
Kaag en Braassem-G1884;36;17;5631;2335;2722;2171;1090;930;712;271;455;590;100;24;433;94;43.0;5.0;26;30;;9.0;5.0;4.0;5.0;3.0;2.0;;1.0;;2664.0
Kampen-G0166;70;39;4543;3769;6505;2084;1934;2626;1373;4683;534;795;3630;378;475;82;83.0;13.0;31;15;13.0;17.0;9.0;6.0;;8.0;;;;;5194.0
Kapelle-G0678;16;6;1812;837;1294;688;395;606;368;580;190;247;1087;5;139;36;16.0;1.0;5;12;2.0;;2.0;2.0;;3.0;0.0;;0.0;;1148.0
Katwijk-G0537;112;31;8212;5907;8263;2338;1528;1803;1181;3927;843;1146;3911;178;1079;172;105.0;17.0;45;38;;11.0;9.0;12.0;57.0;3.0;10.0;;5.0;;7069.0
Kerkrade-G0928;90;70;3243;7324;2775;1617;1350;4900;1059;107;816;1217;22;145;460;66;59.0;6.0;33;27;;21.0;26.0;18.0;;7.0;5.0;;;;9514.0
Koggenland-G1598;31;16;4982;1630;2233;1583;931;974;717;132;418;535;50;9;312;112;41.0;8.0;18;31;20.0;13.0;10.0;3.0;;5.0;;;;1.0;2432.0
Kollumerland en Nieuwkruisland-G0079;11;10;1131;1089;2251;472;413;835;394;606;149;241;149;0;158;23;13.0;;18;13;11.0;;10.0;1.0;;2.0;5.0;;;;1974.0
Korendijk-G0588;15;7;1546;1042;922;491;327;431;284;315;180;251;1315;3;158;32;12.0;2.0;7;10;3.0;9.0;1.0;2.0;7.0;6.0;0.0;;0.0;;1134.0
Krimpen aan den IJssel-G0542;39;21;3616;2789;2009;1619;995;1216;1040;1259;470;579;2690;84;387;75;46.0;33.0;9;22;;7.0;5.0;16.0;12.0;3.0;5.0;;0.0;;3370.0
Krimpenerwaard-G1931;97;39;8934;4630;4830;3124;2018;2191;1883;2226;1034;1019;3433;276;708;157;77.0;9.0;55;32;;18.0;8.0;28.0;26.0;3.0;5.0;;5.0;;5775.0
Laarbeek-G1659;38;33;3524;2189;2400;1383;707;2149;500;62;271;375;17;4;193;50;32.0;2.0;11;21;15.0;5.0;4.0;3.0;;5.0;4.0;;2.0;;3181.0
Landerd-G1685;16;18;2598;1301;1916;1051;479;1659;360;63;169;298;10;2;131;28;25.0;3.0;10;11;2.0;6.0;7.0;1.0;;1.0;0.0;;2.0;;1797.0
Landgraaf-G0882;52;61;3429;6130;2730;1880;1339;3884;1011;153;733;1200;23;66;425;69;51.0;5.0;48;31;;19.0;11.0;11.0;;7.0;5.0;;;;6727.0
Landsmeer-G0415;21;5;1958;1005;546;1026;728;633;577;66;308;249;23;41;188;26;20.0;13.0;9;26;5.0;7.0;3.0;0.0;;0.0;;;;0.0;1229.0
Langedijk-G0416;40;21;5163;2025;2141;2261;1559;1270;999;523;630;604;88;77;429;140;58.0;9.0;30;33;35.0;18.0;20.0;6.0;;5.0;;;;1.0;3027.0
Lansingerland-G1621;65;47;12033;4877;5027;4326;2060;1585;1473;2065;962;944;431;385;850;178;123.0;48.0;48;51;;13.0;12.0;8.0;17.0;2.0;2.0;;1.0;;5674.0
Laren-G0417;29;3;3503;565;747;922;393;282;284;78;243;151;9;16;166;19;25.0;4.0;10;6;1.0;2.0;1.0;1.0;;3.0;;;;;1100.0
Leek-G0022;27;10;2145;1372;1969;1234;1090;1478;994;1045;297;391;143;21;201;30;36.0;3.0;14;18;15.0;11.0;6.0;4.0;;8.0;3.0;;;;2732.0
Leerdam-G0545;41;9;2460;1857;1666;896;684;903;550;879;279;344;1124;862;198;39;19.0;2.0;35;6;5.0;11.0;4.0;7.0;12.0;2.0;1.0;;1.0;;2854.0
Leeuwarden-G0080;148;110;10422;7221;7294;9023;8809;8194;6964;2391;3041;1913;241;334;1487;248;354.0;;176;103;62.0;;57.0;45.0;;35.0;22.0;;;;16248.0
Leeuwarderadeel-G0081;11;8;1161;650;1317;673;518;784;744;323;201;204;29;6;117;19;23.0;;13;9;9.0;;2.0;4.0;;0.0;3.0;;;;1187.0
Leiden-G0546;255;173;13071;8172;4818;16305;13179;5152;5387;1916;3692;1603;268;1631;1378;192;436.0;175.0;105;44;;49.0;32.0;46.0;37.0;19.0;19.0;;7.0;;14408.0
Leiderdorp-G0547;51;20;4493;1958;2001;2887;1581;1089;1219;415;531;526;183;239;388;64;57.0;15.0;24;19;;15.0;3.0;6.0;5.0;2.0;2.0;;1.0;;2884.0
Leidschendam-Voorburg-G1916;159;77;12831;5710;5351;7001;3744;2480;2755;958;1772;1443;210;501;977;195;141.0;97.0;64;63;;34.0;20.0;32.0;25.0;23.0;10.0;;4.0;;9197.0
Lelystad-G0995;158;97;8493;7671;3825;4147;3796;4143;2564;1590;1670;1975;333;1308;921;230;216.0;227.0;90;64;49.0;45.0;24.0;31.0;45.0;14.0;11.0;;;;12657.0
Leudal-G1640;43;31;4646;3715;4045;3770;966;2474;633;129;513;990;46;19;511;99;30.0;4.0;38;47;;20.0;11.0;14.0;;6.0;8.0;;;;5631.0
Leusden-G0327;47;24;5464;1501;2968;2896;1770;1167;1037;1186;596;490;376;73;395;63;62.0;12.0;21;25;;13.0;12.0;11.0;6.0;6.0;5.0;11.0;0.0;;2715.0
Lingewaal-G0733;18;8;1659;1204;1241;543;341;412;416;539;155;185;400;24;128;23;14.0;3.0;11;2;1.0;1.0;4.0;2.0;11.0;1.0;1.0;;0.0;;1256.0
Lingewaard-G1705;46;75;8125;3774;4261;4035;2245;3353;1496;289;727;1078;37;50;485;84;61.0;6.0;22;38;20.0;10.0;13.0;10.0;9.0;7.0;3.0;6.0;2.0;;5530.0
Lisse-G0553;44;15;4332;1740;2167;1809;902;832;600;475;448;587;720;24;360;80;42.0;6.0;17;15;;7.0;4.0;8.0;2.0;2.0;0.0;;8.0;;2308.0
Littenseradiel-G0140;7;5;1422;502;1795;688;638;636;628;225;209;173;40;2;77;27;16.0;;22;14;8.0;;3.0;2.0;;1.0;2.0;;;;1082.0
Lochem-G0262;31;31;6413;1551;3651;3464;2160;1763;1644;404;656;627;69;201;302;63;43.0;7.0;23;26;11.0;20.0;9.0;5.0;1.0;6.0;1.0;12.0;0.0;;3560.0
Loon op Zand-G0809;32;22;3923;2480;2094;1369;938;1646;562;131;326;567;77;84;207;60;22.0;7.0;22;24;24.0;9.0;4.0;3.0;5.0;3.0;0.0;;2.0;;3467.0
Lopik-G0331;26;11;2199;1438;1761;566;339;438;268;724;170;250;727;69;139;45;17.0;3.0;10;11;;6.0;7.0;2.0;9.0;2.0;0.0;5.0;2.0;;1566.0
Loppersum-G0024;6;8;693;551;1303;534;723;946;519;625;232;186;120;2;58;21;27.0;1.0;7;9;11.0;6.0;3.0;0.0;;0.0;1.0;;;;1233.0
Losser-G0168;25;11;2900;2338;3696;1497;668;1436;583;136;213;508;15;44;228;38;29.0;2.0;9;17;16.0;6.0;3.0;3.0;;0.0;;;;;3310.0
Maasdriel-G0263;28;25;3947;3197;2852;1148;668;1346;509;199;290;498;295;40;293;52;40.0;1.0;13;18;6.0;7.0;1.0;5.0;4.0;6.0;1.0;;1.0;;2838.0
Maasgouw-G1641;26;31;3083;2908;2462;1551;782;1831;503;94;432;775;21;11;342;63;42.0;4.0;26;24;;10.0;13.0;5.0;;5.0;3.0;;;;4481.0
Maassluis-G0556;64;48;4519;3388;2668;1875;1173;1381;1086;754;557;786;171;1176;381;101;66.0;38.0;30;24;9.0;9.0;5.0;11.0;6.0;5.0;1.0;;4.0;;4405.0
Maastricht-G0935;246;125;10738;12477;7169;10145;7441;7693;3618;563;2593;2800;79;672;1575;130;193.0;65.0;76;66;;54.0;35.0;35.0;;29.0;23.0;;;;20582.0
Marum-G0025;9;3;1264;945;1189;538;429;767;464;394;156;217;73;1;114;24;18.0;3.0;10;14;9.0;7.0;3.0;2.0;;2.0;4.0;;;;1471.0
Medemblik-G0420;63;43;7842;3561;3983;3058;1707;2027;1344;702;818;1066;239;159;639;174;99.0;10.0;41;52;43.0;19.0;12.0;8.0;;6.0;;;;2.0;5618.0
Meerssen-G0938;21;25;2525;2273;2083;1534;909;1436;525;71;347;613;14;8;262;29;29.0;3.0;20;19;;3.0;10.0;5.0;;3.0;1.0;;;;2693.0
Meierijstad-G1948;119;69;12714;6428;8712;5240;2962;6689;1904;246;944;1568;48;817;680;173;117.0;8.0;53;90;31.0;24.0;14.0;14.0;;8.0;7.0;;12.0;;11412.0
Menameradiel-G1908;17;3;1618;849;1737;924;760;972;885;333;215;250;48;3;136;30;21.0;;34;13;9.0;;2.0;2.0;;2.0;3.0;;;;1545.0
Menterwolde-G1987;22;17;1041;1376;721;632;559;1581;689;272;228;356;31;9;129;21;25.0;4.0;7;14;18.0;4.0;7.0;1.0;;1.0;1.0;;;;1994.0
Meppel-G0119;43;22;4590;2159;2893;2486;1928;2396;1614;1242;586;682;108;168;360;74;56.0;;46;35;14.0;;23.0;9.0;;1.0;7.0;;;;4001.0
Middelburg-G0687;72;45;5022;2813;3405;3128;3072;3004;2160;2031;1217;818;2449;375;461;84;86.0;20.0;39;27;19.0;;14.0;9.0;;3.0;7.0;;1.0;;6439.0
Midden-Delfland-G1842;34;12;4149;1234;2431;1662;841;484;536;514;293;284;77;44;297;54;36.0;7.0;13;13;5.0;3.0;6.0;5.0;5.0;2.0;0.0;;0.0;;1500.0
Midden-Drenthe-G1731;37;22;4555;2466;3871;2194;1574;2422;2007;902;523;807;215;9;411;82;43.0;;20;40;26.0;;19.0;12.0;;10.0;1.0;;;;3986.0
Mill en Sint Hubert-G0815;14;4;1685;986;1479;561;326;1444;234;46;114;239;12;6;84;17;19.0;0.0;15;14;5.0;7.0;7.0;3.0;;0.0;0.0;;1.0;;1310.0
Moerdijk-G1709;31;29;5832;4079;3276;1892;1253;2684;933;587;598;891;141;111;399;132;51.0;9.0;48;34;21.0;5.0;4.0;8.0;12.0;3.0;2.0;;0.0;;5694.0
Molenwaard-G1927;30;10;3045;1857;3261;806;553;904;646;2648;265;347;4165;18;261;59;21.0;2.0;17;10;6.0;2.0;7.0;3.0;38.0;1.0;0.0;;0.0;;2506.0
Montferland-G1955;45;17;5486;4015;4284;2148;1237;2744;997;150;486;875;39;105;361;74;61.0;9.0;22;30;19.0;13.0;5.0;13.0;7.0;6.0;3.0;11.0;2.0;;4989.0
Montfoort-G0335;16;10;2643;1086;1504;922;528;416;356;501;174;216;521;80;179;31;22.0;3.0;10;14;;5.0;1.0;5.0;7.0;3.0;0.0;6.0;0.0;;1175.0
Mook en Middelaar-G0944;18;4;1324;547;642;879;580;602;328;57;217;112;4;3;64;17;9.0;1.0;10;8;;4.0;3.0;0.0;;2.0;1.0;;;;784.0
Neder-Betuwe-G1740;31;18;2144;2033;1582;673;404;759;689;677;183;384;4618;53;188;41;20.0;1.0;12;22;3.0;4.0;7.0;3.0;17.0;2.0;0.0;;0.0;;2432.0
Nederweert-G0946;14;16;2494;1844;2317;1023;501;1205;355;46;203;498;14;2;185;46;33.0;0.0;23;15;;5.0;5.0;7.0;;0.0;2.0;;;;2681.0
Neerijnen-G0304;14;8;1775;1349;1134;562;326;456;373;274;163;218;944;12;125;25;18.0;3.0;10;13;3.0;5.0;1.0;2.0;2.0;0.0;0.0;;0.0;;1366.0
Nieuwegein-G0356;147;60;8169;6093;3965;4540;3201;3668;2273;1000;1148;1527;233;684;668;166;156.0;133.0;57;35;;24.0;17.0;21.0;29.0;9.0;3.0;14.0;4.0;;9692.0
Nieuwkoop-G0569;40;14;5572;2486;3186;1746;1019;932;680;501;383;562;368;42;416;101;61.0;5.0;25;41;;9.0;9.0;7.0;13.0;3.0;6.0;;1.0;;3450.0
Nijkerk-G0267;47;24;6043;3363;4877;2083;1269;1244;966;2835;464;668;1862;334;392;78;55.0;9.0;33;23;12.0;10.0;10.0;3.0;17.0;10.0;4.0;4.0;2.0;;4412.0
Nijmegen-G0268;298;146;15952;10613;7384;21666;22391;12451;7004;1432;5219;2018;152;2152;1377;203;468.0;192.0;111;80;58.0;82.0;97.0;45.0;45.0;38.0;19.0;;8.0;;29649.0
Nissewaard-G1930;221;86;10560;12359;4789;4101;3093;5464;2879;1145;1555;2904;362;432;1360;340;183.0;182.0;92;69;67.0;57.0;32.0;33.0;52.0;14.0;5.0;;11.0;;14659.0
Noord-Beveland-G1695;11;11;1172;711;698;332;253;410;296;141;180;175;217;3;105;30;13.0;1.0;8;15;4.0;;3.0;2.0;;2.0;0.0;;1.0;;1084.0
Noordenveld-G1699;38;14;4441;2270;2597;2622;2082;2062;2180;851;617;643;98;1;313;48;41.0;;32;34;37.0;;11.0;5.0;;5.0;2.0;;;;3831.0
Noordoostpolder-G0171;56;33;6283;3238;5647;2184;1346;2357;1280;2261;523;713;1221;203;494;108;66.0;15.0;39;38;26.0;20.0;27.0;19.0;52.0;8.0;3.0;;;;5256.0
Noordwijk-G0575;40;35;5578;2102;1906;1909;1174;943;764;276;520;592;79;70;499;82;43.0;4.0;25;23;;6.0;4.0;8.0;3.0;4.0;1.0;;1.0;;3110.0
Noordwijkerhout-G0576;33;11;3487;1390;1443;1126;669;593;387;120;289;438;15;14;339;58;26.0;4.0;12;13;;5.0;6.0;6.0;2.0;1.0;0.0;;2.0;;1782.0
Nuenen, Gerwen en Nederwetten-G0820;14;24;4432;1508;2269;2297;1240;1591;863;167;402;434;14;20;265;53;33.0;4.0;17;12;30.0;9.0;9.0;8.0;;4.0;2.0;;2.0;;2386.0
Nunspeet-G0302;22;17;2836;1810;2925;791;509;692;387;2420;276;340;4396;37;209;66;33.0;1.0;9;12;6.0;4.0;4.0;3.0;29.0;0.0;0.0;6.0;1.0;;2957.0
Nuth-G0951;28;34;1976;1874;1836;958;646;1301;411;41;310;511;14;5;231;34;21.0;3.0;8;10;;11.0;3.0;4.0;;7.0;5.0;;;;2247.0
Oegstgeest-G0579;18;19;4531;1056;1560;3034;1547;607;1024;465;512;311;65;54;257;46;49.0;13.0;14;3;;6.0;3.0;7.0;3.0;1.0;2.0;;0.0;;1840.0
Oirschot-G0823;31;27;3425;1523;2383;1282;617;1486;456;75;218;389;28;4;207;41;24.0;0.0;9;21;13.0;3.0;5.0;2.0;;1.0;4.0;;1.0;;2353.0
Oisterwijk-G0824;51;29;5167;1868;2438;2094;1293;1731;639;128;387;543;21;58;236;50;35.0;8.0;7;19;17.0;12.0;5.0;0.0;3.0;2.0;4.0;;1.0;;3422.0
Oldambt-G1895;50;47;3260;4525;2412;1837;1715;4682;2211;849;666;952;113;12;440;75;75.0;4.0;29;30;21.0;15.0;9.0;9.0;;9.0;6.0;;;;6650.0
Oldebroek-G0269;34;9;1831;1775;2863;644;392;777;485;3018;164;322;2203;5;174;37;13.0;1.0;8;9;11.0;7.0;2.0;5.0;39.0;3.0;0.0;2.0;0.0;;2861.0
Oldenzaal-G0173;55;33;4777;2525;4277;2680;1350;2186;980;165;351;529;28;335;333;74;52.0;4.0;20;14;10.0;6.0;5.0;11.0;;1.0;;;;;3937.0
Olst-Wijhe-G1773;22;15;2539;1113;2421;1376;937;1089;990;267;321;403;70;58;115;48;27.0;4.0;17;15;8.0;7.0;4.0;8.0;;3.0;;;;;2196.0
Ommen-G0175;22;9;2082;936;3739;1006;488;726;475;1289;169;275;209;3;161;35;23.0;3.0;9;9;5.0;2.0;6.0;6.0;;4.0;;;;;1786.0
Onderbanken-G0881;15;10;785;1265;733;418;319;796;152;27;156;245;9;8;103;26;9.0;1.0;21;8;;5.0;4.0;2.0;;1.0;1.0;;;;1195.0
Oost Gelre-G1586;32;26;4853;1768;4780;2316;1119;2115;920;114;296;749;39;73;261;78;29.0;3.0;32;40;23.0;2.0;5.0;12.0;4.0;4.0;1.0;14.0;0.0;;3536.0
Oosterhout-G0826;107;103;8581;5511;3952;3836;2428;3584;1484;313;778;1168;36;980;554;130;72.0;22.0;37;42;34.0;18.0;20.0;4.0;12.0;6.0;9.0;;2.0;;8617.0
Ooststellingwerf-G0085;30;16;2798;2196;2746;1488;1300;1950;1418;669;549;559;136;8;356;57;41.0;;34;39;21.0;;17.0;3.0;;12.0;4.0;;;;3935.0
Oostzaan-G0431;17;14;1802;1114;423;666;495;432;496;107;260;284;27;30;158;48;27.0;12.0;10;14;2.0;5.0;5.0;2.0;;1.0;;;;1.0;1077.0
Opmeer-G0432;13;10;2286;815;1129;943;482;461;358;66;177;287;17;2;171;63;27.0;2.0;12;15;7.0;6.0;10.0;2.0;;2.0;;;;1.0;1506.0
Opsterland-G0086;31;37;3271;1793;3195;1886;1610;2281;1856;1397;485;501;267;9;254;75;43.0;;50;32;18.0;;20.0;20.0;;3.0;2.0;;;;4056.0
Oss-G0828;139;109;11543;9159;7943;5413;3447;9615;2212;320;1122;1756;42;1521;850;201;157.0;27.0;60;75;47.0;25.0;18.0;15.0;;10.0;6.0;;4.0;;13665.0
Oud-Beijerland-G0584;27;22;3766;2248;1846;1548;897;1010;820;825;426;461;1418;17;379;59;45.0;6.0;32;12;9.0;15.0;10.0;2.0;1.0;4.0;1.0;;2.0;;2630.0
Oude IJsselstreek-G1509;51;22;5606;3043;4707;2755;1538;3394;1360;373;502;885;63;620;288;80;48.0;6.0;22;96;27.0;18.0;10.0;6.0;8.0;9.0;6.0;11.0;4.0;;5595.0
Ouder-Amstel-G0437;23;10;2305;732;833;1431;878;407;671;156;327;288;85;51;155;27;30.0;56.0;8;12;3.0;11.0;0.0;10.0;;7.0;;;;;1401.0
Oudewater-G0589;10;5;2004;760;1243;648;357;287;223;358;142;163;297;18;117;36;11.0;2.0;5;7;;1.0;3.0;1.0;4.0;1.0;0.0;2.0;1.0;;1096.0
Overbetuwe-G1734;86;30;7459;3679;4543;4078;2222;2695;1492;906;749;862;609;117;467;84;58.0;4.0;40;34;18.0;14.0;12.0;6.0;8.0;5.0;2.0;9.0;2.0;;5770.0
Papendrecht-G0590;64;21;4653;3048;2713;1794;1296;1620;1009;1349;506;750;913;214;452;113;62.0;16.0;29;15;16.0;11.0;4.0;9.0;21.0;8.0;1.0;;5.0;;4250.0
Peel en Maas-G1894;53;53;6045;4471;6327;2525;1291;2839;821;98;486;1203;41;143;490;122;59.0;6.0;98;48;;20.0;10.0;14.0;;7.0;5.0;;;;6767.0
Pekela-G0765;18;28;765;1791;744;372;417;1779;614;206;163;269;50;15;106;29;23.0;1.0;10;14;11.0;11.0;8.0;1.0;;2.0;3.0;;;;2382.0
