RegioNaam;@invalid;@blank;VVD;PVV;CDA;D66;GL;SP;PvdA;CU;PvdD;50+;SGP;DENK;FvD;VNL (VoorNederland);PPNL;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);@abs
Uithoorn-G0451;49;14;5717;2286;1822;2300;1368;1084;973;290;592;729;59;203;394;85;94.0;32.0;19;30;10.0;14.0;17.0;9.0;;5.0;;;;;3387.0
Urk-G0184;36;11;210;1304;1680;58;29;78;19;1376;22;55;6635;9;199;21;22.0;0.0;3;4;1.0;4.0;1.0;2.0;77.0;0.0;1.0;;;;1353.0
Utrecht-G0344;763;256;35248;15157;11377;46444;42093;9995;12030;5486;9482;2952;671;11441;2430;380;1077.0;644.0;196;144;;95.0;58.0;132.0;74.0;61.0;43.0;59.0;11.0;;40427.0
Utrechtse Heuvelrug-G1581;70;30;8758;2976;4025;4669;3136;1668;1705;1337;1183;792;1297;305;555;72;72.0;12.0;44;26;;18.0;13.0;11.0;21.0;8.0;2.0;13.0;1.0;;5149.0
Vaals-G0981;34;9;783;989;711;376;315;662;257;30;174;242;4;4;100;9;12.0;1.0;4;2;;2.0;3.0;0.0;;1.0;4.0;;;;1334.0
Valkenburg aan de Geul-G0994;20;26;2294;2012;1843;1243;762;1156;448;86;356;533;12;14;253;29;22.0;3.0;10;8;;5.0;4.0;6.0;;2.0;0.0;;;;2569.0
Valkenswaard-G0858;50;52;4865;3188;2927;2051;1227;2545;883;187;464;910;23;19;347;73;51.0;5.0;38;24;26.0;14.0;21.0;7.0;;1.0;6.0;;2.0;;4456.0
Veendam-G0047;50;23;2380;2831;1702;1561;1183;3252;1591;509;432;665;68;314;335;48;49.0;6.0;8;22;51.0;17.0;10.0;6.0;;12.0;6.0;;;;4707.0
Veenendaal-G0345;111;58;7465;4689;5822;2986;2079;2414;1273;5518;592;979;4202;1385;642;134;107.0;19.0;45;24;;14.0;23.0;21.0;34.0;8.0;6.0;14.0;5.0;;7298.0
Veere-G0717;24;13;3423;1173;2561;1198;811;917;791;873;425;360;2179;4;264;54;33.0;2.0;13;22;5.0;;5.0;0.0;;3.0;3.0;;0.0;;2009.0
Veldhoven-G0861;53;46;7045;4032;3868;3406;1913;3697;1174;342;692;1064;49;50;437;117;102.0;6.0;34;46;35.0;20.0;6.0;15.0;;7.0;8.0;;8.0;;6320.0
Velsen-G0453;112;66;10211;6947;3737;5436;3389;3447;2595;993;1537;1793;122;594;1076;237;160.0;23.0;63;61;43.0;37.0;16.0;26.0;;14.0;;;;;9231.0
Venlo-G0983;211;156;11199;11672;7367;5777;4138;7004;2285;330;1456;2687;68;1936;1240;162;149.0;22.0;76;60;;39.0;24.0;34.0;;22.0;5.0;;;;17795.0
Venray-G0984;66;55;5798;3358;4741;2944;1583;4265;1035;175;431;833;45;506;386;93;52.0;12.0;21;43;;27.0;11.0;12.0;;9.0;0.0;;;;6540.0
Vianen-G0620;24;23;2871;1954;1666;1360;870;908;737;390;353;434;356;206;214;52;38.0;14.0;16;21;;5.0;3.0;7.0;7.0;2.0;1.0;2.0;1.0;;2673.0
Vlaardingen-G0622;146;71;8036;7869;4181;4125;3113;4057;2488;1193;1378;1731;659;2433;971;228;134.0;122.0;82;40;27.0;40.0;20.0;17.0;29.0;5.0;5.0;;0.0;;11090.0
Vlagtwedde-G0048;22;18;1492;1887;1591;662;563;1650;753;322;309;452;83;2;164;37;21.0;1.0;35;21;16.0;7.0;4.0;4.0;;2.0;5.0;;;;2610.0
Vlieland-G0096;5;0;254;72;68;139;94;61;63;21;35;30;9;0;8;8;4.0;;2;0;0.0;;0.0;0.0;;0.0;0.0;;;;
Vlissingen-G0718;77;56;4741;4049;2696;2526;2133;3159;1700;831;1003;1207;507;396;581;116;126.0;32.0;45;42;24.0;;14.0;15.0;;9.0;6.0;;9.0;;7901.0
Voerendaal-G0986;12;18;1635;1428;1473;1007;533;1115;388;60;245;395;5;15;133;15;11.0;3.0;22;10;;4.0;6.0;4.0;;2.0;0.0;;;;1583.0
Voorschoten-G0626;48;24;4911;1604;1889;2730;1518;845;999;382;574;339;52;105;323;59;52.0;6.0;19;32;;6.0;12.0;11.0;4.0;2.0;2.0;;1.0;;2161.0
Voorst-G0285;40;17;4340;1444;2960;1994;953;1394;1003;313;319;544;301;58;210;53;25.0;0.0;10;26;14.0;12.0;12.0;1.0;6.0;3.0;1.0;4.0;3.0;;3091.0
Vught-G0865;23;21;4933;1577;1862;2751;1563;1749;913;152;487;427;27;24;228;45;46.0;7.0;16;12;12.0;8.0;8.0;5.0;;1.0;2.0;;2.0;;3346.0
Waalre-G0866;33;13;3263;1165;1503;1655;822;991;490;148;367;374;22;9;200;49;20.0;2.0;17;10;7.0;5.0;8.0;2.0;;5.0;1.0;;0.0;;1717.0
Waalwijk-G0867;113;49;7118;4562;3750;2689;1690;3180;1042;738;662;1165;574;612;488;122;71.0;2.0;32;32;34.0;11.0;15.0;6.0;19.0;8.0;0.0;;5.0;;7623.0
Waddinxveen-G0627;25;32;3739;2128;2319;1613;979;951;755;1588;353;557;1427;300;304;54;45.0;4.0;31;19;;11.0;2.0;10.0;19.0;3.0;1.0;;2.0;;2999.0
Wageningen-G0289;73;37;3232;1418;1853;5485;4760;1678;1775;1124;1040;378;233;92;270;37;118.0;23.0;20;11;8.0;14.0;15.0;11.0;8.0;10.0;4.0;8.0;1.0;;4213.0
Wassenaar-G0629;45;14;6331;1749;1843;1694;742;508;500;215;474;359;70;36;493;43;26.0;9.0;36;13;;6.0;9.0;5.0;2.0;3.0;8.0;;0.0;;2466.0
Waterland-G0852;25;17;3060;1391;1689;1484;1136;746;904;212;448;361;41;16;306;63;28.0;17.0;13;15;4.0;6.0;4.0;1.0;;6.0;;;;0.0;1527.0
Weert-G0988;94;56;6651;5395;4493;3389;1765;3651;1135;208;691;1452;34;735;708;131;79.0;9.0;63;39;;31.0;13.0;14.0;;17.0;3.0;;;;7818.0
Weesp-G0457;60;17;2714;1211;1119;1836;1407;827;802;175;449;459;48;316;176;57;49.0;20.0;25;14;5.0;9.0;8.0;11.0;;2.0;;;;;2371.0
Werkendam-G0870;24;28;3356;2629;3116;987;615;1216;576;1242;280;441;2093;11;258;70;20.0;3.0;18;21;9.0;6.0;5.0;5.0;20.0;1.0;2.0;;2.0;;3540.0
West Maas en Waal-G0668;31;8;3545;1931;1893;1158;671;1718;495;69;272;466;18;5;196;57;28.0;3.0;27;19;9.0;4.0;4.0;4.0;6.0;4.0;1.0;;1.0;;2279.0
Westerveld-G1701;17;18;3316;1267;1775;1348;1093;1217;1252;377;518;483;80;2;206;56;23.0;;20;20;5.0;;11.0;6.0;;5.0;4.0;;;;2385.0
Westervoort-G0293;13;24;1859;1484;1202;1186;803;1275;606;204;298;378;20;70;161;27;24.0;5.0;15;11;6.0;6.0;3.0;6.0;5.0;3.0;5.0;7.0;1.0;;2141.0
Westland-G1783;140;86;21812;11069;12452;5116;2624;2480;1866;1921;1349;1723;1049;517;2053;287;130.0;5.0;92;83;36.0;23.0;32.0;22.0;45.0;13.0;4.0;;6.0;;11855.0
Weststellingwerf-G0098;26;33;3294;2384;2668;1453;1247;2022;1301;425;459;604;83;43;266;55;50.0;;27;25;16.0;;116.0;6.0;;3.0;3.0;;;;3740.0
Westvoorne-G0614;16;17;3392;1591;1099;945;389;519;497;149;338;353;49;7;280;66;20.0;5.0;19;10;6.0;6.0;7.0;4.0;3.0;3.0;1.0;;1.0;;1771.0
Wierden-G0189;39;15;3750;1808;4853;1222;600;945;508;1264;158;306;630;18;216;41;18.0;0.0;12;15;15.0;5.0;4.0;7.0;;0.0;;;;;2222.0
Wijchen-G0296;48;34;6737;3770;3592;3340;1892;3315;1337;236;638;891;35;115;360;85;62.0;11.0;34;51;22.0;22.0;7.0;9.0;3.0;1.0;2.0;;1.0;;5108.0
Wijdemeren-G1696;37;21;5371;1660;2043;2005;1051;812;769;375;526;474;133;25;357;77;53.0;7.0;12;22;11.0;10.0;4.0;10.0;;1.0;;;;;2573.0
Wijk bij Duurstede-G0352;26;15;4051;2055;1983;1838;1336;1257;813;478;420;391;390;68;299;48;45.0;5.0;21;16;;5.0;7.0;6.0;5.0;4.0;1.0;9.0;0.0;;2706.0
Winsum-G0053;8;10;1080;585;1579;875;1128;1064;984;861;348;208;107;0;110;26;37.0;4.0;13;7;17.0;7.0;9.0;0.0;;2.0;0.0;;;;1373.0
Winterswijk-G0294;31;21;4174;1707;2835;2279;1572;2160;1482;363;369;618;64;155;276;94;39.0;5.0;16;38;10.0;9.0;10.0;3.0;10.0;9.0;3.0;11.0;1.0;;4064.0
Woensdrecht-G0873;33;11;3222;2725;1790;1053;599;1481;480;106;309;544;20;29;241;60;19.0;3.0;16;11;53.0;6.0;7.0;10.0;5.0;0.0;2.0;;2.0;;3320.0
Woerden-G0632;59;30;8462;3312;5176;4204;2597;1694;1720;1946;821;767;1238;444;567;127;81.0;22.0;50;46;;14.0;15.0;13.0;24.0;1.0;4.0;14.0;2.0;;5318.0
Wormerland-G0880;18;13;2694;1255;1034;1172;1101;1046;763;205;386;423;43;58;236;48;46.0;17.0;21;16;5.0;11.0;2.0;2.0;;4.0;;;;1.0;1919.0
Woudenberg-G0351;17;18;1736;765;1283;569;324;343;296;736;136;171;1612;16;105;23;22.0;2.0;5;4;;3.0;2.0;3.0;13.0;2.0;2.0;1.0;0.0;;1221.0
Woudrichem-G0874;15;10;1917;1221;2002;582;394;709;357;1331;184;227;463;1;161;48;19.0;2.0;4;12;8.0;3.0;1.0;1.0;18.0;1.0;1.0;;0.0;;1616.0
Zaanstad-G0479;355;138;17410;13188;6510;10379;9214;9308;6388;1676;3706;3710;363;4538;1824;433;375.0;631.0;134;161;98.0;92.0;57.0;65.0;;36.0;;;;41.0;22911.0
Zaltbommel-G0297;47;17;3489;1957;2213;1525;974;1189;776;1226;358;399;2520;160;287;49;37.0;6.0;23;12;8.0;6.0;6.0;1.0;7.0;4.0;0.0;;3.0;;3017.0
Zandvoort-G0473;37;20;3475;1769;815;1179;713;651;604;72;517;454;14;38;378;84;40.0;7.0;18;28;9.0;10.0;6.0;7.0;;6.0;;;;;2412.0
Zederik-G0707;22;6;1729;957;1937;506;320;446;413;1096;139;173;1400;2;88;35;15.0;1.0;11;10;1.0;6.0;2.0;8.0;11.0;0.0;0.0;;3.0;;1241.0
Zeewolde-G0050;26;17;3713;1743;1922;1300;760;787;431;1158;364;365;226;49;326;72;48.0;7.0;15;27;8.0;6.0;6.0;3.0;19.0;5.0;1.0;;;;2175.0
Zeist-G0355;117;55;9818;3753;3753;5963;4496;2154;2211;1472;1593;860;726;1001;606;111;128.0;56.0;44;30;;17.0;21.0;19.0;12.0;15.0;4.0;29.0;1.0;;7830.0
Zevenaar-G0299;54;30;4947;2778;3262;2487;1511;2527;1286;209;563;836;26;186;310;64;44.0;8.0;34;22;20.0;18.0;5.0;6.0;4.0;6.0;5.0;10.0;0.0;;4612.0
Zoetermeer-G0637;267;118;17595;12271;7424;9200;6209;5858;4424;2088;2601;3045;813;928;1896;328;369.0;251.0;204;99;;49.0;47.0;69.0;47.0;30.0;19.0;;13.0;;19144.0
Zoeterwoude-G0638;15;8;1450;613;946;766;467;329;278;97;191;189;44;22;129;17;11.0;2.0;9;9;;3.0;1.0;3.0;1.0;3.0;0.0;;1.0;;988.0
Zuidhorn-G0056;16;22;1726;823;2322;1316;1236;1203;902;1887;304;220;266;5;130;32;28.0;9.0;13;12;7.0;8.0;5.0;4.0;;6.0;1.0;;;;1672.0
Zuidplas-G1892;66;26;6951;3451;3234;2558;1503;1650;1156;1691;682;680;1934;247;596;127;75.0;15.0;47;32;;14.0;13.0;16.0;41.0;4.0;3.0;;3.0;;4741.0
Zundert-G0879;29;29;3746;2210;2364;1090;643;1337;412;70;279;468;26;40;226;48;19.0;3.0;55;19;36.0;5.0;8.0;2.0;1.0;3.0;0.0;;2.0;;3513.0
Zutphen-G0301;59;39;4971;2944;2799;4137;4005;3760;2517;910;1689;859;109;553;371;74;95.0;22.0;38;40;10.0;14.0;24.0;20.0;22.0;13.0;5.0;22.0;9.0;;6346.0
Zwartewaterland-G1896;28;12;1791;1363;2742;589;375;779;511;2334;145;258;2952;3;169;31;20.0;0.0;7;6;6.0;8.0;1.0;6.0;;1.0;;;;;2082.0
Zwijndrecht-G0642;75;47;5416;4630;3418;2244;1601;2375;1301;1583;731;1088;1221;753;552;130;71.0;26.0;52;20;17.0;8.0;8.0;11.0;47.0;7.0;6.0;;1.0;;6984.0
Zwolle-G0193;214;130;14074;6379;9060;11912;9374;6967;5700;8334;2727;1897;798;966;1121;198;330.0;69.0;85;78;43.0;62.0;44.0;37.0;;35.0;;;;;15072.0
