RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);CP;Gereformeerd Politiek Verbond (GPV);Evangelische Volkspartij;SP;Democratisch Socialisten '70;Rechtse Volkspartij;Rooms Katholieke Partij Nederland;God Met Ons;Nederlandse Volks Unie (NVU);Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;Kleine Partij;@abs
Voerendaal-G0986;11;;1561;3615;1436;490;131;7.0;52.0;180;25.0;12.0;8.0;8.0;27.0;36.0;11.0;47.0;37.0;;;;1855.0
Voorburg-G0624;164;;6085;7240;10331;1394;561;141.0;195.0;370;272.0;297.0;187.0;160.0;106.0;218.0;37.0;51.0;;;;;5235.0
Voorhout-G0625;43;;509;1820;1306;155;71;10.0;33.0;115;14.0;7.0;10.0;23.0;5.0;7.0;3.0;7.0;;;;;500.0
Voorschoten-G0626;109;;2532;3850;5143;764;269;99.0;58.0;227;128.0;76.0;53.0;97.0;42.0;102.0;13.0;9.0;;;;;1900.0
Voorst-G0285;46;;3689;5195;3504;654;190;208.0;109.0;182;123.0;25.0;22.0;84.0;12.0;43.0;52.0;26.0;2.0;;;;2390.0
Vorden-G0286;8;;1227;1786;1307;187;41;18.0;16.0;47;82.0;13.0;15.0;21.0;21.0;9.0;26.0;8.0;1.0;;;;602.0
Vries-G0133;19;;2267;719;2175;326;71;3.0;70.0;123;50.0;13.0;86.0;48.0;11.0;20.0;30.0;;;;;;887.0
Vriezenveen-G0186;27;;2821;4281;1212;307;52;432.0;17.0;72;1052.0;23.0;62.0;70.0;13.0;8.0;57.0;4.0;;;;;1524.0
Vught-G0865;57;;2940;5490;3566;688;266;9.0;113.0;246;19.0;45.0;24.0;36.0;82.0;62.0;49.0;29.0;6.0;;;;3349.0
Vuren-G0287;11;;580;509;446;76;13;38.0;11.0;21;43.0;6.0;4.0;10.0;3.0;7.0;4.0;;0.0;;;;214.0
Waalre-G0866;32;;1449;3507;2752;534;136;3.0;36.0;142;15.0;16.0;3.0;38.0;22.0;22.0;35.0;13.0;3.0;;;;1549.0
Waalwijk-G0867;68;;3874;5820;3846;689;271;62.0;161.0;232;113.0;69.0;20.0;62.0;98.0;54.0;108.0;30.0;4.0;;;;4248.0
Waddinxveen-G0627;69;;2942;3236;3335;608;143;1117.0;72.0;146;521.0;78.0;121.0;142.0;27.0;62.0;26.0;13.0;;;;;2034.0
Wageningen-G0289;68;;6594;4268;3976;1320;1215;438.0;433.0;1038;339.0;27.0;120.0;417.0;293.0;87.0;28.0;8.0;3.0;;;;3702.0
Wamel-G0290;26;;1405;2696;1237;226;91;9.0;24.0;68;10.0;10.0;6.0;7.0;30.0;10.0;26.0;12.0;0.0;;;;1031.0
Wanroij-G0868;11;;290;2000;391;80;38;1.0;6.0;31;1.0;;;4.0;11.0;2.0;4.0;16.0;0.0;;;;333.0
Warffum-G0049;1;;723;348;307;50;32;2.0;21.0;23;22.0;;31.0;9.0;2.0;2.0;2.0;;;;;;163.0
Warmenhuizen-G0456;12;;427;969;710;92;81;;30.0;66;12.0;14.0;5.0;7.0;4.0;10.0;5.0;2.0;;;;;347.0
Warmond-G0628;32;;501;1292;927;184;60;26.0;35.0;84;19.0;11.0;7.0;21.0;16.0;7.0;5.0;9.0;;;;;616.0
Warnsveld-G0291;14;;1481;1555;1411;235;81;13.0;29.0;121;56.0;13.0;19.0;46.0;14.0;21.0;16.0;7.0;2.0;;;;1080.0
Waspik-G0869;9;;704;1148;478;97;36;17.0;4.0;34;22.0;10.0;5.0;2.0;15.0;2.0;20.0;2.0;5.0;;;;498.0
Wassenaar-G0629;18;;1990;5160;7924;887;169;77.0;58.0;145;94.0;77.0;28.0;41.0;19.0;88.0;16.0;32.0;;;;;2454.0
Wateringen-G0630;1;;1130;3637;2487;308;108;21.0;45.0;91;64.0;63.0;16.0;56.0;40.0;40.0;15.0;22.0;;;;;1518.0
Weerselo-G0188;24;;345;4175;742;123;43;2.0;11.0;40;8.0;11.0;1.0;13.0;7.0;5.0;33.0;10.0;;;;;397.0
Weert-G0988;152;;5025;8330;4724;1031;358;12.0;95.0;225;47.0;90.0;10.0;21.0;92.0;89.0;83.0;55.0;27.0;;;;7181.0
Weesp-G0457;70;;3252;2327;2936;543;326;57.0;182.0;254;107.0;156.0;53.0;73.0;25.0;51.0;20.0;8.0;;;;6.0;2428.0
Wehl-G0292;17;;645;1875;633;182;32;;19.0;54;3.0;11.0;;;11.0;9.0;19.0;8.0;3.0;;;;920.0
Werkendam-G0870;30;;2239;3454;1648;257;85;1271.0;41.0;84;519.0;43.0;71.0;111.0;16.0;28.0;24.0;;3.0;;;;1819.0
Wervershoof-G0459;16;;639;2159;957;153;102;;41.0;77;20.0;23.0;;5.0;21.0;5.0;16.0;11.0;;;;;705.0
Wessem-G0989;10;;245;569;224;46;25;;4.0;9;4.0;;1.0;1.0;3.0;;2.0;1.0;3.0;;;;467.0
Westdongeradeel-G0097;11;;876;1819;537;60;32;49.0;54.0;28;123.0;;65.0;73.0;;5.0;8.0;4.0;;;;;458.0
Westerbork-G0134;8;;1889;1093;1286;197;61;54.0;23.0;54;69.0;10.0;27.0;48.0;8.0;4.0;18.0;2.0;;;;;406.0
Westerhoven-G0871;6;;181;588;153;46;19;;6.0;25;;1.0;;1.0;4.0;1.0;5.0;4.0;0.0;;;;124.0
Wester-Koggenland-G0558;49;;1388;2912;2164;329;194;9.0;106.0;119;21.0;30.0;2.0;17.0;16.0;25.0;13.0;28.0;;;;;1044.0
Westerschouwen-G0725;9;;1143;977;1436;175;30;160.0;15.0;40;98.0;19.0;23.0;39.0;10.0;15.0;7.0;2.0;;;;;
Westervoort-G0293;15;;1425;1619;1107;259;95;9.0;30.0;151;28.0;15.0;8.0;38.0;18.0;8.0;9.0;8.0;1.0;;;;855.0
Westkapelle-G0726;6;;559;493;432;47;16;225.0;4.0;11;46.0;3.0;4.0;20.0;1.0;2.0;2.0;;;;;;78.0
Westmaas-G0631;7;;289;379;438;75;22;49.0;4.0;16;13.0;13.0;7.0;8.0;4.0;3.0;2.0;;;;;;148.0
Weststellingwerf-G0098;73;;6717;3592;3258;580;202;18.0;259.0;224;224.0;26.0;38.0;65.0;30.0;61.0;43.0;9.0;;;;;2384.0
Westvoorne-G0614;31;;2545;1421;3343;430;80;62.0;90.0;66;69.0;72.0;13.0;36.0;27.0;34.0;18.0;3.0;;;;;1277.0
Wierden-G0189;50;;1793;7186;2130;376;59;479.0;37.0;118;887.0;19.0;35.0;108.0;16.0;13.0;28.0;15.0;;;;;1281.0
