RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);CP;Gereformeerd Politiek Verbond (GPV);Evangelische Volkspartij;SP;Democratisch Socialisten '70;Rechtse Volkspartij;Rooms Katholieke Partij Nederland;God Met Ons;Nederlandse Volks Unie (NVU);Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;Kleine Partij;@abs
Aalburg-G0738;19;;879;1840;1002;133;27;1448.0;20.0;35;308.0;15.0;30.0;31.0;8.0;10.0;14.0;;4.0;;;;989.0
Aalsmeer-G0358;82;;2572;4011;4128;541;207;75.0;89.0;160;312.0;57.0;30.0;83.0;34.0;48.0;26.0;3.0;;;;3.0;1969.0
Aalten-G0197;48;;1989;5849;1592;275;104;21.0;19.0;178;261.0;19.0;48.0;244.0;25.0;17.0;27.0;10.0;2.0;;;;1736.0
Aardenburg-G0648;11;;454;875;642;116;25;6.0;8.0;19;4.0;5.0;3.0;9.0;8.0;4.0;7.0;2.0;;;;;460.0
Aarle-Rixtel-G0739;16;;650;1491;569;144;59;;24.0;48;1.0;3.0;;1.0;12.0;7.0;9.0;5.0;2.0;;;;632.0
Abcoude-G0305;18;;864;1506;1831;238;109;65.0;56.0;69;46.0;26.0;39.0;63.0;4.0;19.0;6.0;4.0;;;;;604.0
Achtkarspelen-G0059;68;;5810;6170;1599;254;126;158.0;133.0;135;839.0;15.0;545.0;268.0;28.0;29.0;34.0;8.0;;;;;1952.0
Adorp-G0001;2;;282;378;239;55;16;;7.0;48;31.0;2.0;114.0;19.0;;2.0;4.0;;;;;;74.0
Aduard-G0002;3;;559;520;320;56;25;4.0;19.0;24;22.0;6.0;178.0;38.0;;3.0;3.0;;;;;;178.0
Akersloot-G0360;11;;577;1131;809;167;78;;25.0;74;14.0;7.0;8.0;8.0;19.0;16.0;10.0;2.0;;;;;415.0
Alblasserdam-G0482;43;;4023;1921;1562;372;181;1022.0;102.0;92;380.0;70.0;81.0;53.0;30.0;26.0;15.0;4.0;;;;;1918.0
Alkemade-G0483;34;;1017;3539;2179;270;151;20.0;28.0;192;34.0;39.0;;27.0;35.0;24.0;14.0;16.0;;;;;1368.0
Alkmaar-G0361;230;;14288;9849;11123;2152;1959;56.0;1386.0;1070;387.0;628.0;139.0;212.0;361.0;196.0;122.0;61.0;;;;;11395.0
Almelo-G0141;158;;13803;10082;6393;1450;395;144.0;699.0;483;531.0;225.0;181.0;191.0;234.0;91.0;134.0;49.0;;;;;7714.0
Alphen aan den Rijn-G0484;210;;6697;8254;8790;1491;505;592.0;246.0;692;799.0;178.0;127.0;465.0;133.0;91.0;47.0;54.0;;;;;6573.0
Alphen en Riel-G0741;15;;400;1874;779;138;37;1.0;11.0;38;2.0;8.0;;1.0;5.0;8.0;11.0;6.0;2.0;;;;615.0
Ambt Delden-G0142;19;;343;2294;674;79;16;4.0;4.0;26;4.0;6.0;2.0;11.0;3.0;3.0;19.0;3.0;;;;;275.0
Ameide-G0485;14;;542;705;256;51;13;170.0;6.0;20;86.0;10.0;10.0;5.0;1.0;7.0;4.0;;;;;;120.0
Ameland-G0060;6;;671;1039;602;84;47;3.0;10.0;37;28.0;2.0;35.0;23.0;2.0;4.0;12.0;3.0;;;;;
Amerongen-G0306;21;;990;1136;1088;107;34;389.0;11.0;32;107.0;16.0;12.0;34.0;11.0;15.0;20.0;1.0;;;;;550.0
Amersfoort-G0307;190;;14953;13987;12890;2307;1158;708.0;750.0;820;704.0;312.0;1521.0;526.0;178.0;255.0;175.0;78.0;;;;;11574.0
Ammerstol-G0486;10;;595;85;219;64;16;16.0;39.0;6;6.0;4.0;;7.0;2.0;2.0;3.0;;;;;;91.0
Ammerzoden-G0198;9;;452;1219;441;74;21;52.0;12.0;17;25.0;8.0;4.0;9.0;17.0;4.0;6.0;4.0;0.0;;;;423.0
Amstelveen-G0362;170;;10815;10387;16650;2363;1347;110.0;654.0;944;373.0;332.0;93.0;409.0;79.0;320.0;48.0;38.0;;;;8.0;8093.0
Amsterdam-G0363;1439;;155417;49076;75298;14262;20460;545.0;32896.0;7319;1842.0;10716.0;563.0;1761.0;1482.0;2633.0;826.0;444.0;;971.0;250.0;;138723.0
Andijk-G0364;18;;754;1234;652;106;92;39.0;99.0;35;179.0;15.0;7.0;53.0;10.0;18.0;34.0;4.0;;;;;587.0
Angerlo-G0199;5;;758;1074;505;149;32;1.0;14.0;43;3.0;9.0;;8.0;5.0;3.0;10.0;8.0;0.0;;;;372.0
Anloo-G0105;16;;2053;282;1621;210;92;1.0;65.0;55;15.0;7.0;18.0;20.0;11.0;10.0;11.0;2.0;;;;;534.0
Anna Paulowna-G0366;36;;1318;1655;2234;236;60;12.0;58.0;83;56.0;23.0;45.0;17.0;6.0;36.0;10.0;4.0;;;;;1098.0
Apeldoorn-G0200;231;;25395;22835;22519;3821;1279;1933.0;550.0;1318;1757.0;356.0;449.0;799.0;297.0;280.0;289.0;69.0;26.0;;;;18065.0
Appeltern-G0201;9;;461;1576;360;86;38;4.0;9.0;32;5.0;9.0;2.0;4.0;14.0;4.0;16.0;6.0;0.0;;;;353.0
Appingedam-G0003;41;;3593;1827;1139;259;104;17.0;241.0;71;119.0;24.0;122.0;88.0;38.0;21.0;9.0;3.0;;;;;1495.0
Arcen en Velden-G0885;14;;688;2497;1078;197;98;;26.0;53;;3.0;1.0;7.0;21.0;3.0;7.0;14.0;1.0;;;;973.0
Arkel-G0487;6;;942;334;478;78;29;15.0;15.0;15;32.0;16.0;1.0;11.0;3.0;4.0;7.0;;;;;;261.0
Arnemuiden-G0649;13;;425;436;339;58;13;558.0;11.0;11;283.0;5.0;13.0;21.0;4.0;7.0;1.0;;;;;;478.0
Arnhem-G0202;234;;27339;17528;16813;3181;2242;175.0;1154.0;1534;568.0;520.0;311.0;562.0;752.0;264.0;174.0;99.0;31.0;;;;22685.0
Asperen-G0488;0;;367;477;342;89;19;131.0;5.0;17;84.0;17.0;14.0;15.0;2.0;1.0;3.0;3.0;;;;;247.0
Assen-G0106;128;;11726;5135;5567;1181;478;56.0;380.0;595;359.0;100.0;1388.0;368.0;84.0;70.0;73.0;20.0;;;;;5235.0
Asten-G0743;25;;1108;4552;1532;372;170;5.0;44.0;107;11.0;8.0;3.0;9.0;37.0;8.0;21.0;16.0;19.0;;;;1598.0
Avereest-G0143;33;;2004;3569;1705;308;65;66.0;30.0;67;258.0;16.0;113.0;70.0;21.0;21.0;47.0;8.0;;;;;1272.0
Axel-G0650;44;;1770;2161;1446;263;80;111.0;33.0;55;70.0;19.0;593.0;41.0;19.0;12.0;16.0;19.0;;;;;1706.0
Baarderadeel-G0061;10;;1229;779;844;116;58;;17.0;50;15.0;3.0;11.0;16.0;13.0;8.0;7.0;;;;;;386.0
Baarle-Nassau-G0744;20;;451;1769;677;123;40;2.0;11.0;36;12.0;1.0;3.0;3.0;13.0;6.0;4.0;7.0;1.0;;;;754.0
Baarn-G0308;64;;3631;3836;5026;626;395;202.0;133.0;293;339.0;76.0;84.0;142.0;69.0;50.0;30.0;17.0;;;;;3089.0
Baexem-G0886;4;;166;849;268;52;13;;5.0;12;;1.0;;;;3.0;2.0;2.0;1.0;;;;215.0
Baflo-G0004;4;;568;651;343;50;42;2.0;16.0;39;25.0;1.0;97.0;27.0;7.0;4.0;4.0;;;;;;192.0
Bakel en Milheeze-G0745;20;;589;2482;603;111;63;1.0;24.0;41;4.0;6.0;1.0;8.0;7.0;4.0;16.0;6.0;2.0;;;;1149.0
Barendrecht-G0489;27;;2408;3270;3213;526;124;771.0;57.0;138;358.0;117.0;95.0;165.0;18.0;42.0;19.0;5.0;;;;;1645.0
Barneveld-G0203;54;;2354;8220;4740;461;98;3518.0;49.0;151;1480.0;66.0;128.0;272.0;35.0;32.0;85.0;5.0;10.0;;;;3037.0
Barradeel-G0062;19;;1098;1925;660;94;29;8.0;26.0;27;101.0;8.0;35.0;42.0;6.0;13.0;7.0;7.0;;;;;586.0
Barsingerhorn-G0369;9;;984;243;674;74;60;5.0;56.0;33;9.0;17.0;1.0;1.0;3.0;6.0;3.0;1.0;;;;;480.0
Batenburg-G0204;2;;69;193;49;10;8;;2.0;14;2.0;;;;8.0;1.0;2.0;2.0;0.0;;;;60.0
Bathmen-G0144;8;;817;738;1282;207;33;;10.0;35;11.0;3.0;8.0;21.0;5.0;7.0;16.0;1.0;;;;;355.0
Bedum-G0005;21;;1500;2292;845;221;65;14.0;44.0;84;150.0;8.0;773.0;119.0;16.0;7.0;16.0;3.0;;;;;552.0
Beegden-G0887;6;;210;440;211;56;21;;4.0;12;;3.0;;;6.0;4.0;2.0;3.0;0.0;;;;235.0
Beek-G0888;77;;2173;3625;2307;509;157;3.0;56.0;168;16.0;22.0;1.0;11.0;28.0;39.0;31.0;34.0;26.0;;;;2526.0
Beek en Donk-G0746;17;;928;2313;779;199;74;2.0;121.0;100;2.0;15.0;;3.0;21.0;15.0;20.0;6.0;4.0;;;;1325.0
Beemster-G0370;28;;1277;1226;1783;199;128;9.0;86.0;68;17.0;25.0;4.0;20.0;10.0;23.0;13.0;6.0;;;;;703.0
Beers-G0747;9;;216;1165;269;60;35;;3.0;42;1.0;2.0;;1.0;12.0;2.0;7.0;5.0;0.0;;;;220.0
Beerta-G0006;15;;852;85;261;17;31;5.0;827.0;17;13.0;1.0;6.0;3.0;4.0;4.0;4.0;1.0;;;;;244.0
Beesel-G0889;65;;1271;3051;1038;285;126;2.0;40.0;57;13.0;16.0;6.0;3.0;23.0;13.0;41.0;10.0;11.0;;;;1988.0
Beilen-G0107;20;;3463;2397;1810;310;80;22.0;51.0;101;82.0;14.0;185.0;121.0;18.0;24.0;33.0;10.0;;;;;1054.0
Belfeld-G0890;20;;515;1332;476;149;35;1.0;11.0;33;;5.0;;1.0;8.0;7.0;9.0;6.0;2.0;;;;777.0
Bellingwedde-G0007;35;;3554;708;1044;164;87;8.0;469.0;39;124.0;11.0;8.0;29.0;11.0;9.0;15.0;2.0;;;;;873.0
Bemmel-G0206;39;;1954;4244;1617;383;166;8.0;41.0;121;11.0;15.0;4.0;10.0;30.0;8.0;30.0;24.0;3.0;;;;2055.0
Bennebroek-G0372;60;;474;1202;1505;213;78;6.0;30.0;94;34.0;17.0;8.0;38.0;9.0;18.0;4.0;5.0;;;;0.0;549.0
Benschop-G0309;8;;172;830;378;53;17;330.0;2.0;14;66.0;6.0;4.0;8.0;5.0;4.0;5.0;6.0;;;;;208.0
Benthuizen-G0490;11;;319;355;461;91;17;361.0;7.0;15;100.0;7.0;7.0;8.0;2.0;3.0;2.0;;;;;;246.0
Bergambacht-G0491;23;;880;719;834;130;28;479.0;22.0;22;115.0;17.0;3.0;13.0;1.0;9.0;7.0;;;;;;438.0
Bergen-G0373;44;;2085;2216;3407;435;305;6.0;97.0;219;42.0;62.0;9.0;35.0;19.0;41.0;18.0;11.0;;;;;1381.0
Bergen-G0893;32;;1315;4155;1310;304;100;1.0;23.0;81;10.0;17.0;2.0;5.0;24.0;12.0;12.0;11.0;4.0;;;;1706.0
Bergen op Zoom-G0748;97;;6402;6987;8436;948;452;25.0;179.0;339;72.0;160.0;36.0;72.0;140.0;117.0;60.0;33.0;11.0;;;;7245.0
Bergeyk-G0749;23;;812;3052;1157;207;82;3.0;17.0;107;6.0;11.0;4.0;9.0;23.0;6.0;23.0;11.0;3.0;;;;1037.0
Bergh-G0207;57;;2472;4984;1911;358;132;20.0;51.0;133;18.0;19.0;5.0;18.0;26.0;22.0;78.0;45.0;1.0;;;;2479.0
Bergharen-G0208;4;;225;862;275;55;31;2.0;2.0;22;5.0;2.0;3.0;6.0;8.0;1.0;5.0;4.0;1.0;;;;186.0
Berghem-G0750;16;;989;1153;463;167;53;;12.0;21;3.0;5.0;3.0;2.0;111.0;6.0;35.0;4.0;1.0;;;;716.0
Bergschenhoek-G0492;43;;726;1404;1241;146;34;72.0;26.0;48;105.0;63.0;86.0;44.0;5.0;13.0;10.0;10.0;;;;;707.0
Berkel en Rodenrijs-G0493;66;;1176;3429;2534;430;95;44.0;38.0;90;133.0;64.0;603.0;95.0;22.0;25.0;12.0;13.0;;;;;1148.0
Berkel-Enschot-G0751;22;;786;2572;1657;304;129;3.0;23.0;168;9.0;9.0;12.0;9.0;10.0;21.0;6.0;7.0;1.0;;;;753.0
Berkenwoude-G0494;0;;167;156;331;49;6;144.0;1.0;13;31.0;3.0;;6.0;2.0;4.0;2.0;;;;;;63.0
Berlicum-G0752;24;;1097;2147;953;219;85;1.0;15.0;70;8.0;7.0;1.0;6.0;48.0;10.0;14.0;2.0;0.0;;;;1034.0
Bernisse-G0568;24;;2217;1657;2342;411;94;137.0;78.0;73;75.0;58.0;20.0;53.0;19.0;23.0;18.0;3.0;;;;;1247.0
Best-G0753;55;;2592;4163;2246;550;163;5.0;56.0;178;37.0;38.0;24.0;35.0;59.0;30.0;49.0;25.0;5.0;;;;2828.0
Beuningen-G0209;35;;2200;3828;1839;518;189;10.0;44.0;207;43.0;24.0;11.0;13.0;60.0;18.0;38.0;22.0;7.0;;;;2000.0
Beverwijk-G0375;129;;7162;5387;4653;939;744;35.0;791.0;412;154.0;214.0;58.0;66.0;67.0;91.0;56.0;38.0;;;;5.0;5277.0
Bierum-G0008;8;;744;1128;436;95;19;11.0;35.0;38;28.0;5.0;32.0;52.0;10.0;7.0;4.0;3.0;;;;;362.0
Bladel en Netersel-G0754;27;;801;2696;922;222;135;2.0;46.0;75;8.0;15.0;2.0;11.0;15.0;11.0;9.0;13.0;2.0;;;;1383.0
Blaricum-G0376;33;;1287;1637;2796;436;195;11.0;59.0;128;48.0;27.0;14.0;29.0;9.0;30.0;19.0;9.0;;;;0.0;1089.0
Bleiswijk-G0495;26;;731;1562;1535;241;41;179.0;27.0;42;117.0;30.0;26.0;53.0;6.0;10.0;6.0;1.0;;;;;678.0
Bleskensgraaf en Hofwegen-G0496;8;;244;426;264;55;7;358.0;5.0;11;68.0;7.0;12.0;7.0;2.0;5.0;2.0;;;;;;139.0
Bloemendaal-G0377;81;;1715;3134;5365;566;269;33.0;85.0;169;87.0;36.0;48.0;102.0;17.0;84.0;10.0;23.0;;;;0.0;1671.0
Bodegraven-G0497;54;;1725;3372;2655;410;124;484.0;54.0;147;327.0;56.0;87.0;147.0;18.0;34.0;21.0;11.0;;;;;1643.0
Boekel-G0755;32;;696;2867;761;178;109;;29.0;62;3.0;12.0;1.0;5.0;26.0;15.0;19.0;11.0;1.0;;;;915.0
Bolsward-G0064;24;;1877;2503;899;172;67;12.0;32.0;106;89.0;5.0;15.0;71.0;10.0;18.0;3.0;10.0;;;;;1016.0
Borculo-G0211;24;;2153;1759;1738;310;82;3.0;39.0;80;37.0;7.0;13.0;19.0;7.0;17.0;24.0;4.0;1.0;;;;827.0
Borger-G0108;43;;3993;1590;1715;285;109;3.0;121.0;109;90.0;8.0;64.0;91.0;17.0;25.0;13.0;6.0;;;;;718.0
Born-G0897;64;;1787;3664;1229;465;130;2.0;69.0;126;7.0;30.0;3.0;7.0;17.0;13.0;22.0;24.0;47.0;;;;1816.0
Borne-G0147;37;;3179;5303;2080;488;94;17.0;61.0;222;63.0;15.0;26.0;46.0;41.0;27.0;29.0;37.0;;;;;1371.0
Borsele-G0654;28;;2186;4336;2469;449;115;1178.0;52.0;233;229.0;34.0;61.0;71.0;13.0;30.0;39.0;22.0;;;;;2060.0
Boskoop-G0499;66;;1355;2731;2433;375;197;285.0;50.0;195;262.0;46.0;16.0;77.0;25.0;25.0;14.0;11.0;;;;;1235.0
Boxmeer-G0756;31;;1941;3997;1295;371;209;1.0;49.0;159;17.0;13.0;2.0;30.0;123.0;24.0;20.0;20.0;0.0;;;;1413.0
Boxtel-G0757;58;;3386;4967;2699;698;318;4.0;66.0;220;17.0;54.0;14.0;45.0;636.0;37.0;51.0;22.0;9.0;;;;3455.0
Brakel-G0212;21;;1020;905;447;103;35;929.0;11.0;20;145.0;9.0;10.0;10.0;13.0;9.0;7.0;3.0;2.0;;;;605.0
Brandwijk-G0500;1;;113;254;127;20;6;121.0;;7;31.0;1.0;5.0;3.0;;3.0;2.0;2.0;;;;;60.0
Breda-G0758;324;;20856;19355;16418;3170;2102;112.0;777.0;1197;176.0;532.0;66.0;197.0;339.0;298.0;218.0;161.0;57.0;;;;22401.0
Brederwiede-G0194;35;;2183;2565;1366;263;53;48.0;41.0;72;180.0;5.0;539.0;61.0;9.0;13.0;17.0;5.0;;;;;768.0
Breukelen-G0311;27;;1129;1855;2144;287;80;330.0;51.0;135;178.0;33.0;41.0;52.0;17.0;29.0;12.0;7.0;;;;;1025.0
Brielle-G0501;23;;2952;1635;3202;498;175;56.0;49.0;88;79.0;88.0;17.0;50.0;32.0;63.0;17.0;6.0;;;;;1620.0
Broek in Waterland-G0380;14;;458;336;595;85;71;3.0;37.0;31;23.0;13.0;;13.0;3.0;10.0;5.0;;;;;;228.0
Broekhuizen-G0898;5;;140;619;205;32;26;1.0;3.0;7;3.0;1.0;;;2.0;;2.0;1.0;0.0;;;;182.0
Brouwershaven-G0656;10;;871;319;710;101;18;69.0;18.0;27;36.0;6.0;83.0;19.0;4.0;8.0;3.0;;;;;;330.0
Bruinisse-G0657;11;;510;505;526;56;16;373.0;5.0;7;52.0;7.0;6.0;24.0;3.0;3.0;2.0;;;;;;194.0
Brummen-G0213;47;;5334;2554;2820;638;169;37.0;70.0;161;103.0;23.0;22.0;93.0;20.0;28.0;31.0;6.0;4.0;;;;1987.0
Brunssum-G0899;117;;6386;5862;2214;651;313;8.0;356.0;392;88.0;28.0;67.0;52.0;191.0;47.0;27.0;111.0;82.0;;;;5217.0
Budel-G0759;31;;1359;3058;1052;267;85;;14.0;45;10.0;11.0;;4.0;55.0;13.0;19.0;9.0;1.0;;;;1962.0
Bunnik-G0312;18;;1499;2885;2572;425;222;130.0;41.0;232;94.0;29.0;19.0;72.0;30.0;34.0;17.0;12.0;;;;;966.0
Bunschoten-G0313;35;;711;3340;1610;197;40;297.0;23.0;24;953.0;21.0;2631.0;45.0;10.0;9.0;43.0;2.0;;;;;968.0
Buren-G0214;22;;2063;1079;1692;242;63;131.0;25.0;64;59.0;17.0;9.0;24.0;13.0;8.0;20.0;6.0;0.0;;;;785.0
Bussum-G0381;35;;4464;5598;7548;1250;857;146.0;256.0;260;246.0;101.0;121.0;123.0;39.0;151.0;39.0;57.0;;;;3.0;4992.0
Callantsoog-G0382;14;;506;253;718;70;27;3.0;27.0;16;6.0;3.0;6.0;5.0;5.0;7.0;1.0;2.0;;;;;159.0
Capelle aan den IJssel-G0502;206;;9854;3773;7684;1369;517;1720.0;313.0;239;374.0;590.0;513.0;170.0;190.0;126.0;55.0;12.0;;;;;7748.0
Castricum-G0383;72;;3198;3994;4485;845;409;9.0;171.0;512;50.0;67.0;13.0;83.0;26.0;81.0;24.0;18.0;;;;;2139.0
Chaam-G0760;8;;418;1130;472;115;28;;8.0;27;5.0;8.0;4.0;3.0;5.0;3.0;11.0;4.0;1.0;;;;229.0
Coevorden-G0109;28;;3314;2843;1425;328;106;3.0;37.0;68;98.0;13.0;26.0;34.0;13.0;14.0;26.0;5.0;;;;;1434.0
Cothen-G0314;6;;185;702;340;49;20;28.0;6.0;12;6.0;2.0;3.0;3.0;4.0;1.0;1.0;3.0;;;;;186.0
Cuijk en Sint Agatha-G0761;42;;2315;3252;1673;487;187;3.0;52.0;188;13.0;37.0;5.0;22.0;105.0;32.0;28.0;8.0;5.0;;;;2229.0
Culemborg-G0216;41;;3748;2894;2561;482;196;183.0;161.0;261;97.0;148.0;23.0;75.0;92.0;48.0;41.0;19.0;2.0;;;;2204.0
Dalen-G0110;7;;1391;728;1286;138;17;2.0;25.0;22;19.0;6.0;8.0;8.0;5.0;3.0;13.0;2.0;;;;;289.0
Dalfsen-G0148;22;;1236;4722;1606;303;37;48.0;16.0;92;155.0;13.0;615.0;71.0;14.0;10.0;41.0;7.0;;;;;886.0
Dantumadeel-G0065;53;;3413;4180;1367;269;91;702.0;69.0;83;748.0;8.0;239.0;178.0;15.0;21.0;34.0;3.0;;;;;1634.0
De Bilt-G0310;76;;4701;5059;7641;1183;357;264.0;187.0;420;298.0;83.0;245.0;324.0;72.0;107.0;30.0;35.0;;;;;2968.0
De Lier-G0552;11;;551;2699;1646;176;31;35.0;20.0;38;49.0;29.0;103.0;71.0;21.0;23.0;12.0;4.0;;;;;695.0
De Wijk-G0135;4;;964;729;1060;137;28;3.0;15.0;23;15.0;12.0;25.0;9.0;5.0;6.0;17.0;1.0;;;;;366.0
Delft-G0503;184;;18065;11589;11554;2828;2268;606.0;1829.0;1378;606.0;388.0;306.0;545.0;207.0;336.0;85.0;97.0;;;;;12608.0
Delfzijl-G0010;48;;6484;2548;2544;521;237;15.0;389.0;176;310.0;91.0;243.0;211.0;86.0;56.0;29.0;8.0;;;;;3606.0
Den Dungen-G0768;7;;522;1337;375;102;23;;7.0;38;;1.0;;2.0;16.0;4.0;12.0;10.0;0.0;;;;378.0
Den Ham-G0159;44;;2020;4135;878;193;45;60.0;21.0;57;519.0;2.0;320.0;82.0;7.0;8.0;67.0;5.0;;;;;1062.0
Den Helder-G0400;153;;9928;6936;12822;1373;622;174.0;322.0;484;645.0;245.0;292.0;142.0;114.0;173.0;105.0;28.0;;;;;11118.0
Denekamp-G0149;33;;1033;4686;1226;247;53;4.0;19.0;65;10.0;21.0;11.0;10.0;18.0;10.0;20.0;13.0;;;;;772.0
Deurne-G0762;64;;2682;7537;3056;621;263;8.0;147.0;303;12.0;24.0;4.0;20.0;75.0;35.0;102.0;51.0;13.0;;;;4361.0
Deventer-G0150;204;;17669;7125;7197;1794;1043;80.0;900.0;881;318.0;179.0;119.0;254.0;140.0;114.0;110.0;46.0;;;;;7629.0
Didam-G0218;36;;2381;4324;1386;360;91;2.0;36.0;204;10.0;15.0;3.0;13.0;24.0;14.0;59.0;9.0;2.0;;;;1594.0
Diemen-G0384;58;;2982;1719;2668;449;360;17.0;263.0;173;58.0;193.0;25.0;39.0;19.0;71.0;24.0;11.0;;;;3.0;1930.0
Diepenheim-G0151;7;;691;403;547;99;22;4.0;8.0;10;5.0;5.0;;6.0;8.0;3.0;4.0;2.0;;;;;136.0
Diepenveen-G0152;19;;1528;2799;1810;348;77;10.0;36.0;90;38.0;10.0;9.0;69.0;9.0;11.0;30.0;6.0;;;;;661.0
Diessen-G0763;6;;188;1363;340;68;23;;10.0;43;;4.0;;;7.0;1.0;3.0;11.0;1.0;;;;360.0
Diever-G0111;3;;888;545;655;81;38;3.0;18.0;32;25.0;1.0;22.0;22.0;5.0;7.0;12.0;3.0;;;;;151.0
Dinteloord en Prinsenland-G0764;13;;1050;1049;694;108;37;226.0;16.0;29;121.0;19.0;1.0;16.0;12.0;10.0;5.0;6.0;2.0;;;;650.0
Dinxperlo-G0219;17;;898;2184;795;117;30;6.0;15.0;50;61.0;1.0;6.0;53.0;3.0;11.0;11.0;2.0;1.0;;;;1028.0
Dirksland-G0504;38;;1213;797;648;106;30;1141.0;23.0;30;155.0;11.0;20.0;6.0;13.0;9.0;13.0;6.0;;;;;691.0
Dodewaard-G0220;3;;876;590;435;85;14;274.0;7.0;20;63.0;;3.0;7.0;5.0;1.0;5.0;1.0;2.0;;;;355.0
Doesburg-G0221;36;;2499;1622;1138;233;86;13.0;44.0;88;51.0;19.0;33.0;35.0;84.0;14.0;11.0;11.0;5.0;;;;1191.0
Doetinchem-G0222;81;;7841;6700;4895;1040;426;190.0;148.0;491;190.0;61.0;61.0;145.0;74.0;91.0;56.0;35.0;4.0;;;;4817.0
Dokkum-G0066;23;;1578;3596;973;163;53;77.0;29.0;118;261.0;9.0;182.0;297.0;14.0;22.0;7.0;5.0;;;;;917.0
Domburg-G0660;17;;579;820;812;104;32;249.0;8.0;30;81.0;12.0;35.0;40.0;3.0;10.0;5.0;6.0;;;;;19.0
Dongen-G0766;10;;2766;4413;2265;701;208;18.0;73.0;164;38.0;33.0;10.0;37.0;299.0;75.0;35.0;11.0;3.0;;;;3071.0
Doniawerstal-G0067;13;;924;1807;742;159;31;20.0;18.0;55;34.0;1.0;8.0;29.0;4.0;5.0;9.0;;;;;;489.0
Doorn-G0315;29;;1169;1736;2558;335;133;260.0;31.0;92;158.0;22.0;38.0;67.0;13.0;36.0;9.0;3.0;;;;;1276.0
Dordrecht-G0505;292;;23327;11424;14167;2478;1478;1724.0;969.0;819;1240.0;883.0;343.0;593.0;310.0;239.0;139.0;65.0;;;;;17543.0
Drechterland-G0498;20;;885;2054;1305;223;110;6.0;48.0;82;23.0;34.0;;9.0;19.0;10.0;16.0;22.0;;;;;769.0
Dreumel-G0224;8;;483;901;377;107;22;;9.0;19;3.0;5.0;;1.0;14.0;4.0;6.0;7.0;0.0;;;;346.0
Driebergen-Rijsenburg-G0316;47;;2262;2913;3421;429;202;466.0;81.0;203;242.0;31.0;108.0;233.0;14.0;40.0;27.0;17.0;;;;;1675.0
Driebruggen-G0506;15;;227;1031;624;74;17;319.0;5.0;17;77.0;12.0;3.0;17.0;5.0;11.0;9.0;;;;;;306.0
Dronten-G0303;32;;2540;3883;3231;465;132;116.0;124.0;203;393.0;50.0;246.0;189.0;40.0;35.0;42.0;8.0;4.0;;;;1774.0
Drunen-G0767;38;;1809;3776;1930;420;145;11.0;70.0;139;17.0;46.0;7.0;16.0;56.0;37.0;61.0;9.0;8.0;;;;1794.0
Druten-G0225;33;;2122;2662;1171;322;120;8.0;53.0;127;8.0;23.0;;10.0;70.0;15.0;29.0;10.0;1.0;;;;1896.0
Duiveland-G0662;6;;813;542;686;84;20;818.0;14.0;14;126.0;7.0;9.0;13.0;3.0;10.0;2.0;2.0;;;;;468.0
Duiven-G0226;25;;1305;2730;1495;298;90;1.0;32.0;103;10.0;15.0;15.0;23.0;23.0;19.0;23.0;11.0;1.0;;;;1084.0
Dussen-G0769;13;;740;1472;675;168;32;116.0;20.0;30;68.0;19.0;15.0;20.0;19.0;13.0;29.0;9.0;3.0;;;;646.0
Dwingeloo-G0112;8;;1070;536;745;103;30;5.0;17.0;20;28.0;3.0;8.0;8.0;3.0;8.0;8.0;;;;;;77.0
Echt-G0902;118;;2517;4227;1675;466;318;2.0;74.0;145;9.0;18.0;8.0;6.0;46.0;30.0;58.0;35.0;60.0;;;;2848.0
Echteld-G0227;10;;1481;731;816;111;17;528.0;8.0;22;64.0;5.0;5.0;6.0;7.0;3.0;10.0;;0.0;;;;421.0
Edam-Volendam-G0385;78;;2240;6434;3307;406;132;2.0;113.0;227;21.0;87.0;3.0;35.0;22.0;55.0;46.0;25.0;;;;;2690.0
Ede-G0228;106;;8293;15224;13297;1735;433;5782.0;217.0;813;2127.0;170.0;365.0;692.0;251.0;148.0;307.0;41.0;15.0;;;;9141.0
Eelde-G0113;15;;2362;992;2301;425;99;7.0;43.0;120;38.0;9.0;25.0;54.0;6.0;49.0;16.0;1.0;;;;;708.0
Eemnes-G0317;9;;765;1270;1335;215;116;51.0;34.0;65;71.0;15.0;9.0;41.0;9.0;20.0;14.0;3.0;;;;;564.0
Eenrum-G0011;6;;846;172;302;65;33;1.0;29.0;48;7.0;;61.0;3.0;6.0;1.0;;1.0;;;;;173.0
Eersel-G0770;26;;865;3313;1537;327;172;2.0;29.0;119;5.0;15.0;3.0;12.0;13.0;15.0;32.0;12.0;0.0;;;;1525.0
Egmond-G0357;45;;1935;1977;1821;254;149;5.0;93.0;107;39.0;58.0;9.0;33.0;16.0;19.0;15.0;12.0;;;;;1217.0
Eibergen-G0229;28;;2485;4984;1626;388;141;3.0;51.0;163;37.0;15.0;18.0;35.0;69.0;9.0;32.0;32.0;1.0;;;;1220.0
