RegioNaam;@invalid;@blank;PvdA;KVP;ARP;CHU;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;SGP;Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond;@abs
Boxmeer-G0756;0;;501.0;2765.0;7.0;42.0;24.0;14.0;356.0;1.0;;;3.0;;;174.0
Boxtel-G0757;0;;1036.0;4996.0;57.0;53.0;85.0;61.0;259.0;10.0;8.0;6.0;33.0;3.0;;533.0
Brakel-G0212;0;;336.0;1.0;71.0;126.0;34.0;4.0;6.0;431.0;;;;3.0;;157.0
Brandwijk-G0500;0;;74.0;;215.0;33.0;70.0;;;119.0;3.0;1.0;;;;38.0
Breda-G0758;0;;10837.0;25039.0;1358.0;1217.0;2440.0;932.0;4182.0;90.0;67.0;85.0;257.0;37.0;;4037.0
Breskens-G0655;0;;962.0;131.0;104.0;311.0;229.0;32.0;7.0;15.0;3.0;69.0;7.0;2.0;;208.0
Breukelen-G0311;0;;389.0;608.0;520.0;616.0;291.0;33.0;87.0;238.0;47.0;5.0;14.0;1.0;1.0;189.0
Brielle-G0501;0;;879.0;178.0;226.0;362.0;418.0;44.0;4.0;11.0;1.0;;2.0;35.0;;101.0
Broek in Waterland-G0380;0;;348.0;33.0;82.0;195.0;207.0;31.0;3.0;6.0;;1.0;4.0;6.0;53.0;72.0
Broekhuizen-G0898;0;;16.0;544.0;1.0;;3.0;;8.0;;1.0;;;;;7.0
Brouwershaven-G0656;0;;319.0;3.0;148.0;39.0;141.0;2.0;;19.0;26.0;16.0;3.0;;;51.0
Bruinisse-G0657;0;;387.0;6.0;179.0;230.0;212.0;8.0;;308.0;1.0;24.0;2.0;2.0;;143.0
Brummen-G0213;0;;3240.0;472.0;501.0;1091.0;1132.0;135.0;54.0;15.0;2.0;3.0;8.0;8.0;11.0;360.0
Brunssum-G0899;0;;1923.0;5846.0;319.0;296.0;62.0;604.0;287.0;8.0;55.0;;13.0;6.0;;813.0
Budel-G0759;0;;123.0;2689.0;19.0;23.0;19.0;15.0;35.0;;1.0;2.0;7.0;1.0;;228.0
Bunde-G0900;0;;76.0;843.0;4.0;3.0;2.0;7.0;40.0;;1.0;;1.0;2.0;;101.0
Bunnik-G0312;0;;200.0;656.0;179.0;183.0;53.0;14.0;57.0;50.0;2.0;3.0;7.0;;1.0;70.0
Bunschoten-G0313;0;;184.0;6.0;2086.0;45.0;11.0;3.0;2.0;98.0;1005.0;6.0;1.0;2.0;;169.0
Buren-G0214;0;;502.0;52.0;83.0;259.0;141.0;9.0;4.0;76.0;;3.0;;1.0;;74.0
Burgh-G1035;0;;182.0;8.0;57.0;83.0;86.0;4.0;6.0;11.0;;29.0;1.0;;;
Bussum-G0381;0;;4614.0;4285.0;2597.0;1341.0;3243.0;947.0;1382.0;257.0;61.0;44.0;170.0;165.0;49.0;1894.0
Buurmalsen-G0215;0;;444.0;42.0;150.0;310.0;92.0;5.0;4.0;146.0;;2.0;;;;98.0
Cadier en Keer-G0901;0;;28.0;555.0;2.0;1.0;3.0;1.0;53.0;1.0;1.0;;3.0;;;74.0
Cadzand-G0658;0;;297.0;15.0;62.0;98.0;132.0;9.0;2.0;5.0;;22.0;2.0;3.0;;
Callantsoog-G0382;0;;309.0;97.0;38.0;9.0;163.0;74.0;6.0;2.0;;3.0;;8.0;1.0;
Capelle aan den IJssel-G0502;0;;1565.0;44.0;381.0;719.0;339.0;63.0;6.0;759.0;128.0;12.0;11.0;1.0;3.0;433.0
Castricum-G0383;0;;1393.0;2487.0;250.0;133.0;359.0;374.0;162.0;14.0;10.0;5.0;14.0;20.0;3.0;215.0
Chaam-G0760;0;;51.0;1056.0;17.0;48.0;8.0;1.0;29.0;;1.0;;1.0;;;58.0
Clinge-G0659;0;;289.0;1193.0;9.0;15.0;9.0;8.0;15.0;11.0;1.0;8.0;2.0;;;183.0
Coevorden-G0109;0;;1610.0;1068.0;603.0;567.0;465.0;31.0;36.0;14.0;8.0;7.0;3.0;5.0;1.0;278.0
Cothen-G0314;0;;28.0;443.0;11.0;52.0;11.0;;21.0;22.0;1.0;2.0;;;;25.0
Cuijk en Sint Agatha-G0761;0;;188.0;2491.0;11.0;22.0;33.0;9.0;114.0;1.0;1.0;5.0;1.0;2.0;;182.0
Culemborg-G0216;0;;2288.0;2201.0;312.0;278.0;537.0;296.0;179.0;182.0;24.0;6.0;8.0;2.0;;390.0
Dalen-G0110;0;;994.0;244.0;110.0;179.0;650.0;19.0;5.0;3.0;1.0;7.0;1.0;6.0;1.0;194.0
Dalfsen-G0148;0;;498.0;1422.0;341.0;1873.0;196.0;6.0;20.0;44.0;258.0;3.0;3.0;8.0;2.0;265.0
Dantumadeel-G0065;0;;1838.0;85.0;2610.0;1608.0;449.0;246.0;3.0;611.0;233.0;51.0;7.0;12.0;16.0;699.0
De Bilt-G0310;0;;2794.0;1498.0;2005.0;1085.0;1943.0;159.0;434.0;307.0;70.0;57.0;93.0;68.0;53.0;837.0
De Lier-G0552;0;;158.0;279.0;757.0;647.0;119.0;;7.0;28.0;19.0;;;2.0;;59.0
De Rijp-G0440;0;;261.0;356.0;10.0;9.0;90.0;73.0;;8.0;;4.0;;4.0;1.0;40.0
De Wijk-G0135;0;;752.0;11.0;415.0;262.0;571.0;32.0;5.0;6.0;10.0;16.0;1.0;1.0;1.0;167.0
Deil-G0217;0;;470.0;223.0;83.0;290.0;127.0;14.0;5.0;67.0;;2.0;;1.0;;107.0
Delft-G0503;0;;12047.0;9345.0;3753.0;2471.0;3003.0;2231.0;952.0;1114.0;108.0;47.0;84.0;101.0;;3555.0
Delfzijl-G0010;0;;2183.0;159.0;876.0;640.0;986.0;994.0;13.0;15.0;45.0;35.0;20.0;11.0;22.0;889.0
Den Bommel-G1024;0;;207.0;233.0;234.0;171.0;56.0;6.0;10.0;115.0;;1.0;;;;83.0
Den Dungen-G0768;0;;36.0;1096.0;3.0;2.0;4.0;;27.0;;;;;;;81.0
Den Ham-G0159;0;;571.0;310.0;1240.0;1710.0;183.0;179.0;15.0;30.0;105.0;1.0;4.0;5.0;2.0;413.0
Den Helder-G0400;0;;9556.0;2593.0;2842.0;989.0;2577.0;505.0;225.0;153.0;146.0;67.0;159.0;52.0;65.0;2127.0
Denekamp-G0149;0;;184.0;3115.0;85.0;215.0;72.0;46.0;80.0;3.0;6.0;2.0;2.0;;;218.0
Deurne-G0762;0;;171.0;6500.0;23.0;175.0;27.0;22.0;151.0;3.0;4.0;11.0;2.0;2.0;;508.0
Deventer-G0150;0;;10748.0;4808.0;1652.0;1314.0;3599.0;3999.0;408.0;90.0;70.0;32.0;87.0;67.0;29.0;2444.0
Didam-G0218;0;;450.0;3268.0;31.0;49.0;20.0;8.0;39.0;2.0;3.0;4.0;3.0;2.0;;237.0
Diemen-G0384;0;;766.0;721.0;383.0;380.0;135.0;209.0;77.0;14.0;5.0;5.0;16.0;2.0;;251.0
Diepenheim-G0151;0;;605.0;114.0;36.0;141.0;265.0;20.0;1.0;4.0;3.0;1.0;;1.0;2.0;115.0
Diepenveen-G0152;0;;1247.0;1429.0;287.0;551.0;899.0;58.0;60.0;11.0;2.0;3.0;7.0;5.0;10.0;288.0
Diessen-G0763;0;;27.0;953.0;4.0;12.0;;;10.0;;;;;;;23.0
Diever-G0111;0;;768.0;38.0;365.0;92.0;355.0;9.0;4.0;;12.0;16.0;1.0;2.0;1.0;100.0
Dinteloord en Prinsenland-G0764;0;;368.0;816.0;297.0;366.0;114.0;21.0;38.0;226.0;;2.0;;;;204.0
Dinther-G1044;0;;11.0;1185.0;1.0;21.0;2.0;3.0;6.0;;;2.0;2.0;;;59.0
