RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);SP;Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;DG;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij;@abs
Meerssen-G0938;;71;2964;3667;2175;2181;646;383;266;30;16;114;78;153;18;111;25;10;13;8;17;5.0;2;6;0.0;;4;5;3337.0
Meijel-G0941;;15;658;1299;460;384;124;33;70;3;5;5;12;23;2;11;0;4;0;3;6;3.0;1;3;15.0;;2;0;1106.0
Menaldumadeel-G0083;;27;2784;2372;1362;974;154;194;71;141;17;97;27;31;18;13;6;23;12;11;3;2.0;7;6;7.0;;4;1;1540.0
Menterwolde-G1987;;44;3565;746;1008;884;240;231;160;84;12;150;223;58;26;20;1;14;51;26;7;8.0;9;6;16.0;;1;6;1790.0
Meppel-G0119;;43;4957;2599;2581;2580;479;424;213;291;22;545;81;110;28;37;19;20;5;14;18;5.0;12;11;26.0;;7;2;3402.0
Middelburg-G0687;;61;5865;4542;3854;4063;859;1019;471;928;1398;462;203;171;55;66;89;24;29;6;25;;18;44;16.0;;12;6;6035.0
Middelharnis-G0559;;13;2121;1626;1665;1126;250;168;245;742;1584;131;29;48;25;15;3;6;5;11;6;10.0;3;2;2.0;3.0;9;1;2618.0
Middenschouwen-G0688;;4;340;400;427;169;54;29;34;96;96;32;4;7;4;6;1;4;1;3;2;;0;0;3.0;;1;2;334.0
Mierlo-G0814;;16;1177;2001;1097;1237;326;148;125;14;8;18;93;131;9;15;9;4;3;3;9;;1;9;2.0;2.0;3;6;1133.0
Mill en Sint Hubert-G0815;;27;1550;2753;950;847;246;97;128;7;3;9;87;45;5;23;0;6;1;6;6;;1;8;4.0;1.0;3;3;1457.0
Millingen aan de Rijn-G0265;;7;1287;818;368;493;64;75;36;8;4;1;22;21;4;6;8;2;0;4;1;;2;75;1.0;;1;0;954.0
Moergestel-G0816;;15;634;1633;673;482;99;44;44;3;0;5;31;26;5;2;2;2;0;0;5;0.0;0;2;1.0;1.0;0;0;770.0
Monster-G0562;;26;1440;3881;3259;1127;324;120;446;264;453;216;52;68;40;17;15;7;5;6;5;10.0;3;1;11.0;7.0;1;1;2876.0
Montfoort-G0335;;15;1041;2340;2017;1172;193;239;141;211;459;79;40;51;16;17;5;4;0;9;6;5.0;4;5;1.0;1.0;3;1;1312.0
Mook en Middelaar-G0944;;13;968;1274;1073;818;204;185;49;13;5;15;30;30;3;15;7;2;0;3;6;0.0;2;3;0.0;;1;5;940.0
Moordrecht-G0563;;20;949;754;997;672;81;71;143;98;206;58;34;33;20;11;40;4;3;2;6;1.0;2;1;0.0;;1;3;1066.0
Muiden-G0424;;9;1015;805;1517;759;124;109;88;22;19;19;9;34;5;11;3;3;8;2;3;0.0;2;4;0.0;5.0;0;1;621.0
Naaldwijk-G0565;;17;1920;6561;5095;1623;310;152;500;320;198;137;46;85;95;16;9;8;4;16;14;11.0;1;5;12.0;12.0;3;9;3526.0
Naarden-G0425;;8;1744;1885;4329;1700;347;270;151;104;66;72;27;66;32;39;17;14;2;8;7;5.0;8;7;3.0;1.0;3;4;1808.0
Nederhorst den Berg-G0426;;9;610;848;1104;552;82;72;61;29;10;22;30;18;8;13;0;9;3;4;0;0.0;3;0;1.0;2.0;0;2;607.0
Nederlek-G0643;;29;2575;1280;2282;1462;156;170;273;176;635;93;50;36;59;17;9;5;6;1;6;5.0;4;6;5.0;;1;2;1796.0
Nederweert-G0946;;44;1997;3376;1510;1149;394;114;230;12;9;27;59;61;11;27;7;7;1;11;10;1.0;3;0;195.0;;6;4;2661.0
Neede-G0266;;17;2380;1956;1271;939;121;125;115;52;5;102;18;55;16;16;6;6;7;11;11;2.0;4;4;0.0;;5;0;1327.0
Neerijnen-G0304;;20;1804;1448;1445;649;117;103;228;119;688;60;21;28;16;10;1;7;3;8;9;;1;1;0.0;;2;1;1295.0
Niedorp-G0412;;23;1810;1300;1451;1006;232;189;114;9;1;15;34;49;15;35;0;13;3;21;3;4.0;7;2;3.0;10.0;2;3;1458.0
Nieuwegein-G0356;;43;7272;5867;8095;6765;1377;1169;886;400;231;281;346;227;123;100;97;37;20;15;27;23.0;35;20;10.0;39.0;11;8;8769.0
Nieuwerkerk aan den IJssel-G0567;;23;2005;1980;3117;1720;274;123;266;369;442;183;59;67;60;25;21;8;7;6;5;3.0;6;1;4.0;;4;2;2568.0
Nieuw-Ginneken-G0817;;21;1340;2223;2008;1416;345;131;128;19;10;23;47;70;15;21;5;8;4;11;9;10.0;1;7;1.0;3.0;2;5;1287.0
Nieuwkoop-G0569;;15;983;1897;1722;992;113;176;122;144;129;38;23;46;28;7;0;9;4;12;12;0.0;12;4;2.0;;3;1;1623.0
Nieuw-Lekkerland-G0571;;15;1208;733;731;609;73;71;111;623;1123;129;24;29;16;9;4;3;4;3;7;9.0;2;0;0.0;3.0;1;0;758.0
Nieuwleusen-G0170;;17;1008;1865;811;476;100;36;63;128;160;362;12;42;10;7;1;1;1;24;5;2.0;0;0;20.0;;1;0;942.0
Nieuw-Vossemeer-G0818;;5;491;330;221;202;72;22;55;8;1;5;7;10;1;4;0;3;0;0;3;1.0;0;0;0.0;0.0;0;0;359.0
Nijefurd-G0104;;21;1657;2508;909;689;143;179;55;177;17;66;25;33;10;32;1;9;14;0;4;6.0;9;4;2.0;;1;0;1184.0
Nijeveen-G0121;;9;371;664;440;266;34;22;16;35;8;46;4;5;3;0;0;2;0;4;2;1.0;0;0;18.0;;0;1;250.0
Nijkerk-G0267;;79;2405;4802;2739;1965;312;186;424;1054;1064;634;20;179;41;28;15;4;3;32;9;6.0;6;9;17.0;;2;4;3248.0
Nijmegen-G0268;;292;24948;14856;10586;16641;3263;8557;1916;263;96;319;3498;606;233;284;193;346;59;37;60;;156;97;27.0;;75;32;27054.0
Noorder-Koggenland-G0529;;11;1330;1151;1707;987;212;158;101;154;64;49;24;39;16;32;1;10;6;11;6;1.0;8;3;18.0;5.0;1;6;1126.0
Noordoostpolder-G0171;;57;4424;7803;4362;2842;594;483;358;941;425;760;80;227;62;40;10;47;26;47;11;15.0;7;13;;7.0;5;2;4381.0
Noordwijk-G0575;;44;2597;3833;4254;2148;555;586;299;226;42;87;121;87;94;45;12;19;5;9;8;7.0;6;9;2.0;;1;5;3917.0
Noordwijkerhout-G0576;;45;1345;2950;2756;1351;275;209;137;27;12;17;53;72;91;29;17;17;3;18;12;6.0;8;8;3.0;;6;3;1754.0
Nootdorp-G0577;;10;587;1489;1508;733;97;95;160;36;16;43;21;28;13;12;5;12;0;3;5;4.0;0;1;3.0;;0;2;1032.0
Norg-G0120;;17;1355;577;1295;695;118;131;68;24;13;52;23;18;4;3;8;5;1;19;0;10.0;3;2;31.0;;3;1;928.0
Nuenen, Gerwen en Nederwetten-G0820;;20;2317;3957;2957;2740;741;338;204;29;9;71;76;47;25;36;15;14;3;9;8;;3;19;5.0;5.0;9;3;2510.0
Nunspeet-G0302;;50;1580;4035;2609;1305;372;141;277;2388;3012;261;20;100;17;34;14;8;4;54;11;8.0;5;4;4.0;;2;2;2286.0
Nuth-G0951;;51;2555;3574;1521;1517;531;309;274;23;15;48;170;79;24;99;14;12;2;10;14;12.0;5;4;1.0;;10;6;2378.0
Obdam-G0429;;11;633;1405;981;558;92;120;45;10;6;12;11;27;5;9;2;4;2;2;3;2.0;1;1;0.0;1.0;0;1;599.0
Odoorn-G0122;;31;3183;1248;1449;1001;158;140;118;148;6;122;57;81;14;22;0;14;11;21;3;1.0;5;14;11.0;;1;4;1871.0
Oegstgeest-G0579;;35;1975;2377;4014;2217;343;479;110;128;44;205;67;100;22;28;16;18;5;3;12;8.0;12;4;1.0;;1;4;1745.0
Oirschot-G0823;;33;1397;2726;1189;1088;345;123;147;8;5;10;68;44;15;12;3;10;1;11;9;;1;4;7.0;1.0;1;1;1676.0
Oisterwijk-G0824;;12;2275;3024;2682;1867;541;348;212;43;29;36;111;64;19;20;11;11;5;6;16;1.0;7;16;3.0;8.0;6;2;2947.0
Oldebroek-G0269;;15;2217;3315;1215;713;122;78;136;2354;1652;509;38;48;44;5;7;5;2;17;4;0.0;2;2;6.0;;4;4;2968.0
Oldenzaal-G0173;;65;4304;6310;3345;3099;558;526;351;51;13;75;137;266;36;49;19;21;13;23;20;12.0;7;19;1.0;;5;6;3516.0
Olst-G0174;;22;1851;1658;1295;753;96;137;67;34;27;20;19;38;9;9;7;10;2;14;1;1.0;4;22;0.0;;0;1;998.0
Ommen-G0175;;30;1889;5055;1828;1199;191;139;74;284;56;1165;19;68;13;10;5;9;3;51;4;2.0;4;1;6.0;;5;2;1343.0
Onderbanken-G0881;;25;1306;1593;544;580;319;121;233;5;8;25;107;40;14;40;2;5;5;6;2;7.0;2;0;0.0;;5;0;1479.0
Oost-, West- en Middelbeers-G0825;;15;506;1363;539;376;109;46;60;2;3;3;20;12;12;12;1;2;0;6;1;1.0;1;2;4.0;1.0;0;0;768.0
Oostburg-G0692;;55;2889;2236;2619;1202;400;192;300;122;137;81;40;97;37;10;5;18;15;17;11;;6;6;9.0;;2;4;3243.0
Oosterhesselen-G0123;;7;1062;716;592;366;65;49;62;81;16;95;22;26;2;4;0;4;5;24;2;1.0;2;4;40.0;;1;0;553.0
Oosterhout-G0826;;49;6784;6148;6382;5518;1320;581;787;136;49;73;314;335;79;57;100;61;13;17;36;12.0;9;123;9.0;6.0;14;13;8306.0
Oostflakkee-G0580;;28;1724;1322;955;702;138;66;202;236;603;44;13;42;17;14;3;11;0;5;6;6.0;3;6;6.0;2.0;0;4;1346.0
Ooststellingwerf-G0085;;44;5415;3258;2563;1992;352;530;259;213;64;359;78;67;30;42;7;20;23;32;13;81.0;27;8;25.0;;5;3;3408.0
Oostzaan-G0431;;11;1362;528;1535;834;183;324;174;66;21;7;33;55;16;11;4;6;9;3;9;6.0;5;1;0.0;17.0;1;1;1162.0
Ootmarsum-G0176;;11;503;1473;546;335;85;49;32;9;12;10;4;39;10;2;0;1;3;0;5;1.0;0;0;1.0;;0;0;280.0
Opmeer-G0432;;26;1210;2231;1468;791;204;165;80;30;1;22;23;30;4;25;4;16;1;17;4;6.0;5;2;7.0;4.0;1;2;1225.0
Opsterland-G0086;;26;5917;3568;2500;2004;282;591;156;357;59;873;100;96;49;28;11;33;140;8;16;27.0;13;8;5.0;;4;5;3601.0
Oss-G0828;;34;7116;8214;5622;4729;1590;682;1034;76;32;67;4552;1028;92;124;64;28;14;26;30;;54;16;9.0;18.0;21;15;10649.0
Ossendrecht-G0829;;15;666;760;553;418;162;43;112;12;4;12;11;28;13;7;6;7;0;3;5;3.0;0;1;2.0;4.0;0;0;1069.0
Oud- en Nieuw-Gastel-G0831;;31;1190;1280;804;669;210;73;191;13;3;7;42;37;20;4;2;10;1;16;8;6.0;5;3;1.0;6.0;1;3;1780.0
Oud-Beijerland-G0584;;9;2418;2118;3026;1955;238;277;281;488;1177;99;61;87;39;16;7;15;3;3;12;7.0;7;3;0.0;5.0;1;2;2984.0
Oudenbosch-G0830;;37;1551;1876;1510;1074;278;139;310;13;14;16;44;51;25;17;10;8;3;4;6;4.0;4;7;0.0;22.0;3;4;2270.0
Ouder-Amstel-G0437;;22;1422;1615;2244;1237;387;207;182;52;49;30;34;54;17;20;11;10;9;0;4;7.0;7;4;2.0;23.0;0;2;1453.0
Ouderkerk-G0644;;27;963;910;1229;586;91;58;163;267;819;103;5;34;18;12;2;3;1;4;2;1.0;0;3;1.0;;5;4;890.0
Oudewater-G0589;;14;820;2257;1333;793;136;84;155;180;208;55;9;33;22;11;3;5;4;9;3;1.0;0;3;1.0;5.0;0;0;1090.0
Papendrecht-G0590;;18;3853;3234;3869;3242;469;330;377;809;677;187;117;93;71;30;62;12;3;5;11;4.0;7;17;8.0;16.0;2;2;4130.0
Peize-G0124;;14;1273;235;800;595;72;92;56;10;7;8;18;15;5;2;1;2;3;10;4;0.0;3;3;2.0;;0;1;694.0
Pekela-G0765;;50;3632;1088;748;654;258;655;142;256;20;45;100;46;27;12;2;10;120;3;6;10.0;7;5;7.0;;6;1;2247.0
Pijnacker-G0594;;23;1499;3657;3688;1887;234;274;240;158;234;173;56;52;31;20;2;9;0;5;13;16.0;8;3;7.0;;4;3;1799.0
Posterholt-G0956;;27;1701;1954;1139;904;347;144;202;18;3;21;30;53;16;34;8;8;2;6;6;5.0;1;3;2.0;;0;4;1925.0
Prinsenbeek-G0832;;24;1180;2094;1599;1106;215;89;106;22;6;17;36;94;18;17;8;3;1;5;5;13.0;0;3;0.0;3.0;1;0;1376.0
Purmerend-G0439;;92;9275;3676;10280;7230;2037;1353;832;280;41;96;275;420;153;120;72;75;109;11;53;35.0;37;18;17.0;118.0;23;10;11084.0
Putte-G0833;;9;361;401;431;291;86;17;76;6;2;7;12;132;16;7;2;7;1;1;16;0.0;3;2;1.0;3.0;0;0;974.0
Putten-G0273;;50;1591;4397;2528;1392;285;121;261;1585;1163;369;28;62;18;23;11;3;3;33;15;0.0;3;8;3.0;;3;2;2041.0
Raalte-G0177;;44;3147;8996;2324;2125;288;270;178;76;14;66;138;91;19;22;10;9;1;64;11;5.0;5;4;4.0;;5;2;2925.0
Raamsdonk-G0834;;10;2032;1927;1699;1216;348;217;220;35;46;34;67;92;24;11;13;10;6;8;7;4.0;10;3;1.0;3.0;1;3;2619.0
Ravenstein-G0835;;18;1361;1763;717;664;208;110;118;9;6;9;172;51;12;8;1;7;0;8;9;;5;2;3.0;3.0;0;0;1005.0
Reeuwijk-G0595;;16;1024;2196;2351;1040;161;166;183;300;531;86;17;55;25;15;1;5;3;11;8;8.0;1;1;1.0;;3;0;1250.0
Reiderland-G1661;;31;1791;176;416;333;165;107;59;32;5;7;60;24;10;10;3;14;1312;10;4;9.0;3;1;15.0;;1;3;1059.0
Reimerswaal-G0703;;23;1995;2262;1825;981;402;119;344;382;3098;147;41;88;50;11;16;18;11;9;12;;6;9;6.0;;4;4;2576.0
Renkum-G0274;;71;5152;6004;5517;3621;772;823;263;286;150;207;117;156;45;70;34;37;10;8;19;8.0;17;26;7.0;;10;2;2576.0
Renswoude-G0339;;0;246;760;467;118;38;12;75;141;249;34;1;25;2;2;2;0;1;7;1;0.0;1;0;1.0;0.0;4;0;416.0
Reusel-G0836;;12;882;1834;692;533;155;61;105;8;7;9;20;37;12;6;4;6;0;5;4;;1;0;0.0;0.0;1;2;1340.0
Rheden-G0275;;67;8846;5822;6135;4852;956;933;375;436;58;233;209;158;61;106;85;51;21;13;29;15.0;9;23;4.0;;18;1;6388.0
Rhenen-G0340;;27;2195;2120;2135;1274;286;223;208;325;1253;129;47;160;33;20;18;13;3;16;8;3.0;3;7;51.0;11.0;4;4;2375.0
Ridderkerk-G0597;;47;6779;5142;5304;4235;845;356;699;877;2521;634;251;215;169;50;49;27;20;16;28;16.0;20;16;4.0;14.0;14;10;7484.0
Riethoven-G0837;;8;185;665;315;193;57;23;25;3;0;3;11;7;2;5;0;0;0;1;0;;0;1;2.0;0.0;0;0;243.0
Rijnsburg-G0602;;21;790;3694;1408;680;139;89;99;482;156;486;16;35;20;13;4;9;3;5;5;2.0;0;4;5.0;;1;3;1638.0
Rijnwaarden-G0196;;25;1967;1591;688;985;199;100;151;13;5;12;35;42;8;12;1;5;3;4;8;4.0;6;0;2.0;;1;0;1983.0
Rijnwoude-G1672;;11;1685;3316;2948;1863;193;261;208;465;657;106;86;62;39;15;8;22;6;8;12;4.0;13;4;3.0;;3;6;2216.0
Rijsbergen-G0841;;16;723;1184;625;487;87;42;53;9;5;7;17;23;5;6;6;3;1;8;2;2.0;1;0;0.0;1.0;0;0;1027.0
Rijssen-G0178;;56;1936;3419;1111;713;200;90;279;2569;4652;176;32;95;25;4;5;3;3;18;6;0.0;2;2;4.0;;5;1;1600.0
Rijswijk-G0603;;100;5684;5677;8843;5055;1211;840;958;279;136;240;300;353;228;116;238;40;17;10;31;19.0;23;12;10.0;13.0;10;9;7150.0
Roden-G0125;;28;4193;2029;2474;1797;290;340;181;142;8;406;57;96;16;22;19;10;11;20;17;3.0;5;2;19.0;;13;3;2075.0
Roerdalen-G1669;;31;1279;1698;1301;825;279;136;191;2;8;14;32;65;10;57;7;6;1;5;14;3.0;0;9;1.0;;3;2;1651.0
Roermond-G0957;;81;4652;4754;4903;3011;1273;1122;1008;86;14;98;237;165;79;154;73;12;9;11;18;12.0;12;31;1.0;;3;6;9300.0
Roggel en Neer-G1670;;6;954;1722;861;635;190;118;77;6;7;7;14;20;8;10;0;3;3;9;3;3.0;4;2;9.0;;3;1;1358.0
Rolde-G0126;;2;1443;410;1411;596;86;126;24;11;4;29;19;17;2;12;0;7;1;15;1;0.0;4;1;25.0;;0;0;731.0
Roosendaal en Nispen-G0838;;82;6969;8272;6934;5431;1584;915;1407;137;55;131;504;316;273;70;119;58;17;65;71;15.0;25;23;12.0;31.0;33;22;12743.0
Rosmalen-G0839;;45;3290;3921;3515;2851;620;411;320;34;15;50;981;218;28;32;19;11;7;5;23;;18;18;3.0;7.0;5;4;3885.0
Rossum-G0276;;11;546;592;367;284;65;45;53;4;6;1;15;8;7;10;0;5;2;3;1;;2;3;1.0;;0;0;380.0
Rotterdam-G0599;;12843;89516;33716;52864;43224;13027;12744;19016;2941;3244;2737;6438;2863;2702;945;576;430;447;113;343;1706.0;221;240;97.0;208.0;413;80;122688.0
Rozenburg-G0600;;42;1817;1333;1828;1518;294;138;301;97;56;183;51;98;46;21;27;12;16;4;9;7.0;8;9;2.0;0.0;2;1;3000.0
Rozendaal-G0277;;0;115;207;375;153;26;24;9;8;0;3;1;3;1;3;2;1;0;0;0;0.0;0;0;0.0;;0;0;94.0
Rucphen-G0840;;51;3739;2748;1788;1454;406;122;1056;26;4;9;82;71;32;17;14;9;3;16;16;11.0;6;4;0.0;9.0;2;12;5832.0
Ruinen-G0127;;18;1475;841;1456;575;82;68;61;52;9;43;15;8;8;12;1;5;3;36;3;2.0;1;4;81.0;;2;3;672.0
Ruinerwold-G0128;;7;574;520;671;335;35;39;22;24;3;54;4;16;3;15;0;5;0;4;1;0.0;0;0;44.0;;0;0;348.0
Ruurlo-G0278;;8;1347;1153;1555;590;73;61;51;18;9;10;29;34;3;5;2;3;0;3;3;3.0;0;0;4.0;;0;2;1129.0
Sas van Gent-G0704;;28;1112;891;888;715;255;105;187;13;24;19;22;79;20;8;8;7;3;9;9;;0;7;2.0;;3;3;1685.0
Sassenheim-G0604;;18;1291;2949;2475;1433;268;148;84;60;29;47;80;70;112;28;9;7;1;2;11;3.0;5;1;1.0;;3;4;1620.0
Schagen-G0441;;20;2552;1629;2754;2101;350;364;146;66;6;43;95;147;30;62;9;12;8;9;13;2.0;7;7;4.0;7.0;1;3;2564.0
Scheemda-G0039;;30;3778;1756;961;854;244;277;107;319;14;108;71;43;20;18;2;18;204;5;5;10.0;4;5;17.0;;4;3;1777.0
Schermer-G0458;;9;681;901;820;440;82;64;49;10;3;9;9;21;4;12;4;7;4;8;3;4.0;1;3;0.0;1.0;1;0;548.0
Scherpenzeel-G0279;;13;874;1551;1220;537;113;53;110;393;730;60;6;41;11;9;1;0;0;4;2;4.0;2;0;5.0;;0;0;738.0
Schiedam-G0606;;74;11533;6028;7176;6949;1588;1433;1984;460;254;229;491;357;285;133;92;53;52;29;59;522.0;35;20;18.0;93.0;26;20;14029.0
Schiermonnikoog-G0088;;1;247;236;209;159;12;54;0;2;4;20;3;11;0;1;2;1;0;0;0;0.0;0;0;0.0;;0;0;
Schijndel-G0844;;1191;2953;3612;1852;1651;521;236;319;16;16;11;1241;96;17;17;25;4;3;19;10;;16;5;71.0;5.0;4;1;2928.0
Schinnen-G0962;;691;2021;3043;1262;1390;442;224;180;18;12;41;129;87;12;83;13;4;2;3;10;7.0;3;5;2.0;;3;0;1078.0
Schipluiden-G0607;;5;536;2495;1466;648;89;116;88;73;35;45;9;17;12;12;1;5;0;6;7;1.0;4;6;0.0;1.0;1;1;784.0
Schoonebeek-G0129;;10;1415;1805;446;589;92;56;61;30;3;36;15;42;10;12;0;4;0;10;2;7.0;2;2;6.0;;7;2;1169.0
Schoonhoven-G0608;;21;1399;1630;1707;1415;164;237;212;251;298;63;28;52;25;16;24;36;5;3;11;7.0;5;4;1.0;;0;0;1312.0
Schoorl-G0444;;9;1002;911;1204;751;140;167;77;19;7;8;34;39;9;31;5;16;1;4;5;12.0;6;21;0.0;6.0;1;4;750.0
Sevenum-G0964;;8;669;1953;592;556;86;50;46;9;9;22;79;36;10;9;0;4;1;1;4;0.0;2;0;2.0;;2;1;1185.0
's-Graveland-G0390;;15;1017;1417;1820;1062;193;150;145;74;59;75;10;32;5;25;12;10;7;5;8;1.0;5;6;2.0;2.0;1;2;1085.0
's-Gravendeel-G0517;;12;1420;1296;1096;747;96;71;160;161;330;77;8;13;15;9;4;10;0;2;1;2.0;5;1;0.0;0.0;1;3;1099.0
's-Gravenhage-G0518;;829;55918;33690;62388;37318;8494;10051;11732;2243;1680;1837;3574;2797;1577;879;1087;760;192;97;238;308.0;274;192;51.0;212.0;114;79;95973.0
's-Gravenmoer-G0787;;0;227;460;287;217;24;20;32;96;29;12;14;15;0;1;0;0;0;1;0;0.0;1;1;2.0;2.0;0;0;232.0
's-Gravenzande-G0519;;16;1356;3738;3513;1033;246;129;297;340;443;107;26;63;44;10;4;6;5;13;9;6.0;1;1;4.0;3.0;2;3;2548.0
's-Hertogenbosch-G0796;;80;13700;10309;8901;9447;3151;3090;2028;183;52;278;1531;902;232;199;213;71;31;42;74;;75;110;9.0;45.0;53;27;17892.0
Simpelveld-G0965;;17;1920;2250;709;862;321;159;191;10;24;23;112;60;23;56;4;7;7;6;16;7.0;1;10;1.0;;3;0;2036.0
Sint Philipsland-G0712;;0;206;248;180;130;23;9;37;72;548;14;9;2;6;0;0;3;0;0;0;;0;2;1.0;;0;1;268.0
Sint-Michielsgestel-G0845;;23;1885;2115;1247;1317;314;156;115;9;10;22;157;212;17;13;0;2;3;10;8;;9;8;3.0;2.0;2;0;1833.0
Sint-Oedenrode-G0846;;22;2093;3795;1613;1677;564;202;155;10;10;16;119;31;17;49;7;6;3;16;18;;7;6;30.0;1.0;3;2;2249.0
Sittard-G0968;;108;6652;7137;3647;4080;1603;1383;734;62;27;89;289;233;49;150;97;26;16;17;34;18.0;11;15;4.0;;40;5;9597.0
Skarsterlân-G0051;;41;4378;5216;2498;2094;425;335;187;312;41;104;45;48;45;42;6;16;26;11;11;15.0;15;7;7.0;;6;1;2902.0
Sleen-G0130;;20;2472;990;1044;674;100;86;88;106;10;43;29;41;5;12;3;3;14;23;2;4.0;1;1;15.0;;1;0;963.0
Sliedrecht-G0610;;21;3582;2272;2154;1831;268;208;353;828;2080;283;49;68;46;23;18;17;9;9;9;8.0;7;3;1.0;14.0;4;5;3549.0
Slochteren-G0040;;22;2865;1281;1401;1104;216;224;135;106;29;845;47;166;26;7;1;26;23;26;7;7.0;6;5;24.0;;3;4;2238.0
Sluis-G0713;;10;382;367;523;209;83;16;40;11;3;6;2;11;2;4;2;2;1;0;2;;1;1;0.0;;0;0;386.0
Smallingerland-G0090;;64;10707;8213;3647;3870;687;1161;292;1244;158;1264;264;111;82;71;27;20;89;14;14;31.0;25;13;13.0;;6;5;6078.0
Smilde-G0131;;17;1805;1681;870;748;94;168;70;98;15;176;47;19;10;6;19;7;6;21;1;6.0;1;0;22.0;;1;6;1159.0
Sneek-G0091;;30;5617;4604;2704;2501;466;489;176;414;38;141;67;70;56;52;16;29;52;3;6;19.0;93;8;8.0;;8;2;4895.0
Soest-G0342;;53;4108;5889;8014;4028;835;651;493;521;211;380;106;140;121;65;74;39;7;9;22;16.0;6;18;5.0;31.0;8;6;5595.0
Someren-G0847;;29;1748;4242;1736;1357;544;162;286;12;13;25;92;61;23;8;8;4;0;8;19;;5;5;13.0;4.0;2;6;2846.0
Son en Breugel-G0848;;22;1327;2724;2409;1630;523;174;195;35;18;31;46;63;11;38;11;5;3;11;2;;6;11;4.0;1.0;2;3;1971.0
Spijkenisse-G0612;;84;9728;3822;9568;7398;1486;828;1335;459;278;292;560;383;357;124;127;49;61;8;47;59.0;20;23;17.0;106.0;16;12;13797.0
Sprang-Capelle-G0849;;41;881;1359;1209;714;214;79;195;429;575;62;37;50;13;12;4;15;3;10;6;4.0;1;8;0.0;3.0;0;2;1444.0
St.Anthonis-G1691;;35;1275;3314;933;832;259;165;71;5;6;17;38;48;6;21;0;6;2;8;6;;1;5;4.0;2.0;1;1;1223.0
Stad Delden-G0179;;7;959;1872;1246;692;81;63;68;18;4;28;22;63;12;11;2;5;3;6;3;2.0;1;2;0.0;;1;0;623.0
Stadskanaal-G0037;;70;6899;5077;2015;1910;501;303;269;1256;36;808;138;99;54;19;18;30;72;31;15;7.0;16;5;19.0;;9;5;6072.0
Standdaarbuiten-G0850;;3;407;492;376;273;61;26;43;10;1;4;7;15;6;4;1;2;0;0;5;1.0;0;1;0.0;3.0;0;1;459.0
Staphorst-G0180;;7;806;1656;954;468;67;34;73;892;2665;766;10;31;9;5;1;5;4;63;4;1.0;4;2;82.0;;2;1;1121.0
Stede Broec-G0532;;48;2356;2748;2506;2046;523;346;271;83;11;44;59;148;39;45;16;17;15;14;15;6.0;11;9;1.0;17.0;5;21;2715.0
Steenbergen-G0851;;38;2239;1848;1893;1371;277;128;390;27;10;11;45;31;54;13;21;10;5;4;6;1.0;2;5;4.0;4.0;2;6;2929.0
Steenderen-G0280;;11;694;1243;602;334;53;63;32;30;7;6;8;14;2;4;0;9;1;0;1;0.0;0;2;0.0;;0;2;436.0
Steenwijk-G0181;;33;4492;3195;2106;1687;416;421;221;380;31;276;52;80;24;36;23;10;11;30;13;6.0;2;6;17.0;;4;3;2811.0
Stein-G0971;;90;4360;4193;2301;2520;942;490;587;25;22;45;190;220;49;91;50;20;7;19;27;19.0;13;14;12.0;;18;4;4696.0
Stramproy-G0973;;12;651;1143;412;363;134;68;91;9;5;5;30;10;1;12;3;1;1;3;5;1.0;1;0;4.0;;3;3;807.0
Strijen-G0617;;12;1434;1018;1355;700;97;131;150;139;263;69;21;30;13;9;0;4;4;5;3;3.0;1;3;5.0;3.0;0;5;1207.0
Susteren-G0974;;48;2011;2464;1007;1199;584;178;230;12;9;29;53;51;13;59;12;6;4;7;13;6.0;2;0;1.0;;7;5;2239.0
Swalmen-G0975;;19;1351;1293;725;725;236;171;122;6;3;5;15;42;12;18;8;0;2;4;6;5.0;0;2;3.0;;1;1;1776.0
Tegelen-G0976;;14;2430;2825;1395;1486;412;216;444;14;21;38;88;120;28;34;20;15;9;5;12;4.0;5;5;2.0;;5;4;3841.0
Ten Boer-G0009;;17;1137;1119;515;567;87;106;36;119;17;520;33;19;8;9;2;8;17;3;2;0.0;5;0;8.0;;2;3;616.0
Ter Aar-G0480;;16;602;2236;1477;677;118;132;129;48;79;34;23;27;20;13;4;9;2;4;4;1.0;0;0;0.0;;2;0;1046.0
Terheijden-G0853;;15;1210;1331;1022;1080;169;124;146;22;14;15;25;29;14;12;10;12;2;5;7;4.0;3;9;4.0;3.0;2;0;1255.0
Terneuzen-G0715;;78;4285;3666;3767;2737;881;504;831;476;998;773;162;353;125;59;24;20;9;21;19;;8;23;8.0;;6;7;6384.0
Terschelling-G0093;;19;1098;728;989;645;103;155;66;40;3;28;22;18;11;10;0;9;1;5;6;0.0;8;4;1.0;;0;2;
