RegioNaam;@invalid;@blank;VVD;PvdA;CDA;PVV;SP;D66;GL;CU;50+;SGP;PvdD;CU-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);DG;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts;@abs
Veldhoven-G0861;27;22;3736;2073;2898;2419;2627;1449;898;;709;;273.0;209.0;;;;;;;;;;;36.0;;;;;;;;;16307
Velsen-G0453;30;24;5995;5369;2677;4178;2834;2646;1575;;632;;697.0;710.0;;615.0;;;;;;;;;;;43.0;;;;;;;23067
Venlo-G0983;79;65;8004;5046;5460;9194;3624;1917;2504;250.0;1122;;484.0;;;;;;778.0;;;;;;;;;;;;;;;36512
Venray-G0984;30;25;2854;2044;4353;2559;2250;967;855;92.0;684;;188.0;;;;;;57.0;;;;;;;;;;;;;;;15275
Vianen-G0620;17;7;1829;1293;1212;1290;822;577;362;274.0;251;352.0;205.0;;;;;;;;;;;;;36.0;;12.0;;;;;;6451
Vlaardingen-G0622;67;30;4338;4701;2539;4902;3673;2023;1574;854.0;911;603.0;599.0;;;;;;;106.0;48.0;;;;;;;;;;;;;27258
Vlagtwedde-G0048;17;5;907;1790;1293;916;807;223;263;251.0;176;;172.0;;;;;213.0;;;;;;;;;;;;;;;;5832
Vlieland-G0096;0;0;206;118;21;35;37;28;25;6.0;15;;;;10.0;;;2.0;;;;3.0;;;;;;;;;;;0.0;357
Vlissingen-G0718;34;18;2836;3434;1837;2504;2091;915;762;633.0;529;466.0;412.0;;;;926.0;;;;;;;;;;;;;;;;;16840
Vlist-G0623;3;2;1191;513;930;574;285;254;154;252.0;82;609.0;92.0;;;;;;;33.0;0.0;;;;;;;;;;;;;2517
Voerendaal-G0986;5;9;849;801;1409;1019;602;374;250;32.0;326;;97.0;;;;;;68.0;;;;;;;;;;;;;;;4319
Voorschoten-G0626;15;16;3373;1405;1495;1121;948;1416;1159;200.0;236;46.0;263.0;;;;;;;219.0;8.0;;;;;;;;;;;;;5596
Voorst-G0285;18;6;2819;1977;2460;1001;816;821;514;192.0;260;238.0;181.0;;;;;;;;;;37.0;;;;;;;8.0;;12.0;;7373
Vught-G0865;17;10;2959;1477;1427;1017;1438;1286;895;;317;;199.0;62.0;;;;;;;;;;;15.0;;;;;;;;;8240
Waalre-G0866;16;6;2253;838;1249;880;820;853;482;;263;;135.0;67.0;;;;;;;;;;;19.0;;;;;;;;;4596
Waalwijk-G0867;39;26;3862;2123;2933;2953;1953;1094;926;;596;;311.0;1057.0;;;;;;;;;;;84.0;;;;;;;;;17849
Waddinxveen-G0627;25;46;2979;1581;1977;1823;936;823;467;1237.0;291;1131.0;223.0;;;;;;;54.0;6.0;;;;;;;;;;;;;5705
Wageningen-G0289;24;21;2254;3361;1639;825;1567;3295;2756;767.0;179;201.0;312.0;;;;;;;;;;54.0;;;;;;;30.0;;15.0;;8912
Wassenaar-G0629;27;13;5292;858;1658;1411;579;969;377;111.0;297;41.0;250.0;;;;;;;38.0;4.0;;;;;;;;;;;;;5808
Waterland-G0852;4;5;2123;1357;1497;1271;768;788;730;;229;;181.0;94.0;;149.0;;;;;;;;;;;17.0;;;;;;;4129
Weert-G0988;37;30;4669;3023;3390;3838;2391;975;618;123.0;659;;279.0;;;;;;121.0;;;;;;;;;;;;;;;17458
Weesp-G0457;24;14;1738;1476;729;971;775;1001;555;;116;;169.0;105.0;;213.0;;;;;;;;;;;8.0;;;;;;;5797
Werkendam-G0870;22;5;1774;1034;2931;1626;740;339;321;;192;;135.0;2547.0;;;;;;;;;;;22.0;;;;;;;;;8381
West Maas en Waal-G0668;11;5;1895;1002;1727;1144;987;417;295;42.0;233;7.0;122.0;;;;;;;;;;16.0;;;;;;;7.0;;;;6366
Westerveld-G1701;15;9;2628;2515;1332;949;940;664;670;218.0;203;28.0;;;;;;;;;;;;150.0;;;;;6.0;;;;;5038
Westervoort-G0293;9;12;1101;1324;813;872;946;504;365;144.0;150;6.0;129.0;;;;;;;;;;17.0;;;;;;;2.0;;5.0;;5442
Westland-G1783;58;71;11823;3330;10581;7234;2276;1870;1125;1447.0;1066;770.0;621.0;;;;;;;565.0;34.0;;;;;;;;;;;;;32454
Weststellingwerf-G0098;31;19;2318;2888;1800;1352;1148;455;672;335.0;253;;;;249.0;;;55.0;;;;88.0;;;;;;;;;;;6.0;8651
Westvoorne-G0614;5;3;2317;900;703;1094;516;376;163;104.0;140;33.0;149.0;;;;;;;28.0;2.0;;;;;;;;;;;;;4480
Wierden-G0189;9;8;2245;1038;3774;1118;525;613;269;1081.0;273;405.0;103.0;;;;;;;;;;;;;;;;5.0;;;;;6519
Wieringen-G0462;6;3;914;563;284;664;419;158;96;;28;;75.0;46.0;;499.0;;;;;;;;;;;1.0;;;;;;;3010
Wieringermeer-G0463;4;4;1274;673;990;747;441;280;157;;73;;95.0;237.0;;368.0;;;;;;;;;;;2.0;;;;;;;4079
Wijchen-G0296;16;18;3377;2680;3066;2145;2209;1461;841;133.0;488;10.0;297.0;;;;;;;;;;44.0;;;;;;;23.0;;;;14180
Wijdemeren-G1696;19;8;3992;1300;1640;1354;819;1015;579;;233;;267.0;247.0;;156.0;;;;;;;;;;;6.0;;;;;;;6369
Wijk bij Duurstede-G0352;19;16;2670;1214;1373;1327;1264;814;803;251.0;206;434.0;213.0;;;;;;;;;;;;;18.0;;10.0;;;;;;6997
Winsum-G0053;3;11;873;1895;1132;387;781;367;627;823.0;106;;133.0;;;;;170.0;;;;;;;;;;;;;;;;3342
Winterswijk-G0294;17;12;3194;2808;1784;998;1710;803;489;239.0;223;17.0;169.0;;;;;;;;;;25.0;;;;;;;4.0;;12.0;;9627
Woensdrecht-G0873;8;5;1639;960;1840;1651;742;387;228;;268;;257.0;53.0;;;;;;;;;;;19.0;;;;;;;;;8322
Woerden-G0632;28;22;5493;2580;4557;2554;1655;1934;1393;1344.0;493;938.0;422.0;;;;;;;;;;;;;117.0;;53.0;;;;;;13412
Wormerland-G0880;14;8;1658;1312;703;893;1066;575;527;;148;;195.0;144.0;;172.0;;;;;;;;;;;22.0;;;;;;;4689
Woudenberg-G0351;11;2;1214;488;1174;544;342;251;162;452.0;93;1284.0;76.0;;;;;;;;;;;;;18.0;;8.0;;;;;;2712
Woudrichem-G0874;8;4;1046;607;2113;652;488;206;205;;93;;87.0;1123.0;;;;;;;;;;;9.0;;;;;;;;;4422
Zaanstad-G0479;148;53;10412;13526;4129;8770;7095;5099;3982;;1051;;1679.0;1199.0;;2019.0;;;;;;;;;;;122.0;;;;;;;50032
Zaltbommel-G0297;16;3;2113;1541;1824;1282;794;650;555;884.0;180;1963.0;167.0;;;;;;;;;;43.0;;;;;;;7.0;;;;7433
Zandvoort-G0473;19;6;2674;939;479;1365;494;558;309;;93;;260.0;24.0;;350.0;;;;;;;;;;;11.0;;;;;;;5647
Zederik-G0707;8;4;1088;717;1793;697;317;179;131;767.0;80;1042.0;65.0;;;;;;;18.0;2.0;;;;;;;;;;;;;3073
Zeevang-G0478;1;2;1059;497;286;539;237;242;193;;91;;95.0;24.0;;58.0;;;;;;;;;;;3.0;;;;;;;1479
Zeewolde-G0050;14;5;2925;731;1258;1083;647;587;543;946.0;145;204.0;174.0;;;;;;;;;;;;;;;;;;13.0;;;5481
Zeist-G0355;51;28;7263;4594;3061;3037;2183;3152;2487;1047.0;525;653.0;659.0;;;;;;;;;;;;;49.0;;36.0;;;;;;16788
Zevenaar-G0299;21;8;2754;2592;2589;1650;1685;1050;638;133.0;366;15.0;261.0;;;;;;;;;;46.0;;;;;;;16.0;;16.0;;11624
Zijpe-G0476;9;8;1488;949;786;659;467;333;198;;128;;110.0;68.0;;135.0;;;;;;;;;;;9.0;;;;;;;3503
Zoetermeer-G0637;85;65;10789;8074;4152;7878;5513;4391;2459;1445.0;1397;645.0;1205.0;;;;;;;192.0;45.0;;;;;;;;;;;;;44484
Zoeterwoude-G0638;5;3;864;434;900;451;389;373;247;50.0;79;38.0;105.0;;;;;;;6.0;2.0;;;;;;;;;;;;;2353
Zuidhorn-G0056;10;6;1159;1653;1926;554;943;535;659;1777.0;114;;162.0;;;;;217.0;;;;;;;;;;;;;;;;4066
Zuidplas-G1892;15;10;4434;2125;2330;2396;1506;1228;616;1155.0;365;1499.0;309.0;;;;;;;98.0;13.0;;;;;;;;;;;;;12256
Zundert-G0879;20;8;1974;812;1894;1429;730;400;271;;263;;179.0;51.0;;;;;;;;;;;8.0;;;;;;;;;7985
Zutphen-G0301;47;27;3527;5193;1908;1511;2896;2254;1999;698.0;396;45.0;636.0;;;;;;;;;;275.0;;;;;;;39.0;;15.0;;14252
Zwartewaterland-G1896;9;4;999;1178;2231;702;436;235;169;1839.0;166;2177.0;64.0;;;;;;;;;;;;;;;;3.0;;;;;5504
Zwijndrecht-G0642;53;25;3540;2614;2394;2806;1703;1105;596;1215.0;556;1020.0;332.0;;;;;;;73.0;16.0;;;;;;;;;;;;;16354
Zwolle-G0193;75;43;7981;11947;6693;3587;5525;5675;4456;6188.0;1007;527.0;986.0;;;;;;;;;;;;;;;;188.0;;;;;37027
