RegioNaam;@invalid;@blank;VVD;PvdA;CDA;PVV;SP;D66;GL;CU;50+;SGP;PvdD;CU-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);DG;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts;@abs
Deventer-G0150;86;25;7260;11694;4603;3286;4143;4687;3689;1171.0;923;100.0;795.0;;;;;;;;;;;;;;;;88.0;;;;;30571
Diemen-G0384;27;14;2158;2361;588;1558;1163;1069;802;;195;;237.0;136.0;;157.0;;;;;;;;;;;15.0;;;;;;;7785
Dinkelland-G1774;17;6;2237;1017;4949;1158;662;581;330;69.0;344;8.0;86.0;;;;;;;;;;;;;;;;1.0;;;;;8098
Dirksland-G0504;4;1;587;405;427;535;279;109;57;252.0;72;1077.0;52.0;;;;;;;34.0;1.0;;;;;;;;;;;;;2447
Doesburg-G0221;6;10;939;1045;563;566;928;505;268;104.0;93;15.0;99.0;;;;;;;;;;17.0;;;;;;;2.0;;0.0;;3773
Doetinchem-G0222;41;6;4418;4890;3706;2343;3160;1777;1475;550.0;623;299.0;432.0;;;;;;;;;;89.0;;;;;;;19.0;;23.0;;19363
Dongen-G0766;24;11;2123;1495;1713;1287;1513;833;461;;289;;175.0;142.0;;;;;;;;;;;14.0;;;;;;;;;9225
Dongeradeel-G0058;16;6;1062;1888;3215;876;783;226;374;1154.0;101;;;;1242.0;;;27.0;;;;264.0;;;;;;;;;;;3.0;7473
Dordrecht-G0505;144;57;7578;7825;4049;6389;5169;3970;2481;2299.0;1125;1603.0;1120.0;;;;;;;116.0;82.0;;;;;;;;;;;;;44640
Drechterland-G0498;9;12;2363;1043;1466;1237;877;603;359;;356;;151.0;68.0;;198.0;;;;;;;;;;;10.0;;;;;;;5858
Drimmelen-G1719;17;11;2468;1477;1889;1738;1151;719;528;;383;;210.0;72.0;;;;;;;;;;;12.0;;;;;;;;;10119
Dronten-G0303;30;12;4843;1980;3417;2029;1289;1034;948;1298.0;364;213.0;281.0;;;;;;;;;;;;;;;;;;2.0;;;11225
Druten-G0225;12;7;1461;1198;1312;940;1026;507;332;37.0;156;5.0;108.0;;;;;;;;;;13.0;;;;;;;3.0;;;;6566
Duiven-G0226;17;7;2455;1706;1664;1250;1270;778;586;217.0;286;21.0;175.0;;;;;;;;;;27.0;;;;;;;7.0;;9.0;;8618
Echt-Susteren-G1711;15;29;1656;1375;3623;3878;1395;442;756;128.0;468;;266.0;;;;;;214.0;;;;;;;;;;;;;;;11439
Edam-Volendam-G0385;17;6;2077;1021;4027;3538;633;501;460;;157;;190.0;62.0;;124.0;;;;;;;;;;;13.0;;;;;;;8859
Ede-G0228;108;29;9387;5468;8999;5697;2739;3028;2300;5712.0;733;6855.0;799.0;;;;;;;;;;90.0;;;;;;;31.0;;43.0;;28607
Eemnes-G0317;6;5;1246;553;670;548;332;388;182;106.0;111;37.0;97.0;;;;;;;;;;;;;7.0;;13.0;;;;;;2260
Eemsmond-G1651;15;9;929;2070;1429;537;872;211;369;960.0;178;;188.0;;;;;218.0;;;;;;;;;;;;;;;;4665
Eersel-G0770;10;12;1606;813;2244;942;884;504;449;;230;;116.0;51.0;;;;;;;;;;;7.0;;;;;;;;;6353
Eijsden-Margraten-G1903;20;11;1789;1396;3001;1730;821;639;643;38.0;484;;182.0;;;;;;526.0;;;;;;;;;;;;;;;8208
Eindhoven-G0772;142;130;14101;13235;8300;9519;11932;8691;6579;;3106;;1640.0;1178.0;;;;;;;;;;;321.0;;;;;;;;;81345
Elburg-G0230;18;7;1532;817;2072;981;557;298;227;1936.0;151;1895.0;104.0;;;;;;;;;;9.0;;;;;;;6.0;;7.0;;6120
Emmen-G0114;79;49;5638;13206;6766;5241;4777;2181;1572;1661.0;929;144.0;;;;;;;;;;;;380.0;;;;;27.0;;;;;42166
Enkhuizen-G0388;7;6;1561;1543;842;1081;1041;570;405;;204;;172.0;336.0;;146.0;;;;;;;;;;;8.0;;;;;;;5973
Enschede-G0153;112;80;8871;14335;6181;5723;6122;6702;3988;2713.0;1953;200.0;964.0;;;;;;;;;;;;;;;;182.0;;;;;60111
Epe-G0232;38;18;3504;2846;2564;1600;901;893;611;791.0;504;716.0;350.0;;;;;;;;;;31.0;;;;;;;4.0;;7.0;;10358
Ermelo-G0233;20;17;2487;1181;3066;1371;730;623;541;1655.0;192;956.0;223.0;;;;;;;;;;28.0;;;;;;;26.0;;9.0;;7207
Etten-Leur-G0777;31;16;3602;2319;2425;2611;1805;1259;790;;679;;229.0;128.0;;;;;;;;;;;43.0;;;;;;;;;15819
Ferwerderadiel-G1722;3;2;426;721;1064;291;257;98;134;350.0;56;;;;579.0;;;13.0;;;;50.0;;;;;;;;;;;4.0;2695
Franekeradeel-G0070;12;8;1225;1977;1855;813;914;317;431;511.0;126;;;;1033.0;;;23.0;;;;208.0;;;;;;;;;;;10.0;6473
Gaasterlân-Sleat-G0653;14;6;755;699;1303;450;270;149;207;232.0;87;;;;942.0;;;11.0;;;;32.0;;;;;;;;;;;2.0;2809
Geertruidenberg-G0779;15;9;1735;1161;1221;1339;999;417;477;;283;;147.0;100.0;;;;;;;;;;;18.0;;;;;;;;;8772
Geldermalsen-G0236;16;7;2993;1569;1925;1800;730;758;488;339.0;213;1386.0;197.0;;;;;;;;;;21.0;;;;;;;13.0;;;;7091
Geldrop-Mierlo-G1771;11;28;2960;1962;2549;2014;2506;1268;1061;;595;;275.0;168.0;;;;;;;;;;;37.0;;;;;;;;;14081
Gemert-Bakel-G1652;37;11;1888;1063;3365;1634;1962;522;476;;295;;172.0;44.0;;;;;;;;;;;15.0;;;;;;;;;10586
