RegioNaam;@invalid;@blank;VVD;CDA;D66;PVV;SP;PvdA;GL;CU;PvdD;50+;SGP;CU-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;PPNL;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat;@abs
Doetinchem-G0222;40;47;3011;3452;2647;2164;3127;2308;1011;559.0;639.0;605;337.0;;;;;;;;;;;;;370.0;91.0;;;;21.0;;;;;;;48.0;;;55.0;;23.0;;30.0;;;;;;;18.0;;;;23411
Dongen-G0766;28;19;1414;1466;968;1006;1349;713;257;;256.0;326;;178.0;;;;494.0;;;;;;;;;;;;;17.0;;;;;;9.0;;;;;;;;;;;;;10.0;5.0;;;;;11268
Dongeradeel-G0058;28;21;613;3005;352;803;911;927;252;1144.0;194.0;149;;;1307.0;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;20.0;;;;;;1.0;;8819
Dordrecht-G0505;153;140;5220;4147;4322;5544;4720;3988;1820;2282.0;1786.0;1553;1817.0;;;;;;;;;;;;227.0;;;101.0;;;45.0;;;;;;128.0;;;;;;22.0;;;;;;;;;;;;;51015
Drechterland-G0498;14;18;1822;1285;806;906;574;563;303;;183.0;408;;82.0;;304.0;;;106.0;47.0;;;;;;;;;;;;42.0;;1.0;;;;;;;;;;;;;;;;;;;;;;7248
Drimmelen-G1719;29;37;1811;1580;1105;1304;1251;805;342;;317.0;527;;96.0;;;;235.0;;;;;;;;;;;;;13.0;;;;;;10.0;;;;;;;;;;;;;6.0;5.0;;;;;11697
Dronten-G0303;31;36;3363;3130;1409;1693;1184;1142;873;1511.0;434.0;772;323.0;;;;;;;;;;;;;;;;;;;;;;;;41.0;;;;;;;;;;;;77.0;;;;;;;13790
Druten-G0225;20;19;1109;961;886;808;998;560;182;56.0;150.0;263;11.0;;;;;;;;;;;;;26.0;64.0;;;;12.0;;;;;;;9.0;;;28.0;;8.0;;12.0;;;;;;;;;;;7880
Duiven-G0226;27;19;1740;1338;1190;1065;1299;734;377;193.0;273.0;382;24.0;;;;;;;;;;;;;158.0;131.0;;;;10.0;;;;;;;24.0;;;20.0;;14.0;;16.0;;;;;;;9.0;;;;10582
Echt-Susteren-G1711;22;74;1099;3393;818;2552;1592;594;448;;352.0;397;;;;;;;;;255.0;620.0;;;;;;;;;;;;;;;;;;;;;;;;;37.0;;;;;;;;;13498
