RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Pacifistisch-Socialistische Partij (PSP);Samenwerkende Christelijke Groepering;Boeren Partij;Wereldburgers;Lijst Voogd;@abs
Houten-G0321;20;0;1015;119;31;100;119;2;149;2;0;0;0;0;2;0.0;73.0
Huijbergen-G0803;16;0;497;12;7;0;0;1;1;0;1;0;0;0;0;0.0;19.0
Huissen-G0255;58;0;3433;255;31;16;120;8;6;3;0;0;0;8;0;0.0;116.0
Huizen-G0406;179;0;406;1542;1473;2351;1874;108;519;31;0;105;0;0;0;0.0;527.0
Hulsberg-G0924;39;0;1126;72;0;0;0;1;0;1;0;0;3;0;0;0.0;37.0
Hulst-G0677;113;0;2006;316;69;16;41;8;7;6;0;0;0;0;0;0.0;186.0
Hummelo en Keppel-G0256;39;0;334;753;401;181;315;5;20;4;0;0;0;0;0;0.0;92.0
Hunsel-G0925;22;0;1514;15;0;0;0;0;0;0;0;0;3;0;0;0.0;47.0
Idaarderadeel-G0078;109;0;200;2669;520;217;161;107;1;3;0;0;0;0;0;0.0;223.0
IJlst-G0102;18;0;10;193;49;254;306;6;1;0;0;0;0;0;0;0.0;42.0
IJsselmuiden-G0191;76;0;485;437;134;668;752;10;1221;235;0;0;0;0;0;0.0;249.0
IJsselstein-G0353;57;0;1742;470;76;238;430;16;260;3;0;0;0;0;5;0.0;117.0
IJzendijke-G0730;55;0;925;262;76;48;83;10;4;2;0;0;0;0;0;0.0;69.0
Ilpendam-G0407;29;0;350;506;112;95;135;225;7;1;0;13;0;0;0;0.0;23.0
Itteren-G0926;14;0;347;12;0;0;0;3;0;0;0;0;0;0;0;0.0;15.0
Jabeek-G0927;4;0;352;11;0;0;0;0;0;0;0;0;0;0;0;0.0;6.0
Jisp-G0408;11;0;32;183;120;7;8;49;1;0;0;29;0;0;0;0.0;29.0
Jutphaas-G0322;19;0;1086;324;75;123;282;5;82;2;0;0;0;0;2;0.0;101.0
Kamerik-G0323;5;0;435;66;22;179;346;0;179;1;0;0;0;0;1;0.0;41.0
Kampen-G0166;235;0;1343;3338;705;2491;2763;58;1317;1193;0;0;0;0;0;0.0;1022.0
Kantens-G0020;21;0;24;508;220;206;119;9;0;128;0;0;0;0;0;0.0;54.0
Kapelle-G0678;48;0;55;597;271;393;812;8;207;2;0;0;0;0;0;0.0;136.0
Kattendijke-G0679;15;0;4;332;43;43;209;0;18;1;0;0;0;0;0;0.0;38.0
Katwijk-G0537;260;0;851;2080;808;1549;5443;68;1559;83;0;0;0;0;0;0.0;1521.0
Katwoude-G0409;1;0;28;40;22;20;27;0;0;0;0;0;0;0;0;0.0;5.0
Kedichem-G0538;16;0;7;269;163;137;45;3;28;4;0;0;0;0;0;0.0;16.0
Kerkrade-G0928;1711;0;18048;3599;0;0;0;662;0;75;0;0;421;0;0;0.0;797.0
